16SredoluluOTU	HK_Bea1_Aug	HK_Bea1_Feb	HK_Bea1_May	HK_Bea1_Nov	HK_Bea2_Aug	HK_Bea2_Feb	HK_Bea2_May	HK_Bea2_Nov	HK_Bea3_Aug	HK_Bea3_Feb	HK_Bea3_May	HK_Bea3_Nov	HK_Sta1_Feb	HK_Sta1_May	HK_Sta1_Nov	HK_Sta2_Feb	HK_Sta2_May	HK_Sta2_Nov	HK_Sta3_Aug	HK_Sta3_Feb	HK_Sta3_May	HK_Sta3_Nov	HK_SW1_Aug	HK_SW1_Feb	HK_SW1_May	HK_SW1_Nov	HK_SW2_Aug	HK_SW2_Feb	HK_SW2_May	HK_SW2_Nov	HK_SW3_Aug	HK_SW3_Feb	HK_SW3_May	HK_SW3_Nov	LT_CC1_Aug	LT_CC1_Feb	LT_CC1_May	LT_CC1_Nov	LT_CC2_Aug	LT_CC2_Feb	LT_CC2_May	LT_CC2_Nov	LT_CC3_Aug	LT_CC3_Feb	LT_CC3_May	LT_CC3_Nov	LT_CMW1_Aug	LT_CMW1_Feb	LT_CMW1_May	LT_CMW1_Nov	LT_CMW2_Aug	LT_CMW2_Feb	LT_CMW2_May	LT_CMW2_Nov	LT_CMW3_Aug	LT_CMW3_Feb	LT_CMW3_May	LT_CMW3_Nov	LT_PC1_Aug	LT_PC1_Feb	LT_PC1_May	LT_PC1_Nov	LT_PC2_Aug	LT_PC2_May	LT_PC2_Nov	LT_PC3_Aug	LT_PC3_Feb	LT_PC3_May	LT_PC3_Nov	SK_Sha1_Feb	SK_Sha2_Feb	SK_Sha3_Feb	SK_Blu1_Aug	SK_Blu1_Feb	SK_Blu1_May	SK_Blu1_Nov	SK_Blu2_Aug	SK_Blu2_Feb	SK_Blu2_May	SK_Blu2_Nov	SK_Blu3_Aug	SK_Blu3_Feb	SK_Blu3_May	SK_Blu3_Nov	SK_LKW1_Aug	SK_LKW1_Feb	SK_LKW1_May	SK_LKW1_Nov	SK_LKW2_Aug	SK_LKW2_Feb	SK_LKW2_May	SK_LKW2_Nov	SK_LKW3_Aug	SK_LKW3_Feb	SK_LKW3_May	SK_LKW3_Nov	SK_Sha1_Aug	SK_Sha1_May	SK_Sha1_Nov	SK_Sha2_Aug	SK_Sha2_May	SK_Sha2_Nov	SK_Sha3_Aug	SK_Sha3_May	SK_Sha3_Nov	HK_Sta1_Aug	HK_Sta2_Aug
ASV1	224	1676	26466	41610	1194	492	40347	15459	219	372	16734	36409	1330	10722	31989	169	37429	75226	225	138	54034	35833	37	18	15545	35582	262	75	18961	18836	671	83	64840	33166	761	0	12580	26034	2014	88	19155	23115	2283	164	7982	20728	726	88	12574	10646	2303	148	558	10538	510	77	5314	11012	1001	70	27075	37546	1287	7430	38662	1348	11	31889	12914	0	0	0	86114	1240	71216	14293	41212	676	73559	23831	38244	887	66959	14444	83785	564	64603	44780	82274	622	28924	13602	47484	83	44206	22556	52713	115480	51192	55527	73119	22680	44422	102895	46616	0	0
ASV2	40	0	17	1580	317	0	31	5293	63	0	30	1799	0	16	8478	0	35	4347	79	0	42	1089	43	0	17	3550	352	0	52	0	113	0	72	1786	906	0	12	3438	432	0	17	1665	882	0	7	2798	416	0	15	10358	429	0	23	1628	149	0	842	3426	590	0	38	3519	796	58	2952	509	0	51	1591	0	0	0	1834	0	103	743	786	0	40	758	776	0	55	587	1954	0	49	1699	2386	0	32	582	1385	0	58	912	1462	85	1950	747	57	935	917	47	1396	49	59
ASV3	4	11	232	665	15	22	445	213	10	0	199	930	23	143	380	7	268	1547	6	0	309	725	6	0	192	798	9	0	414	0	14	0	573	536	0	0	60	436	24	0	85	358	15	0	43	397	0	0	56	177	0	0	0	137	0	0	22	207	10	0	118	678	0	65	685	0	0	151	109	0	0	0	1719	0	358	229	1031	8	561	323	712	0	556	311	1332	0	433	766	1261	0	297	217	1426	11	343	366	1143	390	1314	1357	386	785	1170	471	1146	0	8
ASV4	0	0	0	56	0	0	0	0	0	0	0	0	0	0	2	0	0	26	0	0	0	31	0	0	7	0	0	0	0	0	0	0	0	49	0	0	0	0	7	0	0	16	6	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	77	0	0	0	0	0	0	0	143	0	0	0	93	0	0	0	181	0	2	0	441	0	0	40	320	0	0	0	33	0	0	43	0	0	78	26	0	0	83	0	29	0	0
ASV5	0	0	0	0	0	0	1	4	0	0	0	21	0	8	695	0	9	39	6	0	9	0	0	0	0	14	0	0	2	0	0	0	0	9	0	0	0	9	0	0	3	0	0	0	7	0	0	0	0	9	0	0	0	0	0	0	71	0	0	9	11	28	10	0	29	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	1	0	3	11	13	0	0	0	17	0	12	0	4	0	8	0	0	0	3	0	0	0	6	0	0	12	0
ASV6	1	77	0	37	6	16	0	87	0	22	22	78	445	0	9261	25	0	72	154	59	0	0	0	0	24	33	7	86	41	362983	8	3	0	94	0	9	0	0	371	0	0	76	14	0	0	0	0	0	0	0	6	0	98	0	0	0	725	0	0	0	0	300	4	2	37	0	526	0	101	0	0	0	13	0	0	9	0	57	3	6	0	109	0	16	243	0	0	0	23	0	0	12	12	0	0	0	0	0	16	0	0	0	96	0	0	0	0
ASV7	1601	851	1428	788	3055	699	1916	1061	3089	544	1667	1205	1158	674	4080	2815	2455	1901	2758	995	1724	1295	2182	818	2088	951	3150	3291	1086	456	2466	1082	1331	1201	2473	7060	8817	2639	5501	3817	5987	1472	5158	2242	6022	2930	5423	5611	7179	4043	8058	3709	5008	1361	7187	3377	27704	1898	7367	4396	3694	3794	8157	8072	3083	5752	3935	5879	3854	1454	941	717	4541	1666	889	1664	2879	2605	1336	1723	3703	1367	1987	961	3926	1507	3051	3336	3244	870	2511	2449	2623	730	3233	3047	3842	1728	1859	3016	4335	1726	2680	3570	2424	4822	3250
ASV8	837	482	840	265	1472	384	1060	366	1704	271	779	190	636	359	1385	2308	1367	459	1790	1036	931	617	1172	1145	1547	245	1675	3513	465	0	993	975	266	396	1110	9053	7576	1533	3738	4061	4924	779	3207	1619	5450	1721	3138	6852	6676	2719	4705	4100	5625	853	4523	3795	30310	1256	4963	4960	3134	2312	5089	7864	1979	3123	5856	5260	3772	1497	816	443	2675	1199	540	474	1888	1579	602	751	2295	618	1178	92	2457	956	2054	1187	1855	358	1808	992	1514	264	2258	1119	2779	1048	811	2025	3143	747	2004	2430	1190	3778	2305
ASV9	23	18589	0	168	106	30998	0	180	35	14134	796	0	10941	952	44	15930	1399	668	5	13054	1578	233	16	0	671	0	134	12810	2657	1764	0	2320	1867	319	0	3906	926	602	119	2253	515	337	303	2237	0	744	150	1069	0	1957	312	1286	1297	353	289	0	823	0	290	0	696	533	0	1532	889	0	2958	377	328	104	31	53	160	3458	221	3122	98	0	410	0	150	0	450	1685	162	2534	1048	2476	152	1101	0	2487	286	2696	0	2151	0	193	570	0	193	810	70	223	680	23	0
ASV10	993	1451	423	51	1649	1120	527	192	1387	620	648	123	1577	346	124	2599	643	650	1202	1127	645	306	667	1161	781	199	1508	2802	962	0	971	1010	486	111	907	5729	2663	510	642	2613	1876	195	745	3292	1816	236	516	3741	1964	977	955	3304	1818	213	804	2661	13285	546	985	2457	1775	841	930	4771	666	561	4737	2466	685	515	321	263	522	832	260	553	255	1580	428	341	449	933	690	248	381	1032	1553	624	279	1541	1226	499	155	1508	1547	560	751	2975	337	835	2015	273	749	1877	435	1235	892
