Protist_protist_Zotu	HKBea1Nov	HKBea2Nov	HKSta1Nov	HKSta3Nov	LTCC2Nov	LTPC3Nov	SKBlu1May	SKLKW3Aug	SKSha3Nov	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	SKBlu1Aug	SKBlu1Feb	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May
protist_Zotu632	0	0	1	16	0	1	27	0	0	74	10	65	2	52	20	0	34	13	3	5	3	2	0	21	4	0	0	1	2	6	0	10	5	1	21	8	5	7	15	0	2	52	12	3	0	14	10	7	23	6	1	0	94	1	2	1	26	7	5	4	0	3	0	0	3	0	3	7	2	0	1	0	0	3	0	51	1	11	32	27	4	1	46	75	5	3	0	45	4	1	4	5	2	8	6	0	118	91	244	0	5	38	381	0	1	32	36
protist_Zotu743	0	1	14	55	0	0	20	0	2	6	1	0	13	0	15	3	1	40	3	24	2	1	15	33	1	13	0	29	4	7	3	22	0	24	33	0	5	24	3	3	45	0	14	13	2	2	24	7	1	32	6	1	20	6	3	5	21	3	17	1	3	3	70	0	13	0	23	3	5	6	17	23	4	6	0	4	1	25	2	54	2	6	1	108	4	7	4	92	1	82	0	126	0	4	95	3	74	21	37	12	330	6	25	0	56	9	9
protist_Zotu671	0	6	0	0	0	0	1	0	0	1	20	0	7	36	15	34	30	12	6	6	52	10	14	2	9	7	0	3	63	7	5	20	58	15	2	45	5	0	5	46	10	0	62	69	0	0	50	71	0	44	52	0	5	53	96	1	5	64	143	0	1	5	142	0	0	0	281	0	0	46	8	0	5	98	0	3	0	0	14	26	0	0	25	5	0	0	3	7	0	2	0	20	0	2	32	1	2	2	13	0	2	2	1	1	6	6	1
protist_Zotu652	7	9	168	1373	15	0	2	1	24	1	0	0	0	0	2	2	1	70	12	0	1	7	38	0	0	0	0	0	0	1	79	0	0	13	0	0	2	0	0	0	0	0	1	2	5	1	0	0	0	0	5	0	2	0	1	0	0	5	1	1	0	0	4	0	3	0	6	5	2	5	6	13	0	8	0	0	8	0	1	15	29	0	0	0	41	0	0	9	2	1	0	11	0	0	1	0	7	0	0	0	3	0	1	0	1	0	1
protist_Zotu555	32	1	0	92	1260	1	8	213	0	0	0	23	0	0	2	0	0	4	1	6	0	0	31	15	0	0	0	14	0	1	0	1	0	6	5	0	1	4	0	0	0	0	0	1	0	2	2	0	0	0	0	3	3	0	2	1	0	0	0	3	0	0	0	0	1	0	0	0	1	1	0	0	0	2	30	0	6	10	0	26	0	6	0	2	0	4	0	22	35	5	0	24	5	0	43	2	1	0	0	66	1	0	1	4	7	1	0
protist_Zotu605	0	0	0	0	0	0	0	0	370	75	0	0	27	4	1	125	0	3	0	27	1	2	4	44	0	0	0	3	0	0	0	100	3	1	24	1	1	0	36	0	0	90	2	1	13	219	1	1	59	3	0	0	231	0	0	0	28	1	3	4	71	0	0	0	1	0	3	0	0	1	0	1	0	0	0	8	144	1	12	7	42	3	3	1	41	0	0	2	33	0	0	2	4	0	1	4	0	3	1	55	0	3	6	92	0	1	0
protist_Zotu607	0	0	14	1	0	0	11	0	360	0	0	2	0	0	2	0	2	1	11	1	0	1	0	0	0	3	0	0	0	8	0	3	2	0	42	0	0	5	0	0	0	6	11	5	2	0	1	6	0	8	0	1	0	0	2	16	0	0	25	9	1	0	10	0	11	0	21	2	118	2	11	7	0	3	13	74	12	152	12	25	72	4	7	10	18	3	0	62	0	5	0	24	7	0	54	0	251	2	9	111	51	5	1	74	255	1	16
protist_Zotu628	1	0	0	1	0	0	0	0	0	3	10	0	0	36	0	1	2	9	2	1	2	5	0	0	1	0	0	0	2	0	0	1	4	12	0	12	6	0	2	1	3	0	0	1	1	0	3	0	0	8	0	1511	0	0	4	1	0	5	3	11	0	0	27	0	4	0	4	0	0	1	2	7	6	3	1	20	16	1	52	0	9	0	10	0	28	0	84	0	24	1	2	1	4	6	0	6	0	23	1	27	0	33	3	2	0	9	0
protist_Zotu588	46	1	5	22	0	30	28	573	14	18	0	9	4	0	16	0	0	24	3	94	0	0	37	25	0	0	0	141	0	5	0	1	0	0	27	0	0	19	11	6	4	9	4	1	4	73	5	4	15	7	0	0	53	6	2	8	6	0	2	0	26	0	6	0	20	0	14	2	14	0	6	48	0	2	30	3	3	41	0	21	5	29	0	17	4	51	0	1	6	112	0	20	2	0	13	2	21	2	5	0	67	0	7	0	136	0	3
protist_Zotu542	0	1	0	373	8	0	0	0	1	63	0	0	22	0	0	21	0	1	8	1	0	0	4	31	0	0	0	72	0	1	0	6	0	2	14	0	0	0	24	1	0	1	0	1	4	2	0	2	3	0	7	2	0	0	2	12	7	1	0	135	2	0	3	1083	20	0	0	3	1	0	25	6	0	0	2	0	15	1	0	0	4	2	0	0	13	0	0	0	34	0	0	0	5	0	1	37	0	0	0	16	0	0	1	18	0	1	2
