#OTU ID	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
Motu204	22	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	17	0	0	0	48	0	0	0	33	0	0	0	22	0	0	0	18	0	0	0	31	0	2	0	36	0	0	0	30	0	3	0	23	1	0	0	2	0	0	0	10	0	0	0	1	0	2	0	14	0	0	8	0	835	0	0	0	0	0	0	0	724	0	0	0	380	0	0	0	265	0	0	0	1076	0	0	0	868	0	0	0	0	0	0	0	20	0	0	0	9	0
Motu214	66	10	0	437	413	2	1	4	40	3	1	204	37	3	0	0	10	5	1	108	24	0	1	108	99	122	11	81	100	17	1	925	47	3	2	88	16	0	3	6	25	0	70	1	18	1	6	75	12	1	42	0	0	0	9	0	1	0	43	24	0	0	0	0	0	276	77	0	0	35	0	0	0	345	33	15	0	27	26	1	0	18	25	2	0	13	0	2	59	44	0	5	0	47	0	2	5	0	0	0	10	66	0	0	1	21	49
Motu184	41	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	0	0	3	0	0	0	30	0	0	0	3989	0	0	0	8	0	0	0	255	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	7	0	0	0	2	0	0	0	350	0	0	0	0	0	0	0	60	0	0	0	78	0
Motu182	0	36	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	5	0	0	0	13	0	0	0	0	0	0	0	0	0	0	104	0	0	0	68	0	0	0	4935	0	0	0	5	0	0	0	23	0	0	0	19	0	0	0	18	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Motu213	9	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	26	0	9	0	19	0	4	0	6	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	1	0	1055	0	15	24	3	0	2486	1988	0
Motu181	5696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	40	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	34	0
Motu179	0	0	0	0	147	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	171	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5401	1	0	0	0	0	0	0	150	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Motu178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	6076	0	0	0	0	0	0	0
Motu180	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	1	14	0	0	183	0	0	0	0	6060	0	0	3	62	0	0	0	49	0	0	0	11	0	0	0	47	0	0	0	29	0	0	0	19	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	0	0	0	0
Motu175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6603	0	0	0	30	0	0	0	14	0	0	0	18	0	0	0	54	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	5	0	0	0	0	0	0
