Sample	HKBea1Nov	HKBea2Nov	HKSta1Nov	HKSta3Nov	LTCC2Nov	LTPC3Nov	SKBlu1May	SKLKW3Aug	SKSha3Nov	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	SKBlu1Aug	SKBlu1Feb	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May
protist_Zotu632	0	0	1	0	0	0	8	0	0	11	2	35	0	20	9	0	6	4	0	1	0	1	0	3	0	0	0	0	0	3	0	2	1	0	8	0	2	4	0	0	0	17	0	0	0	2	0	5	10	1	0	0	28	0	2	0	26	2	3	0	0	1	0	0	1	0	1	1	0	0	0	0	0	3	0	7	0	10	5	4	3	1	14	20	0	1	0	11	1	0	1	1	1	2	1	0	27	5	41	0	0	2	62	0	0	3	17
protist_Zotu743	0	0	6	4	0	0	3	0	1	2	0	0	5	0	2	0	0	7	1	5	1	1	3	6	1	5	0	5	0	5	1	4	0	3	11	0	1	9	1	0	7	0	2	2	1	0	1	6	0	4	4	0	6	2	0	4	21	0	4	1	2	1	13	0	3	0	2	0	0	2	7	8	2	3	0	0	0	22	1	18	1	2	0	38	1	1	0	27	0	16	0	22	0	1	36	1	31	0	2	3	71	0	4	0	15	0	5
protist_Zotu671	0	3	0	0	0	0	0	0	0	0	5	0	5	9	3	8	5	4	1	3	5	4	4	1	1	4	0	0	10	4	2	6	12	3	2	6	1	0	3	10	1	0	6	22	0	0	2	45	0	4	31	0	2	18	21	1	5	13	45	0	1	3	15	0	0	0	74	0	0	9	1	0	2	24	0	0	0	0	1	8	0	0	5	2	0	0	1	1	0	1	0	6	0	0	13	0	0	0	3	0	0	0	0	0	1	1	1
protist_Zotu652	0	1	50	52	5	0	1	1	1	1	0	0	0	0	0	0	0	14	2	0	1	4	12	0	0	0	0	0	0	1	28	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	2	1	2	2	2	2	0	2	0	0	2	0	0	3	12	0	0	0	9	0	0	2	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0
protist_Zotu555	2	0	0	3	334	0	2	80	0	0	0	13	0	0	0	0	0	0	0	2	0	0	11	1	0	0	0	4	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	27	0	3	9	0	7	0	3	0	0	0	0	0	2	5	1	0	2	4	0	20	0	0	0	0	11	0	0	0	1	0	0	0
protist_Zotu605	0	0	0	0	0	0	0	0	21	13	0	0	12	1	1	29	0	1	0	6	0	1	2	15	0	0	0	1	0	0	0	29	0	0	5	1	0	0	6	0	0	38	0	0	8	49	0	1	26	0	0	0	76	0	0	0	28	0	0	2	47	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	44	1	0	3	23	3	0	1	14	0	0	0	8	0	0	0	2	0	0	1	0	0	0	14	0	0	0	19	0	1	0
protist_Zotu607	0	0	8	0	0	0	4	0	22	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	1	0	0	0	6	0	1	0	0	11	0	0	2	0	0	0	3	0	3	1	0	0	4	0	2	0	0	0	0	0	14	0	0	8	6	1	0	2	0	2	0	5	0	33	1	5	4	0	1	10	2	3	139	2	5	34	3	1	4	9	0	0	15	0	1	0	6	3	0	15	0	63	0	1	19	9	0	1	9	75	0	8
protist_Zotu628	0	0	0	0	0	0	0	0	0	0	6	0	0	16	0	0	1	5	1	1	0	2	0	0	1	0	0	0	0	0	0	0	1	4	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	271	0	0	1	1	0	2	1	4	0	0	5	0	0	0	4	0	0	1	0	1	4	0	1	1	4	1	8	0	3	0	3	0	5	0	4	0	5	1	0	0	2	2	0	2	0	4	0	3	0	0	1	0	0	2	0
protist_Zotu588	7	1	0	0	0	1	9	190	0	7	0	4	1	0	0	0	0	3	1	25	0	0	15	3	0	0	0	21	0	2	0	0	0	0	8	0	0	4	1	0	0	2	0	0	1	9	1	2	8	0	0	0	16	0	1	6	6	0	0	0	13	0	2	0	3	0	2	2	3	0	1	11	0	1	24	0	1	38	0	7	3	12	0	6	2	12	0	0	0	32	0	5	1	0	4	1	3	0	3	0	21	0	0	0	42	0	1
protist_Zotu542	0	1	0	16	0	0	0	0	0	13	0	0	9	0	0	5	0	1	2	0	0	0	2	3	0	0	0	9	0	0	0	1	0	0	5	0	0	0	6	1	0	0	0	1	3	1	0	2	2	0	5	0	0	0	2	6	7	1	0	40	1	0	2	809	6	0	0	0	0	0	7	0	0	0	2	0	5	1	0	0	0	1	0	0	4	0	0	0	7	0	0	0	1	0	0	12	0	0	0	1	0	0	0	4	0	1	1
