Sample	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
ITS_Zotu380	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	6	0	0	0	104	0	0	0	8	0	8	0	0	0	0	1	2	0	0	1	1	0	0	0	9	0	0	0	0	0	0	0	0	0	2	0	0	1	2	3	0	5	0	4	0	0	0	3	0	0	0	0	0	0	1	2	3	0	5	12	0	0	0	36	0	0	0	95	2	0	0	4	0	0	0	0	0	0	3	0	0
ITS_Zotu449	5	0	0	0	4	2	0	0	0	0	4	0	2	0	2	4	6	0	22	0	1	0	0	1	2	0	0	0	1	0	3	1	4	0	4	1	19	0	2	0	0	0	4	0	135	25	9	1	2	0	2	0	0	19	1	63	1	11	10	2	25	13	21	0	10	8	0	0	5	0	0	0	1	0	12	0	0	2	0	0	0	1	0	0	0	0	0	4	0	1	7	0	0	2	0	5	0	0	0	0	2	5	0	0	0	0	0
ITS_Zotu1109	0	0	0	0	0	0	1	3	1	0	0	1	0	0	0	1	0	3	0	5	0	0	0	3	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	1	0	0	0	0	2	2	0	1	0	2	0	0	0	0	31	6	0	11	5	1	12	4	4	0	11	21	2	1	29	2	0	0	4	1	13	8	0	1	0	3	52	1	3	0	24	3	0	1	13	3	0	2	1	5	0	0	0	0	0	1	6
ITS_Zotu540	0	0	0	0	0	2	3	0	0	1	0	0	2	2	0	0	7	5	0	0	0	0	0	0	0	0	0	0	5	15	0	1	1	0	1	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	5	2	0	15	3	0	0	4	0	3	1	3	0	5	0	5	0	1	0	3	1	2	1	21	0	91	0	2	2	40	2	0	1	129	1	1	0	1	1	0	0	0	0	2	0	2	0
ITS_Zotu378	0	0	1	0	0	0	2	0	0	0	0	0	0	2	7	0	0	2	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	3	0	1	5	0	0	0	4	0	0	12	6	0	1	1	2	2	3	0	6	0	0	0	5	0	0	1	1	49	2	3	111	22	0	3	7	22	0	0
ITS_Zotu418	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	6	0	0	0	0	0	0	0	0	0	0	3	2	0	1	1	0	1	0	3	0	0	0	1	0	0	0	0	1	0	0	0	5	8	0	0	0	0	0	0	0	0	0	5	0	0	13	5	0	0	3	0	1	0	0	0	5	0	1	1	0	0	2	3	0	1	26	1	71	2	0	1	39	0	0	33	89	14	3	0	3	0	2	0	0	0	1	0	5	0
ITS_Zotu313	0	0	0	0	0	1	0	0	0	7	0	3	0	15	0	0	1	3	0	0	2	0	3	0	0	0	3	0	0	10	1	0	0	0	1	0	0	0	160	0	0	4	9	0	0	10	5	0	0	0	8	0	11	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu2721	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	6	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	40	0	0	33	0	0	0	14	5	0	0	18	3	0	0	14	12	0	0	2	3	0	0	19	15	0	6	56	0	0	10	31	1	0	0	0	1	0	0	0	0	0	0	2
ITS_Zotu1614	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	19	3	0	0	7	8	0	0	28	1	0	0	2	2	0	0	3	0	0	0	12	7	0	2	144	142	1	0	0	0	0	7	0	0	0	1	0	0	0	1	0	1	0	5	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ITS_Zotu342	1	0	0	0	107	0	0	0	0	0	3	0	47	0	0	0	10	0	0	0	51	0	0	2	7	0	3	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	79	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2	0	12	0	1	2	14	0	1	0	1	0	6	0	2	0	0	0	0	0	1	0	0	0	2	0
ITS_Zotu415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	24	21	0	6	2	0	0	8	76	0	0	16	6	1	0	3	1	0	0	1	1	0	0	103	2	0	4	9	4	0	1	1	3	0	0	1	0	0	0	1	0	0	0	39
ITS_Zotu389	0	1	0	2	0	1	0	0	0	0	0	60	0	3	2	2	1	4	0	2	0	0	0	5	5	9	0	0	0	1	0	0	1	0	0	12	0	15	0	0	0	43	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	10	1	0	17	2	9	5	0	0	1	0	1	1	0	21	0	0	25	4	4	3	0	1	0	3	12	22	0	2	0	4	0	0	0	6	0	1	6	11	0	0	3	1	3	0	2	10	1	0	1
ITS_Zotu328	0	2	0	0	0	7	0	0	0	5	0	0	0	4	3	0	0	1	1	0	0	3	0	0	0	0	1	0	0	1	140	0	0	10	26	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu344	0	0	0	0	1	0	9	0	1	2	0	0	3	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	14	1	0	0	3	0	0	4	79	0	0	37	0	0	3	3	0	0	84	15	3	0	4	2	0	0	4	28	0	0	3	1	0	7	2	2	0	0	1	3	0	0	2	0	0	0	2	0	0	0	0	0	0	5
ITS_Zotu372	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	20	0	0	0	4	0	0	0	15	0	0	0	9	2	0	9	50	0	0	0	28	0	0	0	507	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu340	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	239	0	2	0	19	0	1	0	14	1	0	0	25	0	1	0	1	0	0	0	13	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	15	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	4	0	0	0	0	4	0	0	0	0	0
ITS_Zotu297	0	16	0	0	0	4	0	0	0	220	0	0	0	7	2	0	0	35	0	0	0	10	0	0	0	0	0	0	0	6	0	0	0	2	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu1594	0	5	0	0	2	8	0	0	0	3	1	0	0	2	0	0	0	0	2	0	0	1	0	0	1	0	2	0	0	4	4	0	0	1	0	0	0	13	14	0	0	3	10	0	1	45	0	0	1	2	6	0	0	1	2	0	0	1	3	0	7	139	131	17	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	3	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
