Sample	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
ITS_Zotu380	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	65	0	0	0	2	0	8	0	1	0	0	0	1	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	3	3	0	3	5	1	0	0	21	0	0	0	55	0	0	1	1	0	0	0	0	0	0	0	0	0
ITS_Zotu449	2	0	0	0	4	0	0	0	0	0	2	0	0	0	2	2	4	0	15	0	1	0	0	0	4	0	1	0	0	0	1	0	0	0	2	2	12	0	4	0	0	0	1	0	75	15	3	0	0	0	0	0	0	14	0	37	0	7	7	1	15	1	12	0	9	5	0	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	4	0	0	0	0	0
ITS_Zotu1109	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	20	2	1	6	8	0	10	1	0	0	11	11	0	1	19	2	1	0	2	3	10	0	1	2	0	2	38	1	0	0	15	3	0	0	5	1	0	0	0	1	0	0	0	0	0	0	3
ITS_Zotu540	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	4	2	0	0	0	0	0	0	1	1	0	0	3	10	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	1	0	8	1	0	1	0	0	2	1	0	0	3	0	3	0	1	0	2	2	2	0	14	0	51	1	2	1	21	0	0	1	84	1	1	1	1	0	0	0	0	0	1	0	2	0
ITS_Zotu378	0	0	1	0	0	0	3	0	0	0	0	0	0	1	6	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	2	0	0	2	0	0	0	2	0	0	4	6	0	0	0	1	1	0	0	0	0	0	0	5	0	0	0	2	37	0	0	49	18	0	3	4	8	0	0
ITS_Zotu418	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	3	4	0	0	0	0	0	0	0	0	0	4	0	0	11	2	0	0	2	0	0	0	3	0	2	0	0	0	0	0	4	1	0	0	20	1	47	0	0	3	23	0	0	26	57	12	1	0	1	0	0	0	0	0	1	0	4	0
ITS_Zotu313	0	0	0	0	0	1	0	0	0	2	0	1	0	7	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	7	1	0	0	0	0	0	0	0	100	0	0	2	3	0	0	8	7	0	0	0	7	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu2721	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	26	0	0	22	0	0	0	5	9	0	0	9	2	0	0	5	6	0	0	0	3	0	0	13	11	0	2	28	1	0	5	14	1	0	0	0	0	0	0	0	1	0	0	1
ITS_Zotu1614	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	2	0	0	1	4	0	0	8	0	0	1	0	2	0	0	4	1	0	0	5	2	0	0	104	80	1	0	1	0	0	6	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ITS_Zotu342	1	0	0	0	61	0	0	0	0	0	0	0	23	0	0	1	5	0	1	0	24	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	2	0	1	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	4	1	7	0	1	2	2	0	0	0	1	0	4	0	2	0	0	0	0	0	1	0	0	0	1	0
