Sample	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
arco_Zotu344	29	0	9	0	28	0	2	0	0	0	0	0	2	0	0	0	3	0	0	0	10	0	0	0	0	5	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	4	0	0	0	3	0	0	0	0	0	2	0	0	10	5	0	0	3	1	0	0	0	0	0	0	0	0	0	2	3	0	0	56	0	0	0	11	5	0	0	1	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0
arco_Zotu322	5	0	0	0	2	0	1	0	23	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	16	0	0	0	20	1	0	0	0	3	0	0	1	0	1	0	89	0	0	0	7	0	0	0	1	1	0	0	0	0	2	0	0	6	6	0	1	0	5	0	0	0	0	0	0	0	0	5	0	1	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0
arco_Zotu349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	8	0	0	0	154	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
arco_Zotu338	69	0	1	0	3	0	5	0	5	1	0	0	2	0	0	0	4	0	0	0	2	0	0	0	1	0	0	0	12	4	0	0	1	0	0	0	0	0	0	0	0	0	6	0	8	0	0	0	0	0	0	0	3	0	0	0	0	0	8	0	0	5	5	0	0	6	0	0	1	1	0	0	0	0	0	0	0	6	0	0	13	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0
arco_Zotu383	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	4	22	3	1	5	7	2	1	10	4	1	0	3	1	0	1	7	9	3	5	13	15	1	0	18	21	1	0	0	1	0	1	1	0	0	0	0	0	0
arco_Zotu363	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	2	0	3	2	0	0	0	0	0	0	0	0	1	0	5	0	0	0	18	0	3	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	14	0	0	0	0	0	0	8	0	0	1	0	4	0	1	1	1	5	1	0	3	2	18	12	3	0	0	1	22	0	0	0	32	0	0	0	4
arco_Zotu332	0	0	0	0	0	0	0	0	1	0	0	7	1	0	0	0	1	0	0	0	3	0	1	0	0	0	0	58	0	0	2	0	0	0	14	0	0	2	5	4	0	0	1	0	1	18	4	0	0	1	0	0	2	1	0	86	4	1	2	0	3	3	1	0	3	0	0	0	16	7	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	6	0	0	1	2	0	0	0	0	0	1	0	18	0	2	0	16	0	0	0	0	0
arco_Zotu321	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	7	0	0	0	202	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arco_Zotu1283	0	0	0	2	0	3	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	1	1	1	0	1	0	0	0	1	3	0	1	0	2	0	1	0	4	0	0	0	2	0	0	0	0	2	0	0	16	0	0	9	1	5	0	5	6	0	0	8	1	2	0	2	1	1	0	3	1	3	1	41	7	5	0	14	4	9	1	18	1	0	0	0	2	1	0	0	0	0	0	6
arco_Zotu2523	0	1	1	1	0	0	7	0	5	0	0	0	1	0	5	14	0	0	0	11	0	1	0	0	1	0	0	0	0	1	2	0	0	0	2	0	1	0	0	0	0	0	1	0	2	2	0	0	3	3	1	2	2	4	0	3	0	0	2	1	0	0	2	6	0	9	0	1	1	0	0	8	1	0	0	2	0	0	0	0	2	3	3	41	0	0	0	11	0	2	0	4	1	1	0	3	0	2	0	3	2	2	0	1	3	0	0
