Sample	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKSha1Feb	SKSha2Feb	SKSha3Feb	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3May	SKSha3Nov	HKSta1Aug	HKSta2Aug
ASV1	125	297	10892	10746	312	105	10893	5972	86	99	7068	6457	422	7469	4590	37	9600	10568	97	50	11830	11517	19	12	8507	9962	59	18	7620	506	159	56	13153	10849	355	0	3730	6248	1076	40	7174	8102	1195	112	3526	5084	456	28	4222	2419	821	65	264	6890	247	52	459	4407	411	40	8360	8309	470	1699	8657	659	0	8844	2943	0	0	0	10682	859	16459	3984	8607	175	15462	7789	7995	239	14516	5793	9561	490	13556	7989	9612	622	11081	4831	8350	68	11507	6098	11958	15942	12081	11397	13576	8465	11119	14988	10727	0	0
ASV10	606	226	165	10	440	267	154	78	572	174	280	19	473	252	23	591	157	94	537	438	151	108	335	506	424	48	359	610	381	0	258	667	110	24	387	1263	790	144	316	1182	669	79	411	2335	808	62	345	1421	691	218	320	1596	910	147	373	1563	1091	205	376	1139	600	195	330	1126	150	285	1013	650	169	218	199	194	58	565	66	170	43	390	81	104	98	299	161	96	39	894	314	109	30	1541	461	191	26	1181	388	156	181	400	83	176	346	87	190	297	126	480	478
ASV100	0	9	0	4	15	27	0	0	10	12	0	0	30	0	0	37	0	2	23	29	0	0	0	34	0	0	8	28	0	0	0	0	0	0	28	67	0	18	44	59	0	0	36	0	0	8	30	38	0	47	29	35	0	38	52	34	0	32	53	22	0	11	36	0	8	30	55	0	0	0	0	0	99	0	0	0	206	0	0	0	152	0	0	0	128	0	0	6	135	0	0	0	285	0	0	11	50	0	2	41	0	0	32	0	6	0	0
ASV101	21	2	19	5	29	0	16	13	15	5	29	9	8	30	6	11	19	25	18	0	14	8	10	9	12	11	27	24	26	0	20	22	25	4	10	49	23	70	34	54	15	55	33	29	18	111	25	85	17	96	47	109	15	99	50	111	30	128	119	60	53	55	118	110	55	43	33	47	40	21	23	36	10	27	2	26	9	28	4	12	3	25	6	0	5	51	4	30	3	40	16	8	6	29	11	22	7	7	13	13	3	17	6	1	24	16	19
ASV102	51	12	14	51	63	13	24	92	31	9	67	112	6	15	60	4	16	56	50	0	12	33	84	4	43	26	64	3	50	0	83	15	26	62	21	0	16	44	42	0	4	59	28	14	7	56	24	1	8	39	30	3	2	46	62	0	6	44	35	2	12	22	53	7	26	16	0	5	14	0	8	0	10	37	1	75	10	40	8	57	9	22	6	62	6	19	7	35	9	52	22	66	10	59	10	55	6	0	26	10	1	47	8	1	47	22	124
ASV103	0	93	43	1	11	22	28	39	0	84	95	0	46	62	6	43	29	1	0	16	26	5	0	49	36	0	18	52	21	0	35	19	14	0	10	0	87	12	0	9	72	0	0	0	117	26	0	7	126	24	26	7	45	0	0	7	200	18	32	12	67	0	28	80	0	57	4	27	16	6	0	7	0	25	7	20	0	64	12	5	0	127	9	0	0	21	20	0	0	23	35	0	0	13	31	0	0	5	0	0	8	0	0	18	0	0	0
ASV104	61	19	0	0	35	8	0	7	28	20	14	8	34	25	19	34	0	13	55	17	0	6	0	47	26	0	45	63	20	0	29	79	11	8	28	36	48	11	49	47	33	10	34	27	45	15	23	94	79	12	56	79	51	0	0	80	109	10	0	102	46	14	0	184	9	0	0	0	22	59	118	103	13	33	0	0	20	11	7	0	0	0	6	0	5	35	0	3	3	19	0	0	0	0	0	0	0	13	6	0	36	8	26	25	8	62	213
ASV105	132	0	0	0	182	0	0	0	87	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	521	0	0	0	296	0	0	0	571	0	0	0	296	0	0	0	115	0	0	0	240	0	0	0	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	28	0	0	0	0	0	0	0	10	0	0	3	12	0	0	0	41	0	0	0	0	0	7	0	0	0	25	0	11	35	65
ASV106	20	13	45	56	24	36	50	17	31	7	55	23	12	43	113	7	62	28	34	3	46	28	58	0	31	16	63	4	58	0	62	0	34	21	18	0	19	25	35	0	22	30	17	0	14	54	21	0	17	27	24	0	23	29	25	0	29	25	43	0	28	11	31	32	25	82	0	15	0	8	0	15	9	19	7	63	7	37	24	37	13	22	11	60	4	30	16	30	13	33	32	54	17	33	29	41	9	5	6	14	11	26	17	9	14	41	28
ASV107	168	5	11	21	128	12	1	25	168	4	0	33	1	11	3	7	7	31	105	0	7	26	180	0	16	26	148	3	11	0	128	0	5	35	71	0	11	24	58	8	7	17	69	16	17	13	50	0	7	29	82	0	0	14	92	0	2	21	49	0	7	7	28	1	9	11	0	2	3	5	8	0	20	12	1	24	22	32	6	20	16	49	3	32	12	67	21	27	14	52	23	41	3	55	13	25	21	4	28	7	5	26	21	2	24	108	129
