afterCorrection	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
protist_Zotu50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2458.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protist_Zotu668	36.66666667	0	0	0	30	0	0	0	73.33333333	0	0	0	1.666666667	0	0	0	296.6666667	0	0	0	15	0	0	0	355	0	1.666666667	0	0	0	0	0	3.333333333	0	23.33333333	0	111.6666667	8.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.33333333	0	0	0	0	0	0	0	1.666666667	0	0	0	0	0	0	1.666666667	0	0	0	0	0	0	0	1.666666667	0	0	0	1.666666667	0	0	0	451.6666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.666666667	0	0	0	0	0
protist_Zotu597	16.66666667	0	0	8.333333333	5	0	1.666666667	1.666666667	10	0	1.666666667	11.66666667	25	0	1.666666667	1.666666667	6.666666667	0	1.666666667	26.66666667	11.66666667	1.666666667	5	3.333333333	35	0	0	108.3333333	6.666666667	0	6.666666667	0	13.33333333	0	6.666666667	31.66666667	1.666666667	0	0	1.666666667	13.33333333	0	1.666666667	11.66666667	21.66666667	0	10	10	10	0	10	5	43.33333333	0	0	13.33333333	1.666666667	0	0	0	11.66666667	0	3.333333333	63.33333333	0	0	16.66666667	3.333333333	0	1.666666667	0	0	1.666666667	1.666666667	11.66666667	0	0	23.33333333	16.66666667	0	0	15	10	0	0	6.666666667	28.33333333	5	0	11.66666667	16.66666667	3.333333333	0	1.666666667	10	0	0	26.66666667	3.333333333	0	0	25	1.666666667	0	0	166.6666667	3.333333333
protist_Zotu533	1.666666667	10	3.333333333	0	0	1.666666667	0	0	0	0	0	0	0	1.666666667	0	0	3.333333333	0	1.666666667	0	0	1.666666667	0	0	0	0	0	0	8.333333333	3.333333333	0	0	5	3.333333333	0	0	3.333333333	1.666666667	0	0	0	3.333333333	0	0	1.666666667	1.666666667	3.333333333	0	0	625	0	0	8.333333333	15	0	0	1.666666667	3.333333333	1.666666667	0	5	1.666666667	0	0	0	0	0	1.666666667	10	1.666666667	0	3.333333333	5	1.666666667	1.666666667	3.333333333	1.666666667	3.333333333	0	0	5	5	3.333333333	6.666666667	0	1.666666667	3.333333333	1.666666667	0	5	0	0	0	3.333333333	1.666666667	6.666666667	1.666666667	1.666666667	13.33333333	0	1.666666667	0	6.666666667	5	0	1.666666667	0
protist_Zotu446	3.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.666666667	0	0	0	1.666666667	5	0	0	138.3333333	0	0	0	0	0	0	0	0	0	0	0	1.666666667	0	1.666666667	1.666666667	0	0	0	0	13.33333333	0	1.666666667	0	0	0	0	0	1.666666667	0	0	0	0	0	0	0	0	0	0	0	0	1.666666667	0	8.333333333	0	0	0	0	71.66666667	0	0	0	68.33333333	0	0	0	21.66666667	0	0	0	8.333333333	0	0	0	0	0	0	0	0	0	0	0	110	0	0	1.666666667	71.66666667	0	0	0	328.3333333	0	0	13.33333333
protist_Zotu532	0	0	0	0	0	0	0	0	0	0	0	1.666666667	0	0	0	3.333333333	0	0	0	11.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.666666667	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	1.666666667	0	0	0	0	0	0	0	0	0	0	0	346.6666667	0	0	0	236.6666667	0	0	0	490	0	0	0
protist_Zotu527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.666666667	1.666666667	0	0	0	0	0	0	0	0	0	0	1.666666667	0	0	0	0	0	0	0	1.666666667	0	0	1.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.666666667	1.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.666666667	1.666666667	0	0	0	0	0	0	0	0	0	1.666666667	6.666666667	0	0	0	0	30	0	0	0	3.333333333	0	0	0	175
protist_Zotu643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.666666667	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	11.66666667	0	0	0	0	0	0	0	0	1.666666667	0	0	0	5	0	0	8.333333333	0	0	0	16.66666667	1.666666667	0	0	0	3.333333333	0	0	1.666666667	0	0	0	3.333333333	0	0	0	0	0	0	98.33333333	0	0	0	76.66666667	0	0	0	160	1.666666667	8.333333333	0	245	3.333333333	1.666666667	0	170	0	6.666666667	0	193.3333333	0	0	0	0	0	0	0	5	0	0	0	0
protist_Zotu819	1.666666667	35	0	0	0	11.66666667	5	0	0	36.66666667	1.666666667	1.666666667	0	53.33333333	0	0	0	21.66666667	0	0	6.666666667	18.33333333	0	0	5	65	0	0	1.666666667	46.66666667	0	0	1.666666667	30	0	0	1.666666667	11.66666667	0	0	0	10	0	0	0	15	0	0	0	110	0	0	0	71.66666667	0	0	0	25	0	0	0	0	0	0	0	0	1.666666667	0	1.666666667	0	0	0	0	0	0	0	3.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.666666667	1.666666667	0	0	0	0	0	0	0	0	0
protist_Zotu336	508.3333333	0	0	0	115	0	13.33333333	0	123.3333333	0	10	0	166.6666667	0	0	0	90	0	0	5	113.3333333	1.666666667	0	0	146.6666667	0	3.333333333	0	90	0	3.333333333	0	125	0	0	0	68.33333333	1.666666667	1.666666667	5	100	1.666666667	3.333333333	0	90	0	0	0	26.66666667	0	3.333333333	1.666666667	30	11.66666667	3.333333333	0	41.66666667	0	8.333333333	10	108.3333333	0	5	0	306.6666667	0	0	88.33333333	0	3.333333333	0	0	0	0	10	0	0	5	15	0	0	5	10	5	0	1.666666667	1.666666667	6.666666667	0	1.666666667	5	0	0	0	1.666666667	0	0	6.666666667	1.666666667	0	0	10	0	0	0	0	0
