NoCorrection	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
protist_Zotu50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protist_Zotu668	22	0	0	0	18	0	0	0	44	0	0	0	1	0	0	0	178	0	0	0	9	0	0	0	213	0	1	0	0	0	0	0	2	0	14	0	67	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
protist_Zotu597	10	0	0	5	3	0	1	1	6	0	1	7	15	0	1	1	4	0	1	16	7	1	3	2	21	0	0	65	4	0	4	0	8	0	4	19	1	0	0	1	8	0	1	7	13	0	6	6	6	0	6	3	26	0	0	8	1	0	0	0	7	0	2	38	0	0	10	2	0	1	0	0	1	1	7	0	0	14	10	0	0	9	6	0	0	4	17	3	0	7	10	2	0	1	6	0	0	16	2	0	0	15	1	0	0	100	2
protist_Zotu533	1	6	2	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	5	2	0	0	3	2	0	0	2	1	0	0	0	2	0	0	1	1	2	0	0	375	0	0	5	9	0	0	1	2	1	0	3	1	0	0	0	0	0	1	6	1	0	2	3	1	1	2	1	2	0	0	3	3	2	4	0	1	2	1	0	3	0	0	0	2	1	4	1	1	8	0	1	0	4	3	0	1	0
protist_Zotu446	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	3	0	0	83	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	8	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	43	0	0	0	41	0	0	0	13	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	66	0	0	1	43	0	0	0	197	0	0	8
protist_Zotu532	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	142	0	0	0	294	0	0	0
protist_Zotu527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	18	0	0	0	2	0	0	0	105
protist_Zotu643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	5	0	0	0	10	1	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	59	0	0	0	46	0	0	0	96	1	5	0	147	2	1	0	102	0	4	0	116	0	0	0	0	0	0	0	3	0	0	0	0
protist_Zotu819	1	21	0	0	0	7	3	0	0	22	1	1	0	32	0	0	0	13	0	0	4	11	0	0	3	39	0	0	1	28	0	0	1	18	0	0	1	7	0	0	0	6	0	0	0	9	0	0	0	66	0	0	0	43	0	0	0	15	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
protist_Zotu336	305	0	0	0	69	0	8	0	74	0	6	0	100	0	0	0	54	0	0	3	68	1	0	0	88	0	2	0	54	0	2	0	75	0	0	0	41	1	1	3	60	1	2	0	54	0	0	0	16	0	2	1	18	7	2	0	25	0	5	6	65	0	3	0	184	0	0	53	0	2	0	0	0	0	6	0	0	3	9	0	0	3	6	3	0	1	1	4	0	1	3	0	0	0	1	0	0	4	1	0	0	6	0	0	0	0	0
