Sample	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
arco_Zotu1	12268	4302	4923	4144	12873	1755	2874	7717	8446	1296	1570	2925	6584	227	9154	1620	8032	769	5409	932	10900	1004	7891	3718	5651	572	5052	2897	3979	543	8197	0	2549	269	8823	1963	5009	189	8750	230	5534	280	11178	759	8758	986	7987	429	8853	659	11204	6264	5188	2197	3819	8802	3183	1216	14354	6796	6011	282	9781	2382	3264	12307	163	2262	472	11062	58	8822	884	14756	913	12862	1524	13361	458	11782	417	12807	1492	4590	481	10903	565	2509	1582	9721	844	1025	805	10038	1435	9711	2478	10142	101	5965	3722	8682	5	2460	4672	8944	594
arco_Zotu10	48	2	0	3	8	0	2	0	83	0	0	0	16	0	0	290	34	40	0	2	4	148	0	16	34	0	1	3	25	2	0	0	19	0	0	4	28	4	36	0	5	0	60	5	41	0	63	0	15	0	259	527	7	1	7	2	38	0	347	3847	119	8	28	0	28	78	0	19	69	25	0	16	3	4	0	1	2	39	2	1	4	8	24	2	1	25	3	12	4	18	0	0	5	30	0	0	0	22	0	118	29	12	0	25	0	29	44
arco_Zotu100	0	0	7	0	34	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	5	0	0	0	17	0	0	0	7	0	1	0	5	0	0	0	0	0	193	0	0	4	88	0	1	0	144	0	29	0	5	0	0	0	2	0	36	0	7	0	68	0	419	0	19	34	0	0	0	587	0	0	1	3	0	0	0	2	0	0	0	100	0	0	0	31	0	0	0	38	0	0	0	1	0	0	0	4	0	0	0	23	0	0	1	4	0
arco_Zotu101	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	5	1	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	56	0	0	37	0	0	0	172	101	0	0	60	3	0	0	37	2	0	1	6	2	0	0	819	6	0	0	39	53	0	0	56	9	0	0	11	6	0	0	80	0	0	0	90
arco_Zotu102	1	2	13	2	0	3	1	1	0	5	6	0	1	12	0	8	0	0	0	4	0	2	0	0	5	127	10	0	9	26	4	0	16	58	1	3	1	5	0	1	1	2	0	0	5	1	0	0	5	7	0	1	9	30	0	0	0	298	0	0	3	19	0	115	4	1	450	1	2	0	85	1	0	0	25	10	79	1	32	3	1	2	12	6	2	1	26	56	2	4	54	17	0	0	47	0	4	1	35	4	0	0	2	0	0	0	3
arco_Zotu104	0	5	8	10	0	6	2	17	0	3	51	2	1	303	3	3	0	7	2	1	1	4	0	2	6	74	18	3	10	36	14	0	14	545	16	3	10	18	0	0	0	16	1	1	2	32	0	0	1	33	0	5	3	20	0	0	1	236	0	0	2	17	0	210	3	0	193	0	6	0	59	9	1	0	37	15	55	1	58	25	6	1	17	2	10	2	124	33	7	2	264	7	5	2	370	2	47	0	15	14	3	0	1	0	2	2	11
arco_Zotu1046	0	0	0	0	1	0	3	0	2	4	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3	16	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	2	2	0	0	2	2	0	0	46	1	0	5	15	1	0	8	3	0	3	1	14	0	7	5	15	1	8	0	34	2	1	0	15	4	2	1	4	5	6	0	7	1	3	3	0	1	0	6	0	0	0	0	0	5	1
arco_Zotu105	1	32	0	22	2	1	0	0	0	0	0	0	6	0	0	38	1	0	0	29	0	0	0	1	0	0	0	0	1	0	0	0	3	0	3	28	2	0	0	7	0	0	3	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	7	0	1	0	0	0	8	1	0	2	0	6	0	7	0	2	0	1	0	39	0	1	0	37	4	1	0	63	2	0	0	170	0	0	0	65	0	0	0	11	5	0	2	0	0	393	0	2	85
arco_Zotu106	0	0	9	2	2	0	2	23	0	1	0	5	2	0	3	3	0	2	2	13	2	2	2	13	36	0	1	74	396	5	7	0	39	0	0	10	23	1	1	3	11	4	7	0	12	0	2	0	5	0	2	0	10	1	0	0	3	0	0	0	56	1	0	21	2	0	5	1	6	3	114	13	4	0	26	2	3	0	79	50	12	0	39	5	6	15	48	2	1	3	4	52	0	6	11	9	3	0	16	31	64	10	148	1	66	34	72
arco_Zotu107	0	0	1	1	0	0	0	0	3	0	0	3	2	0	0	0	0	0	0	39	0	4	0	0	0	0	0	2	0	0	1	0	6	0	0	0	0	0	0	29	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	1	1	6	0	0	0	775	4	0	0	5	1	0	0	13	0	0	1	28	2	8	0	17	1	0	0	4	303	0	0	7	2	1	19	17	11	2	0	590	0	44	0	65
