s	Shannon	Simpson	Richness	Chao1	Ace	pielou	Goods_coverage	Region	Site	Season	Site2	Month	Category
HKBea1Aug01prok_corrected	4.338513932	0.972313675	230	231.8	232.9929289	0.552994638	0.999904662	HK	Bea1	Aug	Bea	8	01prok_corrected
HKBea1Feb01prok_corrected	3.574742334	0.928988815	229	239.7142857	241.6697274	0.456008343	0.999726069	HK	Bea1	Feb	Bea	2	01prok_corrected
HKBea1May01prok_corrected	2.565172177	0.687832517	190	193.9	194.9201777	0.338866725	1	HK	Bea1	May	Bea	5	01prok_corrected
HKBea1Nov01prok_corrected	2.571409138	0.684140104	185	220.0625	210.0425065	0.341425959	0.999462859	HK	Bea1	Nov	Bea	11	01prok_corrected
HKBea2Aug01prok_corrected	4.49245887	0.978082851	282	290.7241379	292.0638931	0.551929544	0.999806952	HK	Bea2	Aug	Bea	8	01prok_corrected
HKBea2Feb01prok_corrected	3.29214524	0.865822329	218	234.9166667	234.6614677	0.423798548	0.999509563	HK	Bea2	Feb	Bea	2	01prok_corrected
HKBea2May01prok_corrected	2.563822974	0.689892764	195	204	201.8807945	0.337020067	0.999790307	HK	Bea2	May	Bea	5	01prok_corrected
HKBea2Nov01prok_corrected	3.543507528	0.897271196	206	211.2173913	213.2462373	0.461004005	0.999700272	HK	Bea2	Nov	Bea	11	01prok_corrected
HKBea3Aug01prok_corrected	4.242902419	0.966200476	265	275	274.3554056	0.52707854	0.999808854	HK	Bea3	Aug	Bea	8	01prok_corrected
HKBea3Feb01prok_corrected	3.457999748	0.90875313	217	224.5555556	223.9852463	0.445529462	0.999816326	HK	Bea3	Feb	Bea	2	01prok_corrected
HKBea3May01prok_corrected	3.294064572	0.861615166	201	205.5882353	205.9193926	0.430537487	0.999898518	HK	Bea3	May	Bea	5	01prok_corrected
HKBea3Nov01prok_corrected	3.746250542	0.903897745	252	281	266.3823351	0.469615029	0.999812988	HK	Bea3	Nov	Bea	11	01prok_corrected
HKSta1Feb01prok_corrected	3.759881822	0.941042349	198	204.1764706	204.5431616	0.492817679	0.999568877	HK	Sta1	Feb	Sta	2	01prok_corrected
HKSta1May01prok_corrected	3.286954184	0.858441866	186	188.8125	189.935765	0.435984208	1	HK	Sta1	May	Sta	5	01prok_corrected
HKSta1Nov01prok_corrected	3.577212608	0.914599547	165	188.0769231	185.3334913	0.485617178	0.999764182	HK	Sta1	Nov	Sta	11	01prok_corrected
HKSta2Feb01prok_corrected	3.548710621	0.939020765	212	222.483871	225.7169535	0.459206412	0.999714739	HK	Sta2	Feb	Sta	2	01prok_corrected
HKSta2May01prok_corrected	2.820149162	0.76304329	205	213.6363636	213.4023342	0.367231782	0.999897105	HK	Sta2	May	Sta	5	01prok_corrected
HKSta2Nov01prok_corrected	2.84088748	0.722200508	255	274.3448276	274.0091141	0.355361757	0.999692942	HK	Sta2	Nov	Sta	11	01prok_corrected
HKSta3Aug01prok_corrected	4.37634659	0.971194078	254	261	259.191428	0.547818166	0.999514459	HK	Sta3	Aug	Sta	8	01prok_corrected
HKSta3Feb01prok_corrected	3.355533791	0.914047027	185	193	192.7993694	0.445540278	0.999621783	HK	Sta3	Feb	Sta	2	01prok_corrected
HKSta3May01prok_corrected	2.315249207	0.635595858	196	213.6470588	207.3114146	0.304049564	0.999895129	HK	Sta3	May	Sta	5	01prok_corrected
HKSta3Nov01prok_corrected	2.614511285	0.671463145	223	236.1428571	233.8934959	0.335155087	0.999692622	HK	Sta3	Nov	Sta	11	01prok_corrected
HKSW1Aug01prok_corrected	4.44060648	0.976661355	248	255.5833333	253.4158363	0.558272176	0.9999092	HK	SW1	Aug	SW	8	01prok_corrected
HKSW1Feb01prok_corrected	3.605053541	0.945509415	174	177.0555556	178.083405	0.48435858	0.999717118	HK	SW1	Feb	SW	2	01prok_corrected
HKSW1May01prok_corrected	2.978117934	0.811503432	183	185.1176471	186.3734848	0.39625291	0.999796941	HK	SW1	May	SW	5	01prok_corrected
HKSW1Nov01prok_corrected	2.922940739	0.761073293	220	230	228.0424532	0.375633674	0.999800228	HK	SW1	Nov	SW	11	01prok_corrected
HKSW2Aug01prok_corrected	4.546309003	0.979451712	292	300.8846154	301.6997951	0.555116776	0.999634389	HK	SW2	Aug	SW	8	01prok_corrected
HKSW2Feb01prok_corrected	3.617042619	0.948440439	214	227	228.6244075	0.467229612	0.999531331	HK	SW2	Feb	SW	2	01prok_corrected
HKSW2May01prok_corrected	3.29268043	0.850866851	207	211.55	212.8907956	0.427982844	0.999697999	HK	SW2	May	SW	5	01prok_corrected
HKSW2Nov01prok_corrected	2.243069458	0.784800004	66	71.25	69.56888954	0.37109914	1	HK	SW2	Nov	SW	11	01prok_corrected
HKSW3Aug01prok_corrected	4.545267941	0.978145383	293	301.2608696	301.4121001	0.55465562	0.999562855	HK	SW3	Aug	SW	8	01prok_corrected
HKSW3Feb01prok_corrected	3.91937547	0.96634386	174	177	177.3100055	0.526589443	0.999900044	HK	SW3	Feb	SW	2	01prok_corrected
HKSW3May01prok_corrected	1.873292864	0.531651355	180	191.04	192.0452923	0.250043993	0.999892992	HK	SW3	May	SW	5	01prok_corrected
HKSW3Nov01prok_corrected	2.721726131	0.694850125	224	232.0526316	230.5372906	0.348610529	0.99968598	HK	SW3	Nov	SW	11	01prok_corrected
LTCC1Aug01prok_corrected	4.375209813	0.977026826	241	243.25	244.4400394	0.552921901	0.999809416	LT	CC1	Aug	CC	8	01prok_corrected
LTCC1Feb01prok_corrected	3.277087098	0.931697574	143	154.4	153.9473243	0.457701954	0.999626698	LT	CC1	Feb	CC	2	01prok_corrected
LTCC1May01prok_corrected	3.217987789	0.906421332	207	209.84375	212.3075071	0.418274289	0.99971266	LT	CC1	May	CC	5	01prok_corrected
LTCC1Nov01prok_corrected	3.587302365	0.892621412	249	261.5	261.6268844	0.450666017	0.999392053	LT	CC1	Nov	CC	11	01prok_corrected
LTCC2Aug01prok_corrected	4.079971218	0.948069122	263	265.4	265.6167407	0.507527346	0.999804577	LT	CC2	Aug	CC	8	01prok_corrected
LTCC2Feb01prok_corrected	3.472838267	0.941649116	164	173.5625	172.6111536	0.47201002	0.999718749	LT	CC2	Feb	CC	2	01prok_corrected
LTCC2May01prok_corrected	2.796278955	0.844035476	177	193.6666667	190.4449523	0.374454561	0.999512077	LT	CC2	May	CC	5	01prok_corrected
LTCC2Nov01prok_corrected	3.280245055	0.828000475	229	233.0384615	235.3887959	0.4184411	0.999587355	LT	CC2	Nov	CC	11	01prok_corrected
LTCC3Aug01prok_corrected	4.104564516	0.956622638	250	253.6666667	253.4983968	0.515274375	0.999804856	LT	CC3	Aug	CC	8	01prok_corrected
LTCC3Feb01prok_corrected	3.244929129	0.929046103	131	132.5	132.9748559	0.461358449	0.999914216	LT	CC3	Feb	CC	2	01prok_corrected
LTCC3May01prok_corrected	3.159361308	0.90788249	184	191.2857143	191.94025	0.419928928	0.999625233	LT	CC3	May	CC	5	01prok_corrected
LTCC3Nov01prok_corrected	3.808889797	0.919031093	234	239.25	240.0231036	0.483953404	0.999684032	LT	CC3	Nov	CC	11	01prok_corrected
LTCMW1Aug01prok_corrected	3.833213111	0.93721032	191	192.875	192.6443141	0.505872532	0.99990155	LT	CMW1	Aug	CMW	8	01prok_corrected
LTCMW1Feb01prok_corrected	3.322794494	0.920078061	164	167.9565217	170.3615511	0.451616855	0.999905667	LT	CMW1	Feb	CMW	2	01prok_corrected
