id	PhylumID	SampleID	Abundance
1	Bacteroidota	HKBea1Aug	0.462163376572015
2	Cyanobacteria	HKBea1Aug	0.00703751640151588
3	Proteobacteria	HKBea1Aug	0.305219514684617
4	Thermoplasmatota	HKBea1Aug	0.0468292814327867
5	Actinobacteriota	HKBea1Aug	0.0112718334396424
6	Planctomycetota	HKBea1Aug	0.0640098675344484
7	Verrucomicrobiota	HKBea1Aug	0.030369762238056
8	SAR324_clade(Marine_group_B)	HKBea1Aug	0.018590824838601
9	Crenarchaeota	HKBea1Aug	0.0130612461686581
10	Marinimicrobia_(SAR406_clade)	HKBea1Aug	0.000762700506199015
11	others	HKBea1Aug	0.0406840761834611
12	Bacteroidota	HKBea1Feb	0.535533657181858
13	Cyanobacteria	HKBea1Feb	0.0133117776773662
14	Proteobacteria	HKBea1Feb	0.13455540292995
15	Thermoplasmatota	HKBea1Feb	0.27947331743946
16	Actinobacteriota	HKBea1Feb	0.0127553643030996
17	Planctomycetota	HKBea1Feb	0.00632341888204881
18	Verrucomicrobiota	HKBea1Feb	0.00637122879440697
19	SAR324_clade(Marine_group_B)	HKBea1Feb	0.00109572512729844
20	Crenarchaeota	HKBea1Feb	0.00456552136374348
21	Marinimicrobia_(SAR406_clade)	HKBea1Feb	0.00346979623644505
22	others	HKBea1Feb	0.00254479006432429
23	Bacteroidota	HKBea1May	0.130647457952077
24	Cyanobacteria	HKBea1May	0.561767104549439
25	Proteobacteria	HKBea1May	0.148160889528519
26	Thermoplasmatota	HKBea1May	0.0707301099198197
27	Actinobacteriota	HKBea1May	0.0564526321673191
28	Planctomycetota	HKBea1May	0.0110967818060228
29	Verrucomicrobiota	HKBea1May	0.00417171865672429
30	SAR324_clade(Marine_group_B)	HKBea1May	0.00731288947129553
31	Crenarchaeota	HKBea1May	0.000736802434696024
32	Marinimicrobia_(SAR406_clade)	HKBea1May	0.00357875468280926
33	others	HKBea1May	0.005344858831278
34	Bacteroidota	HKBea1Nov	0.0548817525030027
35	Cyanobacteria	HKBea1Nov	0.596791043474537
36	Proteobacteria	HKBea1Nov	0.136507356412116
37	Thermoplasmatota	HKBea1Nov	0.0556537811680251
38	Actinobacteriota	HKBea1Nov	0.0212475532338145
39	Planctomycetota	HKBea1Nov	0.045768784604026
40	Verrucomicrobiota	HKBea1Nov	0.0130012007360604
41	SAR324_clade(Marine_group_B)	HKBea1Nov	0.0476674315921077
42	Crenarchaeota	HKBea1Nov	0.00655312082758703
43	Marinimicrobia_(SAR406_clade)	HKBea1Nov	0.00913139787450652
44	others	HKBea1Nov	0.0127965775742165
45	Bacteroidota	HKBea2Aug	0.399208760183153
46	Cyanobacteria	HKBea2Aug	0.0199426396261278
47	Proteobacteria	HKBea2Aug	0.284969712146199
48	Thermoplasmatota	HKBea2Aug	0.0777956175891547
49	Actinobacteriota	HKBea2Aug	0.00915754801194995
50	Planctomycetota	HKBea2Aug	0.0844700766251512
51	Verrucomicrobiota	HKBea2Aug	0.0281321005618775
52	SAR324_clade(Marine_group_B)	HKBea2Aug	0.0243240338717308
53	Crenarchaeota	HKBea2Aug	0.0177604056841209
54	Marinimicrobia_(SAR406_clade)	HKBea2Aug	0.000675667607548079
55	others	HKBea2Aug	0.053563438092987
56	Bacteroidota	HKBea2Feb	0.747953284085087
57	Cyanobacteria	HKBea2Feb	0.00550360855183808
58	Proteobacteria	HKBea2Feb	0.0955001116228015
59	Thermoplasmatota	HKBea2Feb	0.0824506007219682
60	Actinobacteriota	HKBea2Feb	0.0174465381744322
61	Planctomycetota	HKBea2Feb	0.0319928275276654
62	Verrucomicrobiota	HKBea2Feb	0.00640204804431221
63	SAR324_clade(Marine_group_B)	HKBea2Feb	0.000588524164986331
64	Crenarchaeota	HKBea2Feb	0.00264835874243849
65	Marinimicrobia_(SAR406_clade)	HKBea2Feb	0.00205983457745216
66	others	HKBea2Feb	0.0074542637870183
67	Bacteroidota	HKBea2May	0.114011792291762
