id	PhylumID	SampleID	Abundance	Region	Site	Season	Site2	Month	Site2avgrela
16	Actinobacteriota	HKBea1Feb	0.012755364	HK	Bea1	Feb	Bea	2	0.015009833
60	Actinobacteriota	HKBea2Feb	0.017446538	HK	Bea2	Feb	Bea	2	
104	Actinobacteriota	HKBea3Feb	0.014827596	HK	Bea3	Feb	Bea	2	
12	Bacteroidota	HKBea1Feb	0.535533657	HK	Bea1	Feb	Bea	2	0.589973525
56	Bacteroidota	HKBea2Feb	0.747953284	HK	Bea2	Feb	Bea	2	
100	Bacteroidota	HKBea3Feb	0.486433632	HK	Bea3	Feb	Bea	2	
20	Crenarchaeota	HKBea1Feb	0.004565521	HK	Bea1	Feb	Bea	2	0.003904631
64	Crenarchaeota	HKBea2Feb	0.002648359	HK	Bea2	Feb	Bea	2	
108	Crenarchaeota	HKBea3Feb	0.004500014	HK	Bea3	Feb	Bea	2	
13	Cyanobacteria	HKBea1Feb	0.013311778	HK	Bea1	Feb	Bea	2	0.007735864
57	Cyanobacteria	HKBea2Feb	0.005503609	HK	Bea2	Feb	Bea	2	
101	Cyanobacteria	HKBea3Feb	0.004392205	HK	Bea3	Feb	Bea	2	
21	Marinimicrobia_(SAR406_clade)	HKBea1Feb	0.003469796	HK	Bea1	Feb	Bea	2	0.003863625
65	Marinimicrobia_(SAR406_clade)	HKBea2Feb	0.002059835	HK	Bea2	Feb	Bea	2	
109	Marinimicrobia_(SAR406_clade)	HKBea3Feb	0.006061243	HK	Bea3	Feb	Bea	2	
22	others	HKBea1Feb	0.00254479	HK	Bea1	Feb	Bea	2	0.003953291
66	others	HKBea2Feb	0.007454264	HK	Bea2	Feb	Bea	2	
110	others	HKBea3Feb	0.001860818	HK	Bea3	Feb	Bea	2	
17	Planctomycetota	HKBea1Feb	0.006323419	HK	Bea1	Feb	Bea	2	0.016186178
61	Planctomycetota	HKBea2Feb	0.031992828	HK	Bea2	Feb	Bea	2	
105	Planctomycetota	HKBea3Feb	0.010242288	HK	Bea3	Feb	Bea	2	
14	Proteobacteria	HKBea1Feb	0.134555403	HK	Bea1	Feb	Bea	2	0.124096957
58	Proteobacteria	HKBea2Feb	0.095500112	HK	Bea2	Feb	Bea	2	
102	Proteobacteria	HKBea3Feb	0.142235356	HK	Bea3	Feb	Bea	2	
19	SAR324_clade(Marine_group_B)	HKBea1Feb	0.001095725	HK	Bea1	Feb	Bea	2	0.001234888
63	SAR324_clade(Marine_group_B)	HKBea2Feb	0.000588524	HK	Bea2	Feb	Bea	2	
107	SAR324_clade(Marine_group_B)	HKBea3Feb	0.002020414	HK	Bea3	Feb	Bea	2	
15	Thermoplasmatota	HKBea1Feb	0.279473317	HK	Bea1	Feb	Bea	2	0.226713912
59	Thermoplasmatota	HKBea2Feb	0.082450601	HK	Bea2	Feb	Bea	2	
103	Thermoplasmatota	HKBea3Feb	0.318217819	HK	Bea3	Feb	Bea	2	
18	Verrucomicrobiota	HKBea1Feb	0.006371229	HK	Bea1	Feb	Bea	2	0.007327297
62	Verrucomicrobiota	HKBea2Feb	0.006402048	HK	Bea2	Feb	Bea	2	
106	Verrucomicrobiota	HKBea3Feb	0.009208614	HK	Bea3	Feb	Bea	2	
808	Actinobacteriota	SKBlu1Feb	0.061135047	SK	Blu1	Feb	Blu	2	0.05133272
852	Actinobacteriota	SKBlu2Feb	0.050868925	SK	Blu2	Feb	Blu	2	
896	Actinobacteriota	SKBlu3Feb	0.041994189	SK	Blu3	Feb	Blu	2	
804	Bacteroidota	SKBlu1Feb	0.451435483	SK	Blu1	Feb	Blu	2	0.391122601
848	Bacteroidota	SKBlu2Feb	0.373651983	SK	Blu2	Feb	Blu	2	
892	Bacteroidota	SKBlu3Feb	0.348280338	SK	Blu3	Feb	Blu	2	
812	Crenarchaeota	SKBlu1Feb	0.001951109	SK	Blu1	Feb	Blu	2	0.006016964
856	Crenarchaeota	SKBlu2Feb	0.008242444	SK	Blu2	Feb	Blu	2	
900	Crenarchaeota	SKBlu3Feb	0.007857339	SK	Blu3	Feb	Blu	2	
805	Cyanobacteria	SKBlu1Feb	0.040483154	SK	Blu1	Feb	Blu	2	0.020116178
849	Cyanobacteria	SKBlu2Feb	0.00866538	SK	Blu2	Feb	Blu	2	
893	Cyanobacteria	SKBlu3Feb	0.0112	SK	Blu3	Feb	Blu	2	
813	Marinimicrobia_(SAR406_clade)	SKBlu1Feb	0.007511769	SK	Blu1	Feb	Blu	2	0.008828488
857	Marinimicrobia_(SAR406_clade)	SKBlu2Feb	0.009758296	SK	Blu2	Feb	Blu	2	
901	Marinimicrobia_(SAR406_clade)	SKBlu3Feb	0.009215398	SK	Blu3	Feb	Blu	2	
814	others	SKBlu1Feb	0.005270678	SK	Blu1	Feb	Blu	2	0.005632293
858	others	SKBlu2Feb	0.006532276	SK	Blu2	Feb	Blu	2	
902	others	SKBlu3Feb	0.005093924	SK	Blu3	Feb	Blu	2	
809	Planctomycetota	SKBlu1Feb	0.044780135	SK	Blu1	Feb	Blu	2	0.047169094
853	Planctomycetota	SKBlu2Feb	0.049664261	SK	Blu2	Feb	Blu	2	
897	Planctomycetota	SKBlu3Feb	0.047062885	SK	Blu3	Feb	Blu	2	
806	Proteobacteria	SKBlu1Feb	0.305677061	SK	Blu1	Feb	Blu	2	0.257736891
850	Proteobacteria	SKBlu2Feb	0.237140535	SK	Blu2	Feb	Blu	2	
894	Proteobacteria	SKBlu3Feb	0.230393078	SK	Blu3	Feb	Blu	2	
811	SAR324_clade(Marine_group_B)	SKBlu1Feb	0.003999773	SK	Blu1	Feb	Blu	2	0.002453656
855	SAR324_clade(Marine_group_B)	SKBlu2Feb	0.001421111	SK	Blu2	Feb	Blu	2	
899	SAR324_clade(Marine_group_B)	SKBlu3Feb	0.001940084	SK	Blu3	Feb	Blu	2	
807	Thermoplasmatota	SKBlu1Feb	0.066180532	SK	Blu1	Feb	Blu	2	0.199222403
851	Thermoplasmatota	SKBlu2Feb	0.244262674	SK	Blu2	Feb	Blu	2	
895	Thermoplasmatota	SKBlu3Feb	0.287224004	SK	Blu3	Feb	Blu	2	
810	Verrucomicrobiota	SKBlu1Feb	0.011575259	SK	Blu1	Feb	Blu	2	0.010368712
854	Verrucomicrobiota	SKBlu2Feb	0.009792115	SK	Blu2	Feb	Blu	2	
898	Verrucomicrobiota	SKBlu3Feb	0.009738762	SK	Blu3	Feb	Blu	2	
390	Actinobacteriota	LTCC1Feb	0.000143578	LT	CC1	Feb	CC	2	0.000846661
434	Actinobacteriota	LTCC2Feb	0.001171878	LT	CC2	Feb	CC	2	
478	Actinobacteriota	LTCC3Feb	0.001224526	LT	CC3	Feb	CC	2	
386	Bacteroidota	LTCC1Feb	0.521690024	LT	CC1	Feb	CC	2	0.579717549
430	Bacteroidota	LTCC2Feb	0.518965955	LT	CC2	Feb	CC	2	
474	Bacteroidota	LTCC3Feb	0.698496668	LT	CC3	Feb	CC	2	
394	Crenarchaeota	LTCC1Feb	0.000466628	LT	CC1	Feb	CC	2	0.000218043
438	Crenarchaeota	LTCC2Feb	0.0001875	LT	CC2	Feb	CC	2	
482	Crenarchaeota	LTCC3Feb	0	LT	CC3	Feb	CC	2	
387	Cyanobacteria	LTCC1Feb	0	LT	CC1	Feb	CC	2	0.002151018
431	Cyanobacteria	LTCC2Feb	0.001811599	LT	CC2	Feb	CC	2	
475	Cyanobacteria	LTCC3Feb	0.004641454	LT	CC3	Feb	CC	2	
395	Marinimicrobia_(SAR406_clade)	LTCC1Feb	0	LT	CC1	Feb	CC	2	0
439	Marinimicrobia_(SAR406_clade)	LTCC2Feb	0	LT	CC2	Feb	CC	2	
483	Marinimicrobia_(SAR406_clade)	LTCC3Feb	0	LT	CC3	Feb	CC	2	
396	others	LTCC1Feb	0.00051075	LT	CC1	Feb	CC	2	0.000736191
440	others	LTCC2Feb	0.000734465	LT	CC2	Feb	CC	2	
484	others	LTCC3Feb	0.000963358	LT	CC3	Feb	CC	2	
391	Planctomycetota	LTCC1Feb	0.000744383	LT	CC1	Feb	CC	2	0.001072099
435	Planctomycetota	LTCC2Feb	0.000952311	LT	CC2	Feb	CC	2	
479	Planctomycetota	LTCC3Feb	0.001519603	LT	CC3	Feb	CC	2	
388	Proteobacteria	LTCC1Feb	0.424599136	LT	CC1	Feb	CC	2	0.367365004
432	Proteobacteria	LTCC2Feb	0.416947245	LT	CC2	Feb	CC	2	
476	Proteobacteria	LTCC3Feb	0.260548629	LT	CC3	Feb	CC	2	
393	SAR324_clade(Marine_group_B)	LTCC1Feb	0	LT	CC1	Feb	CC	2	5.98448E-05
437	SAR324_clade(Marine_group_B)	LTCC2Feb	9.38E-05	LT	CC2	Feb	CC	2	
481	SAR324_clade(Marine_group_B)	LTCC3Feb	8.58E-05	LT	CC3	Feb	CC	2	
389	Thermoplasmatota	LTCC1Feb	0.010952797	LT	CC1	Feb	CC	2	0.015220908
433	Thermoplasmatota	LTCC2Feb	0.027799549	LT	CC2	Feb	CC	2	
477	Thermoplasmatota	LTCC3Feb	0.006910379	LT	CC3	Feb	CC	2	
392	Verrucomicrobiota	LTCC1Feb	0.040892705	LT	CC1	Feb	CC	2	0.032612683
436	Verrucomicrobiota	LTCC2Feb	0.031335747	LT	CC2	Feb	CC	2	
480	Verrucomicrobiota	LTCC3Feb	0.025609598	LT	CC3	Feb	CC	2	
522	Actinobacteriota	LTCMW1Feb	0.002322054	LT	CMW1	Feb	CMW	2	0.002474569
566	Actinobacteriota	LTCMW2Feb	0.00366253	LT	CMW2	Feb	CMW	2	
610	Actinobacteriota	LTCMW3Feb	0.001439124	LT	CMW3	Feb	CMW	2	
518	Bacteroidota	LTCMW1Feb	0.487678909	LT	CMW1	Feb	CMW	2	0.492923655
562	Bacteroidota	LTCMW2Feb	0.510403221	LT	CMW2	Feb	CMW	2	
606	Bacteroidota	LTCMW3Feb	0.480688835	LT	CMW3	Feb	CMW	2	
526	Crenarchaeota	LTCMW1Feb	0.000566001	LT	CMW1	Feb	CMW	2	0.000660308
570	Crenarchaeota	LTCMW2Feb	0.00066658	LT	CMW2	Feb	CMW	2	
614	Crenarchaeota	LTCMW3Feb	0.000748344	LT	CMW3	Feb	CMW	2	
519	Cyanobacteria	LTCMW1Feb	0.001276008	LT	CMW1	Feb	CMW	2	0.002205354
563	Cyanobacteria	LTCMW2Feb	0.002990181	LT	CMW2	Feb	CMW	2	
607	Cyanobacteria	LTCMW3Feb	0.002349873	LT	CMW3	Feb	CMW	2	
527	Marinimicrobia_(SAR406_clade)	LTCMW1Feb	0	LT	CMW1	Feb	CMW	2	0
571	Marinimicrobia_(SAR406_clade)	LTCMW2Feb	0	LT	CMW2	Feb	CMW	2	
615	Marinimicrobia_(SAR406_clade)	LTCMW3Feb	0	LT	CMW3	Feb	CMW	2	
528	others	LTCMW1Feb	0.003226925	LT	CMW1	Feb	CMW	2	0.003099655
572	others	LTCMW2Feb	0.002719673	LT	CMW2	Feb	CMW	2	
616	others	LTCMW3Feb	0.003352366	LT	CMW3	Feb	CMW	2	
523	Planctomycetota	LTCMW1Feb	0.00026861	LT	CMW1	Feb	CMW	2	0.001112472
567	Planctomycetota	LTCMW2Feb	0.001856903	LT	CMW2	Feb	CMW	2	
611	Planctomycetota	LTCMW3Feb	0.001211903	LT	CMW3	Feb	CMW	2	
520	Proteobacteria	LTCMW1Feb	0.456177334	LT	CMW1	Feb	CMW	2	0.44067928
