phylum	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKSha1Feb	SKSha2Feb	SKSha3Feb	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3May	SKSha3Nov	HKSta1Aug	HKSta2Aug
Acidobacteriota	0	1	2	0	7	73	0	0	3	6	0	9	0	0	0	0	0	4	0	14	8	8	0	4	0	33	6	0	0	0	0	0	0	0	4	6	15	0	19	8	0	16	8	5	0	17	22	37	6	11	25	26	0	0	0	24	0	0	19	6	0	6	132	0	0	0	0	0	0	8	0	0	1	0	0	56	0	18	0	0	0	0	0	14	0	0	0	19	0	0	0	6	0	43	0	22	0	0	25	0	0	32	2	2	36	0	0
Actinobacteriota	160	183	699	264	131	233	864	721	182	211	127	1611	150	1472	617	128	1448	661	157	86	1088	587	191	84	102	1035	152	100	359	0	267	100	78	132	167	2	85	267	318	18	58	284	371	19	41	277	146	32	68	380	385	50	35	351	278	20	172	362	595	55	270	823	678	199	1248	700	17	248	2088	55	34	83	79	816	81	1795	50	700	36	1287	112	565	56	684	53	452	154	1348	66	818	207	1201	21	1147	397	1417	56	15	114	71	33	370	118	27	233	50	61
Bacteroidota	8745	9832	2463	1139	7647	14164	2256	2033	8835	9308	3368	2073	10472	3995	2653	11077	3212	2342	7949	13905	2379	2107	7215	8948	3718	2511	6386	11119	5844	251	5262	9190	1917	2289	8658	8969	5877	3634	5215	8837	4229	2702	6650	11498	5740	4235	6439	8536	5359	5519	5565	8763	10521	4121	6876	8070	8545	5351	6391	6517	4810	3039	6031	8897	2942	5863	8331	4554	5307	11426	8892	8025	2654	8504	789	5756	4426	7294	1205	3026	4408	6796	1543	4601	3728	9467	2161	3400	3564	9340	3052	5463	6015	10439	2612	4617	2188	1534	1754	2486	2178	2799	1988	1593	2160	8295	6294
Bdellovibrionota	242	3	3	4	254	7	10	24	254	7	14	18	3	3	151	3	7	1	207	4	5	13	381	1	21	8	352	1	36	0	334	0	10	2	218	1	10	30	147	1	7	25	152	6	8	43	228	9	0	30	166	5	10	13	174	12	9	14	63	6	3	38	91	7	15	40	0	10	8	3	10	0	45	0	0	28	38	7	7	13	32	11	6	25	28	0	6	20	24	2	6	42	43	0	12	25	57	0	17	60	4	33	79	2	33	157	184
Crenarchaeota	137	50	7	61	184	27	5	231	90	49	30	267	23	4	86	7	7	63	117	7	5	52	386	19	11	52	311	14	16	8	1030	5	5	110	77	5	6	367	86	2	4	276	24	0	3	297	0	6	0	152	50	7	2	121	43	8	13	106	136	5	5	94	159	8	111	144	13	0	130	4	0	0	0	20	0	188	0	87	1	170	0	81	1	170	5	37	4	108	8	41	0	108	0	51	0	95	0	0	15	0	0	23	1	0	10	27	2
Cyanobacteria	149	300	10991	11344	412	112	11005	8105	114	99	7155	6953	427	7579	5934	40	9678	11420	139	50	11910	12093	44	12	8623	11220	140	18	7790	506	192	56	13281	11624	768	0	3745	7090	1315	40	7203	8828	1652	112	3553	5909	714	28	4245	4955	975	65	275	8032	325	52	535	5836	640	45	8420	9219	782	1730	9475	894	0	8893	3320	0	0	0	11108	859	16563	4276	8991	184	15566	8146	8319	239	14654	6171	10029	490	13656	8425	10112	622	11209	5126	8849	77	11616	6469	12549	16005	12935	11870	13646	9087	11697	15056	11319	25	34
Dadabacteria	0	5	24	0	0	4	14	0	3	3	8	16	0	23	0	0	21	10	3	0	4	16	5	5	2	11	3	0	11	0	0	0	3	3	1	0	0	4	0	0	0	8	0	0	0	12	0	0	2	1	0	0	0	4	0	0	0	0	2	0	1	3	7	7	12	0	0	0	3	0	0	0	0	8	6	18	0	15	3	23	0	24	11	17	0	26	2	12	0	36	9	15	0	102	8	10	0	0	2	0	0	2	0	0	0	3	0
Desulfobacterota	65	1	0	0	120	0	0	8	55	0	10	8	0	6	0	0	0	5	28	0	0	1	59	0	4	8	67	0	7	22	41	0	2	2	22	0	3	8	7	0	0	7	13	0	0	11	19	0	0	2	19	0	0	0	14	0	0	0	9	0	2	5	1	0	0	0	0	0	0	2	0	0	1	2	0	0	4	3	0	0	4	0	5	1	5	0	0	7	6	0	0	5	11	0	5	4	6	0	3	6	0	1	0	0	1	31	46
Firmicutes	647	3	0	15	826	3	0	13	495	0	0	72	2	1	0	2	0	50	521	1	0	68	0	4	0	11	563	6	4	0	369	6	0	7	244	0	5	4	138	2	9	7	63	2	15	6	114	0	9	11	204	0	97	0	0	0	116	7	0	2	88	29	0	97	19	0	0	0	5	8	0	25	167	29	0	6	139	15	1	0	0	0	0	8	41	66	0	23	23	74	0	0	23	0	0	0	0	0	21	0	0	14	417	0	28	254	164
Fusobacteriota	6	108	54	81	53	24	14	0	28	16	15	10	23	34	34	27	1	12	19	17	13	16	11	18	0	18	14	7	2	0	9	7	1	10	8	3	5	0	0	3	1	7	0	0	1	2	0	1	3	0	5	0	3	2	5	2	10	0	0	3	35	20	3	6	8	0	0	14	21	2	0	0	15	88	2	34	20	29	2	34	0	57	5	47	6	29	7	12	9	17	8	27	0	20	8	15	8	0	18	2	0	20	11	2	18	38	21
Gemmatimonadota	5	3	8	110	11	9	14	46	7	3	22	254	9	45	81	7	11	87	7	0	20	85	18	0	2	139	12	6	27	0	50	3	6	48	24	0	16	104	21	0	8	64	26	0	1	180	18	0	0	34	19	0	0	30	23	0	9	73	30	0	8	43	34	7	57	96	0	3	10	2	0	0	6	38	0	246	4	20	0	206	0	26	5	249	3	50	4	121	4	72	2	174	0	90	6	128	0	0	36	7	0	62	0	2	51	0	0
Marinimicrobia_(SAR406_clade)	8	38	34	85	7	21	52	193	3	66	44	142	17	68	3	20	79	22	12	7	46	15	21	8	7	18	37	8	57	29	51	21	21	9	9	0	12	42	11	0	0	49	2	0	5	48	0	0	6	79	5	0	0	69	3	0	1	65	37	1	23	44	24	25	55	68	0	9	64	2	3	7	3	77	11	142	8	103	15	145	1	95	11	177	5	79	16	115	5	132	20	113	7	159	52	131	1	3	38	4	0	107	0	1	67	11	5
Myxococcota	8	0	10	16	16	1	17	21	6	4	28	52	13	60	7	1	23	22	12	0	25	27	38	0	35	37	36	0	75	0	15	0	27	13	15	0	7	17	8	0	4	17	7	8	7	9	12	0	0	27	22	3	0	6	22	13	12	0	9	6	9	2	0	1	8	0	0	5	236	0	0	0	12	0	1	53	12	24	5	33	3	0	8	53	4	0	28	24	3	0	43	34	1	7	16	41	8	0	12	14	2	28	12	4	27	8	14
