id	PhylumID	SampleID	Abundance
1	Bacteroidota	HKBea1Aug	0.471250740960285
2	Cyanobacteria	HKBea1Aug	0.00802931508325699
3	Proteobacteria	HKBea1Aug	0.308886134612276
4	Thermoplasmatota	HKBea1Aug	0.037452174381635
5	Planctomycetota	HKBea1Aug	0.0652583930592229
6	Actinobacteriota	HKBea1Aug	0.00862208331087999
7	Verrucomicrobiota	HKBea1Aug	0.029746187422536
8	SAR324_clade(Marine_group_B)	HKBea1Aug	0.010508164035135
9	Crenarchaeota	HKBea1Aug	0.00738265883494099
10	Firmicutes	HKBea1Aug	0.034865549388371
11	others	HKBea1Aug	0.0179985989114619
12	Bacteroidota	HKBea1Feb	0.529827019453575
13	Cyanobacteria	HKBea1Feb	0.0161664062079
14	Proteobacteria	HKBea1Feb	0.180309317238778
15	Thermoplasmatota	HKBea1Feb	0.237268955111279
16	Planctomycetota	HKBea1Feb	0.00625101040038799
17	Actinobacteriota	HKBea1Feb	0.00986150778681899
18	Verrucomicrobiota	HKBea1Feb	0.00808320310394999
19	SAR324_clade(Marine_group_B)	HKBea1Feb	0.000646656248315999
20	Crenarchaeota	HKBea1Feb	0.00269440103465
21	Firmicutes	HKBea1Feb	0.000161664062079
22	others	HKBea1Feb	0.008729859352266
23	Bacteroidota	HKBea1May	0.132726194966859
24	Cyanobacteria	HKBea1May	0.592283235436762
25	Proteobacteria	HKBea1May	0.161610174058307
26	Thermoplasmatota	HKBea1May	0.0520019399687449
27	Planctomycetota	HKBea1May	0.00824486716602899
28	Actinobacteriota	HKBea1May	0.037667726464407
29	Verrucomicrobiota	HKBea1May	0.003718273427817
30	SAR324_clade(Marine_group_B)	HKBea1May	0.00377216144851
31	Crenarchaeota	HKBea1May	0.000377216144851
32	Firmicutes	HKBea1May	0
33	others	HKBea1May	0.00759821091771296
34	Bacteroidota	HKBea1Nov	0.0613784555693269
35	Cyanobacteria	HKBea1Nov	0.611305706741391
36	Proteobacteria	HKBea1Nov	0.177561028183435
37	Thermoplasmatota	HKBea1Nov	0.040200463436978
38	Planctomycetota	HKBea1Nov	0.038314382712723
39	Actinobacteriota	HKBea1Nov	0.014226437462952
40	Verrucomicrobiota	HKBea1Nov	0.011047044242065
41	SAR324_clade(Marine_group_B)	HKBea1Nov	0.02424960931185
42	Crenarchaeota	HKBea1Nov	0.003287169262273
43	Firmicutes	HKBea1Nov	0.000808320310394999
44	others	HKBea1Nov	0.017621382766611
45	Bacteroidota	HKBea2Aug	0.412081694239371
46	Cyanobacteria	HKBea2Aug	0.022201864525516
47	Proteobacteria	HKBea2Aug	0.291372527887051
48	Thermoplasmatota	HKBea2Aug	0.0621867758797219
49	Planctomycetota	HKBea2Aug	0.0829875518672199
50	Actinobacteriota	HKBea2Aug	0.00705933071078299
51	Verrucomicrobiota	HKBea2Aug	0.02856065096729
52	SAR324_clade(Marine_group_B)	HKBea2Aug	0.013579781214636
53	Crenarchaeota	HKBea2Aug	0.00991539580751199
54	Firmicutes	HKBea2Aug	0.044511505092418
55	others	HKBea2Aug	0.0255429218084819
56	Bacteroidota	HKBea2Feb	0.763269925095651
57	Cyanobacteria	HKBea2Feb	0.00603545831761599
58	Proteobacteria	HKBea2Feb	0.11047044242065
59	Thermoplasmatota	HKBea2Feb	0.0652045050385299
60	Planctomycetota	HKBea2Feb	0.02586624993264
61	Actinobacteriota	HKBea2Feb	0.012555908821469
62	Verrucomicrobiota	HKBea2Feb	0.00705933071078299
63	SAR324_clade(Marine_group_B)	HKBea2Feb	0.000323328124158
64	Crenarchaeota	HKBea2Feb	0.001454976558711
65	Firmicutes	HKBea2Feb	0.000161664062079
66	others	HKBea2Feb	0.00759821091771296
67	Bacteroidota	HKBea2May	0.121571374683408
68	Cyanobacteria	HKBea2May	0.593037667726464
69	Proteobacteria	HKBea2May	0.163550142803255
70	Thermoplasmatota	HKBea2May	0.051409171741122
71	Planctomycetota	HKBea2May	0.00684377862801099
72	Actinobacteriota	HKBea2May	0.046559249878752
73	Verrucomicrobiota	HKBea2May	0.005173249986528
74	SAR324_clade(Marine_group_B)	HKBea2May	0.004796033841677
75	Crenarchaeota	HKBea2May	0.000269440103465
76	Firmicutes	HKBea2May	0
77	others	HKBea2May	0.00678989060731805
78	Bacteroidota	HKBea2Nov	0.109554346068869
79	Cyanobacteria	HKBea2Nov	0.436762407716765
80	Proteobacteria	HKBea2Nov	0.233119577517918
81	Thermoplasmatota	HKBea2Nov	0.0926335075712669
82	Planctomycetota	HKBea2Nov	0.019184135366708
83	Actinobacteriota	HKBea2Nov	0.038853262919653
84	Verrucomicrobiota	HKBea2Nov	0.011963140593846
85	SAR324_clade(Marine_group_B)	HKBea2Nov	0.020154119739182
86	Crenarchaeota	HKBea2Nov	0.012448132780083
87	Firmicutes	HKBea2Nov	0.000700544269008999
88	others	HKBea2Nov	0.024626825456701
89	Bacteroidota	HKBea3Aug	0.476100662822655
90	Cyanobacteria	HKBea3Aug	0.00614323435900199
91	Proteobacteria	HKBea3Aug	0.352697095435685
92	Thermoplasmatota	HKBea3Aug	0.031147275960554
93	Planctomycetota	HKBea3Aug	0.043757072802716
94	Actinobacteriota	HKBea3Aug	0.00980761976612599
95	Verrucomicrobiota	HKBea3Aug	0.018753031201164
96	SAR324_clade(Marine_group_B)	HKBea3Aug	0.010723716117907
97	Crenarchaeota	HKBea3Aug	0.00484992186236999
98	Firmicutes	HKBea3Aug	0.026674570243035
99	others	HKBea3Aug	0.019345799428787
100	Bacteroidota	HKBea3Feb	0.501589696610444
101	Cyanobacteria	HKBea3Feb	0.00533491404860699
102	Proteobacteria	HKBea3Feb	0.183111494314814
103	Thermoplasmatota	HKBea3Feb	0.268739559195991
104	Planctomycetota	HKBea3Feb	0.00905318747642399
105	Actinobacteriota	HKBea3Feb	0.011370372366223
106	Verrucomicrobiota	HKBea3Feb	0.011154820283451
107	SAR324_clade(Marine_group_B)	HKBea3Feb	0.001185536455246
108	Crenarchaeota	HKBea3Feb	0.002640513013957
109	Firmicutes	HKBea3Feb	0
110	others	HKBea3Feb	0.00581990623484396
111	Bacteroidota	HKBea3May	0.181494853694024
112	Cyanobacteria	HKBea3May	0.385568788058415
113	Proteobacteria	HKBea3May	0.237322843131972
114	Thermoplasmatota	HKBea3May	0.154874171471682
115	Planctomycetota	HKBea3May	0.00646656248315999
116	Actinobacteriota	HKBea3May	0.00684377862801099
117	Verrucomicrobiota	HKBea3May	0.00910707549711699
118	SAR324_clade(Marine_group_B)	HKBea3May	0.00878374737295899
119	Crenarchaeota	HKBea3May	0.00161664062079
120	Firmicutes	HKBea3May	0
121	others	HKBea3May	0.00792153904187098
122	Bacteroidota	HKBea3Nov	0.111709866896589
123	Cyanobacteria	HKBea3Nov	0.374683407878429
124	Proteobacteria	HKBea3Nov	0.164574015196422
125	Thermoplasmatota	HKBea3Nov	0.0869213773778089
126	Planctomycetota	HKBea3Nov	0.0574985180794309
127	Actinobacteriota	HKBea3Nov	0.0868136013364229
128	Verrucomicrobiota	HKBea3Nov	0.01993856765641
129	SAR324_clade(Marine_group_B)	HKBea3Nov	0.042248208223312
130	Crenarchaeota	HKBea3Nov	0.014388101525031
131	Firmicutes	HKBea3Nov	0.003879937489896
132	others	HKBea3Nov	0.0373443983402489
133	Bacteroidota	HKSta1Feb	0.564315352697095
134	Cyanobacteria	HKSta1Feb	0.023010184835911
135	Proteobacteria	HKSta1Feb	0.269493991485693
136	Thermoplasmatota	HKSta1Feb	0.111278762731045
137	Planctomycetota	HKSta1Feb	0.00883763539365199
138	Actinobacteriota	HKSta1Feb	0.00808320310394999
139	Verrucomicrobiota	HKSta1Feb	0.00996928382820499
140	SAR324_clade(Marine_group_B)	HKSta1Feb	0.000161664062079
141	Crenarchaeota	HKSta1Feb	0.001239424475939
142	Firmicutes	HKSta1Feb	0.000107776041386
143	others	HKSta1Feb	0.00350272134504492
144	Bacteroidota	HKSta1May	0.215282642668535
145	Cyanobacteria	HKSta1May	0.408417308832247
146	Proteobacteria	HKSta1May	0.166675648003449
147	Thermoplasmatota	HKSta1May	0.0973217653715579
148	Planctomycetota	HKSta1May	0.011370372366223
149	Actinobacteriota	HKSta1May	0.0793231664600959
150	Verrucomicrobiota	HKSta1May	0.002748289055343
151	SAR324_clade(Marine_group_B)	HKSta1May	0.00522713800722099
152	Crenarchaeota	HKSta1May	0.000215552082772
153	Firmicutes	HKSta1May	5.38880206929999e-05
154	others	HKSta1May	0.013364229131864
155	Bacteroidota	HKSta1Nov	0.142964918898529
156	Cyanobacteria	HKSta1Nov	0.319771514792262
157	Proteobacteria	HKSta1Nov	0.3933825510589
158	Thermoplasmatota	HKSta1Nov	0.04742145820984
159	Planctomycetota	HKSta1Nov	0.023764617125613
160	Actinobacteriota	HKSta1Nov	0.033248908767581
161	Verrucomicrobiota	HKSta1Nov	0.014172549442259
162	SAR324_clade(Marine_group_B)	HKSta1Nov	0.00565824217276499
163	Crenarchaeota	HKSta1Nov	0.004634369779598
164	Firmicutes	HKSta1Nov	0
165	others	HKSta1Nov	0.014980869752654
166	Bacteroidota	HKSta2Feb	0.59691760521636
167	Cyanobacteria	HKSta2Feb	0.00215552082772
168	Proteobacteria	HKSta2Feb	0.26512906180956
169	Thermoplasmatota	HKSta2Feb	0.104165543999569
170	Planctomycetota	HKSta2Feb	0.00560435415207199
171	Actinobacteriota	HKSta2Feb	0.00689766664870399
172	Verrucomicrobiota	HKSta2Feb	0.015304197876812
173	SAR324_clade(Marine_group_B)	HKSta2Feb	0.000215552082772
174	Crenarchaeota	HKSta2Feb	0.000377216144851
175	Firmicutes	HKSta2Feb	0.000107776041386
176	others	HKSta2Feb	0.00312550520019395
177	Bacteroidota	HKSta2May	0.173088322465916
178	Cyanobacteria	HKSta2May	0.521528264266854
179	Proteobacteria	HKSta2May	0.149970361588619
180	Thermoplasmatota	HKSta2May	0.0532952524653769
181	Planctomycetota	HKSta2May	0.00759821091771299
182	Actinobacteriota	HKSta2May	0.0780298539634639
183	Verrucomicrobiota	HKSta2May	0.003826049469203
184	SAR324_clade(Marine_group_B)	HKSta2May	0.00431104165544
185	Crenarchaeota	HKSta2May	0.000377216144851
186	Firmicutes	HKSta2May	0
187	others	HKSta2May	0.00797542706256393
188	Bacteroidota	HKSta2Nov	0.126205744463006
189	Cyanobacteria	HKSta2Nov	0.615401196314059
190	Proteobacteria	HKSta2Nov	0.12340356738697
191	Thermoplasmatota	HKSta2Nov	0.030069515546694
192	Planctomycetota	HKSta2Nov	0.02478848951878
193	Actinobacteriota	HKSta2Nov	0.035619981678073
194	Verrucomicrobiota	HKSta2Nov	0.012502020800776
195	SAR324_clade(Marine_group_B)	HKSta2Nov	0.014765317669882
196	Crenarchaeota	HKSta2Nov	0.003394945303659
197	Firmicutes	HKSta2Nov	0.00269440103465
198	others	HKSta2Nov	0.0111548202834509
199	Bacteroidota	HKSta3Aug	0.428355876488657
200	Cyanobacteria	HKSta3Aug	0.00749043487632699
201	Proteobacteria	HKSta3Aug	0.330603006951555
202	Thermoplasmatota	HKSta3Aug	0.044565393113111
203	Planctomycetota	HKSta3Aug	0.0771137576116829
204	Actinobacteriota	HKSta3Aug	0.00846041924880099
205	Verrucomicrobiota	HKSta3Aug	0.043325968637172
206	SAR324_clade(Marine_group_B)	HKSta3Aug	0.010184835910977
207	Crenarchaeota	HKSta3Aug	0.00630489842108099
208	Firmicutes	HKSta3Aug	0.028075658781053
209	others	HKSta3Aug	0.0155197499595841
210	Bacteroidota	HKSta3Feb	0.749312927736164
211	Cyanobacteria	HKSta3Feb	0.00269440103465
212	Proteobacteria	HKSta3Feb	0.165166783424045
213	Thermoplasmatota	HKSta3Feb	0.0525408201756749
214	Planctomycetota	HKSta3Feb	0.00749043487632699
215	Actinobacteriota	HKSta3Feb	0.004634369779598
216	Verrucomicrobiota	HKSta3Feb	0.015358085897505
217	SAR324_clade(Marine_group_B)	HKSta3Feb	0.000107776041386
218	Crenarchaeota	HKSta3Feb	0.000377216144851
219	Firmicutes	HKSta3Feb	5.38880206929999e-05
220	others	HKSta3Feb	0.00226329686910609
221	Bacteroidota	HKSta3May	0.128199601228647
222	Cyanobacteria	HKSta3May	0.641806326453629
223	Proteobacteria	HKSta3May	0.112841515331142
224	Thermoplasmatota	HKSta3May	0.0377216144851
225	Planctomycetota	HKSta3May	0.00754432289701999
226	Actinobacteriota	HKSta3May	0.0586301665139839
227	Verrucomicrobiota	HKSta3May	0.003287169262273
228	SAR324_clade(Marine_group_B)	HKSta3May	0.003017729158808
229	Crenarchaeota	HKSta3May	0.000269440103465
230	Firmicutes	HKSta3May	0
231	others	HKSta3May	0.00668211456593204
232	Bacteroidota	HKSta3Nov	0.113542059600151
233	Cyanobacteria	HKSta3Nov	0.651667834240448
234	Proteobacteria	HKSta3Nov	0.128307377270033
235	Thermoplasmatota	HKSta3Nov	0.022579080670367
236	Planctomycetota	HKSta3Nov	0.015465861938891
237	Actinobacteriota	HKSta3Nov	0.031632268146791
238	Verrucomicrobiota	HKSta3Nov	0.00727488279355499
239	SAR324_clade(Marine_group_B)	HKSta3Nov	0.012448132780083
240	Crenarchaeota	HKSta3Nov	0.002802177076036
241	Firmicutes	HKSta3Nov	0.003664385407124
242	others	HKSta3Nov	0.0106159400765209
243	Bacteroidota	HKSW1Aug	0.388802069299995
244	Cyanobacteria	HKSW1Aug	0.002371072910492
245	Proteobacteria	HKSW1Aug	0.286738158107453
246	Thermoplasmatota	HKSW1Aug	0.0868136013364229
247	Planctomycetota	HKSW1Aug	0.106859945034219
248	Actinobacteriota	HKSW1Aug	0.010292611952363
249	Verrucomicrobiota	HKSW1Aug	0.046397585816673
250	SAR324_clade(Marine_group_B)	HKSW1Aug	0.021501320256507
251	Crenarchaeota	HKSW1Aug	0.020800775987498
252	Firmicutes	HKSW1Aug	0
253	others	HKSW1Aug	0.029422859298378
254	Bacteroidota	HKSW1Feb	0.482190009160963
255	Cyanobacteria	HKSW1Feb	0.000646656248315999
256	Proteobacteria	HKSW1Feb	0.337554561620952
257	Thermoplasmatota	HKSW1Feb	0.149700921485154
258	Planctomycetota	HKSW1Feb	0.00641267446246699
259	Actinobacteriota	HKSW1Feb	0.004526593738212
260	Verrucomicrobiota	HKSW1Feb	0.015573637980277
261	SAR324_clade(Marine_group_B)	HKSW1Feb	0.000215552082772
262	Crenarchaeota	HKSW1Feb	0.001023872393167
263	Firmicutes	HKSW1Feb	0.000215552082772
264	others	HKSW1Feb	0.00193996874494806
265	Bacteroidota	HKSW1May	0.200355660936574
266	Cyanobacteria	HKSW1May	0.464676402435739
267	Proteobacteria	HKSW1May	0.245082718111764
268	Thermoplasmatota	HKSW1May	0.0677372420111009
269	Planctomycetota	HKSW1May	0.005065473945142
270	Actinobacteriota	HKSW1May	0.00549657811068599
271	Verrucomicrobiota	HKSW1May	0.004957697903756
272	SAR324_clade(Marine_group_B)	HKSW1May	0.002209408848413
273	Crenarchaeota	HKSW1May	0.000592768227622999
274	Firmicutes	HKSW1May	0
275	others	HKSW1May	0.00382604946920295
276	Bacteroidota	HKSW1Nov	0.135312819960123
277	Cyanobacteria	HKSW1Nov	0.604623592175459
278	Proteobacteria	HKSW1Nov	0.110632106482729
279	Thermoplasmatota	HKSW1Nov	0.026512906180956
280	Planctomycetota	HKSW1Nov	0.030392843670852
281	Actinobacteriota	HKSW1Nov	0.0557741014172549
282	Verrucomicrobiota	HKSW1Nov	0.00619712237969499
283	SAR324_clade(Marine_group_B)	HKSW1Nov	0.010562052055828
284	Crenarchaeota	HKSW1Nov	0.002802177076036
285	Firmicutes	HKSW1Nov	0.000592768227622999
286	others	HKSW1Nov	0.016597510373444
287	Bacteroidota	HKSW2Aug	0.344128900145498
288	Cyanobacteria	HKSW2Aug	0.00754432289701999
289	Proteobacteria	HKSW2Aug	0.255483106105513
290	Thermoplasmatota	HKSW2Aug	0.109985450234413
291	Planctomycetota	HKSW2Aug	0.148515385029908
292	Actinobacteriota	HKSW2Aug	0.00819097914533599
293	Verrucomicrobiota	HKSW2Aug	0.034757773346985
294	SAR324_clade(Marine_group_B)	HKSW2Aug	0.015304197876812
295	Crenarchaeota	HKSW2Aug	0.016759174435523
296	Firmicutes	HKSW2Aug	0.030338955650159
297	others	HKSW2Aug	0.028991755132834
298	Bacteroidota	HKSW2Feb	0.599180902085466
299	Cyanobacteria	HKSW2Feb	0.000969984372473999
300	Proteobacteria	HKSW2Feb	0.255321442043434
301	Thermoplasmatota	HKSW2Feb	0.115212588241634
302	Planctomycetota	HKSW2Feb	0.00770598695909899
