id	PhylumID	SampleID	Abundance	Region	Site	Season	Site2	Month	Site2avgrela
17	Actinobacteriota	HKBea1Feb	0.009861508	HK	Bea1	Feb	Bea	2	0.011262596
61	Actinobacteriota	HKBea2Feb	0.012555909	HK	Bea2	Feb	Bea	2	
105	Actinobacteriota	HKBea3Feb	0.011370372	HK	Bea3	Feb	Bea	2	
12	Bacteroidota	HKBea1Feb	0.529827019	HK	Bea1	Feb	Bea	2	0.59822888
56	Bacteroidota	HKBea2Feb	0.763269925	HK	Bea2	Feb	Bea	2	
100	Bacteroidota	HKBea3Feb	0.501589697	HK	Bea3	Feb	Bea	2	
20	Crenarchaeota	HKBea1Feb	0.002694401	HK	Bea1	Feb	Bea	2	0.002263297
64	Crenarchaeota	HKBea2Feb	0.001454977	HK	Bea2	Feb	Bea	2	
108	Crenarchaeota	HKBea3Feb	0.002640513	HK	Bea3	Feb	Bea	2	
13	Cyanobacteria	HKBea1Feb	1.62E-02	HK	Bea1	Feb	Bea	2	0.009178926
57	Cyanobacteria	HKBea2Feb	0.006035458	HK	Bea2	Feb	Bea	2	
101	Cyanobacteria	HKBea3Feb	0.005334914	HK	Bea3	Feb	Bea	2	
21	Firmicutes	HKBea1Feb	0.000161664	HK	Bea1	Feb	Bea	2	0.000107776
65	Firmicutes	HKBea2Feb	0.000161664	HK	Bea2	Feb	Bea	2	
109	Firmicutes	HKBea3Feb	0	HK	Bea3	Feb	Bea	2	
22	others	HKBea1Feb	0.008729859	HK	Bea1	Feb	Bea	2	0.007382659
66	others	HKBea2Feb	0.007598211	HK	Bea2	Feb	Bea	2	
110	others	HKBea3Feb	0.005819906	HK	Bea3	Feb	Bea	2	
16	Planctomycetota	HKBea1Feb	0.00625101	HK	Bea1	Feb	Bea	2	0.013723483
60	Planctomycetota	HKBea2Feb	0.02586625	HK	Bea2	Feb	Bea	2	
104	Planctomycetota	HKBea3Feb	0.009053187	HK	Bea3	Feb	Bea	2	
14	Proteobacteria	HKBea1Feb	0.180309317	HK	Bea1	Feb	Bea	2	0.157963751
58	Proteobacteria	HKBea2Feb	0.110470442	HK	Bea2	Feb	Bea	2	
102	Proteobacteria	HKBea3Feb	0.183111494	HK	Bea3	Feb	Bea	2	
19	SAR324_clade(Marine_group_B)	HKBea1Feb	0.000646656	HK	Bea1	Feb	Bea	2	0.000718507
63	SAR324_clade(Marine_group_B)	HKBea2Feb	0.000323328	HK	Bea2	Feb	Bea	2	
107	SAR324_clade(Marine_group_B)	HKBea3Feb	0.001185536	HK	Bea3	Feb	Bea	2	
15	Thermoplasmatota	HKBea1Feb	0.237268955	HK	Bea1	Feb	Bea	2	0.19040434
59	Thermoplasmatota	HKBea2Feb	0.065204505	HK	Bea2	Feb	Bea	2	
103	Thermoplasmatota	HKBea3Feb	0.268739559	HK	Bea3	Feb	Bea	2	
18	Verrucomicrobiota	HKBea1Feb	0.008083203	HK	Bea1	Feb	Bea	2	0.008765785
62	Verrucomicrobiota	HKBea2Feb	0.007059331	HK	Bea2	Feb	Bea	2	
106	Verrucomicrobiota	HKBea3Feb	0.01115482	HK	Bea3	Feb	Bea	2	
809	Actinobacteriota	SKBlu1Feb	0.043972625	SK	Blu1	Feb	Blu	2	0.037380324
853	Actinobacteriota	SKBlu2Feb	0.037721614	SK	Blu2	Feb	Blu	2	
897	Actinobacteriota	SKBlu3Feb	0.030446732	SK	Blu3	Feb	Blu	2	
804	Bacteroidota	SKBlu1Feb	0.458263728	SK	Blu1	Feb	Blu	2	0.405848647
848	Bacteroidota	SKBlu2Feb	0.393059223	SK	Blu2	Feb	Blu	2	
892	Bacteroidota	SKBlu3Feb	0.366222989	SK	Blu3	Feb	Blu	2	
812	Crenarchaeota	SKBlu1Feb	0.00107776	SK	Blu1	Feb	Blu	2	0.003376983
856	Crenarchaeota	SKBlu2Feb	0.004688258	SK	Blu2	Feb	Blu	2	
900	Crenarchaeota	SKBlu3Feb	0.00436493	SK	Blu3	Feb	Blu	2	
805	Cyanobacteria	SKBlu1Feb	0.04628981	SK	Blu1	Feb	Blu	2	0.023028148
849	Cyanobacteria	SKBlu2Feb	0.009915396	SK	Blu2	Feb	Blu	2	
893	Cyanobacteria	SKBlu3Feb	0.012879237	SK	Blu3	Feb	Blu	2	
813	Firmicutes	SKBlu1Feb	0.001562753	SK	Blu1	Feb	Blu	2	0.000790358
857	Firmicutes	SKBlu2Feb	0.00080832	SK	Blu2	Feb	Blu	2	
901	Firmicutes	SKBlu3Feb	0	SK	Blu3	Feb	Blu	2	
814	others	SKBlu1Feb	0.011478148	SK	Blu1	Feb	Blu	2	0.011657775
858	others	SKBlu2Feb	0.011963141	SK	Blu2	Feb	Blu	2	
902	others	SKBlu3Feb	0.011532036	SK	Blu3	Feb	Blu	2	
808	Planctomycetota	SKBlu1Feb	0.034218893	SK	Blu1	Feb	Blu	2	0.037308473
852	Planctomycetota	SKBlu2Feb	0.040200463	SK	Blu2	Feb	Blu	2	
896	Planctomycetota	SKBlu3Feb	0.037506062	SK	Blu3	Feb	Blu	2	
806	Proteobacteria	SKBlu1Feb	0.335506817	SK	Blu1	Feb	Blu	2	0.307592822
850	Proteobacteria	SKBlu2Feb	0.290348655	SK	Blu2	Feb	Blu	2	
894	Proteobacteria	SKBlu3Feb	0.296922994	SK	Blu3	Feb	Blu	2	
811	SAR324_clade(Marine_group_B)	SKBlu1Feb	0.002209409	SK	Blu1	Feb	Blu	2	0.001365163
855	SAR324_clade(Marine_group_B)	SKBlu2Feb	0.00080832	SK	Blu2	Feb	Blu	2	
899	SAR324_clade(Marine_group_B)	SKBlu3Feb	0.00107776	SK	Blu3	Feb	Blu	2	
807	Thermoplasmatota	SKBlu1Feb	0.052594708	SK	Blu1	Feb	Blu	2	0.160730003
851	Thermoplasmatota	SKBlu2Feb	0.199924557	SK	Blu2	Feb	Blu	2	
895	Thermoplasmatota	SKBlu3Feb	0.229670744	SK	Blu3	Feb	Blu	2	
810	Verrucomicrobiota	SKBlu1Feb	0.012825349	SK	Blu1	Feb	Blu	2	0.010921306
854	Verrucomicrobiota	SKBlu2Feb	0.010562052	SK	Blu2	Feb	Blu	2	
898	Verrucomicrobiota	SKBlu3Feb	0.009376516	SK	Blu3	Feb	Blu	2	
391	Actinobacteriota	LTCC1Feb	0.000107776	LT	CC1	Feb	CC	2	0.000700544
435	Actinobacteriota	LTCC2Feb	0.000969984	LT	CC2	Feb	CC	2	
479	Actinobacteriota	LTCC3Feb	0.001023872	LT	CC3	Feb	CC	2	
386	Bacteroidota	LTCC1Feb	0.483321658	LT	CC1	Feb	CC	2	0.526378186
430	Bacteroidota	LTCC2Feb	0.476208439	LT	CC2	Feb	CC	2	
474	Bacteroidota	LTCC3Feb	0.619604462	LT	CC3	Feb	CC	2	
394	Crenarchaeota	LTCC1Feb	0.00026944	LT	CC1	Feb	CC	2	0.000125739
