phylum	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
Apusomonada_X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2458.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bigyra	55.00000001	10	3.333333333	8.333333333	35	1.666666667	1.666666667	1.666666667	83.33333333	0	1.666666667	11.66666667	26.66666667	1.666666667	1.666666667	1.666666667	306.6666667	0	3.333333334	26.66666667	26.66666667	3.333333334	5	3.333333333	390	0	1.666666667	108.3333333	15	3.333333333	6.666666667	0	21.66666666	3.333333333	30	31.66666667	116.6666667	10	0	1.666666667	13.33333333	3.333333333	1.666666667	11.66666667	23.33333334	1.666666667	13.33333333	10	10	625	10	5	51.66666666	15	18.33333333	13.33333333	3.333333334	3.333333333	1.666666667	0	16.66666667	1.666666667	5	63.33333333	0	0	16.66666667	5	10	5.000000001	0	3.333333333	6.666666667	3.333333334	13.33333334	3.333333333	1.666666667	28.33333333	16.66666667	0	5	21.66666667	13.33333333	6.666666667	0	460	31.66666666	6.666666667	0	16.66666667	16.66666667	3.333333333	0	5	11.66666667	6.666666667	1.666666667	28.33333334	16.66666666	0	1.666666667	26.66666667	8.333333334	5	0	168.3333334	3.333333333
Centroplasthelida_X	3.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.666666667	0	0	0	1.666666667	5	0	0	138.3333333	0	0	0	0	0	0	0	0	0	0	0	1.666666667	0	1.666666667	1.666666667	0	0	0	0	13.33333333	0	1.666666667	0	0	0	0	0	1.666666667	0	0	0	0	0	0	0	0	0	0	0	0	1.666666667	0	8.333333333	0	0	0	0	71.66666667	0	0	0	68.33333333	0	0	0	21.66666667	0	0	0	8.333333333	0	0	0	0	0	0	0	0	0	0	0	110	0	0	1.666666667	71.66666667	0	0	0	328.3333333	0	0	13.33333333
Cercozoa	510	35	6.666666667	0	116.6666667	11.66666667	30	0	130	36.66666667	41.66666667	3.333333334	170	53.33333333	33.33333334	3.333333333	90	21.66666667	18.33333334	18.33333334	120	20	25	0	151.6666667	65	13.33333333	16.66666667	91.66666667	46.66666667	15	0	126.6666667	30	3.333333333	13.33333334	70	13.33333334	116.6666666	5	100	13.33333333	40	0	91.66666667	16.66666667	130	0	31.66666667	110	40	10	31.66666667	83.33333334	75	18.33333334	45	28.33333333	105	16.66666667	111.6666666	0	196.6666667	1.666666667	306.6666667	20	8.333333334	91.66666666	1.666666667	5	0	5	0	0	108.3333333	5	3.333333333	16.66666667	91.66666667	0	0	8.333333334	171.6666667	8.333333334	8.333333333	16.66666667	246.6666667	10	1.666666667	1.666666667	175	0	8.333333334	11.66666667	195	346.6666667	1.666666667	11.66666667	31.66666667	238.3333334	0	33.33333333	8.333333333	491.6666667	1.666666667	0	175
Chlorophyta_X	1047.142857	5295.714286	10788.57143	2768.571429	662.8571429	6181.428571	4022.857142	4577.142857	984.2857143	4444.285715	5677.142856	2785.714285	6900	3295.714286	27955.71429	3222.857143	11518.57143	695.7142857	32460	1931.428571	138.5714286	2035.714286	39050	2214.285714	1550	1114.285714	16915.71429	4115.714285	700	1641.428572	7544.285714	185.7142857	135.7142857	1137.142857	5691.428571	7475.714286	151.4285714	215.7142857	1191.428571	2031.428571	227.1428572	218.5714286	2708.571429	3821.428572	391.4285714	395.7142857	5591.428572	13565.71429	4800.000001	434.2857143	5564.285714	8454.285714	2834.285714	6630	3118.571428	11042.85714	864.2857143	6085.714286	2367.142858	17001.42857	7044.285714	295.7142857	5145.714286	7577.142858	2331.428571	15151.42857	7355.714286	3625.714286	16527.14286	16354.28572	13860	3492.857143	39771.42858	9225.714286	4444.285714	1121.428571	30832.85715	8981.428572	3258.571429	1378.571429	34567.14286	10832.85714	4172.857143	11662.85714	42140	4817.142857	8091.428572	18505.71429	40010	4392.857143	13298.57143	13831.42857	41784.28571	6771.428571	15722.85714	852.8571428	42021.42857	2617.142857	9649.999999	842.857143	42341.42857	8348.571429	11761.42857	1298.571429	39504.28572	5818.571429	4351.428571
Ciliophora	13.52941176	27.94117647	84.11764706	10.29411765	8.235294118	47.94117647	10.88235294	33.52941177	13.23529412	20	45.88235294	26.76470588	10.88235294	20.88235294	15.88235294	2.647058823	3.823529411	12.64705882	17.05882353	14.11764706	12.64705882	23.23529412	13.52941176	7.647058823	5.588235293	19.11764706	4.705882352	4.411764705	14.11764706	11.17647059	1.176470588	0	7.352941177	18.52941176	1.764705882	6.470588235	14.70588235	35.29411764	5.294117647	74.11764705	20.88235294	20.29411765	5	33.52941176	11.47058824	16.47058824	13.52941176	178.5294118	25.88235294	116.1764706	19.70588235	1049.411765	13.52941176	24.70588235	13.23529412	376.4705882	27.35294117	21.76470588	7.941176469	1258.529412	112.9411765	16.76470588	21.76470588	49.70588236	61.47058823	16.17647059	17.94117647	46.47058824	36.76470588	11.47058824	468.8235294	179.7058823	69.70588235	4.411764706	95.88235294	20.58823529	80	10.29411765	50.88235294	28.82352941	95.29411764	12.35294118	60.29411764	6.764705882	6.176470587	8.823529411	65	13.23529412	14.70588235	1.470588235	32.64705883	0.588235294	31.17647059	1.176470588	203.2352942	4.999999999	63.82352942	13.82352941	15.88235294	4.117647059	126.1764706	4.411764705	34.70588235	3.235294117	50.29411765	1.470588235	7.647058823
Cryptophyta_X	1067.777778	191.1111111	1512.222222	5380.000001	838.8888889	147.7777778	975.5555556	5348.888889	907.7777777	202.2222222	852.2222221	8366.666667	1260	75.55555556	693.3333333	5802.222221	2901.111111	23.33333333	582.2222223	3773.333333	745.5555556	328.8888889	537.7777778	9024.444444	2996.666666	62.22222223	2402.222222	8333.333334	1071.111111	51.11111111	882.2222223	30437.77778	916.6666667	343.3333333	1306.666667	11884.44444	371.1111111	210	477.7777778	14085.55556	771.1111111	227.7777778	408.8888889	15357.77778	572.2222223	148.8888889	1233.333333	12385.55556	802.2222222	721.1111111	538.8888889	7192.222222	1033.333333	768.8888889	535.5555555	11188.88889	1830	270	600.0000001	10226.66667	837.7777778	380	507.7777778	13252.22222	351.1111111	1101.111111	4860	521.1111111	402.2222222	1432.222222	2620.000001	3285.555556	414.4444444	4501.111111	5998.888888	1048.888889	497.7777778	1484.444445	3314.444444	1960	475.5555556	2655.555556	4654.444445	370	1450	1330	7123.333334	994.4444444	857.7777778	1200	5428.888888	1914.444444	735.5555556	1073.333333	10344.44445	973.3333333	392.2222222	896.6666667	11570	1170	361.1111111	1092.222222	8016.666667	1061.111111	451.1111111	1104.444445	7707.777778
Cryptophyta_X:nucl	8.888888889	7.777777778	51.11111111	82.22222222	2.222222222	6.666666667	27.77777778	116.6666667	3.333333333	8.888888889	31.1111111	172.2222223	30	1.111111111	17.77777778	290	13.33333333	0	7.777777778	252.2222222	5.555555555	0	8.888888889	182.2222222	54.44444445	1.111111111	54.44444444	144.4444444	20	1.111111111	32.22222223	0	10	1.111111111	35.55555555	404.4444444	6.666666666	1.111111111	3.333333333	326.6666667	4.444444444	2.222222222	5.555555555	333.3333333	26.66666667	6.666666666	20	59.99999999	2.222222222	30	5.555555555	78.8888889	15.55555556	4.444444444	1.111111111	54.44444445	9.999999999	3.333333333	3.333333333	70	16.66666666	0	25.55555555	288.8888889	2.222222222	45.55555555	103.3333333	8.888888889	5.555555555	26.66666667	90	4.444444444	11.11111111	83.33333333	81.11111111	2.222222222	7.777777778	17.77777777	64.44444444	4.444444444	18.88888889	53.33333333	87.77777777	2.222222222	15.55555555	15.55555555	80	3.333333333	37.77777778	5.555555555	78.88888889	5.555555555	45.55555556	6.666666667	55.55555555	22.22222222	0	6.666666666	27.77777778	13.33333333	2.222222222	10	44.44444445	32.22222222	7.777777777	4.444444444	292.2222222
Dinoflagellata	1542.336957	1488.423913	924.4565218	1270.923913	1632.934783	1500.597826	1485.815217	1270.380435	1612.98913	1347.01087	1364.891304	1205.217391	1293.097826	1523.423913	684.1847827	1124.130435	909.4021739	1773.804348	504.8913044	1484.782609	1625.48913	1677.98913	272.4456522	1191.902174	1334.728261	1626.358696	976.4130435	1055.054348	1596.141304	1685.108696	1438.641304	241.1413044	1624.456521	1685.978261	1499.347826	735.3260869	1475.815217	1767.5	1449.076087	988.4782608	1469.347826	1762.826087	1429.130435	863.5326087	1440.326087	1745.434783	1207.771739	624.4021739	1207.336957	935.1086956	1505.923913	903.8586957	1347.5	1150.815217	1584.130435	734.0217392	1370.652174	1270.923913	1545.652174	263.9673913	1270.652174	1461.358696	1048.152174	790.2717392	1313.043478	883.2608695	1225.271739	1481.413044	1135.76087	927.8804348	168.8043478	1451.141304	213.0978261	1013.478261	1252.445652	1635.978261	570.8695652	1134.076087	1400.163043	1644.565217	422.3913043	922.0652174	1309.836956	1245.978261	142.2282609	862.7717391	1040.978261	933.6413043	254.673913	826.2499999	940.7608695	1111.576087	195.1630435	769.7282608	567.4456521	1590	157.1195652	1543.206522	694.7826087	1576.902174	106.7934783	1173.586957	775.5434782	1487.5	188.4782609	1337.336957	1106.73913
Gyrista	1231.2	384.7428572	706.4	171.1428571	935.2	293.0857143	584.9142857	683.2	878.4	1478.971429	900.8571429	164.9142857	1039.428571	478.8	144.2857143	930	977.3142857	155.7714286	99.08571429	275.0857143	1092.8	248.1714286	126.5714286	49.6	1068.742857	929.1428571	484.2857143	736.8571429	755.2571429	500.9142857	408.8	576	795.8857143	471.1428571	240.8	826.6285714	2364	190.2857143	2098.4	254	2191.6	245.5428571	1885.428571	292	2410	301.9428571	2380.4	267.8285714	2552.4	4540.8	505.4285714	366.4571429	1956.4	2611.428571	270	430.3428571	2220.4	2094.8	750.1142857	1378.4	1513.942857	847.3714286	2338.857143	185.6571429	2592.685714	1190.914286	104.4	1197.942857	177.1428571	448.2857143	188.8571429	164.4	47.88571428	108.1714286	261.3142857	192.4571429	122.8571429	854.0571429	468.5142857	119.7714286	103.3714286	609.0285714	463.4857143	457.8857143	33.65714286	380.9714286	640.7428571	406.8	48.4	618.1714286	509.0857143	36.8	20.8	691.0857143	653.1428571	130.5714286	10.45714286	460.8	857.6571429	127.0285714	4	895.9428571	981.2	293.0285714	13.2	704.8571429	655.4285714
