id	PhylumID	SampleID	Abundance
1	Chlorophyta_X	HKBea1Aug	0.172492432020463
2	Cryptophyta_X	HKBea1Aug	0.175891555343557
3	Dinoflagellata	HKBea1Aug	0.254064143139134
4	Gyrista	HKBea1Aug	0.20281156566548
5	Rhodophyta_X	HKBea1Aug	0.00305921093807216
6	Picozoa_X	HKBea1Aug	0.058477993673851
7	Haptophyta_X	HKBea1Aug	0.0357692355600443
8	Cercozoa	HKBea1Aug	0.0840106387990536
9	Ciliophora	HKBea1Aug	0.00222865593045692
10	Cryptophyta_X:nucl	HKBea1Aug	0.00146423771329157
11	others	HKBea1Aug	0.0097303312165965
12	Chlorophyta_X	HKBea1Feb	0.560914571760392
13	Cryptophyta_X	HKBea1Feb	0.0202422187550224
14	Dinoflagellata	HKBea1Feb	0.15765175700008
15	Gyrista	HKBea1Feb	0.040751419606365
16	Rhodophyta_X	HKBea1Feb	0.047814676195172
17	Picozoa_X	HKBea1Feb	0.0797920018377664
18	Haptophyta_X	HKBea1Feb	0.0818599361539863
19	Cercozoa	HKBea1Feb	0.00370715052802486
20	Ciliophora	HKBea1Feb	0.00295948991726847
21	Cryptophyta_X:nucl	HKBea1Feb	0.000823811228473507
22	others	HKBea1Feb	0.00348296701744977
23	Chlorophyta_X	HKBea1May	0.504350627449947
24	Cryptophyta_X	HKBea1May	0.0706942741639198
25	Dinoflagellata	HKBea1May	0.0432170496200742
26	Gyrista	HKBea1May	0.0330232121594844
27	Rhodophyta_X	HKBea1May	0.259788657371566
28	Picozoa_X	HKBea1May	0.0480731452807598
29	Haptophyta_X	HKBea1May	0.0311212119114818
30	Cercozoa	HKBea1May	0.000311657343914077
31	Ciliophora	HKBea1May	0.00393238236865658
32	Cryptophyta_X:nucl	HKBea1May	0.00238937296983651
33	others	HKBea1May	0.0030984093603601
34	Chlorophyta_X	HKBea1Nov	0.193033499180629
35	Cryptophyta_X	HKBea1Nov	0.375110504611371
36	Dinoflagellata	HKBea1Nov	0.0886128085946981
37	Gyrista	HKBea1Nov	0.0119326177463718
38	Rhodophyta_X	HKBea1Nov	0.252497378890214
39	Picozoa_X	HKBea1Nov	0.00952882942376622
40	Haptophyta_X	HKBea1Nov	0.0622528054566605
41	Cercozoa	HKBea1Nov	0
