phylum	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
Apusomonada_X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bigyra	33	6	2	5	21	1	1	1	50	0	1	7	16	1	1	1	184	0	2	16	16	2	3	2	234	0	1	65	9	2	4	0	13	2	18	19	70	6	0	1	8	2	1	7	14	1	8	6	6	375	6	3	31	9	11	8	2	2	1	0	10	1	3	38	0	0	10	3	6	3	0	2	4	2	8	2	1	17	10	0	3	13	8	4	0	276	19	4	0	10	10	2	0	3	7	4	1	17	10	0	1	16	5	3	0	101	2
Centroplasthelida_X	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	3	0	0	83	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	8	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	43	0	0	0	41	0	0	0	13	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	66	0	0	1	43	0	0	0	197	0	0	8
Cercozoa	306	21	4	0	70	7	18	0	78	22	25	2	102	32	20	2	54	13	11	11	72	12	15	0	91	39	8	10	55	28	9	0	76	18	2	8	42	8	70	3	60	8	24	0	55	10	78	0	19	66	24	6	19	50	45	11	27	17	63	10	67	0	118	1	184	12	5	55	1	3	0	3	0	0	65	3	2	10	55	0	0	5	103	5	5	10	148	6	1	1	105	0	5	7	117	208	1	7	19	143	0	20	5	295	1	0	105
Chlorophyta_X	733	3707	7552	1938	464	4327	2816	3204	689	3111	3974	1950	4830	2307	19569	2256	8063	487	22722	1352	97	1425	27335	1550	1085	780	11841	2881	490	1149	5281	130	95	796	3984	5233	106	151	834	1422	159	153	1896	2675	274	277	3914	9496	3360	304	3895	5918	1984	4641	2183	7730	605	4260	1657	11901	4931	207	3602	5304	1632	10606	5149	2538	11569	11448	9702	2445	27840	6458	3111	785	21583	6287	2281	965	24197	7583	2921	8164	29498	3372	5664	12954	28007	3075	9309	9682	29249	4740	11006	597	29415	1832	6755	590	29639	5844	8233	909	27653	4073	3046
Ciliophora	46	95	286	35	28	163	37	114	45	68	156	91	37	71	54	9	13	43	58	48	43	79	46	26	19	65	16	15	48	38	4	0	25	63	6	22	50	120	18	252	71	69	17	114	39	56	46	607	88	395	67	3568	46	84	45	1280	93	74	27	4279	384	57	74	169	209	55	61	158	125	39	1594	611	237	15	326	70	272	35	173	98	324	42	205	23	21	30	221	45	50	5	111	2	106	4	691	17	217	47	54	14	429	15	118	11	171	5	26
Cryptophyta_X	961	172	1361	4842	755	133	878	4814	817	182	767	7530	1134	68	624	5222	2611	21	524	3396	671	296	484	8122	2697	56	2162	7500	964	46	794	27394	825	309	1176	10696	334	189	430	12677	694	205	368	13822	515	134	1110	11147	722	649	485	6473	930	692	482	10070	1647	243	540	9204	754	342	457	11927	316	991	4374	469	362	1289	2358	2957	373	4051	5399	944	448	1336	2983	1764	428	2390	4189	333	1305	1197	6411	895	772	1080	4886	1723	662	966	9310	876	353	807	10413	1053	325	983	7215	955	406	994	6937
Cryptophyta_X:nucl	8	7	46	74	2	6	25	105	3	8	28	155	27	1	16	261	12	0	7	227	5	0	8	164	49	1	49	130	18	1	29	0	9	1	32	364	6	1	3	294	4	2	5	300	24	6	18	54	2	27	5	71	14	4	1	49	9	3	3	63	15	0	23	260	2	41	93	8	5	24	81	4	10	75	73	2	7	16	58	4	17	48	79	2	14	14	72	3	34	5	71	5	41	6	50	20	0	6	25	12	2	9	40	29	7	4	263
Dinoflagellata	28379	27387	17010	23385	30046	27611	27339	23375	29679	24785	25114	22176	23793	28031	12589	20684	16733	32638	9290	27320	29909	30875	5013	21931	24559	29925	17966	19413	29369	31006	26471	4437	29890	31022	27588	13530	27155	32522	26663	18188	27036	32436	26296	15889	26502	32116	22223	11489	22215	17206	27709	16631	24794	21175	29148	13506	25220	23385	28440	4857	23380	26889	19286	14541	24160	16252	22545	27258	20898	17073	3106	26701	3921	18648	23045	30102	10504	20867	25763	30260	7772	16966	24101	22926	2617	15875	19154	17179	4686	15203	17310	20453	3591	14163	10441	29256	2891	28395	12784	29015	1965	21594	14270	27370	3468	24607	20364
Gyrista	3078	859	1676	415	2338	707	1452	1708	2196	3664	2211	384	2596	1161	353	2325	2433	356	240	662	2732	605	283	124	2659	2256	1203	1819	1865	1224	1022	1440	1982	1093	602	2028	5910	468	5246	635	5479	583	4711	730	6025	742	5951	667	6381	11352	1261	911	4891	6526	675	1063	5551	5219	1865	3446	3772	1707	5752	423	6474	2967	261	2982	430	1095	143	339	76	237	643	440	176	1986	1089	284	171	1358	1133	885	79	793	1517	729	121	1386	1229	92	52	1630	1566	293	21	1152	2103	297	10	2209	2435	730	33	1757	1582
