id	PhylumID	SampleID	Abundance
1	Dinoflagellata	HKBea1Aug	0.836250589344649
2	Chlorophyta_X	HKBea1Aug	0.0215994813767091
3	Cryptophyta_X	HKBea1Aug	0.0283180103724658
4	Gyrista	HKBea1Aug	0.0907001414427157
5	Rhodophyta_X	HKBea1Aug	0.000383074021687883
6	Haptophyta_X	HKBea1Aug	0.00447901933050448
7	Picozoa_X	HKBea1Aug	0.00627652050919378
8	Ciliophora	HKBea1Aug	0.00135549269212636
9	Radiolaria	HKBea1Aug	0.000353606789250354
10	Cryptophyta_X:nucl	HKBea1Aug	0.000235737859500236
11	others	HKBea1Aug	0.0100483262611976
12	Dinoflagellata	HKBea1Feb	0.807019094766619
13	Chlorophyta_X	HKBea1Feb	0.109235030645922
14	Cryptophyta_X	HKBea1Feb	0.00506836397925507
15	Gyrista	HKBea1Feb	0.0253123526638378
16	Rhodophyta_X	HKBea1Feb	0.00931164545025931
17	Haptophyta_X	HKBea1Feb	0.0159417727487034
18	Picozoa_X	HKBea1Feb	0.0133191890617633
19	Ciliophora	HKBea1Feb	0.0027993870815653
20	Radiolaria	HKBea1Feb	0.0109912776991985
21	Cryptophyta_X:nucl	HKBea1Feb	0.000206270627062706
22	others	HKBea1Feb	0.000795615275813288
23	Dinoflagellata	HKBea1May	0.501237623762376
24	Chlorophyta_X	HKBea1May	0.222536539368223
25	Cryptophyta_X	HKBea1May	0.0401049033474776
26	Gyrista	HKBea1May	0.0493870815652994
27	Rhodophyta_X	HKBea1May	0.11462753418199
28	Haptophyta_X	HKBea1May	0.0137317303158887
29	Picozoa_X	HKBea1May	0.0181812824139557
30	Ciliophora	HKBea1May	0.00842762847713343
31	Radiolaria	HKBea1May	0.0302333804809052
32	Cryptophyta_X:nucl	HKBea1May	0.00135549269212636
33	others	HKBea1May	0.000176803394625225
34	Dinoflagellata	HKBea1Nov	0.689091230551627
35	Chlorophyta_X	HKBea1Nov	0.0571074964639321
36	Cryptophyta_X	HKBea1Nov	0.142680339462518
37	Gyrista	HKBea1Nov	0.0122289014615747
38	Rhodophyta_X	HKBea1Nov	0.0746994342291372
39	Haptophyta_X	HKBea1Nov	0.0184170202734559
40	Picozoa_X	HKBea1Nov	0.00241631305987742
41	Ciliophora	HKBea1Nov	0.00103135313531353
42	Radiolaria	HKBea1Nov	0
43	Cryptophyta_X:nucl	HKBea1Nov	0.00218057520037718
44	others	HKBea1Nov	0.00014733616218765
45	Dinoflagellata	HKBea2Aug	0.88537246581801
46	Chlorophyta_X	HKBea2Aug	0.0136727958510137
47	Cryptophyta_X	HKBea2Aug	0.0222477604903347
48	Gyrista	HKBea2Aug	0.0688943894389439
49	Rhodophyta_X	HKBea2Aug	0.00156176331918906
50	Haptophyta_X	HKBea2Aug	0.0012965582272513
51	Picozoa_X	HKBea2Aug	0.00318246110325318
52	Ciliophora	HKBea2Aug	0.000825082508250825
53	Radiolaria	HKBea2Aug	0.000206270627062706
54	Cryptophyta_X:nucl	HKBea2Aug	5.89344648750589e-05
55	others	HKBea2Aug	0.00268151815181528
56	Dinoflagellata	HKBea2Feb	0.813619754832626
57	Chlorophyta_X	HKBea2Feb	0.12750471475719
58	Cryptophyta_X	HKBea2Feb	0.00391914191419142
59	Gyrista	HKBea2Feb	0.0208333333333333
60	Rhodophyta_X	HKBea2Feb	0.00309405940594059
61	Haptophyta_X	HKBea2Feb	0.0132602545968883
62	Picozoa_X	HKBea2Feb	0.00757307873644507
63	Ciliophora	HKBea2Feb	0.0048031588873173
64	Radiolaria	HKBea2Feb	0.00497996228194248
65	Cryptophyta_X:nucl	HKBea2Feb	0.000176803394625177
66	others	HKBea2Feb	0.000235737859500151
67	Dinoflagellata	HKBea2May	0.805604667609618
68	Chlorophyta_X	HKBea2May	0.082979726544083
69	Cryptophyta_X	HKBea2May	0.0258722300801509
70	Gyrista	HKBea2May	0.0427864214992928
71	Rhodophyta_X	HKBea2May	0.00368340405469118
72	Haptophyta_X	HKBea2May	0.00777934936350778
73	Picozoa_X	HKBea2May	0.0148514851485149
74	Ciliophora	HKBea2May	0.00109028760018859
75	Radiolaria	HKBea2May	0.0140558698727016
76	Cryptophyta_X:nucl	HKBea2May	0.000736680810938237
77	others	HKBea2May	0.000559877416313026
78	Dinoflagellata	HKBea2Nov	0.688796558227251
79	Chlorophyta_X	HKBea2Nov	0.0944130127298444
80	Cryptophyta_X	HKBea2Nov	0.141855256954267
81	Gyrista	HKBea2Nov	0.0503300330033003
82	Rhodophyta_X	HKBea2Nov	0.00297619047619048
83	Haptophyta_X	HKBea2Nov	0.00913484205563414
84	Picozoa_X	HKBea2Nov	0.00601131541725601
85	Ciliophora	HKBea2Nov	0.00335926449787836
86	Radiolaria	HKBea2Nov	0
87	Cryptophyta_X:nucl	HKBea2Nov	0.00309405940594059
88	others	HKBea2Nov	2.94672324375744e-05
89	Dinoflagellata	HKBea3Aug	0.874557991513437
90	Chlorophyta_X	HKBea3Aug	0.0203029231494578
91	Cryptophyta_X	HKBea3Aug	0.0240747289014616
92	Gyrista	HKBea3Aug	0.0647100424328147
93	Rhodophyta_X	HKBea3Aug	0.00483262611975483
94	Haptophyta_X	HKBea3Aug	0.00312352663837812
95	Picozoa_X	HKBea3Aug	0.00312352663837812
96	Ciliophora	HKBea3Aug	0.00132602545968883
97	Radiolaria	HKBea3Aug	8.84016973125884e-05
98	Cryptophyta_X:nucl	HKBea3Aug	8.84016973125884e-05
99	others	HKBea3Aug	0.00377180575200375
100	Dinoflagellata	HKBea3Feb	0.730345355964168
101	Chlorophyta_X	HKBea3Feb	0.0916725601131542
102	Cryptophyta_X	HKBea3Feb	0.00536303630363036
103	Gyrista	HKBea3Feb	0.107967939651108
104	Rhodophyta_X	HKBea3Feb	0.00318246110325318
105	Haptophyta_X	HKBea3Feb	0.0132602545968883
106	Picozoa_X	HKBea3Feb	0.024988213107025
107	Ciliophora	HKBea3Feb	0.002003771805752
108	Radiolaria	HKBea3Feb	0.0203323903818953
109	Cryptophyta_X:nucl	HKBea3Feb	0.000235737859500236
110	others	HKBea3Feb	0.000648279113625638
111	Dinoflagellata	HKBea3May	0.740040075436115
112	Chlorophyta_X	HKBea3May	0.117102781706742
113	Cryptophyta_X	HKBea3May	0.0226013672795851
114	Gyrista	HKBea3May	0.0651520509193776
115	Rhodophyta_X	HKBea3May	0.00235737859500236
116	Haptophyta_X	HKBea3May	0.0100777934936351
117	Picozoa_X	HKBea3May	0.0193305044790193
118	Ciliophora	HKBea3May	0.0045968882602546
119	Radiolaria	HKBea3May	0.0171499292786421
120	Cryptophyta_X:nucl	HKBea3May	0.000825082508250825
121	others	HKBea3May	0.000766148043375714
122	Dinoflagellata	HKBea3Nov	0.653465346534653
123	Chlorophyta_X	HKBea3Nov	0.0574611032531825
124	Cryptophyta_X	HKBea3Nov	0.221888260254597
125	Gyrista	HKBea3Nov	0.0113154172560113
126	Rhodophyta_X	HKBea3Nov	0.0144094766619519
127	Haptophyta_X	HKBea3Nov	0.0294082979726544
128	Picozoa_X	HKBea3Nov	0.00453795379537954
129	Ciliophora	HKBea3Nov	0.00268151815181518
130	Radiolaria	HKBea3Nov	0
131	Cryptophyta_X:nucl	HKBea3Nov	0.00456742102781707
132	others	HKBea3Nov	0.000265205091937726
133	Dinoflagellata	HKSta1Aug	0.701113861386139
134	Chlorophyta_X	HKSta1Aug	0.142326732673267
135	Cryptophyta_X	HKSta1Aug	0.0334158415841584
136	Gyrista	HKSta1Aug	0.0764969354078265
137	Rhodophyta_X	HKSta1Aug	0.0124057048561999
138	Haptophyta_X	HKSta1Aug	0.00895803866100896
139	Picozoa_X	HKSta1Aug	0.0189179632248939
140	Ciliophora	HKSta1Aug	0.00109028760018859
141	Radiolaria	HKSta1Aug	0.000942951438000943
142	Cryptophyta_X:nucl	HKSta1Aug	0.000795615275813296
143	others	HKSta1Aug	0.00353606789250349
144	Dinoflagellata	HKSta1Feb	0.825995992456389
145	Chlorophyta_X	HKSta1Feb	0.0679809052333805
146	Cryptophyta_X	HKSta1Feb	0.002003771805752
147	Gyrista	HKSta1Feb	0.0342114568599717
148	Rhodophyta_X	HKSta1Feb	0.0393387553041018
149	Haptophyta_X	HKSta1Feb	0.0112859500235738
150	Picozoa_X	HKSta1Feb	0.00901697312588402
151	Ciliophora	HKSta1Feb	0.00209217350306459
152	Radiolaria	HKSta1Feb	0.00707213578500707
153	Cryptophyta_X:nucl	HKSta1Feb	2.94672324375295e-05
154	others	HKSta1Feb	0.000972418670438402
155	Dinoflagellata	HKSta1May	0.370962989156058
156	Chlorophyta_X	HKSta1May	0.576644271570014
157	Cryptophyta_X	HKSta1May	0.0183875530410184
158	Gyrista	HKSta1May	0.0104019330504479
159	Rhodophyta_X	HKSta1May	0.00244578029231495
160	Haptophyta_X	HKSta1May	0.012965582272513
161	Picozoa_X	HKSta1May	0.00365393682225365
162	Ciliophora	HKSta1May	0.00159123055162659
163	Radiolaria	HKSta1May	0.00185643564356436
164	Cryptophyta_X:nucl	HKSta1May	0.000471475719000471
165	others	HKSta1May	0.000618811881188064
166	Dinoflagellata	HKSta1Nov	0.609500235737859
167	Chlorophyta_X	HKSta1Nov	0.0664780763790665
168	Cryptophyta_X	HKSta1Nov	0.153877887788779
169	Gyrista	HKSta1Nov	0.068511315417256
170	Rhodophyta_X	HKSta1Nov	0.0535124941065535
171	Haptophyta_X	HKSta1Nov	0.0393976897689769
172	Picozoa_X	HKSta1Nov	0.00053041018387553
173	Ciliophora	HKSta1Nov	0.000265205091937765
174	Radiolaria	HKSta1Nov	2.94672324375295e-05
175	Cryptophyta_X:nucl	HKSta1Nov	0.00769094766619519
176	others	HKSta1Nov	0.000206270627062688
177	Dinoflagellata	HKSta2Aug	0.493075200377181
178	Chlorophyta_X	HKSta2Aug	0.2375942951438
179	Cryptophyta_X	HKSta2Aug	0.0769389438943894
180	Gyrista	HKSta2Aug	0.0716937765205092
181	Rhodophyta_X	HKSta2Aug	0.0356258840169731
182	Haptophyta_X	HKSta2Aug	0.0278465346534653
183	Picozoa_X	HKSta2Aug	0.0491808109382367
184	Ciliophora	HKSta2Aug	0.000383074021687883
185	Radiolaria	HKSta2Aug	0.000294672324375295
186	Cryptophyta_X:nucl	HKSta2Aug	0.000353606789250354
187	others	HKSta2Aug	0.00701320132013206
188	Dinoflagellata	HKSta2Feb	0.961751532296087
189	Chlorophyta_X	HKSta2Feb	0.0143505421970769
190	Cryptophyta_X	HKSta2Feb	0.000618811881188119
191	Gyrista	HKSta2Feb	0.0104903347477605
192	Rhodophyta_X	HKSta2Feb	0.00542197076850542
193	Haptophyta_X	HKSta2Feb	0.00197430457331447
194	Picozoa_X	HKSta2Feb	0.00241631305987742
195	Ciliophora	HKSta2Feb	0.00126709099481377
196	Radiolaria	HKSta2Feb	0.00132602545968883
197	Cryptophyta_X:nucl	HKSta2Feb	0
198	others	HKSta2Feb	0.000383074021687801
199	Dinoflagellata	HKSta2May	0.273750589344649
200	Chlorophyta_X	HKSta2May	0.669554455445545
201	Cryptophyta_X	HKSta2May	0.0154408297972654
202	Gyrista	HKSta2May	0.00707213578500707
203	Rhodophyta_X	HKSta2May	0.000913484205563414
204	Haptophyta_X	HKSta2May	0.0126709099481377
205	Picozoa_X	HKSta2May	0.00300565770862801
206	Ciliophora	HKSta2May	0.00170909948137671
207	Radiolaria	HKSta2May	0.0152934936350778
208	Cryptophyta_X:nucl	HKSta2May	0.000206270627062706
209	others	HKSta2May	0.000383074021687801
210	Dinoflagellata	HKSta2Nov	0.805044790193305
211	Chlorophyta_X	HKSta2Nov	0.0398396982555398
212	Cryptophyta_X	HKSta2Nov	0.10007072135785
213	Gyrista	HKSta2Nov	0.0195073078736445
214	Rhodophyta_X	HKSta2Nov	0.00916430928807166
215	Haptophyta_X	HKSta2Nov	0.0159417727487034
216	Picozoa_X	HKSta2Nov	0.00147336162187647
217	Ciliophora	HKSta2Nov	0.00141442715700141
218	Radiolaria	HKSta2Nov	2.94672324375295e-05
219	Cryptophyta_X:nucl	HKSta2Nov	0.00668906176331919
220	others	HKSta2Nov	0.000825082508250863
221	Dinoflagellata	HKSta3Aug	0.881335454974069
222	Chlorophyta_X	HKSta3Aug	0.00285832154644036
223	Cryptophyta_X	HKSta3Aug	0.0197725129655823
224	Gyrista	HKSta3Aug	0.0805044790193305
225	Rhodophyta_X	HKSta3Aug	0.00309405940594059
226	Haptophyta_X	HKSta3Aug	0.00268151815181518
227	Picozoa_X	HKSta3Aug	0.0055987741631306
228	Ciliophora	HKSta3Aug	0.00126709099481377
229	Radiolaria	HKSta3Aug	5.89344648750589e-05
230	Cryptophyta_X:nucl	HKSta3Aug	0.000147336162187647
231	others	HKSta3Aug	0.00268151815181517
232	Dinoflagellata	HKSta3Feb	0.909800801508722
233	Chlorophyta_X	HKSta3Feb	0.0419908062234795
234	Cryptophyta_X	HKSta3Feb	0.00872230080150872
235	Gyrista	HKSta3Feb	0.0178276756247053
236	Rhodophyta_X	HKSta3Feb	0.00368340405469118
237	Haptophyta_X	HKSta3Feb	0.00607024988213107
238	Picozoa_X	HKSta3Feb	0.00748467703913248
239	Ciliophora	HKSta3Feb	0.00232791136256483
240	Radiolaria	HKSta3Feb	0.00167963224893918
241	Cryptophyta_X:nucl	HKSta3Feb	0
242	others	HKSta3Feb	0.000412541254125376
243	Dinoflagellata	HKSta3May	0.147719236209335
244	Chlorophyta_X	HKSta3May	0.805486798679868
245	Cryptophyta_X	HKSta3May	0.0142621404997643
246	Gyrista	HKSta3May	0.00833922677982084
247	Rhodophyta_X	HKSta3May	0.00221004243281471
248	Haptophyta_X	HKSta3May	0.0163248467703913
249	Picozoa_X	HKSta3May	0.00209217350306459
250	Ciliophora	HKSta3May	0.00135549269212636
251	Radiolaria	HKSta3May	0.00144389438943894
252	Cryptophyta_X:nucl	HKSta3May	0.000235737859500236
253	others	HKSta3May	0.000530410183875563
254	Dinoflagellata	HKSta3Nov	0.646245874587459
255	Chlorophyta_X	HKSta3Nov	0.0456742102781707
256	Cryptophyta_X	HKSta3Nov	0.239332861857614
257	Gyrista	HKSta3Nov	0.00365393682225365
258	Rhodophyta_X	HKSta3Nov	0.00848656294200849
259	Haptophyta_X	HKSta3Nov	0.0466466289486091
260	Picozoa_X	HKSta3Nov	0.00185643564356436
261	Ciliophora	HKSta3Nov	0.000766148043375766
262	Radiolaria	HKSta3Nov	0
263	Cryptophyta_X:nucl	HKSta3Nov	0.00483262611975483
264	others	HKSta3Nov	0.00250471475719005
265	Dinoflagellata	HKSW1Aug	0.723685761433286
266	Chlorophyta_X	HKSW1Aug	0.0319719471947195
267	Cryptophyta_X	HKSW1Aug	0.079473125884017
268	Gyrista	HKSW1Aug	0.0783533710513909
269	Rhodophyta_X	HKSW1Aug	0.0264026402640264
270	Haptophyta_X	HKSW1Aug	0.019035832154644
271	Picozoa_X	HKSW1Aug	0.0285832154644036
272	Ciliophora	HKSW1Aug	0.00055987741631306
273	Radiolaria	HKSW1Aug	0.000913484205563414
274	Cryptophyta_X:nucl	HKSW1Aug	0.00144389438943894
275	others	HKSW1Aug	0.00957685054219704
276	Dinoflagellata	HKSW1Feb	0.881806930693069
277	Chlorophyta_X	HKSW1Feb	0.022984441301273
278	Cryptophyta_X	HKSW1Feb	0.00165016501650165
279	Gyrista	HKSW1Feb	0.0664780763790665
280	Rhodophyta_X	HKSW1Feb	0.00465582272512966
281	Haptophyta_X	HKSW1Feb	0.00386020744931636
282	Picozoa_X	HKSW1Feb	0.00648279113625648
283	Ciliophora	HKSW1Feb	0.00191537010843942
284	Radiolaria	HKSW1Feb	0.00898750589344649
285	Cryptophyta_X:nucl	HKSW1Feb	2.94672324375295e-05
286	others	HKSW1Feb	0.00114922206506374
287	Dinoflagellata	HKSW1May	0.529408297972654
288	Chlorophyta_X	HKSW1May	0.348921499292786
289	Cryptophyta_X	HKSW1May	0.0637081565299387
290	Gyrista	HKSW1May	0.035449080622348
291	Rhodophyta_X	HKSW1May	0.00521570014144272
292	Haptophyta_X	HKSW1May	0.00657119283356907
293	Picozoa_X	HKSW1May	0.00503889674681754
294	Ciliophora	HKSW1May	0.000471475719000471
295	Radiolaria	HKSW1May	0.00350660066006601
296	Cryptophyta_X:nucl	HKSW1May	0.00144389438943894
297	others	HKSW1May	0.000265205091937726
298	Dinoflagellata	HKSW1Nov	0.57204738330976
299	Chlorophyta_X	HKSW1Nov	0.0848950966525224
300	Cryptophyta_X	HKSW1Nov	0.221004243281471
301	Gyrista	HKSW1Nov	0.0536008958038661
302	Rhodophyta_X	HKSW1Nov	0.0310879302215936
303	Haptophyta_X	HKSW1Nov	0.0255775577557756
304	Picozoa_X	HKSW1Nov	0.00524516737388025
305	Ciliophora	HKSW1Nov	0.000442008486562942
306	Radiolaria	HKSW1Nov	5.89344648750589e-05
307	Cryptophyta_X:nucl	HKSW1Nov	0.00383074021687883
308	others	HKSW1Nov	0.00221004243281464
309	Dinoflagellata	HKSW2Aug	0.865423149457803
310	Chlorophyta_X	HKSW2Aug	0.0144389438943894
311	Cryptophyta_X	HKSW2Aug	0.0284064120697784
312	Gyrista	HKSW2Aug	0.0549563884959925
313	Rhodophyta_X	HKSW2Aug	0.00436115040075436
314	Haptophyta_X	HKSW2Aug	0.00845709570957096
315	Picozoa_X	HKSW2Aug	0.0193894389438944
316	Ciliophora	HKSW2Aug	0.00141442715700141
317	Radiolaria	HKSW2Aug	0.000736680810938237
318	Cryptophyta_X:nucl	HKSW2Aug	0.00053041018387553
319	others	HKSW2Aug	0.00188590287600188
320	Dinoflagellata	HKSW2Feb	0.913661008958039
321	Chlorophyta_X	HKSW2Feb	0.0338578500707214
322	Cryptophyta_X	HKSW2Feb	0.00135549269212636
323	Gyrista	HKSW2Feb	0.0360678925035361
324	Rhodophyta_X	HKSW2Feb	0.00111975483262612
325	Haptophyta_X	HKSW2Feb	0.002003771805752
326	Picozoa_X	HKSW2Feb	0.00427274870344177
327	Ciliophora	HKSW2Feb	0.00111975483262612
328	Radiolaria	HKSW2Feb	0.00562824139556813
329	Cryptophyta_X:nucl	HKSW2Feb	2.94672324375295e-05
330	others	HKSW2Feb	0.00088401697312579
331	Dinoflagellata	HKSW2May	0.780027109853842
332	Chlorophyta_X	HKSW2May	0.155616454502593
333	Cryptophyta_X	HKSW2May	0.0233969825553984
