order	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
Actiniaria	226	4503	398	4684	1224	720	81	164	49	470	1354	347	483	1437	213	128	189	2295	259	3581	59	2158	158	684	424	110	4242	346	98	644	1036	42	154	163	9057	302	431	11040	2384	5193	1315	6369	1798	2828	4077	5062	3297	649	156	1492	1371	110	84	2222	244	160	43	1201	6153	307	553	5805	5382	1501	328	184	30	33	1344	141	103	18	233	58	43	9	130	50	39	6	142	260	1	24	216	31	87	32	307	88	56	53	53	270	25	5	19	3	2	7	78	45	5	118	19	35	15
Anthoathecata	22	14	0	0	0	6	0	15	0	134	0	0	0	2	0	6	11	24	0	1	0	5	0	0	140	1	1	0	0	2	0	4	0	0	3	0	0	0	0	0	2	0	1	0	2	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	47	0	0	0	0	0	2	2	8	1	0	0	7	4	0	0	2372	2	0	6	2231	0	0	0	361	0	0	2	105	0	0	19	11	0	0	1	1	0	3	0	31	0	0	0
Antipatharia	2	34	5	7	0	310	20	3	0	28	52	541	0	22	3	8	0	40	3	11	2	31	5	3	0	7	2	8	0	15	4	0	0	4	1	1	0	0	0	0	0	0	0	0	0	8	2	0	0	12	0	0	2	0	0	4	2	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	23	0	0	5	1	0	0	0	0	0	0	8	0	0	0
Balanomorpha	272	3566	170	4293	168	6948	208	4114	557	1868	23	54	1156	765	137	1940	424	12718	189	41	43	9128	196	80	679	809	165	562	136	2048	332	0	205	1084	188	14	115	9317	4611	20	21	5353	1380	4	236	3134	2883	0	144	5540	2130	870	284	5495	40	160	4176	7079	453	13	1069	3740	135	10	1906	907	37	493	4323	27	0	189	805	9	14	5	4097	2	6	1287	1571	6	0	169	2324	19	2	60	1056	26	0	13	1512	3	47	40	240	10	1	277	773	3379	0	301	475	1248	38
Chondrillida	210	5	1	69	2	559	0	0	22	1	1	0	1	0	1	30	2	13	0	0	14	3	0	0	0	1	10	0	10	0	14	0	0	1	14	17	1	92	1	0	0	12	4	0	5	0	0	0	0	14	0	0	2	1	0	0	1	21	4	0	251	1	0	403	0	6	749	6	11	2	1	8	0	0	13	0	91	16	1	0	1	0	41	304	4	19	3	144	1	0	3	1	0	31	3	5	0	0	13	3	14	0	0	1	2	32	0
Clathrinida	54	236	108	484	153	214	0	3	0	38	2	198	74	21	36	10	61	113	40	15	103	25	14	102	39	36	17	0	13	4	126	0	13	12	26	188	44	18	10	0	37	34	2	189	84	0	3	273	30	1	2	20	11	0	1	4	7	690	1	0	15	2	5	74	9	0	1	4	66	19	3	57	5	7	38	66	91	14	1	25	0	127	47	3875	97	20	7	28	13	27	7	48	19	17	22	130	350	1	16	7	1161	157	43	393	1292	78	33
Clionaida	732	168	93	37	1796	180	122	4490	560	476	166	824	43	166	620	53	38	1238	533	482	602	368	3287	2092	56	16	166	558	4	460	1237	9	5	94	1747	106	45	1524	1482	1592	197	330	55	9	387	869	375	5	131	259	1549	501	133	398	2525	1403	30	537	1365	2603	112	250	291	35	24	18	0	31	123	48	35	34	12	53	16	9	45	61	11	151	12	97	5	7	78	160	8	26	51	97	5	199	12	277	6	30	44	50	5	39	496	61	202	951	135	28	46
Dictyoceratida	338	74	2770	599	1023	548	1801	1349	128	9	2350	155	51	57	997	19	112	3	725	12	128	225	391	56	162	20	73	25	44	52	5563	13	11	9	120	130	3	246	3285	21	1	77	2066	3	175	471	5395	12	161	11	387	33	22	8	73	11	100	19	523	11	433	210	11662	100	94	15120	5	11	10	3658	2	1382	3	164	72	3244	23	476	2	1816	24	3310	86	1178	4	349	20	104	8	186	71	102	20	87	33	511	671	564	10	302	22	535	43	1150	22	281	32
Leucosolenida	3	14	27	0	9	17	34	0	1	16	4	1	4	15	45	1	1	47	61	0	46	9	30	5	6	15	56	1	3	25	40	0	2	20	136	23	3	76	10	0	9	68	28	0	5	35	12	0	1	0	21	1	2	29	4	1	0	20	2	0	11	372	35	43	4	21	1	1	405	6	3	11	6	34	26	25	38	30	14	4	48	28	9	5	61	18	5	16	93	62	13	2	2	61	9	5	26	3	6	61	16	6	5	1	12	2	3
Malacalcyonacea	0	59	4	0	0	438	101	1	0	248	140	27	0	6	0	1	0	35	1	0	0	57	3	22	64	2	1	0	2	17	10	1	0	14	5	0	1	1	167	14	0	8	0	0	0	21	0	0	1	2	2	0	0	0	1	0	0	0	1	0	6	1	0	9	0	0	0	0	0	1	0	3	0	0	0	3	0	0	0	0	1	1	0	121	0	0	5	5	0	0	0	1	1	0	0	1	5	0	0	0	0	2	0	1	1	0	0
