id	PhylumID	SampleID	Abundance	Region	Site	Season	Site2	Month	Site2avgrela
15	Actiniaria	HKBea1Feb	0.132308868	HK	Bea1	Feb	Bea	2	0.055763822
59	Actiniaria	HKBea2Feb	0.021160289	HK	Bea2	Feb	Bea	2	
103	Actiniaria	HKBea3Feb	0.01382231	HK	Bea3	Feb	Bea	2	
14	Balanomorpha	HKBea1Feb	0.104777575	HK	Bea1	Feb	Bea	2	0.121303565
58	Balanomorpha	HKBea2Feb	0.204196791	HK	Bea2	Feb	Bea	2	
102	Balanomorpha	HKBea3Feb	0.054936329	HK	Bea3	Feb	Bea	2	
20	Clionaida	HKBea1Feb	0.00493624	HK	Bea1	Feb	Bea	2	0.008075026
64	Clionaida	HKBea2Feb	0.005290072	HK	Bea2	Feb	Bea	2	
108	Clionaida	HKBea3Feb	0.013998765	HK	Bea3	Feb	Bea	2	
18	Dictyoceratida	HKBea1Feb	0.002174296	HK	Bea1	Feb	Bea	2	0.006181437
62	Dictyoceratida	HKBea2Feb	0.016105331	HK	Bea2	Feb	Bea	2	
106	Dictyoceratida	HKBea3Feb	0.000264683	HK	Bea3	Feb	Bea	2	
22	others	HKBea1Feb	0.010636422	HK	Bea1	Feb	Bea	2	0.023229584
66	others	HKBea2Feb	0.045377065	HK	Bea2	Feb	Bea	2	
110	others	HKBea3Feb	0.013675264	HK	Bea3	Feb	Bea	2	
19	Poecilosclerida	HKBea1Feb	0.005935241	HK	Bea1	Feb	Bea	2	0.004564731
63	Poecilosclerida	HKBea2Feb	0.007494269	HK	Bea2	Feb	Bea	2	
107	Poecilosclerida	HKBea3Feb	0.000264683	HK	Bea3	Feb	Bea	2	
12	Scleractinia	HKBea1Feb	0.517188694	HK	Bea1	Feb	Bea	2	0.587947076
56	Scleractinia	HKBea2Feb	0.524951508	HK	Bea2	Feb	Bea	2	
100	Scleractinia	HKBea3Feb	0.721701026	HK	Bea3	Feb	Bea	2	
16	Semaeostomeae	HKBea1Feb	0	HK	Bea1	Feb	Bea	2	0.018204256
60	Semaeostomeae	HKBea2Feb	8.82E-05	HK	Bea2	Feb	Bea	2	
104	Semaeostomeae	HKBea3Feb	0.054524601	HK	Bea3	Feb	Bea	2	
21	Siphonophorae	HKBea1Feb	0.007580655	HK	Bea1	Feb	Bea	2	0.030088915
65	Siphonophorae	HKBea2Feb	0.061952624	HK	Bea2	Feb	Bea	2	
109	Siphonophorae	HKBea3Feb	0.020733465	HK	Bea3	Feb	Bea	2	
13	Suberitida	HKBea1Feb	0.209878357	HK	Bea1	Feb	Bea	2	0.138271823
