order	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
Acanthuriformes	31735	14271	1010	4206	19248	6495	2611	314	22654	10177	666	6228	34254	14196	9914	3431	29236	15795	38477	9777	43983	5742	6149	10543	18028	12247	128	9612	8812	28475	682	21832	22926	9633	7612	29139	23739	7128	6484	47826	34572	5872	21885	28233	33634	5325	9466	18642	8586	3980	4743	25	5068	2896	3845	1350	31799	3423	6043	9993	15207	7923	19512	39259	32258	12100	25915	23830	17048	15120	20	117	6117	10530	29559	7825	8348	10799	17308	4492	2422	16562	13954	2729	6158	3243	778	6554	11132	16646	2311	15841	13450	6631	20085	1372	2135	8778	7	42	4700	7085	13	2783	1330	23874	28367
Acropomatiformes	0	0	0	0	7	0	0	0	0	0	0	6	0	2	0	12	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anguilliformes	0	1400	0	0	0	3	0	0	3275	13	0	0	0	0	1	0	1	11	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	122	0	3	0	0	0	8	0	15	0	0	0	15	0	7	0	72	0	2260	0	64	0	6	0	2698	0	0	0	817	1	0	0	0	0	0	0	0	0
Atheriniformes	225	48	14524	0	366	2205	93	0	31	10312	15	6755	3752	1376	66	1012	1029	862	558	0	117	57	2291	369	484	1039	0	7	80	89	4535	2200	217	7	24	235	289	155	10	0	16	14	897	0	1568	468	5	4874	1210	29	1138	1	2041	152	225	0	2566	88	50	285	1053	4	27	168	125	2446	62	279	265	193	0	5	4048	1659	909	1679	12948	2528	453	0	64	120	49	16	562	55	184	10	96	267	7438	16	280	59	3429	221	80	4350	0	0	266	72	1	399	208	335	7110
Blenniiformes	77	664	5510	0	128	129	12933	0	3531	464	0	130	3323	1813	1745	2450	871	5097	112	0	101	0	56	71	3230	222	0	0	1815	6874	27	1401	105	125	4	104	135	4104	250	0	5	5919	136	10	399	2110	3505	62	22	891	231	2	14	763	333	869	119	571	77	340	1082	7940	3585	4515	54	2862	26	44	803	1602	0	3	3033	267	25	175	249	7	24	2	783	13	0	2	5932	72	315	1901	2514	84	13443	5	7267	543	7561	671	66	24	4	1	585	45	0	0	497	259	0
Carangaria incertae sedis	4	0	247	0	33	0	174	0	0	0	4	587	6	31	94	35	1	14	157	0	848	0	92	0	7	14	0	0	37	0	1	43	14	2534	0	0	5	30	30	0	7	26	56	0	3	12	716	25	466	19	3495	0	1	19	218	0	68	1381	46	1	4043	11	56	0	81	38	0	74	17	0	0	29	0	81	353	1587	38	0	409	0	2	3	10126	8	48	3	0	10	169	1	21	17	0	0	0	0	392	0	0	0	12072	2	0	0	3403	100	58
Carangaria incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	0	0	9	0	0	0	10	0	0	0	12	0	9	0	6	0	0	0	19	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	5	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45066	0	0	0	67	0	0	0	27	0	0	0	7	0	0	8	0	0	0	0	0
Carangiformes	1167	18	121	0	53	0	179	0	0	14	538	28	19	0	13098	57	1719	1	177	0	155	0	4701	0	294	0	0	16	1085	0	68	36	24	5952	6400	0	36	6	4	0	158	4	0	0	39	39	0	0	9	6	0	2608	5	17	2	0	1	10	0	0	4	4	0	103	0	76	0	4	18	3	0	0	1	1946	51	20	0	2	0	0	0	1	0	0	0	4	112	0	1	0	4269	0	1	2	46	0	382	0	0	0	466	25	0	682	186	257	0
Chaetodontiformes	6	17	2716	0	23	12	290	0	91	24	0	518	20	120	964	30	505	23	123	0	34	22	54	17269	2247	108	0	741	1692	153	5	508	2207	77	9	379	527	289	65	0	625	374	2	19	58	2239	1176	520	519	5232	41	0	748	1573	3	1629	36	7755	1	698	1031	12642	90	1	51	200	207	44	8688	14	0	4245	480	80	206	1029	1671	0	172	260	3321	6	7280	13	219	7	130	25	7	39	224	17	488	192	2	3	35	69	0	48	4037	15	0	892	43	166	31
Characiformes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	123	0	0	11	0	0	0	12909	0	0	0	0
