id	PhylumID	SampleID	Abundance
1	Clupeiformes	HKBea1Aug	0.0229686868041808
2	Acanthuriformes	HKBea1Aug	0.675543351001554
3	Tetraodontiformes	HKBea1Aug	0.0191583115141452
4	Mugiliformes	HKBea1Aug	0.000808906486152798
5	Gobiiformes	HKBea1Aug	0.0108138024990953
6	Syngnathiformes	HKBea1Aug	0.0957276965323456
7	Labriformes	HKBea1Aug	0.00329948698299168
8	Blenniiformes	HKBea1Aug	0.00163909998509909
9	Atheriniformes	HKBea1Aug	0.00478957787853631
10	Perciformes	HKBea1Aug	0.0686931902846074
11	others	HKBea1Aug	0.0965578900312919
12	Clupeiformes	HKBea1Feb	0.559709994821336
13	Acanthuriformes	HKBea1Feb	0.295618850336613
14	Tetraodontiformes	HKBea1Feb	0.00667011910926981
15	Mugiliformes	HKBea1Feb	0.0391506991196271
16	Gobiiformes	HKBea1Feb	0.00314862765406525
17	Syngnathiformes	HKBea1Feb	0.00698083894355256
18	Labriformes	HKBea1Feb	0.00310719834282755
19	Blenniiformes	HKBea1Feb	0.0137545313309166
20	Atheriniformes	HKBea1Feb	0.000994303469704816
21	Perciformes	HKBea1Feb	0.0214810978767478
22	others	HKBea1Feb	0.0493837389953392
23	Clupeiformes	HKBea1May	0.0453488854759039
24	Acanthuriformes	HKBea1May	0.0209621850483583
25	Tetraodontiformes	HKBea1May	0.00130754223568968
26	Mugiliformes	HKBea1May	0.00323772363123158
27	Gobiiformes	HKBea1May	0.00130754223568968
28	Syngnathiformes	HKBea1May	0.000435847411896559
29	Labriformes	HKBea1May	0.348262836744012
30	Blenniiformes	HKBea1May	0.114358059026192
31	Atheriniformes	HKBea1May	0.301440371923125
32	Perciformes	HKBea1May	0.000539620605205263
33	others	HKBea1May	0.162799385662696
34	Clupeiformes	HKBea1Nov	0.0285091814503579
35	Acanthuriformes	HKBea1Nov	0.087270463741052
36	Tetraodontiformes	HKBea1Nov	0.0359165888577653
37	Mugiliformes	HKBea1Nov	0
38	Gobiiformes	HKBea1Nov	0
39	Syngnathiformes	HKBea1Nov	0.847888785143687
40	Labriformes	HKBea1Nov	0
41	Blenniiformes	HKBea1Nov	0
42	Atheriniformes	HKBea1Nov	0
43	Perciformes	HKBea1Nov	0
