#OTU ID	HKBea1Aug	HKBea2Aug	HKBea3Aug	HKSW1Aug	HKSW2Aug	HKSW3Aug	HKSta1Aug	HKSta2Aug	HKSta3Aug
id1	272	168	557	679	136	205	1156	424	43
id10	8	17	8	11	53	42	62	140	1
id100	4	1303	3266	0	60	28	1829	6	22
id101	3	0	0	2	0	0	9	6	7
id102	103	78	0	2200	1049	245	419	11	56
id103	0	0	0	0	0	0	0	0	0
id104	12	0	0	14	0	0	14	8	17
id105	0	0	0	15	5	735	8	0	0
id106	0	0	0	0	0	0	0	0	0
id107	0	0	0	0	0	0	0	0	0
id108	0	0	0	0	0	0	0	0	0
id109	1461	31	599	970	10	747	85	833	24
id11	27	13	17	6026	759	454	118	187	30
id110	0	0	1566	0	0	0	0	0	0
id111	0	0	0	0	0	0	0	0	0
id112	0	0	0	0	26	0	0	0	0
id113	0	0	0	0	0	20	23	0	0
id114	153	1785	1315	1180	3375	2333	41	527	44
id115	2	0	0	0	3	0	2	1	4
id116	0	1	0	119	1	1	0	0	0
id117	0	0	0	0	0	0	0	0	0
id118	272	0	829	21	8	38	10	1	16
id119	0	0	0	2214	32	51	0	0	1
id12	11	7	22	122	108	71	112	68	12
id120	0	0	0	0	0	0	0	0	0
id121	0	0	0	0	0	0	0	0	0
id122	0	0	0	5	0	0	0	0	0
id123	0	0	0	3	2	4	0	3	0
id124	0	0	0	0	0	0	0	0	0
id125	0	0	0	0	0	0	0	0	0
id126	10	9	0	5	0	0	9	74	13
id127	0	0	0	0	0	0	0	0	0
id128	0	0	0	0	0	0	0	0	0
id129	0	0	0	0	0	0	0	0	1
id13	4	154	54	32	53	111	59	18	73
id130	24	0	16	14	1	1	35	229	54
id131	0	0	0	0	0	0	0	0	0
id132	0	0	0	0	0	0	0	0	0
id133	4	19	3258	0	0	0	0	0	0
id134	0	0	0	13	0	0	1	10	0
id135	0	152	0	11	1582	10	0	0	0
id136	0	837	0	0	0	0	0	0	0
id137	0	2056	13	267	0	1	0	0	0
id138	7	0	27	472	29	1146	34	11	8
id139	1	0	593	39	40	7	1	0	0
id14	2	5	3	2	5	0	32	17	0
id140	0	0	0	0	0	0	0	0	0
id141	0	0	0	0	0	0	0	0	0
id142	0	0	0	0	0	0	0	0	0
id143	0	0	0	0	0	0	0	0	9
id144	1	0	3531	805	5	14	1	0	39
id145	0	0	0	0	0	0	0	0	0
id146	0	0	0	0	0	0	0	0	0
id147	3226	1444	1466	451	1379	14	453	896	676
id148	0	0	0	7	5	719	9	0	0
id149	0	0	0	0	0	0	0	0	0
id15	0	0	0	0	5	4	6	12	0
id150	0	0	0	0	0	0	0	0	0
id151	0	0	0	0	0	0	0	0	0
id152	0	37	0	0	0	0	0	0	0
id153	0	0	0	0	0	0	0	0	0
id154	0	0	0	0	0	0	0	0	0
id155	73	0	0	0	0	0	0	0	0
id156	3	0	0	3	3	4	0	0	0
id157	0	0	272	4	332	4	0	0	0
id158	0	0	0	0	0	0	0	0	0
id159	0	0	5	257	7	6	0	0	0
id16	7	8	9	15	30	91	148	15	2
id160	0	5859	21	0	2	0	0	0	0
id161	0	0	0	0	0	0	0	0	0
id162	0	0	0	3	0	1	0	0	0
id163	0	0	0	0	0	0	0	0	0
id164	0	0	0	0	0	0	0	0	0
id165	0	0	0	1	3	1093	9	0	0
id166	4368	8996	9	286	63	5	50	3078	112
id167	122	0	13	606	500	43	52	166	4
id168	7	0	0	1	2	0	2	488	2
id169	0	0	0	364	12	1532	76	1	3
id17	2022	2093	1807	4307	20015	25059	17008	18281	16075
id170	0	0	0	631	2	4	0	0	5
id171	900	68	0	1296	1906	2421	66	96	179
id172	0	0	0	0	0	0	0	0	0
id173	0	0	0	0	0	0	0	0	0
id174	0	0	0	0	0	0	0	0	0
id175	0	951	1	1	5	2	0	103	1
id176	0	5.384615385	0	0	0	0	0	0	0
id177	0	0	2.307692308	0	4.615384615	0	0	0	0
id178	109.2307692	83.07692308	117.6923077	131.5384615	92.30769231	187.6923077	26.15384616	28.46153846	103.0769231
id179	9	10	13.5	5.5	10	6	6	7.5	7.5
id18	91	374	294	1053	2530	2977	602	385	1995
id180	0	1.796407186	1.19760479	5.389221557	7.185628743	6.586826347	2.395209581	5.389221557	4.790419162
id181	0	0	5	4	2.5	5	3.5	5.5	3.5
id182	0	8.337606838	19.46581197	17.5	2.709401709	9.982905983	13.4017094	8.128205128	12.5
id183	0	0.25	0.25	0.75	0	0	0.5	0	0
id184	237.5	307.5	164	81	109.5	85	65	12	129
id185	294.5	298.875	271	278.1875	189.8125	140.5625	103.5	56.4375	228.5
id186	219.6581196	211.9658119	210.2564102	218.8034189	169.2307692	125.6410256	39.31623932	84.61538461	111.965812
id187	12	18.5	20	33	31	35	14.5	5.5	19
id188	10.83333333	9.166666667	10.83333333	7.916666667	15	16.66666667	2.083333333	4.166666667	6.25
id189	4.166666667	8.333333333	9.583333333	15.83333333	6.25	17.91666666	35	13.75	20.83333333
id19	30	81	40	24	58	249	423	1607	75
id190	0	1.5	0.5	0.5	1	1	0	1.5	0.5
id191	18	28	14	18	32	31.5	61	26	13
id192	4.5	0.5	0.5	0	2	0	0	0	0
id193	0	0	0	0	0	0.5	0	0	0
id194	23.07692308	14.52991453	15.38461539	27.35042735	19.65811966	17.09401709	11.11111111	10.25641026	13.67521368
id195	0	0	0	0	0	0	0	0	0
id196	2617.094017	2023.931624	2329.059829	1877.777778	2057.264957	1565.811966	1912.820513	1433.333333	2329.91453
id197	0	0	0	0	0.625	0	0	0	0
id198	36.25	31.5625	25	2.1875	0.3125	0	6.875	2.1875	22.1875
id199	10.8	9.4	7.6	8.4	8.6	7.6	140.8	79.8	15
id2	5	72	4	4	6	10	316	12	30
id20	5	11	10	10	1	0	22	18	3
id200	0	2.045454545	1.136363636	2.5	0.909090909	0.909090909	2.045454545	0	3.181818182
id201	29.375	27.5	35.3125	54.0625	35.3125	35	49.375	34.0625	25
id202	383.4375	244.375	414.6875	263.4375	222.5	179.0625	499.0625	405.9375	470
id203	95.9375	88.75	92.1875	112.1875	138.75	132.8125	90.3125	68.4375	91.25
id204	0	0	0	0	0	0	0	0	0
id205	7.719928187	7.540394974	11.66965889	12.38779174	8.797127469	9.874326751	30.3411131	22.2621185	17.77378815
id206	487.1875	439.0625	631.875	437.1875	280.3125	224.0625	550.9375	497.8125	379.6875
id207	0	1.709401709	7.692307693	7.692307692	11.11111111	15.38461539	5.128205128	0	0
id208	202.8076923	154.7008547	191.8418803	180.4230769	191.551282	191.4230769	110.517094	97.88888889	202.9529914
id209	23.73051785	31.94354665	32.71205919	74.53494218	41.33089133	45.12676865	75.44710192	44.17151476	52.67542915
id21	673	1733	388	3729	1768	377	1131	237	75
id210	111.6666667	151	134.3333333	78.33333333	65	39	87.66666667	61.33333334	107.6666667
id211	14	11	8	26	17	32	6	10	4
id212	0	0	0	0	0	0	0	0	0
