#OTU ID	HKBea1Feb	HKBea2Feb	HKBea3Feb	HKSW1Feb	HKSW2Feb	HKSW3Feb	HKSta1Feb	HKSta2Feb	HKSta3Feb
id1	3566	6948	1868	809	2048	1084	765	12718	9128
id10	17	62	34	5	36	15	98	83	26
id100	54	0	16	0	0	0	0	2	0
id101	0	0	0	0	0	0	0	0	0
id102	98	8	158	7489	249	1	90	941	0
id103	0	0	0	0	0	0	0	0	0
id104	0	0	0	0	0	0	0	0	0
id105	0	0	0	0	0	10	0	0	0
id106	0	0	0	0	0	0	0	3	0
id107	0	0	0	0	0	0	0	0	0
id108	9	0	0	0	0	11	0	0	0
id109	1	0	4	0	0	4	10	0	0
id11	84	604	303	322	522	38	117	197	171
id110	0	0	0	0	0	0	0	0	0
id111	0	0	0	0	2	10	0	4	0
id112	0	0	0	0	0	0	0	0	0
id113	0	0	0	0	0	2789	0	0	0
id114	141	7	257	159	99	55	38	1033	0
id115	0	0	0	0	0	0	0	0	0
id116	9	2	13	4	11	1011	0	410	0
id117	0	0	81	0	0	0	0	0	0
id118	284	3	13	2	4	7	255	3	0
id119	0	0	0	0	0	0	0	0	0
id12	539	1587	60	105	230	18	175	111	100
id120	4	0	0	0	0	6	0	1	0
id121	0	0	0	0	0	0	0	0	0
id122	0	0	0	0	0	0	0	0	0
id123	2	0	0	12	0	8	364	0	0
id124	0	0	0	0	0	0	0	0	0
id125	0	11	0	0	0	4	0	0	0
id126	0	0	0	0	0	2854	80	0	0
id127	0	0	0	0	0	0	0	0	0
id128	0	0	0	22	0	1	0	0	0
id129	0	0	0	1	0	0	0	22	0
id13	29	426	32	52	310	15	7	40	243
id130	593	670	2724	1213	3342	95	0	10126	5
id131	0	28	0	0	0	8	0	0	0
id132	0	0	128	0	0	4	0	0	0
id133	1297	8259	6462	84	135	3	57	50	0
id134	0	0	31	0	0	0	0	0	0
id135	264	0	2	2	1	0	2112	7	8
id136	0	0	0	0	0	0	0	0	0
id137	177	0	0	35	1	0	1	2	0
id138	0	0	1	18	2	0	0	0	0
id139	3	122	0	0	0	0	0	1	0
id14	0	0	0	1	0	0	0	0	1
id140	0	0	0	0	0	0	0	0	0
id141	0	0	0	0	0	0	54	0	0
id142	0	0	0	0	0	0	0	0	0
id143	0	0	0	0	0	0	0	0	0
id144	0	0	0	0	41	6	1023	0	0
id145	0	0	0	0	0	0	1	0	0
id146	1037	2	91	9	11	4	856	34	0
id147	0	0	3	0	0	0	0	0	0
id148	0	0	1	0	0	1	0	0	0
id149	0	0	4	0	0	0	0	0	0
id15	9	0	0	0	0	0	0	0	0
id150	0	0	0	0	0	0	0	0	0
id151	0	0	0	0	0	8	0	2	0
id152	0	0	0	0	0	0	30	0	0
id153	63	3	4611	7	287	229	0	36	0
id154	0	0	0	0	0	0	0	0	0
id155	0	0	0	0	0	0	0	0	0
id156	0	0	0	0	0	0	0	0	0
id157	0	0	15	0	0	528	0	0	0
id158	0	0	17	0	0	6	0	0	0
id159	0	0	0	0	0	0	0	0	0
id16	10	46	26	20	51	2	12	92	25
id160	4	0	0	0	0	1	1	1	0
id161	0	0	0	0	0	0	0	0	0
id162	0	0	0	0	4	5	0	0	0
id163	0	0	0	0	0	0	0	0	0
id164	7	1	22	14	15	0	0	921	0
id165	0	0	0	0	0	0	0	0	0
id166	291	0	1	0	3	0	6505	3	3039
id167	39	6453	4404	31	49	0	0	19	0
id168	0	0	0	0	0	0	0	0	0
id169	0	0	0	0	0	0	0	0	0
id17	6345	8350	14724	1599	8354	12974	13538	8251	6917
id170	0	0	0	0	0	0	0	0	0
id171	239	37	387	79	353	4911	22	3174	23
id172	0	0	0	0	0	0	0	0	0
id173	0	0	0	0	0	0	40	0	0
id174	0	0	0	0	79	0	0	0	0
id175	83	30	578	110	877	7	5830	4955	38617
id176	0.769230769	23.84615385	4.615384615	0	0	0	0	0	10.76923077
id177	0	32.30769231	0	3.076923077	0	0	0	0	0
id178	137.6923077	173.0769231	158.4615385	63.07692308	75.38461538	73.84615385	111.5384615	96.15384615	61.53846154
id179	2	0	0	1	0	0	2.5	0	2
id18	3027	2122	2826	25868	6458	15338	8937	2944	3920
id180	0	4.790419161	2.994011976	0	1.19760479	2.395209581	0	1.796407186	1.19760479
id181	0	3	1.5	0	1	0	0	0	0
id182	46.15384615	11.96581197	5.128205128	5.982905983	4.273504274	0.854700855	73.66666667	11.96581197	8.547008547
id183	28.75	32	42	26.75	12.25	13.25	11.5	11.75	23.5
id184	0	0	0	0	0	0	0	0	0
id185	22.5	25	14.0625	12.1875	17.8125	8.125	30.9375	10	32.8125
id186	0	0	0	0	0.854700855	0	0	0	0
id187	8	13	6.5	5.5	5.5	9.5	9.5	4	13
