#OTU ID	HKBea1May	HKBea2May	HKBea3May	HKSW1May	HKSW2May	HKSW3May	HKSta1May	HKSta2May	HKSta3May
id1	170	208	23	165	332	188	137	189	196
id10	8	34	7	17	27	3	17	48	44
id100	0	0	0	0	0	0	0	0	17
id101	0	0	8	0	3178	4	0	0	0
id102	63	119	11	0	9	1413	1430	21	2468
id103	0	0	0	0	0	0	0	0	0
id104	0	0	0	0	0	0	0	0	0
id105	0	0	16090	0	66	491	0	0	0
id106	0	0	0	0	0	0	0	0	0
id107	0	0	0	0	0	0	0	0	0
id108	0	0	14	0	63	1065	10	0	0
id109	28	62	0	0	0	1	2254	49	3521
id11	57	713	263	394	251	552	194	126	47
id110	0	0	0	0	0	0	0	0	0
id111	0	1	0	0	0	0	1	0	0
id112	0	0	0	0	0	0	0	0	0
id113	0	0	45	0	0	0	0	0	0
id114	16779	694	5780	0	25	2433	5876	1345	11522
id115	0	3	0	0	0	0	0	4	2
id116	0	0	4	0	0	0	0	0	0
id117	1	0	0	0	0	0	0	0	11
id118	0	0	0	0	0	0	0	0	0
id119	0	0	0	0	0	0	0	0	0
id12	20	20	124	3346	97	244	725	103	10
id120	0	0	0	0	0	2	10	0	1
id121	0	0	0	0	0	0	0	0	0
id122	0	0	0	0	0	0	0	0	0
id123	54	10	0	0	0	2	875	9	4
id124	0	0	0	0	0	0	0	0	0
id125	0	0	0	0	0	0	0	19	0
id126	0	0	38	0	467	3	0	0	0
id127	0	0	0	0	0	0	0	0	0
id128	1	0	0	0	0	0	0	0	0
id129	0	0	1	0	0	0	0	0	0
id13	87	110	44	11	347	35	98	99	25
id130	155	407	19	0	5818	131	69	459	159
id131	0	0	0	0	0	0	0	26	0
id132	0	0	0	0	2	0	0	0	47
id133	0	0	0	0	2	2	6	100	32
id134	0	0	0	0	0	0	0	0	0
id135	29	54	0	0	2	1	54	76	17
id136	0	0	0	0	0	0	0	0	0
id137	4488	18	0	0	0	0	34	35	4
id138	103	76	0	0	13	11	124	158	71
id139	0	0	4	0	1	717	4	4	0
id14	3	0	0	0	0	0	0	0	0
id140	0	0	0	0	0	0	0	0	0
id141	0	0	0	0	0	0	0	0	0
id142	0	0	0	0	0	0	0	0	0
id143	0	0	0	0	0	0	0	0	0
id144	0	53	0	0	0	0	0	0	0
id145	0	0	0	0	0	0	0	0	0
id146	15	22	0	0	0	1	53	25	3866
id147	1	1	0	0	0	1	359	7	12
id148	10	21	0	0	1	0	13	49	41
id149	0	0	0	0	0	0	0	0	4
id15	0	0	0	43	4	11	6	0	0
id150	0	0	0	0	0	0	0	0	0
id151	0	0	0	0	1	0	0	0	0
id152	0	0	0	0	0	0	0	0	0
id153	16	271	8	0	2	8	76	17	45
id154	0	0	0	0	0	0	0	0	0
id155	0	0	0	0	0	0	0	0	0
id156	0	0	0	0	0	0	0	0	0
id157	16	36	3	0	0	0	20	31	4309
id158	0	0	0	0	0	1	0	0	5
id159	0	0	13	0	3679	15	0	0	0
id16	35	40	3	10	14	1	81	1	43
id160	9	22	3	0	7	889	1921	15	7
id161	8	22	0	0	4	0	10	43	10
id162	0	2	0	0	2	0	0	0	0
id163	0	0	0	0	0	0	0	0	0
id164	6	8	0	0	0	0	3	35	2
id165	0	0	0	0	0	0	0	0	0
id166	15	20	6	141	13	1641	2968	56	15
id167	0	0	0	0	1	0	0	529	48
id168	0	0	0	0	0	0	0	0	0
id169	0	0	0	0	0	0	0	0	0
id17	1104	648	1423	2602	2257	1005	8321	11706	4203
id170	0	0	8	0	4391	15	0	0	0
id171	30	135	566	0	340	10155	139	75	4279
id172	0	0	0	0	0	0	0	0	0
id173	0	0	0	0	0	0	0	0	0
id174	30	15335	0	0	0	0	35	57	23
id175	3	88	0	2	1	0	4	17	30
id176	0	0	0	0	0	0	0	0	0
id177	1.538461538	0	0	0	0	0	0	0	6.153846154
id178	531.5384616	656.1538461	86.15384615	72.30769231	271.5384616	51.53846153	1125.384615	1104.615385	827.6923076
id179	0	0	0	0	0	0	0	0	0
id18	1433	609	1103	4845	1497	2341	725	1720	52
id180	4.790419162	6.586826347	8.982035928	4.790419162	3.592814371	6.586826347	5.389221557	7.185628743	7.185628743
id181	0	0	0.5	0	1	0	0	1.5	0.5
id182	9.401709402	0	3.418803419	0	0.854700855	1.709401709	0	4.273504274	3.418803419
id183	1.25	0.75	0.75	1.25	2.5	0.5	2.5	0.75	0.5
id184	0	0	0	0	0	0	0	0	0
id185	3.125	5.9375	9.375	4.375	7.5	3.125	8.125	6.875	5.625
id186	10.25641026	5.982905983	5.982905983	0	2.564102564	0	5.982905983	1.709401709	0.854700855
id187	0	0	0	0	1	0	0	0	0
id188	25.41666667	22.08333333	19.16666667	15.41666667	43.33333333	19.16666666	62.5	57.5	29.58333333
