#OTU ID	HKBea1Nov	HKBea2Nov	HKBea3Nov	HKSW1Nov	HKSW2Nov	HKSW3Nov	HKSta1Nov	HKSta2Nov	HKSta3Nov
id1	4293	4114	54	562	0	14	1940	41	80
id10	4	26	9	10	1	3	14	27	21
id100	0	0	30	0	45	68	35	0	0
id101	0	0	0	0	0	0	0	0	0
id102	0	0	26	0	40	110	97	0	139
id103	0	0	0	0	0	0	0	0	0
id104	0	0	0	0	0	0	0	0	0
id105	0	0	0	0	0	0	0	0	0
id106	0	0	0	0	0	0	0	0	0
id107	0	0	0	0	0	0	0	0	0
id108	0	0	0	0	0	0	0	0	0
id109	0	0	42	0	196	39	1609	0	1188
id11	24	83	391	503	17	35	43	37	676
id110	0	0	0	0	0	0	0	0	0
id111	0	0	0	0	0	0	0	0	0
id112	0	0	0	0	0	0	0	0	0
id113	0	0	0	0	0	0	0	0	0
id114	0	0	65	4530	2	43	77	0	1
id115	0	0	0	0	0	0	0	0	0
id116	0	0	0	0	0	0	0	0	0
id117	0	0	0	0	0	0	0	0	0
id118	0	0	0	0	46	73	0	0	46
id119	0	0	0	0	0	0	0	0	0
id12	232	241	44	201	7	247	113	41	145
id120	0	0	0	0	0	0	0	0	0
id121	0	0	0	8	0	0	0	0	0
id122	0	0	0	0	0	0	0	0	0
id123	0	0	0	0	0	0	0	0	1
id124	0	0	0	6	0	0	0	0	0
id125	0	0	0	0	0	0	0	0	0
id126	0	0	0	5	0	23	0	0	0
id127	0	0	0	1	0	0	0	0	0
id128	0	0	0	0	0	0	0	0	0
id129	0	0	0	0	12	6	0	0	17
id13	12	11	167	4	49	679	917	10	318
id130	0	0	0	0	11	17	0	0	9
id131	0	0	0	0	0	0	0	0	0
id132	0	0	0	0	0	0	0	0	0
id133	0	0	0	0	0	25	0	0	0
id134	0	0	0	0	0	0	0	0	0
id135	0	0	2889	3	0	0	1062	0	15
id136	0	0	35	0	0	10	7	0	0
id137	0	0	69	8288	0	24	32	0	0
id138	0	0	0	0	0	0	0	0	0
id139	0	0	0	0	0	0	0	0	0
id14	0	1	0	0	0	0	0	0	9
id140	0	0	0	0	0	0	0	0	0
id141	0	0	0	0	0	0	0	0	0
id142	0	0	0	0	0	0	0	0	0
id143	0	0	0	0	33	39	7	0	71
id144	0	0	0	0	0	0	0	0	20
id145	0	0	0	0	0	0	0	0	0
id146	0	0	0	0	0	0	0	0	7
id147	0	0	28	0	0	27	23	0	0
id148	0	0	0	2	0	0	0	0	0
id149	0	0	0	0	0	0	0	0	0
id15	65	54	0	0	1	47	13	16	12
id150	0	0	0	0	0	0	0	0	0
id151	0	0	0	0	0	0	0	0	0
id152	0	0	44	0	0	0	78	0	21
id153	0	0	0	0	0	0	0	0	0
id154	0	0	0	0	0	0	0	0	0
id155	0	0	0	0	0	0	0	0	0
id156	0	0	0	5	0	0	0	0	0
id157	0	0	0	1	0	0	0	0	0
id158	0	0	0	0	0	0	0	0	0
id159	0	0	0	1	0	0	0	0	0
id16	42	46	160	8	1	4	24	19	29
id160	0	0	113	0	0	74	87	0	0
id161	0	0	0	12	0	0	0	0	0
id162	0	0	0	0	25	1	0	0	0
id163	0	0	0	0	0	0	0	0	0
id164	0	0	0	0	0	0	0	0	0
id165	0	0	0	0	0	0	0	0	0
id166	40864	431	4290	3	105	1632	5497	245	639
id167	0	0	0	0	0	0	0	0	0
id168	0	0	0	0	0	0	0	0	0
id169	0	0	0	0	0	0	0	0	0
id17	1797	1139	5958	4828	9105	4200	7669	9003	5369
id170	0	0	0	0	0	0	0	0	0
id171	0	0	31	10237	0	0	117	0	28
id172	0	0	0	0	0	0	0	0	0
id173	0	0	0	0	36	73	0	0	1716
id174	0	0	0	0	0	0	0	0	0
id175	1731	47035	9547	0	149	379	12451	16441	1388
id176	0	0	6.153846154	20.76923077	0	0	0	3.076923077	0
id177	0	0	0.769230769	4.615384615	0	0	0	0	6.153846154
id178	182.3076923	538.4615385	1222.307692	779.2307692	0	72.30769231	433.0769231	493.0769231	439.2307692
id179	3.5	7	3.5	4	0	4	14	2	3.5
id18	312	912	847	1021	53	4894	1467	1624	2493
id180	11.9760479	4.191616766	8.982035928	8.383233532	0	17.96407186	15.56886228	9.580838323	5.389221557
id181	0	0	0	0	0	0	0	7	0
id182	0	0	0.854700855	8.128205128	0	7.273504274	0	10.25641026	0.854700855
