#OTU ID	LTCC1Aug	LTCC2Aug	LTCC3Aug	LTCMW1Aug	LTCMW2Aug	LTCMW3Aug	LTPC1Aug	LTPC2Aug	LTPC3Aug
id1	115	21	236	144	284	4176	1069	1906	493
id10	216	3	2	3	3	39	968	790	907
id100	0	1	0	1	0	67	10572	389	81
id101	0	0	0	0	0	0	0	0	0
id102	113	1167	133	140	11	1073	262	5284	2764
id103	0	0	0	0	0	0	0	0	0
id104	1	0	0	0	0	17	0	0	1
id105	10	3	10	1	4	0	0	1	0
id106	0	0	0	1	0	0	0	0	0
id107	0	0	0	0	0	0	0	0	0
id108	0	0	0	0	0	0	0	0	0
id109	103	7	133	6	5	2	0	0	3
id11	922	170	315	71	95	251	504	181	191
id110	0	0	0	0	0	0	0	0	0
id111	0	0	0	0	0	0	0	0	0
id112	0	0	0	0	0	90	6305	77	99
id113	0	0	0	0	0	1	0	62	1
id114	423	28	371	25	55	4	23	6	12
id115	0	0	0	0	0	0	1	0	0
id116	6	0	0	0	1	0	0	0	0
id117	0	0	0	0	0	0	0	0	0
id118	12	542	118	3	3	1	0	0	0
id119	54	15	39	23	21	6	0	0	0
id12	77	10	9	51	14	43	360	355	150
id120	0	0	0	0	0	0	0	0	0
id121	0	0	0	0	0	0	0	0	0
id122	0	0	0	0	0	3063	23	23	85
id123	359	1	7	0	0	0	0	0	14
id124	0	0	0	0	0	0	0	0	0
id125	0	0	0	0	0	0	0	0	0
id126	31	0	0	5	0	1	0	0	15
id127	0	0	0	0	0	0	0	0	0
id128	0	0	0	0	0	0	0	0	0
id129	0	0	0	0	0	35	1449	0	7
id13	97	8	20	82	1581	65	459	1027	203
id130	5	0	1	58	0	124	1	1	45
id131	0	0	0	0	0	0	0	0	0
id132	0	0	0	0	0	0	0	0	0
id133	0	0	9	0	0	0	0	0	0
id134	16	0	0	7	0	6	0	0	8
id135	13	5	15	6	4	0	10	0	0
id136	0	0	0	0	0	0	0	0	0
id137	5	1	44	3	2	0	0	0	0
id138	31	8	29	5	4	5	0	6	0
id139	5	0	0	0	0	0	0	0	1
id14	7	0	0	1	0	10	29	2	5
id140	0	0	0	0	0	0	0	0	0
id141	0	0	0	0	0	0	0	0	0
id142	0	0	0	0	0	0	0	0	0
id143	0	0	0	0	0	0	0	0	0
id144	16	4	65	7	3	5	0	0	0
