#OTU ID	LTCC1Feb	LTCC2Feb	LTCC3Feb	LTCMW1Feb	LTCMW2Feb	LTCMW3Feb	LTPC1Feb	LTPC3Feb
id1	9317	5353	3134	5540	5495	7079	3740	4323
id10	43	51	26	39	619	33	278	674
id100	0	0	0	0	8	0	0	8
id101	0	0	0	0	0	0	0	0
id102	151	2	199	7	29	32	1460	1794
id103	0	0	0	0	0	0	0	0
id104	0	0	0	0	0	0	0	0
id105	0	0	0	0	0	0	0	0
id106	2	0	0	0	0	0	0	1776
id107	0	0	0	0	0	0	0	0
id108	8	525	306	18	13	7	8	7
id109	4	3	309	4	38	4	2	0
id11	22	170	233	215	3071	101	148	300
id110	0	0	0	0	0	0	0	0
id111	557	8	8	14	27	21	21	10
id112	0	0	0	0	0	0	0	0
id113	1	7	10	5	9	8	4	0
id114	246	5	971	22	211	406	1577	104
id115	0	0	0	0	0	0	0	0
id116	2	2	1	3	117	2	1	1
id117	0	0	0	0	43	0	0	30
id118	243	375	9	15	17	6	6	0
id119	0	0	0	0	0	0	0	0
id12	7	7	223	218	15	6	22	561
id120	5	3	433	10	17	3	11	2
id121	0	0	0	0	0	0	0	0
id122	0	0	0	0	0	0	0	0
id123	11	5	353	18	18	2178	10	5
id124	0	0	0	0	0	0	0	0
id125	2	3	3	2043	6	3	5	0
id126	2	3	4	10	5	5	3	0
id127	0	0	0	0	0	0	0	0
id128	6	1	4	8	3	188	6	0
id129	31	0	0	2	0	1	0	1522
id13	20	16	138	85	64	69	824	483
id130	3943	2274	2385	8985	5012	2646	6702	6647
id131	5	4	4	2682	23	9	1	0
id132	1	289	1	4	220	6	2	177
id133	4	451	9	187	296	8	2	333
id134	0	0	0	0	7	0	0	21
id135	2	2	1	0	0	0	0	4
id136	0	0	0	0	0	0	0	0
id137	0	0	0	0	0	1	0	0
id138	0	7	0	0	0	0	0	0
id139	17	0	1	2	0	0	0	3
id14	0	0	0	2	0	4	0	6
id140	0	0	0	0	0	0	0	0
id141	0	0	0	0	0	0	0	0
id142	0	0	0	0	0	0	0	0
id143	0	0	0	0	0	0	0	0
