#OTU ID	LTCC1May	LTCC2May	LTCC3May	LTCMW1May	LTCMW2May	LTCMW3May	LTPC1May	LTPC2May	LTPC3May
id1	4611	1380	2883	2130	40	453	135	907	27
id10	1	28	4	55	0	1	28	79	9
id100	0	0	5	0	0	0	0	45	0
id101	1	0	0	0	0	0	0	0	5
id102	20	48	7	126	244	19	2	1311	132
id103	0	0	0	0	0	0	0	0	0
id104	10	0	0	0	0	0	0	0	22
id105	0	0	0	0	0	0	0	0	0
id106	7	0	5	0	0	0	1791	0	0
id107	0	0	0	0	0	0	0	0	0
id108	0	0	0	0	0	0	0	0	0
id109	5	1	0	0	42	0	0	293	3
id11	98	149	238	221	1	1	12	6	761
id110	0	0	0	0	0	0	0	0	0
id111	0	0	0	0	0	0	0	0	0
id112	0	0	0	0	0	0	0	0	1
id113	0	0	4	0	0	0	0	0	115
id114	3828	343	3912	80	2169	17	138	212	5535
id115	0	0	0	0	0	0	0	0	0
id116	0	0	0	0	0	0	0	2	3
id117	0	0	0	0	0	0	0	0	0
id118	5052	20	1662	28	41	88	105	2	6
id119	13	0	0	0	0	0	0	0	19
id12	149	68	54	127	1	1	5	0	109
id120	0	0	0	0	0	0	0	0	0
id121	0	0	0	0	0	0	0	0	0
id122	2	0	0	0	0	0	0	0	4
id123	0	36	0	28	48	20	0	4	0
id124	0	0	0	0	0	0	0	0	0
id125	0	0	0	0	0	0	0	0	0
id126	3	172	0	263	168	77	8	0	512
id127	0	0	0	0	0	0	0	0	0
id128	0	0	0	0	0	0	0	0	0
id129	0	0	0	0	1	0	0	0	0
id13	19	94	122	61	6	13	250	761	33
id130	2683	0	10	0	0	19	26	0	191
id131	0	0	0	0	0	0	0	0	0
id132	0	0	0	0	0	0	0	0	0
id133	0	150	0	220	143	48	0	0	52
id134	10	0	0	0	0	0	4	0	5869
id135	0	87	0	1006	464	52	0	500	0
id136	0	0	0	0	0	0	0	19	0
id137	2	3	0	2	8	3	0	44	3
id138	10	0	57	0	0	0	2	0	17
id139	0	0	0	0	0	0	0	0	8
id14	0	1	0	3	0	0	0	0	12
id140	0	0	0	0	0	0	0	0	0
id141	0	7904	0	112	114	57	0	0	0
id142	0	0	0	0	0	0	0	0	0
id143	0	0	0	0	59	0	0	0	0
id144	4	41	0	60	129	24	0	12	17
id145	0	0	0	0	0	0	0	0	0
id146	0	43	0	70	98	30	0	5	0
id147	109	0	0	0	0	1	1	32	6328
id148	0	0	1	0	0	0	0	0	0
id149	0	0	0	0	0	0	0	0	0
id15	0	3	12	7	0	0	0	0	11
id150	0	0	0	0	0	0	0	0	0
id151	0	0	0	0	0	0	0	0	0
id152	0	1	0	0	1	0	0	1881	0
id153	0	0	0	0	0	0	0	0	0
id154	0	0	0	0	0	0	0	0	0
id155	0	0	0	0	0	0	0	0	128
id156	0	0	0	0	0	0	0	0	0
id157	0	0	0	0	0	0	1	0	0
id158	0	0	0	0	0	0	0	0	0
id159	1	0	0	0	0	0	0	0	3
id16	5	22	24	25	25	7	28	25	30
id160	0	2	0	0	1	0	0	102	0
id161	0	0	0	0	0	0	0	0	0
id162	0	0	0	0	0	0	0	0	0
id163	0	0	0	0	0	0	0	0	0
id164	0	0	0	0	0	0	0	0	0
id165	0	0	5	0	0	0	0	0	0
id166	12	189	1	1903	4122	142	1	1717	308
id167	82	0	778	0	0	0	5	0	469
id168	0	0	0	0	0	0	1	0	1
id169	20	0	25	0	0	0	0	0	73
id17	820	834	895	2144	6593	7158	61	99	271
