#OTU ID	LTCC1Nov	LTCC2Nov	LTCC3Nov	LTCMW1Nov	LTCMW2Nov	LTCMW3Nov	LTPC1Nov	LTPC2Nov	LTPC3Nov
id1	20	4	0	870	160	13	10	37	0
id10	3	2	2	8	0	1	128	109	151
id100	0	5	1	0	1562	0	2820	0	0
id101	0	0	0	0	0	0	0	0	0
id102	0	0	78	0	0	1775	0	2	0
id103	0	0	0	0	0	0	0	0	0
id104	0	0	0	0	0	0	0	0	0
id105	0	0	0	0	0	0	0	0	0
id106	0	0	0	11	0	0	0	0	0
id107	0	0	0	0	0	0	0	0	0
id108	0	0	0	0	0	0	0	0	0
id109	0	17	43	0	16	348	0	17	0
id11	33	80	207	144	29	14	1068	581	742
id110	0	0	0	0	0	0	0	0	0
id111	0	0	0	0	0	0	0	0	0
id112	0	0	0	0	0	0	0	0	0
id113	0	0	0	0	0	0	0	0	0
id114	0	6	0	0	720	9	0	0	0
id115	0	0	0	0	0	0	0	0	0
id116	0	0	0	0	0	0	7	0	0
id117	0	0	0	0	0	0	0	0	0
id118	0	0	34	0	0	37	0	1717	0
id119	0	0	0	0	0	0	0	0	0
id12	24	61	1052	100	7	1	1643	1163	1099
id120	0	0	0	0	0	0	0	0	0
id121	0	0	0	0	0	0	0	0	0
id122	0	0	0	0	0	0	0	0	0
id123	0	0	0	0	0	0	0	0	0
id124	0	0	0	0	0	0	0	0	0
id125	0	0	0	0	0	0	0	0	0
id126	0	0	0	0	0	0	0	1	0
id127	0	0	0	0	0	0	0	0	0
id128	0	0	0	2699	0	0	0	0	0
id129	0	0	0	0	0	0	0	0	0
id13	377	367	103	238	7199	115	715	423	591
id130	0	3	25	0	567	13	0	654	0
id131	0	0	0	0	0	0	0	0	0
id132	0	0	0	0	0	0	0	0	0
id133	0	0	0	0	0	0	0	0	0
id134	0	0	0	0	0	0	1	0	0
id135	0	0	48	0	0	15	0	0	0
id136	0	0	0	0	0	0	0	0	0
id137	0	0	2	0	0	0	0	0	0
id138	0	0	0	0	0	0	0	0	0
id139	0	0	0	0	0	0	0	0	0
id14	0	3	0	0	0	0	4	6	2
id140	0	0	0	0	0	0	95	0	0
id141	0	0	0	0	0	0	0	0	0
id142	0	1	0	0	576	0	0	0	0
id143	0	0	85	0	0	1522	0	7	0
id144	0	0	0	0	0	0	0	0	0
id145	0	0	0	0	0	0	0	0	0
id146	0	0	0	0	0	0	0	0	0
id147	0	0	0	0	0	0	41	0	0
id148	0	99	0	0	0	0	0	0	0
id149	0	0	0	0	0	0	0	0	0
id15	10	4	28	18	10	2	384	245	435
id150	0	8	0	0	1905	0	0	0	0
id151	0	0	0	0	0	0	0	0	0
id152	0	0	0	0	0	0	0	0	0
id153	0	0	0	0	0	0	0	0	0
id154	0	0	0	0	0	0	0	0	0
id155	0	0	0	0	0	0	0	0	0
