#OTU ID	SKBlu1Aug	SKBlu2Aug	SKBlu3Aug	SKLKW1Aug	SKLKW2Aug	SKLKW3Aug	SKSha1Aug	SKSha2Aug	SKSha3Aug
id1	189	5	1287	169	60	13	40	277	301
id10	83	41	96	29	33	88	14	37	113
id100	4456	7	0	24	18	6	1	0	0
id101	0	0	0	0	0	0	0	0	0
id102	2	581	0	1	2	8	129	0	0
id103	0	0	0	0	1	0	0	0	0
id104	0	0	0	0	0	0	0	0	0
id105	0	0	0	0	0	0	0	0	0
id106	0	0	0	0	0	0	0	0	0
id107	5	756	0	5	7	5	0	0	0
id108	0	0	0	0	0	0	0	0	0
id109	0	0	0	0	0	0	0	0	0
id11	970	125	241	359	125	89	52	52	48
id110	0	0	0	0	0	0	0	0	0
id111	0	0	0	0	0	0	0	0	0
id112	0	0	0	0	0	0	0	0	0
id113	0	0	0	0	0	0	0	0	0
id114	25	3002	4	29	1038	3485	345	9	1
id115	0	0	0	0	0	0	0	0	0
id116	1	1	0	172	1	0	0	0	0
id117	0	0	0	0	0	0	0	0	0
id118	0	0	0	0	0	0	0	0	0
id119	0	0	0	0	0	0	0	0	0
id12	1240	652	1018	901	2005	676	512	398	26
id120	0	0	0	0	0	0	0	0	0
id121	0	0	5	0	0	0	5	1595	0
id122	0	0	0	0	0	0	0	0	0
id123	0	0	0	0	0	0	0	0	0
id124	0	0	0	0	0	0	0	0	477
id125	0	0	0	0	0	0	0	0	0
id126	10	22	0	11	1738	2013	0	0	257
id127	1	6	0	1	621	101	0	0	124
id128	0	0	0	0	0	0	0	0	0
id129	0	0	0	0	0	0	0	0	0
id13	614	73	62	64	127	46	325	60	9
id130	0	0	0	0	0	0	2	0	0
id131	0	0	0	0	0	0	0	0	0
id132	0	0	0	0	0	0	0	0	0
id133	0	0	0	0	0	0	0	0	0
id134	13	1853	0	19	15	23	0	0	1
id135	0	0	0	0	0	0	0	0	204
id136	0	0	0	0	0	0	0	0	0
id137	0	0	0	0	0	0	0	2	7
id138	1665	4	283	4	21	5	13	0	0
id139	0	13	0	0	10	0	0	0	0
id14	12	2	19	1	11	0	2	3	0
id140	0	18	0	0	0	0	0	0	0
id141	0	0	0	0	0	0	0	0	0
id142	0	0	0	0	0	0	1	0	0
id143	0	0	0	0	0	0	0	0	0
id144	0	0	0	0	0	0	0	0	0
id145	17	28	0	12	3915	21	0	0	0
id146	0	0	0	0	0	0	0	0	0
id147	2594	19	0	1658	33	12	0	0	0
id148	0	0	2	0	0	0	6	741	0
id149	0	0	0	0	0	0	0	0	0
id15	79	387	111	69	133	136	42	30	0
id150	0	0	0	0	0	0	1	0	0
id151	0	0	0	0	0	0	0	0	0
id152	0	0	0	0	0	0	0	0	0
id153	0	0	0	0	0	0	0	0	0
id154	0	723	0	3	1	2	0	0	0
id155	0	0	0	0	0	0	0	0	0
id156	0	0	7	0	0	0	8	1822	0
id157	0	0	0	0	0	0	0	0	1
id158	0	0	0	0	0	0	0	0	0
id159	0	0	5	0	0	0	12	1909	0
id16	453	877	430	104	207	236	1016	344	37
id160	10	7	0	2978	20	37	0	0	0
id161	0	0	1	0	0	0	459	1	571
id162	0	0	0	0	8	15	1	0	1
id163	0	0	1644	0	0	0	9	2	0
id164	0	0	0	0	0	0	0	0	0
id165	7	488	0	7	1987	11	0	0	0
id166	0	0	5	0	0	0	423	1486	0
