#OTU ID	SKBlu1Feb	SKBlu2Feb	SKBlu3Feb	SKLKW1Feb	SKLKW2Feb	SKLKW3Feb	SKSha1Feb	SKSha2Feb	SKSha3Feb
id1	805	4097	1571	2324	1056	1512	240	773	475
id10	158	280	237	634	230	114	63	17	26
id100	1011	7	11	18	49	5	0	0	0
id101	0	0	0	3	0	0	0	0	3
id102	11	122	54	34	3174	7	17	122	18
id103	0	0	0	0	0	0	0	0	0
id104	0	0	0	0	0	0	0	0	0
id105	0	0	0	0	0	0	11	0	0
id106	9	21	11	41	0	11	0	1	0
id107	0	0	0	0	0	0	0	0	0
id108	0	0	0	23	0	0	0	1	14
id109	0	0	0	0	0	0	47	103	41
id11	47	224	159	460	422	1611	79	36	219
id110	0	0	0	0	0	0	0	0	0
id111	0	0	0	0	0	0	0	19	0
id112	0	0	0	0	0	0	0	0	0
id113	0	0	0	0	0	0	37	0	0
id114	1019	233	37	41	400	11	533	721	155
id115	0	0	0	1	0	0	1	3	342
id116	0	0	0	0	0	0	12	3	0
id117	1588	24	14	35	0	17	0	0	0
id118	0	0	0	1	30	0	0	3	3
id119	0	0	0	0	0	0	3	0	0
id12	164	490	489	576	9220	2975	24	39	19
id120	0	0	0	0	0	0	0	0	0
id121	0	0	0	0	0	0	0	0	0
id122	0	0	0	0	0	0	0	0	0
id123	0	10	0	0	34	0	4	28	2
id124	0	0	0	0	0	0	0	0	0
id125	0	0	0	0	0	88	0	0	0
id126	0	0	0	11	9199	0	28	0	1
id127	0	0	0	0	0	0	0	0	0
id128	0	35	0	0	0	0	0	0	0
id129	0	0	0	0	27	16	0	15	0
id13	136	354	974	268	1146	980	27	94	65
id130	6221	21621	12567	9342	0	14116	11	537	3174
id131	0	0	0	0	0	224	0	0	0
id132	7117	199	68	716	0	97	0	0	4
id133	7483	229	64	1011	9578	1808	3	1	4
id134	551	24	13	38	0	10	0	0	0
id135	0	0	0	21	206	0	35	4231	4487
id136	0	0	0	0	92	0	0	0	0
id137	0	7	0	0	420	0	17	27	17
id138	0	0	0	17	0	0	49	115	7792
id139	0	0	0	0	0	0	0	1	0
id14	0	102	6	4	10	1	0	0	0
id140	0	0	0	0	0	0	0	0	0
id141	0	0	0	0	131	0	0	0	0
id142	0	0	0	0	0	0	0	0	0
id143	0	0	0	0	0	0	0	0	0
id144	0	0	10	0	81	0	1	0	0
id145	0	0	0	0	0	0	0	0	0
id146	0	0	0	0	83	0	15	144	17
id147	672	15	9	31	46	9	2	11	4
id148	1	0	0	10	0	0	20	24	3299
id149	868	15	10	36	0	9	0	0	0
id15	3	3	2	0	107	3	0	0	0
id150	0	0	0	0	0	0	0	0	0
id151	0	0	0	0	0	0	0	37	0
id152	0	0	0	0	1	0	0	0	0
id153	42	60	15493	277	0	42	11420	88	49
id154	0	0	0	0	0	0	0	0	0
id155	0	0	0	0	0	0	0	0	0
id156	0	0	0	0	0	0	0	0	0
id157	3	0	0	0	0	0	86	44	15
id158	1	0	0	0	0	0	0	0	0
id159	0	0	0	7	0	0	0	0	4
id16	181	409	404	883	708	227	7	17	21
id160	0	0	0	0	144	0	9	64	13
id161	0	0	0	2	0	0	12	24	2549
id162	0	0	4	5	1	0	0	0	6
id163	0	0	0	0	0	0	0	0	0
id164	0	0	0	2	0	0	4	36	2287
id165	0	0	0	0	0	0	0	0	0
id166	0	0	0	0	3985	0	15	73	17
id167	1	0	0	0	0	16	0	0	1
id168	0	0	0	0	0	0	0	0	0
id169	0	0	0	0	0	0	0	0	0
id17	871	1324	351	1280	1888	1044	3509	759	1244
id170	0	0	0	5	0	0	1	0	15
id171	1	0	7	7	1	0	251	210	86
id172	0	0	0	0	0	0	0	0	0
id173	0	0	0	0	2	0	0	0	0
id174	0	0	17	0	0	0	48	65	42
id175	2026	141	323	291	1367	75	2	166	792
id176	0	0	0	0	0	14.61538462	6.153846154	0	0
id177	0	13.84615385	0	0	0	18.46153846	0	0	0
id178	623.0769231	531.5384615	426.9230769	347.6923077	629.2307692	876.1538462	42.30769231	26.15384616	63.84615385
id179	0	0	0	0	0	0	0	0	0
id18	43	3588	334	572	1690	554	1075	111	148
id180	3.592814371	5.389221557	5.988023952	0	0	4.790419162	0	0	0
id181	9.5	5.5	6.5	0	0	6.5	0	0	0
id182	24.01282051	9	37.85042735	7.692307692	20.51282051	17.09401709	0	2.5	0
id183	6	18	19.5	13.5	9	21	0.5	0	1
id184	0	0	0	0	0	0	2.5	0.5	0
id185	24.375	48.125	77.8125	29.0625	42.8125	61.5625	8.25	3.125	0.9375
id186	0	2.564102564	1.709401709	0	0	4.273504274	0	3.418803418	0
id187	15.5	3	7	0	0	0	1	0	1
id188	45.83333333	46.25	68.33333334	36.66666667	84.58333333	96.66666667	0.833333333	0	0
id189	10	14.16666667	21.66666666	5.833333333	10.83333333	10.41666667	3.75	1.25	1.25
id19	60	576	218	774	1024	12050	13	4	11
id190	0	1.5	0	2.5	0	0	0	0	0
id191	1469.5	129.5	106.5	1321	733.5	1272	490	294.5	230.5
id192	0	0	0	0	0	0	0	0	0
id193	0	0.5	7	0	0	0	0	0	0
id194	5.982905983	0.854700855	1.709401709	2.564102564	0	0	0	0	0
id195	0	0	0	0	0	0	0	0	0
id196	1435.042735	1294.017094	929.0598291	2305.982906	2672.649573	2026.495726	526.4957264	469.2307692	430.7692308
id197	0.9375	0.3125	2.8125	2.5	0	0	0	0	0
id198	5.3125	5	4.6875	2.8125	2.5	0	9.375	6.25	10
