#OTU ID	SKBlu1May	SKBlu2May	SKBlu3May	SKLKW1May	SKLKW2May	SKLKW3May	SKSha1May	SKSha2May	SKSha3May
id1	9	2	6	19	26	3	10	3379	1248
id10	19	9	7	154	58	209	10	37	108
id100	767	0	0	33	45	0	32	5	996
id101	0	0	0	0	0	0	0	390	12
id102	21	11	7	1089	139	11	0	16	145
id103	0	0	0	0	0	0	0	0	0
id104	0	0	0	0	0	0	0	634	37
id105	0	0	0	0	7	0	0	0	1
id106	0	0	2	0	0	0	0	0	0
id107	0	0	0	0	0	0	0	0	0
id108	0	0	0	0	0	0	0	0	0
id109	1062	1	0	0	2	1	1	61	134
id11	295	86	101	2532	1332	2923	106	308	206
id110	0	0	0	0	0	0	31	0	0
id111	0	0	0	0	0	0	0	0	0
id112	0	0	1	43	1	0	0	0	131
id113	0	34	24	30	8346	15	0	0	0
id114	557	1511	351	32947	4449	6851	7	19	895
id115	0	0	0	0	0	0	0	1	1600
id116	39	0	0	0	0	0	0	2	0
id117	0	0	0	0	0	0	72	0	0
id118	0	1	0	0	5	0	2	5	7
id119	0	0	0	0	0	0	0	9	0
id12	78	59	51	642	994	853	113	33	159
id120	0	0	0	0	0	0	0	0	0
id121	0	0	0	0	0	0	0	0	0
id122	0	0	0	0	0	0	0	4	0
id123	0	0	0	0	0	0	0	0	0
id124	0	0	0	0	0	0	0	0	0
id125	0	0	0	0	0	0	0	0	0
id126	0	32	2262	77	122	2455	0	465	36
id127	0	0	0	0	0	0	0	0	0
id128	0	0	0	0	0	0	0	0	0
id129	0	0	0	4	0	0	0	0	112
id13	5	20	69	35	89	72	71	8	14
id130	0	4	11	13	21	550	23889	1837	175
id131	0	0	0	0	0	0	0	0	0
id132	0	0	0	0	0	0	0	0	0
id133	1	2046	7	21	69	18	16	0	0
id134	0	56	2060	75	229	1333	0	6	2
id135	67	0	0	3	0	0	0	0	17
id136	16	0	0	0	0	0	0	0	0
id137	27	0	0	0	0	0	0	0	0
id138	0	2	0	1	27	87	236	325	37
id139	0	2	1	3	2	280	6	0	0
id14	4	2	1	33	14	68	0	47	43
id140	0	0	0	0	0	0	0	0	0
id141	0	0	0	0	0	0	0	0	0
id142	0	0	0	0	0	0	0	0	0
id143	0	0	0	0	0	0	0	0	0
id144	0	0	0	0	0	0	36	1	0
id145	0	0	0	0	0	0	0	0	0
id146	0	0	0	0	0	0	0	0	0
id147	24	6795	51	221	279	1264	1337	32982	5301
id148	0	0	0	0	3	0	0	0	0
id149	0	0	0	0	0	0	0	0	0
id15	12	7	3	67	141	191	3	0	3
id150	0	0	0	0	0	0	0	0	0
id151	0	0	0	0	0	0	0	0	0
id152	42	0	0	0	0	0	0	0	0
id153	0	0	0	0	0	0	0	0	0
id154	0	0	0	0	0	0	0	0	0
id155	0	2965	36	40	89	11	0	0	0
id156	0	7	0	0	0	0	0	0	0
id157	0	0	0	0	0	0	385	0	2
id158	0	0	0	0	0	0	0	0	0
id159	0	0	0	0	0	0	6410	1	0
id16	90	89	82	159	489	92	9	15	35
id160	158	0	0	0	0	1	0	0	0
id161	0	0	0	0	0	0	0	0	0
id162	31	0	0	0	0	0	0	0	0
id163	0	0	0	0	0	0	0	0	0
id164	0	0	0	0	0	0	0	0	0
id165	0	0	0	0	16	0	0	0	0
id166	217	388	34	1492	134	3281	0	84	5505
id167	0	1357	9	179	302	2055	0	56	344
id168	0	0	1	3	0	52	0	8	62
id169	0	1	1	0	348	0	0	20	3
id17	1602	190	161	1969	2903	2528	159	1423	8039
id170	0	0	0	0	0	0	0	11	0
id171	68	287	255	3432	1485	4961	0	24	264
id172	0	0	0	0	0	0	0	0	0
id173	0	0	0	0	0	0	0	0	0
id174	0	0	0	0	0	0	0	0	0
id175	408	37	98	158	224	4815	2	1	17
id176	0	0	0	0	0	0	0	0	0
id177	0	0	0	0	0	0	0	0	1.538461538
id178	62.30769231	25.38461539	43.07692307	116.1538461	155.3846154	304.6153846	10.76923077	25.38461539	20
id179	0	0	0	0	0	0	0	0	0
id18	409	206	151	994	2466	1915	221	130	473
id180	0	1.796407186	0	1.796407186	2.994011976	0.598802395	0.598802395	0	0.598802395
id181	0	0	0	0	0	0	0	0	0
id182	3.418803419	4.418803419	0	8.482905983	11.04700855	5.773504274	0	1	0
id183	0	0	0	0.75	0	0.75	0	0	0
id184	0	0	0	0	0	0	0	0	0
id185	1.25	0.625	0.625	5	8.4375	9.0625	1.5625	2.5	5.3125
id186	0.854700855	0	4.273504274	0.854700855	1.709401709	1.709401709	2.564102564	0	0
id187	0	0	0	0	0	0	0.5	0	0
id188	3.75	2.916666667	4.583333333	2.916666667	6.25	11.66666667	3.333333333	1.666666667	2.916666667
id189	0	0.833333333	0	0.833333333	2.916666667	0	0.416666667	2.083333333	0
id19	124	149	69	478	1145	4659	66	23	167
id190	0	0	0	0	0	0	0	0	0
id191	29.5	56	64	129.5	10.5	4	19.5	32	24.5
id192	0	0	0	0	0	0	0	0	0
id193	0	0	0	0	0	0	0	0	0
id194	0	0	0	1.709401709	4.273504274	4.273504274	0	1.709401709	0
id195	0	0	0	0	0	0	0	0	0
id196	173.5042735	196.5811966	418.8034188	688.0341881	1064.957265	915.3846154	741.0256411	717.9487179	500
id197	0	0	0.3125	1.5625	1.875	1.5625	0	0.3125	0
id198	0	0	0	0.625	2.1875	0	0	0.625	0.3125
id199	2.4	17.4	21.8	8.4	11.4	8.6	18.8	70.6	54.8
id2	7	0	58	5	42	5	0	4	5
id20	0	0	5	1	20	7	11	343	20
id200	0	0	0	0	0	0	0	0.227272727	0.681818182
id201	40.9375	41.875	47.8125	53.75	73.4375	69.0625	30.625	50.3125	41.875
id202	22.8125	44.0625	44.375	56.5625	95.3125	83.125	25.625	63.125	38.4375
id203	40	41.5625	39.6875	46.5625	97.5	96.875	21.25	25	19.375
id204	0	0	0	0	0.9375	0	0	0	0
id205	0	0.179533214	1.077199282	1.077199282	0.538599641	0.897666068	0	0.897666068	1.795332137
id206	2.1875	3.4375	7.5	18.125	42.1875	25.9375	10.3125	14.375	9.0625
id207	0	0	0	1.709401709	0	0.854700855	0	0	0
id208	110.1794872	248.8675214	257.9786325	330.017094	467.6752137	335.0512821	175.8760684	290.3589743	217.5
id209	0	0	1.709401709	0.854700855	2.564102564	10.25641026	0.854700855	3.418803419	4.273504274
id21	373	153	262	475	405	393	435	1506	992
id210	2	1.333333333	1	3	9.666666667	13	0	0.333333333	0.333333333
id211	2	10	4	4	17	10	0	3	1
id212	0	0	0	0	0	0	0	0	0
id213	0	3.714285714	3.047619048	3.809523809	4	6.857142857	0	1.904761905	0.952380952
id214	0	0	0	0	0	0	0	0	0
id215	0	0	0	0	0	0	0	0	0
id216	0	1	1	4	0	0	0	0	0
id217	74.74012474	79.08523908	103.8669439	73.95010395	90.64449065	80.02079003	45.03118503	50.41580042	50.47817047
id218	7951.207729	7469.565217	7012.560386	6548.792271	5353.140097	5558.937198	7701.449275	6558.454106	7240.57971
id219	0	0	0	0	4.615384615	1.538461538	0	0	0
id22	0	0	0	0	2	0	0	1	0
id220	6	3	11	2	9	8	0	0	0
id221	0	0	0	0	0	0	0	0	0
id222	0	0	2.380952381	0	0	2.380952381	0	0	0
id223	0	0.411522634	0	0	0	0	0	0	0
id224	0.254129606	0.254129606	0.381194409	0.762388818	0.635324015	1.016518424	0	0	0.254129606
id225	0	0	0.384615385	0.192307692	0.576923077	0	0	0	0
id226	0	0	2.777777778	2.222222222	1.111111111	3.333333333	0	0	1.111111111
id227	11	15	11	16	20	52	3	0	1
id228	0	2.314814815	3.703703704	10.64814815	14.81481481	6.944444444	0	0.925925926	1.388888889
id229	0.462962963	0	0	2.314814815	5.092592593	0.462962963	0	0	0.462962963
id23	0	0	0	0	0	0	0	0	0
id230	0	0	0	0	0	0	0	0	0
id231	0	2	1	1	3	0	0	0	0
id232	0	0	0	0	0	0	1.428571429	3.333333333	2.857142857
