#OTU ID	SKBlu1Nov	SKBlu2Nov	SKBlu3Nov	SKLKW1Nov	SKLKW2Nov	SKLKW3Nov	SKSha1Nov	SKSha2Nov	SKSha3Nov
id1	14	6	0	2	0	47	1	0	38
id10	126	151	30	153	179	436	28	73	136
id100	21	31	0	451	2	0	4	0	0
id101	0	0	0	0	0	0	0	0	0
id102	0	47	0	0	9	0	0	0	0
id103	0	0	0	0	0	0	5873	7	0
id104	0	0	0	0	0	0	0	0	0
id105	0	0	0	0	0	0	0	0	0
id106	0	0	0	0	0	0	0	0	0
id107	0	0	0	0	2	0	0	0	0
id108	0	0	0	0	0	0	0	0	0
id109	16	0	0	0	0	0	0	0	0
id11	496	500	99	7760	1022	1669	109	159	937
id110	0	0	0	0	0	0	0	0	0
id111	0	0	0	0	0	0	0	0	0
id112	0	0	0	0	0	0	0	0	0
id113	0	0	0	0	0	0	0	0	0
id114	406	7017	43	0	11	0	3	5	3638
id115	0	0	0	0	0	0	353	1	0
id116	1	0	0	0	0	0	0	0	0
id117	0	0	0	0	0	0	0	0	0
id118	0	0	0	0	0	0	0	0	0
id119	0	0	0	0	0	0	0	0	0
id12	1038	478	288	3780	2430	3944	218	311	624
id120	0	0	0	0	0	0	0	0	0
id121	0	0	0	0	0	0	0	0	0
id122	0	0	0	0	0	0	0	0	0
id123	0	1	0	0	0	0	0	0	0
id124	0	0	0	0	0	0	0	0	0
id125	0	0	0	0	0	0	0	0	0
id126	0	50	0	0	0	0	1	1	0
id127	0	0	0	0	0	0	0	0	0
id128	0	0	0	0	0	1	0	0	0
id129	0	0	0	0	0	0	0	0	0
id13	1615	264	72	5285	595	462	34	8	589
id130	0	0	0	0	0	0	0	0	0
id131	0	0	0	0	0	0	0	0	0
id132	0	0	0	0	0	0	0	0	0
id133	0	71	0	0	0	0	0	0	0
id134	0	0	0	0	21	0	0	0	0
id135	1	0	0	0	0	0	0	0	0
id136	0	8	0	0	0	0	0	0	0
id137	0	23	0	0	0	0	0	0	0
id138	0	0	0	45	0	0	4797	27	0
id139	0	0	0	0	0	0	51	0	0
id14	2	0	19	21	11	7	3	0	68
id140	0	0	0	103	4335	17	0	0	0
id141	0	0	0	0	0	0	0	0	24
id142	0	0	0	0	0	0	0	0	0
id143	0	0	0	0	0	0	0	0	0
id144	0	0	0	0	0	0	0	0	0
id145	0	0	0	0	0	0	14	0	0
id146	0	0	0	0	0	0	0	0	0
id147	0	27	0	89	0	0	1	0	0
id148	0	0	0	0	0	0	0	0	0
id149	0	0	0	0	0	0	0	0	0
id15	385	173	22	293	4153	1390	14	24	31
id150	0	0	0	0	0	0	0	0	0
id151	0	0	0	0	0	0	0	0	0
id152	0	1	0	0	0	0	0	0	0
id153	0	0	0	0	0	0	0	0	0
id154	0	0	0	0	5	0	0	0	0
id155	0	0	0	0	0	0	0	0	0
id156	0	0	0	0	0	0	0	0	0
id157	0	0	0	0	0	0	0	0	0
id158	0	0	0	0	0	0	0	0	0
id159	0	0	0	0	0	0	0	0	0
id16	5936	780	125	806	1904	876	37	42	227
id160	0	178	0	0	0	0	0	0	0
id161	0	0	0	0	0	0	0	0	0
id162	5297	479	33	0	0	0	17635	18367	22
id163	0	0	0	0	0	0	0	0	0
id164	0	0	0	0	0	0	0	0	0
id165	0	0	0	0	11	0	5	0	0
id166	40	5200	10	0	0	0	0	0	24
id167	0	0	0	0	34	0	4	0	0
id168	0	0	0	0	0	0	0	0	0
id169	0	0	0	0	0	0	0	0	0
id17	337	721	362	646	740	997	254	165	181
id170	0	0	0	0	0	0	0	0	0
id171	0	0	1	114	91	3411	0	0	0
id172	0	0	0	0	38	0	0	0	0
id173	0	0	0	0	0	0	0	0	0
id174	0	0	0	0	0	0	0	0	0
id175	93	4507	9	0	0	0	0	0	29
id176	33.07692308	0	0	0.769230769	0	13.07692308	3.076923077	0	0
id177	10	0	10.76923077	13.84615385	4.615384615	3.846153846	16.15384615	24.61538462	27.69230769
id178	1343.846154	945.3846154	489.9999999	1013.846154	899.2307692	1036.153846	76.15384616	240	159.2307692
id179	8	7.5	5	8	6	10.5	4	11	4
id18	1615	1594	513	2653	5898	6554	1321	228	413
