source	target	weight	sparcc
id1	id201	0.7799	0.7799
id101	id104	0.7621	0.7621
id101	id114	0.8084	-0.8084
id101	id213	0.7534	-0.7534
id101	id281	0.7052	0.7052
id101	id82	0.768	0.768
id102	id171	0.8139	0.8139
id102	id245	0.7894	-0.7894
id102	id75	0.802	0.802
id104	id82	0.7616	0.7616
id105	id138	0.7834	0.7834
id105	id147	0.8712	-0.8712
id105	id148	0.8644	0.8644
id105	id165	0.8275	0.8275
id105	id169	0.8504	0.8504
id105	id304	0.7836	-0.7836
id105	id341	0.8112	-0.8112
id105	id380	0.7541	-0.7541
id109	id357	0.8082	0.8082
id11	id119	0.8562	0.8562
id11	id198	0.8125	-0.8125
id11	id210	0.8238	-0.8238
id11	id22	0.7827	0.7827
id11	id287	0.8903	-0.8903
id11	id304	0.8273	-0.8273
id11	id54	0.8279	0.8279
id11	id65	0.9125	0.9125
id11	id94	0.8437	0.8437
id110	id40	0.8754	0.8754
id110	id75	0.7305	-0.7305
id113	id16	0.7308	0.7308
id113	id337	0.7314	-0.7314
id116	id282	0.8426	-0.8426
id116	id34	0.7066	-0.7066
id116	id54	0.7732	0.7732
id119	id159	0.773	0.773
id119	id170	0.8088	0.8088
id119	id22	0.7748	0.7748
id119	id235	0.8471	0.8471
id119	id282	0.8136	-0.8136
id119	id287	0.8103	-0.8103
id119	id294	0.7431	0.7431
id119	id34	0.715	-0.715
id119	id54	0.8886	0.8886
id119	id81	0.8106	0.8106
id119	id94	0.8907	0.8907
id12	id244	0.8411	-0.8411
id12	id250	0.744	-0.744
id12	id304	0.8467	-0.8467
id126	id207	0.7599	-0.7599
id126	id279	0.7725	0.7725
id130	id135	0.7678	-0.7678
id130	id231	0.7422	-0.7422
id130	id255	0.8083	0.8083
id130	id281	0.8551	0.8551
id130	id57	0.801	0.801
id133	id171	0.7935	-0.7935
id133	id245	0.7313	0.7313
id133	id251	0.7609	0.7609
id133	id50	0.7764	0.7764
id133	id73	0.825	-0.825
id133	id90	0.7837	-0.7837
id134	id335	0.7286	0.7286
id135	id38	0.8207	-0.8207
id136	id152	0.7277	0.7277
id136	id58	0.7445	0.7445
id136	id78	0.8281	0.8281
id138	id148	0.7527	0.7527
id138	id169	0.835	0.835
id138	id214	0.7882	-0.7882
id138	id237	0.8178	0.8178
id138	id238	0.7769	0.7769
id138	id287	0.7094	-0.7094
id138	id341	0.7627	-0.7627
id139	id144	0.8045	0.8045
id139	id157	0.8248	0.8248
id139	id51	0.7731	0.7731
id14	id178	0.7737	-0.7737
id14	id215	0.783	-0.783
id14	id226	0.7571	-0.7571
id14	id233	0.8076	-0.8076
id14	id319	0.7385	0.7385
id14	id320	0.8529	0.8529
id14	id321	0.7957	0.7957
id14	id350	0.8026	0.8026
id14	id354	0.7766	-0.7766
id147	id148	0.861	-0.861
id147	id165	0.8313	-0.8313
id147	id169	0.8453	-0.8453
id147	id341	0.8932	0.8932
id147	id6	0.8149	0.8149
id148	id165	0.8585	0.8585
id148	id169	0.8145	0.8145
id148	id341	0.796	-0.796
id148	id6	0.7567	-0.7567
id148	id67	0.7459	0.7459
id15	id185	0.763	-0.763
id152	id160	0.74	0.74
id152	id78	0.7435	0.7435
id155	id386	0.7107	0.7107
id157	id27	0.7502	-0.7502
id159	id170	0.7029	0.7029
id159	id3	0.7181	0.7181
id159	id34	0.799	-0.799
id159	id51	0.8212	0.8212
id159	id54	0.7965	0.7965
id159	id94	0.8131	0.8131
id16	id7	0.8159	0.8159
id160	id221	0.7715	0.7715
id160	id30	0.7351	0.7351
id160	id309	0.8257	-0.8257
id160	id78	0.7878	0.7878
id165	id67	0.7671	0.7671
id166	id42	0.8292	0.8292
id167	id395	0.8516	0.8516
id168	id187	0.8145	-0.8145
id168	id216	0.8481	-0.8481
id168	id243	0.8133	-0.8133
id168	id279	0.7347	0.7347
id168	id299	0.8309	-0.8309
id168	id306	0.8225	0.8225
id168	id365	0.7464	0.7464
id168	id57	0.7752	0.7752
id169	id214	0.7233	-0.7233
id169	id237	0.7794	0.7794
id169	id244	0.8054	-0.8054
id169	id304	0.8419	-0.8419
id169	id341	0.763	-0.763
id169	id380	0.7771	-0.7771
id17	id33	0.9266	-0.9266
id170	id54	0.7952	0.7952
id170	id81	0.7887	0.7887
id170	id94	0.7985	0.7985
id171	id227	0.7801	0.7801
id171	id251	0.8148	-0.8148
id171	id308	0.7822	0.7822
id171	id360	0.7711	0.7711
id171	id40	0.8058	-0.8058
id171	id75	0.8083	0.8083
id178	id199	0.8678	-0.8678
id178	id215	0.915	0.915
id178	id218	0.8622	0.8622
id178	id226	0.7926	0.7926
id178	id233	0.8303	0.8303
id178	id253	0.7779	-0.7779
id178	id259	0.8238	-0.8238
id178	id320	0.8394	-0.8394
id178	id350	0.8245	-0.8245
id18	id235	0.7881	0.7881
id18	id247	0.7847	-0.7847
id18	id6	0.8294	-0.8294
id18	id66	0.8485	0.8485
id180	id318	0.8186	-0.8186
id184	id185	0.9301	0.9301
id184	id218	0.8243	0.8243
id184	id395	0.8641	-0.8641
id184	id401	0.9288	-0.9288
id184	id407	0.8655	-0.8655
id185	id302	0.8217	-0.8217
id185	id323	0.7926	-0.7926
id185	id401	0.8905	-0.8905
id186	id209	0.7834	-0.7834
id186	id383	0.8112	-0.8112
id186	id7	0.7644	-0.7644
id187	id215	0.7957	0.7957
id187	id216	0.8674	0.8674
id187	id226	0.7594	0.7594
id187	id279	0.8257	-0.8257
id187	id290	0.746	-0.746
id187	id299	0.8756	0.8756
id188	id403	0.7061	-0.7061
id189	id209	0.7628	0.7628
id19	id25	0.8429	-0.8429
id19	id283	0.8109	0.8109
id196	id198	0.873	0.873
id196	id210	0.8606	0.8606
id196	id241	0.8572	-0.8572
id196	id26	0.7869	0.7869
id196	id28	0.8475	0.8475
id196	id304	0.8262	0.8262
id196	id380	0.9591	0.9591
id196	id393	0.7694	-0.7694
id198	id210	0.9227	0.9227
id198	id235	0.7965	-0.7965
id198	id241	0.7711	-0.7711
id198	id244	0.8306	0.8306
id198	id245	0.8149	0.8149
id198	id251	0.8586	0.8586
id198	id277	0.7299	-0.7299
id198	id287	0.7259	0.7259
id198	id304	0.8453	0.8453
id198	id343	0.8077	0.8077
id198	id380	0.8775	0.8775
id198	id392	0.8073	0.8073
id198	id398	0.7238	0.7238
id198	id6	0.8872	0.8872
id198	id65	0.8864	-0.8864
id198	id70	0.7973	-0.7973
id199	id205	0.7741	0.7741
id199	id213	0.8605	-0.8605
id199	id215	0.8695	-0.8695
id199	id226	0.8248	-0.8248
id199	id233	0.9213	-0.9213
id199	id234	0.8764	-0.8764
id199	id239	0.8555	-0.8555
id199	id25	0.772	-0.772
id199	id253	0.8004	0.8004
id199	id255	0.8216	0.8216
id199	id257	0.7656	-0.7656
id199	id259	0.8445	0.8445
id199	id278	0.7757	-0.7757
id199	id290	0.7796	0.7796
id199	id291	0.7335	0.7335
id199	id299	0.8206	-0.8206
id199	id350	0.8668	0.8668
id20	id206	0.8281	0.8281
id20	id227	0.7414	-0.7414
id20	id255	0.7918	0.7918
id20	id285	0.7431	0.7431
id20	id333	0.8155	0.8155
id20	id342	0.871	0.871
id20	id354	0.8813	-0.8813
id20	id389	0.8167	0.8167
id20	id391	0.718	0.718
id20	id392	0.7926	0.7926
id20	id398	0.7153	0.7153
id202	id206	0.857	0.857
id202	id231	0.842	-0.842
id202	id235	0.8462	-0.8462
id202	id249	0.9086	0.9086
id202	id251	0.8415	0.8415
id202	id255	0.9012	0.9012
id202	id285	0.7721	0.7721
id202	id291	0.785	0.785
id202	id392	0.8416	0.8416
id202	id398	0.7866	0.7866
id202	id70	0.8407	-0.8407
id202	id75	0.8551	-0.8551
id202	id94	0.755	-0.755
id202	id97	0.8927	-0.8927
id205	id233	0.8044	-0.8044
id205	id234	0.7843	-0.7843
id205	id259	0.7131	0.7131
id205	id278	0.759	-0.759
id205	id404	0.809	0.809
id206	id210	0.8157	0.8157
id206	id227	0.8741	-0.8741
id206	id235	0.9444	-0.9444
id206	id245	0.8125	0.8125
id206	id249	0.8695	0.8695
id206	id251	0.961	0.961
id206	id285	0.797	0.797
id206	id301	0.7865	-0.7865
id206	id342	0.9302	0.9302
id206	id343	0.9155	0.9155
id206	id389	0.8397	0.8397
id206	id392	0.9356	0.9356
id206	id6	0.9568	0.9568
id206	id66	0.8417	-0.8417
id206	id75	0.8438	-0.8438
id208	id396	0.7231	-0.7231
id210	id244	0.8324	0.8324
id210	id251	0.8563	0.8563
id210	id277	0.74	-0.74
id210	id287	0.7367	0.7367
id210	id304	0.8244	0.8244
id210	id343	0.872	0.872
id210	id380	0.9048	0.9048
id210	id392	0.7982	0.7982
id210	id6	0.9194	0.9194
id210	id65	0.9176	-0.9176
id210	id73	0.7998	-0.7998
id213	id226	0.766	0.766
id213	id239	0.8384	0.8384
id213	id51	0.7915	0.7915
id214	id304	0.7248	0.7248
id214	id384	0.7341	0.7341
id215	id216	0.9251	0.9251
id215	id218	0.8102	0.8102
id215	id226	0.8878	0.8878
id215	id233	0.9128	0.9128
id215	id234	0.8807	0.8807
id215	id239	0.8622	0.8622
id215	id240	0.8232	0.8232
id215	id243	0.8382	0.8382
id215	id253	0.7688	-0.7688
id215	id255	0.8342	-0.8342
id215	id257	0.7431	0.7431
id215	id259	0.8803	-0.8803
id215	id278	0.7195	0.7195
id215	id279	0.8459	-0.8459
id215	id290	0.8017	-0.8017
id215	id291	0.8241	-0.8241
id215	id299	0.9271	0.9271
id215	id320	0.8974	-0.8974
id215	id321	0.8126	-0.8126
id215	id350	0.8536	-0.8536
id216	id226	0.8044	0.8044
id216	id233	0.8201	0.8201
id216	id234	0.8644	0.8644
id216	id239	0.8037	0.8037
id216	id243	0.9231	0.9231
id216	id253	0.7139	-0.7139
id216	id255	0.8006	-0.8006
id216	id259	0.8234	-0.8234
id216	id279	0.8513	-0.8513
id216	id290	0.8112	-0.8112
id216	id291	0.8224	-0.8224
id216	id299	0.9813	0.9813
id216	id57	0.7791	-0.7791
id217	id313	0.8328	-0.8328
id218	id234	0.8967	0.8967
id218	id259	0.8236	-0.8236
id218	id319	0.784	-0.784
id218	id320	0.8044	-0.8044
id218	id395	0.7868	-0.7868
id218	id401	0.8436	-0.8436
id218	id403	0.8033	-0.8033
id22	id287	0.7247	-0.7247
id22	id54	0.7906	0.7906
id22	id94	0.725	0.725
