source	target	weight	sparcc
id1	id37	0.8809	-0.8809
id10	id248	0.8149	-0.8149
id100	id259	0.7862	0.7862
id11	id16	0.8193	0.8193
id113	id342	0.7448	0.7448
id113	id343	0.8204	0.8204
id113	id350	0.7149	0.7149
id113	id52	0.8436	0.8436
id113	id59	0.8662	0.8662
id114	id164	0.7599	0.7599
id114	id185	0.7338	-0.7338
id114	id187	0.8016	-0.8016
id114	id8	0.8062	-0.8062
id116	id171	0.9604	0.9604
id116	id185	0.7569	-0.7569
id116	id71	0.803	0.803
id118	id146	0.8669	0.8669
id118	id202	0.8326	-0.8326
id118	id84	0.7094	0.7094
id12	id302	0.7512	-0.7512
id13	id96	0.8287	0.8287
id130	id46	0.8985	0.8985
id130	id71	0.8033	0.8033
id133	id167	0.9063	0.9063
id133	id178	0.8201	0.8201
id133	id255	0.7769	-0.7769
id133	id287	0.801	-0.801
id133	id295	0.7836	0.7836
id133	id406	0.7865	0.7865
id135	id166	0.8049	0.8049
id135	id182	0.8073	0.8073
id135	id207	0.7914	-0.7914
id139	id28	0.7819	0.7819
id139	id302	0.7514	-0.7514
id141	id78	0.7768	0.7768
id146	id202	0.869	-0.869
id146	id205	0.7218	-0.7218
id152	id78	0.7216	0.7216
id157	id24	0.7474	-0.7474
id157	id306	0.7988	0.7988
id164	id384	0.7633	-0.7633
id164	id392	0.732	-0.732
id164	id46	0.7794	0.7794
id164	id48	0.8487	0.8487
id166	id207	0.8382	-0.8382
id166	id273	0.7175	0.7175
id166	id286	0.8348	0.8348
id166	id31	0.7547	0.7547
id167	id204	0.7501	-0.7501
id167	id287	0.7924	-0.7924
id173	id78	0.776	0.776
id178	id18	0.8382	-0.8382
id178	id232	0.8835	-0.8835
id178	id240	0.8863	0.8863
id178	id253	0.8466	-0.8466
id178	id255	0.8273	-0.8273
id178	id272	0.8161	-0.8161
id178	id283	0.8683	-0.8683
id178	id287	0.7696	-0.7696
id178	id290	0.8362	-0.8362
id178	id291	0.8633	-0.8633
id178	id302	0.8134	-0.8134
id178	id397	0.8097	0.8097
id18	id198	0.7725	0.7725
id18	id232	0.8635	0.8635
id18	id253	0.8482	0.8482
id18	id272	0.8365	0.8365
id18	id283	0.9047	0.9047
id18	id290	0.8109	0.8109
id18	id302	0.7404	0.7404
id18	id308	0.7674	-0.7674
id18	id97	0.7811	0.7811
id185	id286	0.7646	0.7646
id185	id70	0.8095	-0.8095
id185	id71	0.8059	-0.8059
id185	id72	0.7955	-0.7955
id187	id8	0.7125	0.7125
id188	id19	0.7239	0.7239
id188	id97	0.7292	-0.7292
id19	id237	0.9315	0.9315
id19	id248	0.8986	-0.8986
id19	id293	0.7681	-0.7681
id19	id306	0.7852	-0.7852
id191	id97	0.7474	-0.7474
id196	id255	0.8421	0.8421
id196	id309	0.8544	0.8544
id197	id204	0.7718	0.7718
id197	id232	0.7405	0.7405
id197	id255	0.818	0.818
id197	id272	0.7795	0.7795
id197	id287	0.7784	0.7784
id199	id309	0.8368	0.8368
id204	id232	0.8236	0.8236
id204	id255	0.7777	0.7777
id204	id272	0.8222	0.8222
id204	id279	0.7498	0.7498
id204	id287	0.8153	0.8153
id206	id227	0.8072	-0.8072
id206	id260	0.7157	-0.7157
id206	id72	0.7612	-0.7612
id208	id5	0.826	0.826
id21	id319	0.8723	0.8723
id21	id331	0.7216	0.7216
id21	id53	0.7226	-0.7226
id216	id255	0.8162	-0.8162
id216	id298	0.7539	0.7539
id216	id309	0.8023	-0.8023
id216	id397	0.7899	0.7899
id216	id406	0.829	0.829
id218	id31	0.7517	0.7517
id227	id354	0.8322	-0.8322
id232	id253	0.8501	0.8501
id232	id255	0.8468	0.8468
id232	id272	0.9081	0.9081
id232	id283	0.833	0.833
id232	id287	0.8146	0.8146
id232	id291	0.7966	0.7966
id232	id302	0.7566	0.7566
id237	id240	0.7885	0.7885
id237	id248	0.8557	-0.8557
id24	id42	0.8331	0.8331
id24	id57	0.8461	-0.8461
id240	id253	0.8439	-0.8439
id240	id283	0.8935	-0.8935
id240	id290	0.9028	-0.9028
id240	id291	0.8243	-0.8243
id240	id302	0.8396	-0.8396
id240	id308	0.7213	0.7213
id240	id320	0.806	0.806
id240	id355	0.8422	0.8422
id240	id397	0.8378	0.8378
id241	id299	0.7537	-0.7537
id248	id249	0.8342	0.8342
id248	id293	0.7707	0.7707
id249	id264	0.7766	-0.7766
id249	id265	0.8137	-0.8137
id249	id286	0.7882	-0.7882
id249	id293	0.8025	0.8025
id249	id70	0.8216	0.8216
id25	id67	0.7773	-0.7773
id253	id255	0.8574	0.8574
id253	id272	0.9492	0.9492
id253	id283	0.9302	0.9302
id253	id287	0.7407	0.7407
id253	id290	0.9603	0.9603
id253	id320	0.8557	-0.8557
id253	id321	0.8376	-0.8376
id253	id397	0.8029	-0.8029
id253	id97	0.7957	0.7957
id254	id396	0.7238	-0.7238
id255	id272	0.9034	0.9034
id255	id279	0.7464	0.7464
id255	id287	0.8541	0.8541
id255	id309	0.9093	0.9093
id255	id354	0.8888	0.8888
id255	id359	0.7902	-0.7902
id255	id395	0.8231	-0.8231
id255	id397	0.7887	-0.7887
id255	id398	0.8485	-0.8485
id259	id299	0.8337	0.8337
id259	id60	0.7464	0.7464
id264	id265	0.7888	0.7888
id264	id273	0.7837	0.7837
id264	id286	0.8344	0.8344
id264	id31	0.7944	0.7944
id264	id71	0.7808	-0.7808
id265	id273	0.7762	0.7762
id265	id286	0.8611	0.8611
id265	id293	0.7673	-0.7673
id265	id70	0.7945	-0.7945
id27	id406	0.8502	0.8502
id272	id283	0.8634	0.8634
id272	id287	0.8193	0.8193
id272	id290	0.8859	0.8859
id272	id291	0.8031	0.8031
id273	id286	0.7743	0.7743
id279	id287	0.7269	0.7269
id279	id354	0.7674	0.7674
id283	id290	0.9139	0.9139
id283	id308	0.7534	-0.7534
id283	id355	0.8635	-0.8635
id283	id397	0.815	-0.815
id283	id97	0.7681	0.7681
id285	id302	0.7391	0.7391
id286	id293	0.7841	-0.7841
id286	id31	0.8156	0.8156
id286	id70	0.7956	-0.7956
id287	id291	0.8415	0.8415
id289	id382	0.738	0.738
id290	id320	0.8903	-0.8903
id290	id321	0.8712	-0.8712
id290	id355	0.8549	-0.8549
id290	id397	0.824	-0.824
id290	id97	0.7816	0.7816
id291	id302	0.8031	0.8031
id291	id397	0.7525	-0.7525
id293	id70	0.8253	0.8253
id295	id323	0.7903	0.7903
id295	id328	0.8009	0.8009
id296	id70	0.7626	0.7626
id296	id71	0.7392	0.7392
id298	id406	0.8122	0.8122
id309	id323	0.7845	-0.7845
id309	id359	0.7518	-0.7518
id309	id398	0.8193	-0.8193
id319	id53	0.7007	-0.7007
id32	id407	0.7586	-0.7586
id320	id321	0.9065	0.9065
id320	id394	0.8305	0.8305
id320	id397	0.86	0.86
id321	id355	0.8391	0.8391
id321	id370	0.7612	0.7612
id323	id398	0.7618	0.7618
id323	id406	0.8145	0.8145
id333	id388	0.8073	0.8073
id333	id394	0.8117	0.8117
id333	id395	0.8266	0.8266
id333	id401	0.8351	0.8351
id333	id48	0.7355	-0.7355
id335	id343	0.7839	0.7839
id335	id50	0.8238	-0.8238
id335	id51	0.7993	-0.7993
id337	id406	0.7162	-0.7162
id342	id59	0.7418	0.7418
id343	id350	0.7408	0.7408
id347	id72	0.8217	-0.8217
id354	id359	0.7749	-0.7749
id354	id388	0.8775	-0.8775
id355	id397	0.9315	0.9315
id355	id52	0.7444	-0.7444
id355	id59	0.7116	-0.7116
id360	id38	0.8041	-0.8041
id379	id384	0.7145	0.7145
id38	id399	0.8481	-0.8481
id384	id48	0.7155	-0.7155
id386	id387	0.8722	0.8722
id388	id401	0.8948	0.8948
id394	id395	0.8907	0.8907
id394	id399	0.8126	0.8126
id394	id401	0.8189	0.8189
id394	id48	0.8393	-0.8393
id395	id398	0.7576	0.7576
id395	id399	0.9527	0.9527
id397	id398	0.7721	0.7721
id42	id57	0.7907	-0.7907
id46	id48	0.7779	0.7779
id46	id71	0.8815	0.8815
id65	id78	0.7675	0.7675
id70	id71	0.8961	0.8961
id9	id99	0.7525	0.7525
