nodes_id	degree	modularity	Zi	Pi
id1	1	22	0	0
id10	1	2	-1.20189483775053	0
id100	1	12	-0.670820393249937	0
id11	1	18	0	0
id113	5	4	2.1339479988816	0
id114	4	1	0.193649167310371	0.375
id116	3	2	-0.330956549525509	0
id118	3	7	1	0
id12	1	3	-1.38827385585658	0
id13	1	20	0	0
id130	2	2	-0.76642569363802	0
id133	6	3	-0.640741779626113	0.444444444444444
id135	3	2	-0.330956549525509	0
id139	2	17	0	0.5
id141	1	9	-0.447213595499958	0
id146	3	7	1	0
id152	1	9	-0.447213595499958	0
id157	2	8	0	0
id16	1	18	0	0
id164	5	1	0.968245836551854	0.32
id166	5	2	0.539981738699514	0
id167	3	3	-0.889919138369601	0
id171	1	2	-1.20189483775053	0
id173	1	9	-0.447213595499958	0
id178	13	3	1.60185444906528	0
id18	10	3	0.854322372834817	0
id182	1	2	-1.20189483775053	0
id185	6	2	0.104512594587003	0.5
id187	2	1	-0.580947501931113	0
id188	2	2	-1.20189483775053	0.5
id19	5	2	0.104512594587003	0.32
id191	1	3	-1.38827385585658	0
id196	2	5	-0.856348838577675	0.5
id197	5	3	-0.391564420882624	0
id198	1	3	-1.38827385585658	0
id199	1	5	-0.856348838577675	0
id202	2	7	0	0
id204	7	3	0.106790296604352	1.11022302462516e-16
id205	1	7	-1	0
id206	3	6	1.70084012854152	0
id207	2	2	-0.76642569363802	0
id208	1	19	0	0
id21	3	10	1.22474487139159	0
id216	5	5	0.428174419288838	0.48
id218	1	2	-1.20189483775053	0
id227	2	6	0.377964473009227	0
id232	11	3	1.10349973157831	0
id237	3	2	-0.76642569363802	0.444444444444444
id24	3	8	1.41421356237309	0
id240	11	3	0.854322372834817	0.165289256198347
id241	1	12	-0.670820393249937	0
id248	5	2	0.539981738699514	0
id249	6	2	0.975450882812026	0
id25	1	16	0	0
id253	13	3	1.60185444906528	0
id254	1	11	0	0
id255	17	3	0.854322372834817	0.581314878892734
id259	3	12	1.56524758424985	0
id260	1	6	-0.944911182523068	0
id264	6	2	0.975450882812026	0
id265	6	2	0.975450882812026	0
id27	1	5	-0.856348838577675	0
id272	11	3	1.10349973157831	0
id273	4	2	0.104512594587003	0
id279	4	3	-0.889919138369601	0.375
id28	1	17	0	0
id283	11	3	1.10349973157831	0
id285	1	3	-1.38827385585658	0
id286	9	2	2.28185831514956	0
id287	11	3	1.10349973157831	0
id289	1	13	0	0
id290	11	3	1.10349973157831	0
id291	7	3	0.106790296604352	1.11022302462516e-16
id293	6	2	0.975450882812026	0
id295	3	5	-0.214087209644419	0.444444444444444
id296	2	2	-0.76642569363802	0
id298	2	5	-0.214087209644419	0
id299	2	12	0.447213595499958	0
id302	8	3	0.106790296604352	0.21875
id306	2	8	-1.41421356237309	0.5
id308	3	3	-0.889919138369601	0
id309	7	5	1.71269767715535	0.448979591836735
id31	4	2	0.104512594587003	0
id319	2	10	0	0
id32	1	15	0	0
id320	6	3	-0.391564420882624	0.277777777777778
id321	5	3	-0.391564420882624	0
id323	4	5	1.07043604822209	0
id328	1	5	-0.856348838577675	0
id331	1	10	-1.22474487139159	0
id333	5	1	1.74284250579334	0
id335	3	4	0.597505439686848	0
id337	1	5	-0.856348838577675	0
id342	2	4	-0.170715839910528	0
id343	3	4	0.597505439686848	0
id347	1	6	-0.944911182523068	0
id350	2	4	-0.170715839910528	0
id354	5	6	0.377964473009227	0.64
id355	7	3	-0.391564420882624	0.408163265306122
id359	3	6	-0.944911182523068	0.666666666666667
id360	1	1	-1.3555441711726	0
id37	1	22	0	0
id370	1	3	-1.38827385585658	0
id379	1	1	-1.3555441711726	0
id38	2	1	-0.580947501931113	0
id382	1	13	0	0
id384	3	1	0.193649167310371	0
id386	1	21	0	0
id387	1	21	0	0
id388	3	1	-0.580947501931113	0.444444444444444
id392	1	1	-1.3555441711726	0
id394	6	1	1.74284250579334	0.277777777777778
id395	5	1	0.193649167310371	0.56
id396	1	11	0	0
id397	11	3	0.605145014091329	0.297520661157025
id398	5	5	-0.214087209644419	0.64
id399	3	1	0.193649167310371	0
id401	3	1	0.193649167310371	0
id406	6	5	1.71269767715535	0.277777777777778
id407	1	15	0	0
id42	2	8	0	0
id46	4	2	-0.76642569363802	0.5
id48	5	1	0.968245836551854	0.32
id5	1	19	0	0
id50	1	4	-0.938937119507904	0
id51	1	4	-0.938937119507904	0
id52	2	4	-0.938937119507904	0.5
id53	2	10	0	0
id57	2	8	0	0
id59	3	4	-0.170715839910528	0.444444444444444
id60	1	12	-0.670820393249937	0
id65	1	9	-0.447213595499958	0
id67	1	16	0	0
id70	7	2	1.41092002692454	1.11022302462516e-16
id71	7	2	1.41092002692454	1.11022302462516e-16
id72	3	6	0.377964473009227	0.444444444444444
id78	4	9	1.78885438199983	0
id8	2	1	-0.580947501931113	0
id84	1	7	-1	0
id9	1	14	0	0
id96	1	20	0	0
id97	6	3	-0.391564420882624	0.277777777777778
id99	1	14	0	0
