source	target	weight	sparcc
id1	id259	0.8666	-0.8666
id1	id33	0.8895	0.8895
id101	id126	0.8495	0.8495
id101	id159	0.9178	0.9178
id101	id170	0.9067	0.9067
id101	id30	0.7828	0.7828
id102	id255	0.7929	-0.7929
id102	id272	0.8378	-0.8378
id102	id303	0.7368	-0.7368
id105	id398	0.7566	-0.7566
id105	id57	0.8231	0.8231
id108	id139	0.7868	0.7868
id108	id199	0.8937	-0.8937
id108	id209	0.7424	-0.7424
id108	id57	0.8956	0.8956
id108	id81	0.8454	0.8454
id108	id84	0.8834	0.8834
id108	id90	0.8238	0.8238
id109	id146	0.892	0.892
id109	id147	0.7747	0.7747
id109	id148	0.7921	0.7921
id109	id157	0.8172	0.8172
id109	id178	0.8315	0.8315
id109	id307	0.77	-0.77
id109	id342	0.8087	-0.8087
id109	id350	0.8247	-0.8247
id109	id389	0.8024	-0.8024
id109	id394	0.8452	0.8452
id109	id43	0.8	0.8
id109	id60	0.9462	0.9462
id109	id61	0.7733	0.7733
id109	id66	0.8406	0.8406
id11	id337	0.8341	0.8341
id11	id343	0.9103	0.9103
id11	id354	0.8486	0.8486
id11	id360	0.7841	0.7841
id11	id380	0.708	0.708
id11	id382	0.7515	0.7515
id11	id73	0.8462	-0.8462
id113	id33	0.7453	-0.7453
id114	id206	0.8035	-0.8035
id12	id26	0.8007	-0.8007
id12	id282	0.7537	0.7537
id123	id147	0.7449	0.7449
id123	id213	0.7407	-0.7407
id123	id66	0.842	0.842
id126	id159	0.8573	0.8573
id126	id170	0.8636	0.8636
id126	id30	0.7675	0.7675
id126	id398	0.7603	-0.7603
id13	id130	0.8366	0.8366
id13	id75	0.7887	0.7887
id130	id42	0.7856	0.7856
id130	id75	0.8383	0.8383
id133	id167	0.7553	0.7553
id133	id365	0.8212	-0.8212
id133	id38	0.7446	0.7446
id133	id384	0.788	-0.788
id133	id392	0.8207	-0.8207
id135	id138	0.8835	0.8835
id135	id148	0.8607	0.8607
id135	id153	0.7523	0.7523
id135	id161	0.8652	0.8652
id135	id164	0.7666	0.7666
id135	id178	0.8948	0.8948
id135	id282	0.7224	-0.7224
id135	id283	0.8484	-0.8484
id135	id307	0.7763	-0.7763
id135	id46	0.8142	0.8142
id135	id50	0.7312	0.7312
id135	id52	0.8303	0.8303
id135	id53	0.8968	0.8968
id135	id60	0.7956	0.7956
id135	id61	0.8724	0.8724
id135	id66	0.8459	0.8459
id135	id72	0.8705	0.8705
id135	id78	0.8426	0.8426
id137	id382	0.7441	-0.7441
id137	id51	0.9172	0.9172
id137	id53	0.7964	0.7964
id137	id64	0.8869	0.8869
id138	id148	0.8081	0.8081
id138	id161	0.7869	0.7869
id138	id283	0.8379	-0.8379
id138	id289	0.798	-0.798
id138	id307	0.8467	-0.8467
id138	id380	0.7391	-0.7391
id138	id53	0.8111	0.8111
id138	id60	0.81	0.81
id138	id61	0.7552	0.7552
id138	id72	0.8511	0.8511
id139	id209	0.7723	-0.7723
id139	id57	0.7649	0.7649
id139	id81	0.8043	0.8043
id139	id84	0.8463	0.8463
id146	id148	0.7989	0.7989
id146	id157	0.902	0.902
id146	id18	0.8206	-0.8206
id146	id306	0.7075	-0.7075
id146	id342	0.8303	-0.8303
id146	id350	0.8363	-0.8363
id146	id394	0.8161	0.8161
id146	id43	0.8979	0.8979
id146	id60	0.8505	0.8505
id147	id379	0.7258	-0.7258
id147	id392	0.7673	-0.7673
id147	id60	0.8069	0.8069
