nodes_id	degree	modularity	Zi	Pi
id1	2	9	0.377964473009227	0
id101	4	5	-0.438357003759605	0
id102	3	6	0.739940073395944	0
id105	2	5	-1.50293829860436	0
id108	7	5	1.15851493850753	1.11022302462516e-16
id109	14	3	1.36771241985067	0.336734693877551
id11	7	1	0.0937820598949257	1.11022302462516e-16
id113	1	9	-0.944911182523068	0
id114	1	4	-1.30236471318669	0
id12	2	4	-1.30236471318669	0.5
id123	3	3	-0.890098558950439	0
id126	5	5	0.0939336436627726	0
id13	2	14	0	0
id130	3	14	1.22474487139159	0
id133	5	2	0.178993484119269	0
id135	18	3	2.21439153690109	0.345679012345679
id137	4	16	0	0.625
id138	11	1	-0.750256479159406	0.462809917355372
id139	5	5	0.0939336436627726	0
id146	10	3	0.803259675150396	0.18
id147	6	3	-0.6078721866003	0.5
id148	17	3	1.93216516455095	0.359861591695502
id15	2	3	-1.17232493130058	0
id153	9	3	0.521033302800257	0.197530864197531
id157	7	3	0.238806930450118	1.11022302462516e-16
id159	6	5	0.62622429108515	0
id160	2	6	-0.134534558799262	0
id161	9	3	0.238806930450118	0.345679012345679
id164	5	3	-0.325645814250161	0
id167	1	2	-1.16345764677525	0
id17	1	2	-1.16345764677525	0
id170	8	5	1.15851493850753	0.21875
id171	2	6	-0.134534558799262	0
id174	7	3	0.238806930450118	1.11022302462516e-16
id175	3	3	-0.890098558950439	0
id178	17	1	0.0937820598949257	0.484429065743945
id18	5	3	-0.6078721866003	0.32
id188	1	13	0	0
id189	1	1	-1.59429501821374	0
id19	3	4	-0.372104203767625	0.444444444444444
id191	1	10	-0.577350269189626	0
id194	2	9	0.377964473009227	0
id196	6	4	1.4884168150705	0.5
id199	6	5	0.0939336436627726	0.277777777777778
id202	3	4	0.558156305651438	0
id203	4	4	1.4884168150705	0
id206	2	4	-0.372104203767625	0
id208	3	4	0.558156305651438	0
id209	4	5	-0.438357003759605	0
id21	3	2	-0.492232081327991	0
id213	3	3	-1.17232493130058	0.444444444444444
id216	3	3	-1.17232493130058	0.444444444444444
id217	5	3	-0.325645814250161	0
id218	1	11	-0.577350269189626	0
id22	6	3	-0.325645814250161	0.277777777777778
id227	4	2	-0.156619298604361	0
id229	2	10	1.15470053837925	0
id231	1	2	-1.16345764677525	0
id237	3	2	-0.492232081327991	0
id24	3	3	-0.890098558950439	0
id249	2	9	-0.944911182523068	0.5
id252	1	5	-2.03522894602674	0
id253	3	6	0.739940073395944	0
id255	4	6	1.61441470559115	0
id259	3	9	1.70084012854152	0
id26	3	4	-0.372104203767625	0.444444444444444
id267	1	3	-1.45455130365072	0
id27	1	15	0	0
id272	4	6	0.739940073395944	0.375
id279	2	4	-0.372104203767625	0
id28	7	3	0.238806930450118	1.11022302462516e-16
