source	target	weight	sparcc
id100	id46	0.7855	0.7855
id102	id109	0.8991	0.8991
id102	id13	0.9064	0.9064
id102	id42	0.8377	0.8377
id102	id46	0.8581	0.8581
id102	id75	0.9092	0.9092
id109	id13	0.8685	0.8685
id109	id42	0.8342	0.8342
id109	id46	0.8844	0.8844
id109	id75	0.8464	0.8464
id114	id137	0.9192	0.9192
id114	id171	0.7817	0.7817
id118	id129	0.7763	0.7763
id118	id130	0.8226	0.8226
id118	id143	0.8411	0.8411
id118	id173	0.8454	0.8454
id118	id354	0.8166	-0.8166
id118	id65	0.8596	0.8596
id118	id97	0.8619	0.8619
id118	id99	0.8472	0.8472
id129	id130	0.7166	0.7166
id129	id143	0.7645	0.7645
id129	id173	0.7663	0.7663
id129	id65	0.8074	0.8074
id129	id97	0.7376	0.7376
id13	id46	0.8324	0.8324
id13	id96	0.8754	0.8754
id130	id143	0.7686	0.7686
id130	id173	0.7805	0.7805
id130	id354	0.7488	-0.7488
id130	id65	0.8071	0.8071
id130	id97	0.8264	0.8264
id130	id99	0.7983	0.7983
id133	id99	0.7076	0.7076
id135	id152	0.8227	0.8227
id135	id191	0.7998	-0.7998
id135	id50	0.8474	0.8474
id135	id53	0.8132	0.8132
id135	id67	0.7905	0.7905
id136	id147	0.7052	0.7052
id136	id160	0.7516	0.7516
id136	id67	0.704	0.704
id143	id173	0.8367	0.8367
id143	id354	0.8736	-0.8736
id143	id65	0.8535	0.8535
id143	id97	0.799	0.799
id143	id99	0.7706	0.7706
id147	id160	0.8274	0.8274
id152	id50	0.8372	0.8372
id16	id239	0.8403	0.8403
id16	id33	0.8025	0.8025
id16	id35	0.8157	0.8157
id162	id178	0.7891	-0.7891
id162	id186	0.7478	-0.7478
id162	id201	0.7364	-0.7364
id162	id202	0.7498	-0.7498
id162	id217	0.7614	-0.7614
id162	id226	0.7638	-0.7638
id162	id248	0.783	-0.783
id162	id286	0.7246	0.7246
id162	id294	0.7329	-0.7329
id162	id33	0.7584	-0.7584
id162	id335	0.7606	0.7606
id162	id64	0.761	0.761
id17	id246	0.8305	-0.8305
id17	id350	0.8103	-0.8103
id17	id355	0.8416	-0.8416
id17	id378	0.8854	-0.8854
id173	id354	0.7363	-0.7363
id173	id65	0.9345	0.9345
id178	id292	0.7272	-0.7272
id178	id335	0.87	-0.87
id178	id343	0.9466	0.9466
id178	id64	0.8589	-0.8589
id18	id194	0.8402	0.8402
id18	id233	0.8473	-0.8473
id18	id395	0.8414	0.8414
id186	id201	0.8487	0.8487
id186	id210	0.7981	0.7981
id186	id226	0.8511	0.8511
id186	id241	0.8417	0.8417
id186	id335	0.8721	-0.8721
id186	id337	0.8645	0.8645
id186	id343	0.9276	0.9276
id186	id64	0.8233	-0.8233
id188	id289	0.8736	0.8736
id188	id367	0.7538	0.7538
id188	id394	0.8968	0.8968
id189	id287	0.7605	0.7605
id189	id67	0.7323	-0.7323
id19	id194	0.9351	-0.9351
id19	id201	0.7786	-0.7786
id19	id208	0.8522	-0.8522
id19	id237	0.7761	-0.7761
id19	id241	0.8916	-0.8916
id19	id306	0.8306	0.8306
id19	id321	0.8264	-0.8264
id19	id337	0.8658	-0.8658
id19	id397	0.8751	-0.8751
id191	id72	0.8103	0.8103
id194	id201	0.8612	0.8612
id194	id22	0.8753	0.8753
id194	id241	0.9127	0.9127
id194	id256	0.7064	-0.7064
id194	id292	0.7226	-0.7226
id194	id306	0.7842	-0.7842
id194	id320	0.8625	0.8625
id194	id321	0.8089	0.8089
id194	id337	0.8981	0.8981
id194	id52	0.7232	-0.7232
id194	id77	0.7734	-0.7734
id194	id9	0.8395	-0.8395
id196	id233	0.8133	-0.8133
id196	id290	0.8167	0.8167
id196	id70	0.8641	-0.8641
id201	id241	0.8284	0.8284
id201	id256	0.7099	-0.7099
id201	id292	0.7578	-0.7578
id201	id335	0.8478	-0.8478
id201	id337	0.8472	0.8472
id201	id77	0.7815	-0.7815
id201	id83	0.7525	-0.7525
id201	id9	0.8774	-0.8774
id202	id206	0.9348	0.9348
id202	id210	0.7801	0.7801
id202	id222	0.7075	-0.7075
id202	id255	0.9278	0.9278
id202	id294	0.909	0.909
id202	id335	0.905	-0.905
id202	id64	0.7997	-0.7997
id203	id217	0.9855	0.9855
id203	id256	0.7303	-0.7303
id203	id279	0.8883	0.8883
id203	id320	0.9546	0.9546
id203	id335	0.8435	-0.8435
id203	id401	0.9146	0.9146
id203	id64	0.8059	-0.8059
id203	id83	0.7746	-0.7746
id206	id210	0.8279	0.8279
id206	id255	0.8853	0.8853
id206	id258	0.8014	0.8014
id207	id231	0.8293	0.8293
id207	id240	0.8349	0.8349
id207	id243	0.8163	0.8163
id207	id254	0.8199	0.8199
id207	id268	0.7903	0.7903
id207	id298	0.8203	0.8203
id208	id306	0.885	-0.885
id208	id70	0.8722	-0.8722
id21	id261	0.7996	-0.7996
id21	id338	0.8643	0.8643
id21	id58	0.7354	-0.7354
id212	id300	0.7346	0.7346
id216	id246	0.9025	0.9025
id216	id299	0.9361	0.9361
id216	id307	0.8365	0.8365
id216	id38	0.8102	-0.8102
id217	id279	0.8992	0.8992
id217	id283	0.9626	0.9626
id217	id320	0.935	0.935
id217	id335	0.8657	-0.8657
id217	id343	0.9738	0.9738
id217	id378	0.9099	0.9099
id217	id77	0.8116	-0.8116
id218	id250	0.8408	0.8408
id218	id286	0.89	-0.89
id218	id292	0.7759	-0.7759
id218	id58	0.8193	-0.8193
id219	id385	0.7296	0.7296
id22	id241	0.8424	0.8424
id22	id306	0.817	-0.817
id22	id321	0.84	0.84
id222	id255	0.7078	-0.7078
id223	id269	0.736	0.736
id226	id248	0.8795	0.8795
id226	id256	0.7313	-0.7313
id226	id289	0.8698	0.8698
id226	id292	0.7786	-0.7786
id226	id335	0.8672	-0.8672
id226	id52	0.7509	-0.7509
id226	id64	0.8481	-0.8481
id228	id298	0.7588	0.7588
id231	id240	0.8722	0.8722
id231	id243	0.8319	0.8319
id231	id268	0.7442	0.7442
id231	id298	0.9122	0.9122
id231	id342	0.8329	0.8329
id231	id350	0.8611	0.8611
id231	id401	0.8287	0.8287
id233	id261	0.8043	0.8043
id233	id285	0.7373	-0.7373
id233	id70	0.8546	0.8546
id237	id385	0.8141	0.8141
id237	id397	0.8125	0.8125
id240	id242	0.7988	0.7988
id240	id243	0.9148	0.9148
id240	id250	0.8479	0.8479
id240	id261	0.7976	-0.7976
id240	id268	0.8234	0.8234
id240	id269	0.7299	0.7299
id240	id298	0.8852	0.8852
id240	id308	0.8111	0.8111
id240	id356	0.8665	0.8665
id240	id46	0.8499	-0.8499
id241	id337	0.8743	0.8743
id241	id394	0.8307	0.8307
id241	id9	0.7988	-0.7988
id242	id243	0.8056	0.8056
id242	id286	0.7683	-0.7683
id242	id308	0.8428	0.8428
id242	id356	0.8088	0.8088
id242	id394	0.8246	0.8246
id242	id400	0.7495	0.7495
id243	id273	0.7982	-0.7982
id243	id308	0.8395	0.8395
id243	id342	0.8361	0.8361
id246	id249	0.8282	0.8282
id246	id259	0.8386	0.8386
id246	id294	0.8635	0.8635
id246	id299	0.8706	0.8706
id246	id307	0.8324	0.8324
id246	id33	0.8726	0.8726
id246	id378	0.9041	0.9041
id246	id38	0.8605	-0.8605
id248	id256	0.7612	-0.7612
id248	id273	0.8258	-0.8258
id248	id291	0.7941	-0.7941
id248	id292	0.8114	-0.8114
id248	id33	0.9225	0.9225
id248	id335	0.8477	-0.8477
id248	id64	0.7983	-0.7983
id248	id77	0.7971	-0.7971
id250	id261	0.7907	-0.7907
id250	id286	0.7833	-0.7833
id250	id46	0.8395	-0.8395
id250	id58	0.7397	-0.7397
id251	id285	0.7476	0.7476
id251	id297	0.7196	0.7196
id254	id268	0.7688	0.7688
id254	id297	0.773	0.773
id255	id256	0.7115	-0.7115
id255	id279	0.8511	0.8511
id255	id77	0.7748	-0.7748
id256	id307	0.7292	-0.7292
id256	id320	0.7344	-0.7344
id256	id343	0.7502	-0.7502
id256	id378	0.7099	-0.7099
id256	id9	0.7391	0.7391
id258	id294	0.8254	0.8254
id261	id273	0.9187	0.9187
id261	id286	0.8943	0.8943
id261	id291	0.7032	0.7032
id261	id292	0.7643	0.7643
id261	id338	0.8227	-0.8227
id261	id342	0.8393	-0.8393
id261	id355	0.8909	-0.8909
id261	id364	0.7745	-0.7745
id261	id398	0.7662	-0.7662
id261	id401	0.8655	-0.8655
id261	id58	0.7781	0.7781
id262	id298	0.8146	0.8146
id262	id335	0.8	-0.8
id262	id342	0.8399	0.8399
id262	id350	0.8566	0.8566
id264	id360	0.8533	0.8533
id268	id364	0.7057	0.7057
id269	id298	0.7718	0.7718
id27	id291	0.7891	-0.7891
id273	id286	0.9347	0.9347
id273	id291	0.7923	0.7923
id273	id292	0.7789	0.7789
id273	id338	0.8413	-0.8413
id273	id77	0.7547	0.7547
id278	id322	0.8426	-0.8426
id279	id320	0.8557	0.8557
id279	id77	0.7212	-0.7212
id28	id30	0.7168	0.7168
id283	id342	0.9099	0.9099
id283	id401	0.9095	0.9095
id283	id77	0.7791	-0.7791
id286	id292	0.8221	0.8221
id286	id342	0.841	-0.841
id286	id343	0.813	-0.813
id286	id350	0.8332	-0.8332
id286	id355	0.8676	-0.8676
id286	id394	0.8031	-0.8031
id286	id401	0.8652	-0.8652
id286	id77	0.782	0.782
id286	id9	0.817	0.817
id289	id335	0.7735	-0.7735
id289	id394	0.9213	0.9213
id290	id301	0.7503	0.7503
id291	id392	0.8146	0.8146
id291	id398	0.8059	-0.8059
id292	id320	0.778	-0.778
id292	id33	0.7255	-0.7255
id292	id342	0.7887	-0.7887
id292	id350	0.7526	-0.7526
id292	id355	0.7789	-0.7789
id292	id378	0.7447	-0.7447
id292	id394	0.7629	-0.7629
id292	id401	0.7781	-0.7781
id292	id52	0.7018	0.7018
id292	id77	0.7654	0.7654
id292	id9	0.7952	0.7952
id294	id335	0.8915	-0.8915
id295	id301	0.7135	0.7135
id295	id336	0.7298	0.7298
id298	id342	0.8165	0.8165
id298	id350	0.8677	0.8677
id299	id38	0.863	-0.863
id30	id36	0.7446	0.7446
id303	id370	0.7924	-0.7924
id303	id384	0.8921	-0.8921
id306	id321	0.8512	-0.8512
id306	id70	0.7766	0.7766
id307	id33	0.8876	0.8876
id307	id335	0.891	-0.891
id307	id52	0.7698	-0.7698
id307	id64	0.7917	-0.7917
id307	id83	0.7442	-0.7442
id308	id313	0.7375	0.7375
id308	id338	0.8618	0.8618
id31	id335	0.7642	-0.7642
id320	id401	0.8969	0.8969
id320	id52	0.7512	-0.7512
id320	id64	0.769	-0.769
id320	id77	0.82	-0.82
id320	id83	0.7678	-0.7678
id320	id9	0.9049	-0.9049
id323	id78	0.7872	-0.7872
id33	id378	0.894	0.894
id335	id343	0.909	-0.909
id335	id52	0.7565	0.7565
id335	id64	0.8339	0.8339
id335	id77	0.761	0.761
id335	id83	0.7393	0.7393
id335	id9	0.8521	0.8521
id337	id338	0.7997	0.7997
id338	id398	0.8397	0.8397
id338	id58	0.7627	-0.7627
id342	id350	0.9109	0.9109
id342	id355	0.9212	0.9212
id342	id401	0.9576	0.9576
id342	id46	0.7956	-0.7956
id343	id52	0.7904	-0.7904
id343	id64	0.8448	-0.8448
id343	id77	0.8474	-0.8474
id343	id9	0.9168	-0.9168
id350	id355	0.9329	0.9329
id350	id378	0.9162	0.9162
id350	id401	0.9192	0.9192
id350	id64	0.7675	-0.7675
id354	id97	0.7905	-0.7905
id354	id99	0.7868	-0.7868
id355	id364	0.8125	0.8125
id355	id401	0.9382	0.9382
id364	id401	0.8198	0.8198
id370	id392	0.7964	-0.7964
id376	id46	0.7211	-0.7211
id378	id401	0.922	0.922
id378	id64	0.7964	-0.7964
id391	id392	0.8681	0.8681
id394	id398	0.8972	0.8972
id401	id77	0.7766	-0.7766
id42	id46	0.8759	0.8759
id42	id73	0.821	0.821
id42	id75	0.8851	0.8851
id42	id78	0.8266	0.8266
id46	id75	0.8588	0.8588
id52	id77	0.7067	0.7067
id52	id9	0.7748	0.7748
id53	id67	0.8311	0.8311
id64	id77	0.733	0.733
id64	id9	0.77	0.77
id65	id97	0.8159	0.8159
id65	id99	0.7906	0.7906
id74	id78	0.8845	-0.8845
id77	id9	0.8265	0.8265
id83	id9	0.7777	0.7777
id97	id99	0.937	0.937
