source	target	weight	sparcc
id1	id122	0.8468	0.8468
id1	id223	0.791	-0.791
id1	id282	0.7935	-0.7935
id1	id36	0.7703	0.7703
id1	id56	0.7943	-0.7943
id1	id81	0.892	-0.892
id1	id99	0.8594	-0.8594
id10	id12	0.9016	0.9016
id10	id16	0.8015	0.8015
id10	id188	0.8616	0.8616
id10	id19	0.9429	0.9429
id10	id20	0.8927	0.8927
id10	id227	0.7444	0.7444
id10	id244	0.7679	-0.7679
id10	id272	0.7371	0.7371
id10	id327	0.7643	-0.7643
id10	id341	0.808	-0.808
id10	id342	0.8651	0.8651
id10	id383	0.8373	-0.8373
id10	id7	0.7985	0.7985
id10	id9	0.837	0.837
id100	id109	0.7796	-0.7796
id100	id112	0.9401	0.9401
id100	id119	0.8306	-0.8306
id100	id144	0.7592	-0.7592
id100	id16	0.8378	0.8378
id100	id223	0.8495	-0.8495
id100	id232	0.8535	-0.8535
id100	id244	0.7692	-0.7692
id100	id245	0.8132	-0.8132
id100	id251	0.8291	-0.8291
id100	id266	0.7837	0.7837
id100	id282	0.8453	-0.8453
id100	id332	0.8007	0.8007
id100	id341	0.814	-0.814
id100	id370	0.7843	0.7843
id100	id54	0.7524	-0.7524
id100	id73	0.8099	-0.8099
id100	id94	0.8328	-0.8328
id102	id236	0.7118	0.7118
id102	id355	0.8634	0.8634
id102	id359	0.8157	0.8157
id102	id65	0.8493	-0.8493
id105	id114	0.7444	0.7444
id105	id54	0.7312	0.7312
id109	id114	0.8401	0.8401
id109	id144	0.7993	0.7993
id109	id166	0.7677	0.7677
id109	id167	0.8742	0.8742
id109	id248	0.7742	-0.7742
id109	id266	0.8338	-0.8338
id109	id54	0.7522	0.7522
id109	id94	0.759	0.759
id11	id395	0.8346	-0.8346
id11	id398	0.7525	-0.7525
id11	id401	0.836	-0.836
id112	id119	0.7982	-0.7982
id112	id12	0.7812	0.7812
id112	id129	0.8121	0.8121
id112	id16	0.8018	0.8018
id112	id20	0.7747	0.7747
id112	id223	0.8636	-0.8636
id112	id232	0.8736	-0.8736
id112	id282	0.8614	-0.8614
id112	id341	0.7778	-0.7778
id112	id54	0.7601	-0.7601
id112	id94	0.8033	-0.8033
id114	id135	0.7478	0.7478
id114	id137	0.7276	0.7276
id114	id167	0.8089	0.8089
id114	id248	0.8043	-0.8043
id114	id279	0.796	-0.796
id114	id54	0.7718	0.7718
id114	id55	0.7716	0.7716
id114	id70	0.8175	0.8175
id118	id12	0.8039	-0.8039
id118	id13	0.7743	-0.7743
id118	id54	0.7335	0.7335
id118	id56	0.8226	0.8226
id119	id144	0.8291	0.8291
id119	id16	0.8345	-0.8345
id119	id184	0.868	0.868
id119	id188	0.7749	-0.7749
id119	id20	0.8066	-0.8066
id119	id223	0.8194	0.8194
id119	id232	0.8424	0.8424
id119	id244	0.8611	0.8611
id119	id245	0.7633	0.7633
id119	id251	0.8588	0.8588
id119	id259	0.7952	-0.7952
id119	id266	0.7661	-0.7661
id119	id282	0.8426	0.8426
id119	id327	0.8141	0.8141
id119	id331	0.7211	-0.7211
id119	id332	0.843	-0.843
id119	id341	0.883	0.883
id119	id342	0.8127	-0.8127
id119	id359	0.7659	-0.7659
id119	id360	0.7279	-0.7279
id119	id370	0.8498	-0.8498
id119	id383	0.8179	0.8179
id119	id386	0.8224	-0.8224
