	id1	id10	id100	id102	id105	id109	id11	id112	id114	id118	id119	id12	id122	id123	id126	id129	id13	id130	id134	id135	id137	id138	id14	id144	id147	id15	id155	id156	id157	id16	id160	id162	id165	id166	id167	id169	id17	id170	id175	id176	id177	id178	id179	id184	id185	id186	id187	id188	id189	id19	id190	id192	id194	id196	id198	id2	id20	id201	id202	id203	id205	id206	id209	id21	id210	id211	id213	id214	id215	id216	id217	id221	id223	id226	id227	id228	id231	id232	id234	id235	id236	id237	id240	id241	id243	id244	id245	id247	id248	id249	id25	id250	id251	id252	id255	id257	id259	id261	id264	id266	id268	id27	id272	id274	id276	id277	id278	id279	id28	id280	id281	id282	id283	id284	id287	id288	id29	id290	id291	id293	id294	id299	id30	id302	id303	id304	id306	id309	id31	id313	id318	id319	id32	id320	id321	id323	id327	id33	id331	id332	id333	id335	id337	id341	id342	id343	id344	id35	id350	id354	id355	id357	id359	id36	id360	id363	id364	id365	id37	id370	id379	id38	id380	id382	id383	id384	id385	id386	id387	id389	id39	id391	id392	id393	id394	id395	id397	id398	id401	id404	id407	id42	id43	id46	id49	id51	id54	id55	id56	id59	id65	id68	id7	id70	id73	id75	id76	id77	id78	id81	id9	id90	id92	id94	id97	id99
id1	0	0	0	0	0	0	0	0	0	0	0	0	0.8468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7943	0	0	0	0	0	0	0	0	0	0	-0.892	0	0	0	0	0	-0.8594
id10	0	0	0	0	0	0	0	0	0	0	0	0.9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8616	0	0.9429	0	0	0	0	0	0	0.8927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7444	0	0	0	0	0	0	0	0	0	0	-0.7679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7643	0	0	0	0	0	0	-0.808	0.8651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7985	0	0	0	0	0	0	0	0.837	0	0	0	0	0
id100	0	0	0	0	0	-0.7796	0	0.9401	0	0	-0.8306	0	0	0	0	0	0	0	0	0	0	0	0	-0.7592	0	0	0	0	0	0.8378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8495	0	0	0	0	-0.8535	0	0	0	0	0	0	0	-0.7692	-0.8132	0	0	0	0	0	-0.8291	0	0	0	0	0	0	0.7837	0	0	0	0	0	0	0	0	0	0	0	-0.8453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8007	0	0	0	-0.814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7524	0	0	0	0	0	0	0	-0.8099	0	0	0	0	0	0	0	0	-0.8328	0	0
id102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8634	0	0.8157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id105	0	0	0	0	0	0	0	0	0.7444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id109	0	0	-0.7796	0	0	0	0	0	0.8401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7993	0	0	0	0	0	0	0	0	0	0.7677	0.8742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7742	0	0	0	0	0	0	0	0	0	0	-0.8338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.759	0	0
id11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8346	0	-0.7525	-0.836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id112	0	0	0.9401	0	0	0	0	0	0	0	-0.7982	0.7812	0	0	0	0.8121	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8636	0	0	0	0	-0.8736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8033	0	0
id114	0	0	0	0	0.7444	0.8401	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7478	0.7276	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7718	0.7716	0	0	0	0	0	0.8175	0	0	0	0	0	0	0	0	0	0	0	0
id118	0	0	0	0	0	0	0	0	0	0	0	-0.8039	0	0	0	0	-0.7743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7335	0	0.8226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
