source	target	weight	sparcc
id1	id28	0.883	0.883
id1	id88	0.8204	0.8204
id10	id26	0.8863	0.8863
id102	id258	0.7338	0.7338
id106	id113	0.8125	-0.8125
id106	id129	0.8657	0.8657
id106	id188	0.8093	-0.8093
id106	id261	0.7328	0.7328
id106	id283	0.9011	-0.9011
id106	id286	0.8678	0.8678
id106	id86	0.8719	0.8719
id108	id33	0.8077	-0.8077
id108	id63	0.9027	0.9027
id109	id120	0.8458	0.8458
id109	id248	0.8634	-0.8634
id109	id76	0.7833	0.7833
id111	id151	0.9145	0.9145
id111	id88	0.8495	0.8495
id111	id91	0.8942	0.8942
id113	id129	0.8593	-0.8593
id113	id201	0.8002	0.8002
id113	id218	0.8459	0.8459
id113	id286	0.7605	-0.7605
id116	id89	0.869	0.869
id117	id134	0.7672	0.7672
id117	id45	0.7321	0.7321
id123	id97	0.8453	0.8453
id125	id131	0.9112	0.9112
id125	id382	0.953	0.953
id126	id283	0.7998	0.7998
id126	id391	0.7366	0.7366
id128	id32	0.8437	0.8437
id128	id97	0.8776	0.8776
id129	id188	0.8162	-0.8162
id129	id201	0.8849	-0.8849
id129	id218	0.8755	-0.8755
id129	id283	0.8806	-0.8806
id131	id318	0.7709	0.7709
id131	id379	0.788	0.788
id131	id381	0.9368	0.9368
id131	id382	0.9354	0.9354
id131	id389	0.8114	0.8114
id131	id391	0.778	0.778
id134	id149	0.7199	0.7199
id134	id6	0.7998	0.7998
id144	id9	0.8934	0.8934
id146	id160	0.8672	0.8672
id148	id89	0.924	0.924
id151	id69	0.78	0.78
id151	id91	0.8842	0.8842
id153	id198	0.8809	-0.8809
id158	id89	0.9196	0.9196
id16	id258	0.7292	0.7292
id160	id281	0.7345	-0.7345
id160	id29	0.8957	0.8957
id160	id299	0.8672	-0.8672
id17	id203	0.824	0.824
id171	id309	0.9095	0.9095
id171	id50	0.8772	0.8772
id175	id258	0.7504	0.7504
id175	id306	0.8595	0.8595
id18	id204	0.8869	-0.8869
id18	id247	0.8452	0.8452
id18	id387	0.9517	0.9517
id185	id281	0.7009	-0.7009
id188	id204	0.7654	-0.7654
id188	id283	0.8656	0.8656
id188	id398	0.7306	-0.7306
id198	id253	0.8367	-0.8367
id198	id287	0.7814	-0.7814
id198	id386	0.8938	0.8938
id198	id46	0.8392	-0.8392
id198	id73	0.9217	0.9217
id199	id28	0.8241	0.8241
id201	id218	0.8885	0.8885
id201	id283	0.8569	0.8569
id201	id86	0.7829	-0.7829
id202	id288	0.7833	0.7833
id203	id218	0.8577	0.8577
id203	id262	0.7929	0.7929
id204	id283	0.8349	-0.8349
id204	id38	0.8222	0.8222
id206	id294	0.7865	0.7865
id206	id38	0.8492	0.8492
id207	id216	0.8095	0.8095
id207	id76	0.8688	-0.8688
id207	id95	0.8534	-0.8534
id208	id386	0.9225	-0.9225
id209	id252	0.7373	-0.7373
id21	id347	0.8409	0.8409
id216	id63	0.8687	-0.8687
id218	id61	0.7277	-0.7277
id24	id254	0.7971	0.7971
id24	id42	0.8911	-0.8911
id247	id266	0.7634	0.7634
id247	id387	0.8679	0.8679
id248	id249	0.7793	0.7793
id248	id259	0.904	0.904
id252	id266	0.7472	0.7472
id252	id283	0.8903	0.8903
id253	id287	0.8677	0.8677
id253	id291	0.9105	0.9105
id253	id328	0.878	0.878
id253	id354	0.8727	0.8727
id253	id50	0.8699	0.8699
id253	id73	0.8927	-0.8927
id253	id75	0.872	-0.872
id255	id279	0.7822	0.7822
id255	id60	0.8408	-0.8408
id258	id318	0.7735	-0.7735
id258	id379	0.7276	-0.7276
id258	id38	0.7805	0.7805
id258	id392	0.74	-0.74
id259	id306	0.7665	0.7665
id26	id405	0.8338	-0.8338
id26	id406	0.8071	0.8071
id264	id286	0.795	0.795
id272	id288	0.7326	0.7326
id273	id86	0.7404	0.7404
id281	id299	0.7628	0.7628
id285	id89	0.7505	-0.7505
id287	id291	0.8297	0.8297
id287	id328	0.8194	0.8194
id287	id354	0.8839	0.8839
id287	id38	0.8123	0.8123
id287	id386	0.8383	-0.8383
id287	id73	0.8364	-0.8364
id287	id75	0.8041	-0.8041
id291	id50	0.9066	0.9066
id291	id73	0.8943	-0.8943
id294	id379	0.7799	-0.7799
id294	id38	0.8387	0.8387
id3	id63	0.8001	0.8001
id308	id66	0.7655	0.7655
id309	id50	0.9227	0.9227
id314	id333	0.8637	0.8637
id318	id343	0.8292	0.8292
id318	id379	0.8512	0.8512
id318	id389	0.8234	0.8234
id318	id392	0.8703	0.8703
id318	id395	0.8991	0.8991
id319	id330	0.8585	0.8585
id319	id333	0.8637	0.8637
id319	id365	0.8205	0.8205
id32	id53	0.8571	0.8571
id32	id97	0.8657	0.8657
id321	id347	0.8318	0.8318
id321	id382	0.8165	-0.8165
id321	id405	0.8694	-0.8694
id328	id361	0.7252	-0.7252
id328	id389	0.8244	-0.8244
id330	id365	0.8301	0.8301
id331	id73	0.7503	0.7503
id338	id365	0.7308	0.7308
id338	id382	0.7379	0.7379
id338	id389	0.7823	0.7823
id341	id71	0.9002	0.9002
id342	id343	0.8021	0.8021
id343	id392	0.8143	0.8143
id354	id73	0.8494	-0.8494
