nodes_id	degree	modularity	Zi	Pi
id1	2	7	0	0
id10	1	12	-0.944911182523068	0
id102	1	3	-1.02548844645941	0
id106	7	1	1.85764062092368	1.11022302462516e-16
id108	2	2	0	0
id109	3	2	1.18321595661992	0
id111	3	7	1.3228756555323	0
id113	5	1	0.939747608231978	0
id116	1	11	-0.447213595499958	0
id117	2	9	0.447213595499958	0
id120	1	2	-1.18321595661992	0
id123	1	17	-1	0
id125	2	3	-0.610929287252416	0
id126	2	1	-0.896038417151421	0.5
id128	2	17	0	0
id129	6	1	1.39869411457783	0
id131	7	3	1.46186650878257	1.11022302462516e-16
id134	3	9	1.56524758424985	0
id144	1	19	0	0
id146	1	6	-0.790569415042095	0
id148	1	11	-0.447213595499958	0
id149	1	9	-0.670820393249937	0
id151	3	7	1.3228756555323	0
id153	1	4	-1.08278764215989	0
id158	1	11	-0.447213595499958	0
id16	1	3	-1.02548844645941	0
id160	4	6	1.58113883008419	0
id17	1	1	-0.896038417151421	0
id171	2	4	-0.70616585358254	0
id175	2	2	-1.18321595661992	0.5
id18	3	8	0	0.444444444444444
id185	1	6	-0.790569415042095	0
id188	5	1	0.939747608231978	0
id198	6	4	0.800321300726879	0
id199	1	7	-1.3228756555323	0
id201	5	1	0.939747608231978	0
id202	1	10	-0.577350269189626	0
id203	3	1	0.0218545955402785	0
id204	4	1	-0.437091910805571	0.625
id206	2	18	0	0
id207	3	2	1.18321595661992	0
id208	1	4	-1.08278764215989	0
id209	1	1	-0.896038417151421	0
id21	1	12	-0.944911182523068	0
id216	2	2	0	0
id218	5	1	0.939747608231978	0
id24	2	16	1.15470053837925	0
id247	3	8	1.22474487139159	0
id248	3	2	1.18321595661992	0
id249	1	2	-1.18321595661992	0
id252	3	1	-0.437091910805571	0.444444444444444
id253	8	4	1.55356487788159	0
id254	1	16	-0.577350269189626	0
id255	2	15	1.15470053837925	0
id258	7	3	0.632748190368574	0.448979591836735
id259	2	2	0	0
id26	3	12	1.70084012854152	0
id261	1	1	-0.896038417151421	0
id262	1	1	-0.896038417151421	0
id264	1	1	-0.896038417151421	0
id266	2	8	-1.22474487139159	0.5
id272	1	10	-0.577350269189626	0
id273	1	1	-0.896038417151421	0
id279	1	15	-0.577350269189626	0
id28	2	7	0	0
id281	3	6	0.790569415042095	0
id283	7	1	1.85764062092368	1.11022302462516e-16
id285	1	11	-0.447213595499958	0
id286	3	1	0.0218545955402785	0
id287	9	4	1.55356487788159	0.197530864197531
id288	2	10	1.15470053837925	0
id29	1	6	-0.790569415042095	0
id291	4	4	0.0470777235721693	0
id294	3	18	0	0.444444444444444
id299	2	6	0	0
id3	1	2	-1.18321595661992	0
id306	2	2	0	0
id308	1	14	0	0
id309	2	4	-0.70616585358254	0
id314	1	5	-1.11803398874989	0
id318	7	3	1.46186650878257	1.11022302462516e-16
id319	3	5	1.11803398874989	0
id32	3	17	1	0
id321	3	12	0.377964473009227	0.444444444444444
id328	4	4	-0.70616585358254	0.625
id33	1	2	-1.18321595661992	0
id330	2	5	0	0
id331	1	4	-1.08278764215989	0
id333	2	5	0	0
id338	3	3	-0.610929287252416	0.444444444444444
id341	1	20	-0.577350269189626	0
id342	1	3	-1.02548844645941	0
id343	3	3	-0.19637012804542	0
id347	2	12	0.377964473009227	0
id354	4	4	0.0470777235721693	0
id355	1	13	0	0
id361	3	5	-1.11803398874989	0.666666666666667
id365	5	5	1.11803398874989	0.48
id37	3	8	0	0.444444444444444
id379	9	3	1.87642566798956	0.197530864197531
id38	5	18	0	0.72
id381	4	3	-0.610929287252416	0.625
id382	5	3	0.218189031161577	0.32
id384	3	3	-0.610929287252416	0.444444444444444
id386	5	4	0.0470777235721693	0.32
id387	3	8	1.22474487139159	0
id388	1	13	0	0
id389	7	3	1.04730734957557	0.244897959183674
id391	3	3	-0.610929287252416	0.444444444444444
id392	6	3	1.04730734957557	0
id395	5	3	0.632748190368574	0
id398	1	1	-0.896038417151421	0
id405	2	12	0.377964473009227	0
id406	1	12	-0.944911182523068	0
id407	1	3	-1.02548844645941	0
id42	1	16	-0.577350269189626	0
id45	1	9	-0.670820393249937	0
id46	3	4	-0.70616585358254	0.444444444444444
id48	2	8	0	0
id50	5	4	0.423699512149524	0
id52	1	8	-1.22474487139159	0
id53	1	17	-1	0
id6	1	9	-0.670820393249937	0
id60	1	15	-0.577350269189626	0
id61	1	1	-0.896038417151421	0
id63	3	2	1.18321595661992	0
id66	1	14	0	0
id67	1	20	-0.577350269189626	0
id69	1	7	-1.3228756555323	0
id71	2	20	1.15470053837925	0
id72	1	3	-1.02548844645941	0
id73	9	4	1.93018666645894	0
id75	3	4	-0.329544065005185	0
id76	3	2	1.18321595661992	0
id86	3	1	0.0218545955402785	0
id88	2	7	0	0
id89	4	11	1.78885438199983	0
id9	1	19	0	0
id91	2	7	0	0
id95	2	2	0	0
id97	3	17	1	0
