source	target	weight	sparcc
id1	id289	0.745	0.745
id10	id13	0.7979	0.7979
id100	id35	0.7401	0.7401
id102	id137	0.8254	0.8254
id102	id166	0.8934	0.8934
id104	id147	0.7085	0.7085
id106	id8	0.7086	0.7086
id106	id99	0.8085	0.8085
id109	id137	0.7466	0.7466
id11	id12	0.8872	0.8872
id11	id21	0.9005	0.9005
id11	id211	0.7011	-0.7011
id11	id22	0.7939	0.7939
id11	id223	0.8782	-0.8782
id11	id37	0.7853	0.7853
id11	id6	0.8675	0.8675
id114	id281	0.7173	-0.7173
id118	id42	0.8448	-0.8448
id118	id52	0.7959	0.7959
id118	id90	0.7749	0.7749
id12	id223	0.8254	-0.8254
id12	id321	0.8641	-0.8641
id123	id135	0.8202	0.8202
id123	id141	0.8058	0.8058
id123	id146	0.9174	0.9174
id123	id171	0.7664	-0.7664
id123	id175	0.7833	0.7833
id123	id25	0.8045	-0.8045
id123	id30	0.7728	-0.7728
id123	id53	0.8456	0.8456
id123	id70	0.8062	-0.8062
id123	id84	0.776	0.776
id126	id133	0.9065	0.9065
id126	id194	0.7972	-0.7972
id126	id385	0.7275	-0.7275
id13	id291	0.8341	0.8341
id13	id293	0.7866	0.7866
id130	id90	0.761	0.761
id130	id94	0.7363	0.7363
id133	id144	0.8193	0.8193
id133	id84	0.762	0.762
id134	id147	0.8298	0.8298
id134	id170	0.7516	0.7516
id134	id211	0.7899	-0.7899
id134	id283	0.8985	-0.8985
id134	id39	0.7806	0.7806
id134	id48	0.8674	0.8674
id135	id146	0.8519	0.8519
id135	id166	0.8386	0.8386
id135	id167	0.8037	-0.8037
id135	id175	0.8721	0.8721
id135	id53	0.9149	0.9149
id135	id78	0.8798	0.8798
id135	id90	0.8101	-0.8101
id135	id99	0.8432	-0.8432
id136	id160	0.7043	0.7043
id138	id146	0.7319	-0.7319
id138	id167	0.8769	0.8769
id138	id169	0.7763	0.7763
id138	id70	0.7473	0.7473
id141	id146	0.805	0.805
id141	id171	0.813	-0.813
id141	id227	0.7772	-0.7772
id141	id25	0.8027	-0.8027
id141	id70	0.8085	-0.8085
id141	id84	0.9318	0.9318
id143	id199	0.705	0.705
id144	id146	0.8004	0.8004
id144	id166	0.8942	0.8942
id144	id175	0.8649	0.8649
id144	id30	0.8259	-0.8259
id144	id52	0.7088	-0.7088
id144	id66	0.8188	-0.8188
id144	id78	0.8366	0.8366
id144	id85	0.8045	-0.8045
id144	id99	0.7972	-0.7972
id146	id171	0.8018	-0.8018
id146	id175	0.8024	0.8024
id146	id209	0.791	0.791
id146	id25	0.8225	-0.8225
id146	id53	0.8902	0.8902
id146	id70	0.8606	-0.8606
id146	id78	0.8181	0.8181
id147	id170	0.7367	0.7367
id147	id48	0.8078	0.8078
id147	id72	0.8261	0.8261
id155	id283	0.8068	-0.8068
id155	id40	0.707	0.707
id155	id48	0.7505	0.7505
id160	id173	0.7445	0.7445
id166	id175	0.9076	0.9076
id166	id42	0.8385	0.8385
id166	id52	0.7752	-0.7752
id166	id66	0.8366	-0.8366
id166	id78	0.9082	0.9082
id166	id8	0.7338	-0.7338
id166	id85	0.8243	-0.8243
id166	id99	0.8427	-0.8427
id167	id169	0.8688	0.8688
id167	id70	0.7983	0.7983
id17	id199	0.8424	0.8424
id17	id209	0.7764	0.7764
id17	id255	0.9312	0.9312
id17	id293	0.8711	-0.8711
id17	id30	0.8592	-0.8592
id17	id343	0.8858	0.8858
id170	id48	0.7359	0.7359
id171	id25	0.8792	0.8792
id171	id341	0.7903	-0.7903
id171	id70	0.9169	0.9169
id175	id53	0.7982	0.7982
id175	id66	0.8182	-0.8182
id175	id78	0.9145	0.9145
id175	id8	0.7227	-0.7227
id175	id85	0.8088	-0.8088
id175	id90	0.8872	-0.8872
id175	id99	0.879	-0.879
id18	id337	0.7843	0.7843
id183	id205	0.7639	0.7639
id186	id21	0.7743	-0.7743
id188	id199	0.8001	0.8001
id188	id202	0.8484	0.8484
id188	id205	0.7913	0.7913
id188	id209	0.8309	0.8309
id188	id211	0.7615	0.7615
id188	id247	0.7657	0.7657
id188	id282	0.7875	0.7875
id188	id343	0.8202	0.8202
id19	id30	0.795	-0.795
id194	id384	0.8137	0.8137
id196	id203	0.8585	0.8585
id196	id218	0.9045	-0.9045
id197	id206	0.829	0.829
id199	id205	0.756	0.756
id199	id209	0.858	0.858
id199	id25	0.7903	-0.7903
id199	id293	0.8608	-0.8608
id199	id30	0.7717	-0.7717
id199	id341	0.783	0.783
id2	id381	0.7389	0.7389
id202	id203	0.837	0.837
id202	id209	0.883	0.883
id202	id218	0.8775	-0.8775
id202	id247	0.8222	0.8222
id202	id264	0.7842	0.7842
id202	id270	0.7179	0.7179
id202	id286	0.7634	0.7634
id202	id37	0.83	-0.83
id203	id218	0.9048	-0.9048
id203	id261	0.7106	0.7106
id203	id270	0.7348	0.7348
id205	id255	0.8568	0.8568
id205	id271	0.8081	0.8081
id205	id282	0.7846	0.7846
id205	id30	0.733	-0.733
id205	id343	0.8437	0.8437
id209	id247	0.764	0.764
id209	id25	0.8346	-0.8346
id21	id22	0.7669	0.7669
id21	id252	0.8288	0.8288
id21	id337	0.7478	0.7478
id21	id37	0.9172	0.9172
id211	id223	0.8091	0.8091
id211	id48	0.7506	-0.7506
id211	id50	0.706	0.706
id218	id261	0.7272	-0.7272
id218	id264	0.8077	-0.8077
id218	id270	0.7163	-0.7163
id218	id286	0.7382	-0.7382
id22	id395	0.7933	-0.7933
id223	id6	0.8267	-0.8267
id227	id293	0.8483	0.8483
id227	id84	0.7562	-0.7562
id24	id333	0.8067	-0.8067
id24	id407	0.8564	-0.8564
id248	id249	0.8011	0.8011
id248	id250	0.7932	0.7932
id249	id298	0.7849	0.7849
id25	id341	0.7925	-0.7925
id25	id350	0.7256	-0.7256
id25	id70	0.7943	0.7943
id250	id321	0.7994	0.7994
id251	id29	0.8043	0.8043
id252	id37	0.7741	0.7741
id253	id259	0.884	0.884
id253	id261	0.7604	-0.7604
id253	id287	0.7441	0.7441
id255	id271	0.8597	0.8597
id255	id293	0.7883	-0.7883
id255	id30	0.8413	-0.8413
id255	id343	0.8875	0.8875
id259	id261	0.7424	-0.7424
id259	id273	0.7268	-0.7268
id259	id285	0.7582	0.7582
id259	id287	0.8	0.8
id259	id293	0.8061	0.8061
id266	id404	0.7326	0.7326
id271	id282	0.7621	0.7621
id272	id287	0.7446	0.7446
id272	id318	0.7376	-0.7376
id272	id73	0.7975	-0.7975
id275	id319	0.7091	-0.7091
id275	id404	0.705	-0.705
id282	id283	0.9046	0.9046
id282	id343	0.8276	0.8276
id283	id39	0.8222	-0.8222
id283	id48	0.8504	-0.8504
id287	id293	0.7502	0.7502
id288	id299	0.8341	0.8341
id288	id343	0.8569	0.8569
id291	id35	0.7247	0.7247
id293	id30	0.8161	0.8161
id294	id321	0.7465	0.7465
id294	id51	0.7343	-0.7343
id298	id33	0.7956	0.7956
id30	id392	0.8431	0.8431
id312	id75	0.7132	-0.7132
id318	id381	0.7001	0.7001
id318	id73	0.7559	0.7559
id319	id321	0.8179	0.8179
id319	id333	0.8532	0.8532
id319	id403	0.7484	0.7484
id319	id407	0.834	0.834
id32	id75	0.8043	0.8043
id321	id35	0.7839	0.7839
id334	id36	0.7158	-0.7158
id337	id37	0.8019	0.8019
id341	id395	0.7837	0.7837
id341	id73	0.7985	0.7985
id342	id389	0.7602	-0.7602
id342	id392	0.7884	-0.7884
id342	id402	0.7101	-0.7101
id37	id395	0.767	-0.767
id378	id384	0.7618	-0.7618
id379	id392	0.8184	0.8184
id384	id389	0.8912	0.8912
id384	id402	0.7017	0.7017
id385	id46	0.72	0.72
id389	id402	0.7515	0.7515
id389	id75	0.803	0.803
id39	id77	0.787	0.787
id390	id65	0.7802	-0.7802
id40	id48	0.753	0.753
id403	id407	0.766	0.766
id406	id51	0.8162	-0.8162
id42	id52	0.837	-0.837
id42	id66	0.8238	-0.8238
id42	id78	0.898	0.898
id42	id85	0.849	-0.849
id46	id96	0.7916	0.7916
id48	id50	0.7935	-0.7935
id48	id79	0.7069	0.7069
id52	id66	0.9027	0.9027
id52	id8	0.7202	0.7202
id52	id85	0.8867	0.8867
id53	id70	0.7972	-0.7972
id53	id90	0.7421	-0.7421
id53	id99	0.7812	-0.7812
id66	id78	0.8368	-0.8368
id66	id8	0.7434	0.7434
id66	id85	0.9076	0.9076
id78	id85	0.8411	-0.8411
id78	id90	0.9135	-0.9135
id8	id85	0.7284	0.7284
