source	target	weight	sparcc
id1	id217	0.7955	0.7955
id1	id242	0.8142	-0.8142
id1	id278	0.7975	-0.7975
id10	id11	0.8591	0.8591
id10	id15	0.8891	0.8891
id10	id178	0.8499	0.8499
id10	id179	0.7999	-0.7999
id10	id20	0.7629	0.7629
id10	id266	0.7866	-0.7866
id10	id289	0.7646	-0.7646
id10	id307	0.7955	-0.7955
id10	id389	0.8002	-0.8002
id10	id403	0.7775	0.7775
id10	id407	0.8048	0.8048
id100	id171	0.7954	0.7954
id100	id50	0.836	0.836
id100	id76	0.8031	0.8031
id102	id109	0.7748	0.7748
id102	id143	0.9015	0.9015
id102	id166	0.7854	0.7854
id102	id33	0.8856	-0.8856
id102	id342	0.8385	-0.8385
id102	id46	0.8523	0.8523
id102	id65	0.7934	0.7934
id102	id78	0.7926	0.7926
id102	id96	0.8699	0.8699
id102	id97	0.757	0.757
id109	id143	0.74	0.74
id109	id33	0.865	-0.865
id11	id12	0.9538	0.9538
id11	id15	0.9247	0.9247
id11	id179	0.7943	-0.7943
id11	id208	0.8356	-0.8356
id11	id211	0.8704	-0.8704
id11	id22	0.8294	-0.8294
id11	id247	0.7073	-0.7073
id11	id266	0.8213	-0.8213
id11	id283	0.8304	-0.8304
id11	id285	0.7566	-0.7566
id11	id289	0.8028	-0.8028
id11	id307	0.7457	-0.7457
id11	id392	0.7781	-0.7781
id11	id9	0.7872	0.7872
id114	id142	0.7883	0.7883
id114	id150	0.808	0.808
id114	id162	0.8213	0.8213
id114	id167	0.8074	0.8074
id114	id35	0.711	0.711
id114	id66	0.8079	0.8079
id114	id90	0.8184	0.8184
id114	id92	0.8219	0.8219
id118	id65	0.8066	0.8066
id12	id15	0.8585	0.8585
id12	id208	0.8557	-0.8557
id12	id211	0.9048	-0.9048
id12	id22	0.8325	-0.8325
id12	id331	0.758	-0.758
id128	id59	0.8677	0.8677
id13	id192	0.8283	-0.8283
id13	id282	0.8861	-0.8861
id135	id321	0.7247	0.7247
id135	id33	0.807	-0.807
id140	id44	0.7794	0.7794
id142	id150	0.8239	0.8239
id142	id162	0.8708	0.8708
id142	id167	0.8537	0.8537
id142	id192	0.7889	-0.7889
id142	id35	0.7701	0.7701
id142	id66	0.8451	0.8451
id142	id90	0.8546	0.8546
id142	id92	0.8255	0.8255
id143	id33	0.8774	-0.8774
id143	id342	0.8409	-0.8409
id143	id46	0.8686	0.8686
id143	id65	0.8556	0.8556
id143	id78	0.8128	0.8128
id143	id96	0.9113	0.9113
id143	id97	0.831	0.831
id147	id44	0.7495	0.7495
id147	id54	0.7049	0.7049
id15	id16	0.8842	0.8842
id15	id178	0.8305	0.8305
id15	id179	0.8532	-0.8532
id15	id20	0.7718	0.7718
id15	id211	0.8348	-0.8348
id15	id266	0.8358	-0.8358
id15	id283	0.8776	-0.8776
id15	id285	0.7704	-0.7704
id15	id289	0.8221	-0.8221
id15	id290	0.7845	-0.7845
id15	id307	0.8238	-0.8238
id15	id389	0.8568	-0.8568
id15	id391	0.7704	-0.7704
id15	id403	0.7584	0.7584
id150	id162	0.8877	0.8877
id150	id167	0.8894	0.8894
id150	id192	0.7974	-0.7974
id150	id35	0.77	0.77
id150	id66	0.8941	0.8941
id150	id90	0.891	0.891
id150	id92	0.8839	0.8839
id16	id179	0.8091	-0.8091
id16	id233	0.8187	-0.8187
id16	id285	0.7984	-0.7984
id16	id289	0.7719	-0.7719
id16	id290	0.7592	-0.7592
id16	id291	0.7826	-0.7826
id16	id299	0.8646	-0.8646
id16	id307	0.8237	-0.8237
id162	id167	0.8977	0.8977
