	id1	id10	id100	id102	id109	id11	id114	id118	id12	id128	id13	id135	id140	id142	id143	id147	id15	id150	id16	id162	id166	id167	id17	id171	id173	id175	id178	id179	id18	id180	id183	id185	id186	id19	id192	id194	id196	id197	id199	id20	id202	id203	id205	id206	id208	id209	id21	id210	id211	id216	id217	id22	id227	id228	id230	id231	id233	id236	id239	id241	id242	id247	id249	id250	id254	id255	id257	id258	id259	id26	id264	id266	id267	id268	id278	id279	id28	id280	id282	id283	id285	id286	id287	id289	id29	id290	id291	id293	id294	id295	id297	id298	id299	id303	id304	id306	id307	id31	id311	id313	id320	id321	id323	id324	id325	id328	id329	id33	id330	id331	id333	id335	id336	id337	id338	id342	id343	id344	id348	id35	id350	id355	id357	id359	id360	id363	id37	id370	id378	id379	id38	id382	id384	id389	id391	id392	id394	id395	id396	id398	id4	id401	id403	id405	id407	id42	id44	id46	id47	id49	id50	id54	id56	id59	id65	id66	id72	id76	id78	id81	id9	id90	id92	id96	id97	id99
id1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7955	0	0	0	0	0	0	0	0	0	-0.8142	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id10	0	0	0	0	0	0.8591	0	0	0	0	0	0	0	0	0	0	0.8891	0	0	0	0	0	0	0	0	0	0.8499	-0.7999	0	0	0	0	0	0	0	0	0	0	0	0.7629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7866	0	0	0	0	0	0	0	0	0	0	0	-0.7646	0	0	0	0	0	0	0	0	0	0	0	0	-0.7955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8002	0	0	0	0	0	0	0	0	0.7775	0	0.8048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.836	0	0	0	0	0	0	0.8031	0	0	0	0	0	0	0	0
id102	0	0	0	0	0.7748	0	0	0	0	0	0	0	0	0	0.9015	0	0	0	0	0	0.7854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8856	0	0	0	0	0	0	0	-0.8385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8523	0	0	0	0	0	0	0.7934	0	0	0	0.7926	0	0	0	0	0.8699	0.757	0
id109	0	0	0	0.7748	0	0	0	0	0	0	0	0	0	0	0.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id11	0	0.8591	0	0	0	0	0	0	0.9538	0	0	0	0	0	0	0	0.9247	0	0	0	0	0	0	0	0	0	0	-0.7943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8356	0	0	0	-0.8704	0	0	-0.8294	0	0	0	0	0	0	0	0	0	-0.7073	0	0	0	0	0	0	0	0	0	-0.8213	0	0	0	0	0	0	0	-0.8304	-0.7566	0	0	-0.8028	0	0	0	0	0	0	0	0	0	0	0	0	-0.7457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7872	0	0	0	0	0
id114	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7883	0	0	0	0.808	0	0.8213	0	0.8074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8079	0	0	0	0	0	0.8184	0.8219	0	0	0
id118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8066	0	0	0	0	0	0	0	0	0	0	0
id12	0	0	0	0	0	0.9538	0	0	0	0	0	0	0	0	0	0	0.8585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8557	0	0	0	-0.9048	0	0	-0.8325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8677	0	0	0	0	0	0	0	0	0	0	0	0
