source	target	weight	sparcc
id1	id102	0.798	-0.798
id1	id114	0.8828	-0.8828
id1	id178	0.8427	0.8427
id1	id259	0.8267	0.8267
id100	id147	0.8651	0.8651
id102	id259	0.7618	-0.7618
id102	id4	0.7144	0.7144
id107	id134	0.8958	0.8958
id107	id154	0.8204	0.8204
id107	id172	0.8996	0.8996
id107	id196	0.7494	-0.7494
id107	id52	0.8788	0.8788
id107	id78	0.8347	-0.8347
id107	id93	0.896	0.896
id11	id147	0.8003	0.8003
id11	id299	0.8449	0.8449
id11	id68	0.772	0.772
id114	id178	0.8379	-0.8379
id114	id237	0.7812	0.7812
id114	id259	0.8032	-0.8032
id114	id284	0.8074	-0.8074
id12	id15	0.894	0.894
id12	id25	0.8908	0.8908
id12	id365	0.732	-0.732
id12	id56	0.8495	-0.8495
id12	id66	0.7606	-0.7606
id121	id148	0.8813	0.8813
id121	id156	0.9049	0.9049
id121	id159	0.8922	0.8922
id121	id166	0.8246	0.8246
id121	id208	0.7942	0.7942
id121	id80	0.8166	0.8166
id124	id66	0.7099	0.7099
id126	id127	0.907	0.907
id126	id343	0.825	-0.825
id134	id154	0.7756	0.7756
id134	id172	0.9271	0.9271
id134	id196	0.8231	-0.8231
id134	id52	0.9055	0.9055
id134	id93	0.9432	0.9432
id138	id299	0.7959	0.7959
id139	id51	0.7024	0.7024
id145	id165	0.8788	0.8788
id145	id167	0.8502	0.8502
id145	id196	0.8034	-0.8034
id145	id255	0.8899	-0.8899
id145	id293	0.748	-0.748
id145	id341	0.8027	-0.8027
id145	id41	0.9237	0.9237
id145	id51	0.8525	0.8525
id147	id160	0.7811	0.7811
id147	id209	0.7703	-0.7703
id148	id156	0.871	0.871
id148	id159	0.8912	0.8912
id148	id166	0.8072	0.8072
id148	id208	0.7402	0.7402
id148	id80	0.8123	0.8123
id15	id202	0.8251	0.8251
id15	id372	0.7058	-0.7058
id154	id172	0.7619	0.7619
id156	id159	0.9094	0.9094
id156	id166	0.8281	0.8281
id156	id208	0.7868	0.7868
id159	id166	0.8371	0.8371
id159	id80	0.8026	0.8026
id160	id184	0.8375	-0.8375
id160	id206	0.7632	-0.7632
id160	id248	0.7768	-0.7768
id160	id3	0.8404	0.8404
id160	id320	0.7804	0.7804
id160	id337	0.8142	-0.8142
id160	id341	0.7905	-0.7905
id160	id394	0.7855	-0.7855
id161	id338	0.7632	0.7632
id161	id357	0.76	0.76
id161	id395	0.8037	0.8037
