nodes_id	degree	modularity	Zi	Pi
id1	4	6	0.723101526062187	0
id100	1	4	-1	0
id102	3	6	0.0723101526062188	0
id107	7	2	0.816031321736829	1.11022302462516e-16
id11	3	4	1	0
id114	5	6	1.37389289951816	0
id12	5	1	-0.430326240177788	0.32
id121	6	5	0.973328526784575	0
id124	1	1	-1.26946240852447	0
id126	2	13	0	0.5
id127	1	13	0	0
id134	6	2	0.429490169335173	0
id138	1	4	-1	0
id139	1	2	-1.50321559267311	0
id145	8	2	0.816031321736829	0.21875
id147	4	4	2	0
id148	6	5	0.973328526784575	0
id15	3	1	-0.71003829629335	0
id154	3	2	-0.730133287869794	0
id156	5	5	0.486664263392288	0
id159	5	5	0.486664263392288	0
id160	9	4	1	0.666666666666667
id161	3	1	-0.71003829629335	0
id162	2	3	-1.11572158595169	0
id163	1	7	-0.957073225982004	0
id165	6	2	0.429490169335173	0
id166	6	5	0.486664263392288	0.277777777777778
id167	6	2	0.0429490169335172	0.277777777777778
id17	2	3	-1.11572158595169	0
id172	7	2	0.816031321736829	1.11022302462516e-16
id178	5	6	0.723101526062187	0.32
id179	4	3	-0.803035281608542	0
id18	4	1	-0.989750352408912	0.5
id182	1	3	-1.27206473812327	0
id184	9	4	0	0.617283950617284
id185	10	1	0.68852198428446	0.34
id186	4	1	-0.71003829629335	0.375
id187	1	3	-1.27206473812327	0
id188	3	1	-0.71003829629335	0
id189	4	3	-0.803035281608542	0
id191	1	1	-1.26946240852447	0
id194	3	3	-1.11572158595169	0.444444444444444
id196	16	2	1.9756547789418	0.5078125
id198	21	3	0.760396240107204	0.471655328798186
id199	13	1	0.408809928168898	0.497041420118343
id202	10	1	0.68852198428446	0.32
id203	2	5	-0.973328526784575	0
id206	22	3	0.29136678359248	0.648760330578512
id207	2	5	-1.45999279017686	0.5
id208	8	5	0.973328526784575	0.40625
id209	3	4	-1	0.666666666666667
id210	22	3	0.447709935764055	0.590909090909091
id211	1	2	-1.50321559267311	0
id213	11	1	0.968234040400022	0.314049586776859
id217	3	1	-0.71003829629335	0
id22	2	1	-1.26946240852447	0.5
id223	6	7	2.35587255626339	0
id228	9	3	-0.0213195207506693	0
id232	3	7	-0.294484069532924	0.444444444444444
id233	20	3	1.22942569662193	0.27
id237	3	6	0.0723101526062188	0
id241	4	3	-0.803035281608542	0
id243	5	1	-0.150614184062226	0
id247	2	3	-1.11572158595169	0
id248	16	3	0.604053087935629	0.328125
id249	9	3	-0.0213195207506693	0
id25	8	1	0.408809928168898	0.21875
id254	21	3	1.3857688487935	0.244897959183673
id255	7	2	0.0429490169335172	0.448979591836735
id259	4	6	0.723101526062187	0
id260	2	3	-1.11572158595169	0
id267	14	3	0.760396240107204	1.11022302462516e-16
id279	3	3	-1.11572158595169	0.444444444444444
id282	1	7	-0.957073225982004	0
id283	2	7	-0.294484069532924	0
id284	5	6	-1.22927259430572	0.56
id285	23	3	1.69845515313665	0.234404536862004
id290	5	3	-0.803035281608542	0.32
id293	21	3	0.760396240107204	0.521541950113379
id294	6	3	-0.490348977265393	0
id298	23	3	2.0111414574798	0.0831758034026465
id299	2	4	0	0
id3	2	4	0	0
id304	18	1	1.80737020874671	0.475308641975309
id305	16	3	1.07308254445035	0
id306	25	3	1.69845515313665	0.3392
id310	16	1	1.80737020874671	0.3984375
id315	19	3	1.07308254445035	0.277008310249307
id316	22	1	1.80737020874671	0.56198347107438
id319	1	10	-1.22474487139159	0
id320	21	3	1.22942569662193	0.331065759637188
id321	1	12	0	0
id322	8	3	-0.177662672922244	0
id323	2	8	0	0.5
id324	1	4	-1	0
id328	1	3	-1.27206473812327	0
id333	2	10	0	0
id334	6	3	-0.490348977265393	0
id335	2	10	0	0
id337	13	3	0.135023631420905	0.378698224852071
id338	1	1	-1.26946240852447	0
id339	15	3	0.604053087935629	0.231111111111111
id341	27	2	-0.343592135468139	0.614540466392318
id342	3	3	-1.11572158595169	0.444444444444444
id343	10	3	-0.0213195207506693	0.18
id344	10	1	1.24794609651558	0
id348	2	8	0	0.5
id35	3	9	1.58113883008419	0
id350	4	2	-1.50321559267311	0.625
id354	5	3	-0.646692129436968	0
id355	3	3	-0.959378433780117	0
id357	9	1	0.968234040400022	0
id359	10	3	0.135023631420905	0
id360	25	3	0.447709935764055	0.5376
id363	4	3	-0.803035281608542	0
id364	2	5	-1.45999279017686	0.5
id365	10	1	0.129097872053336	0.48
id367	5	3	-0.646692129436968	0
id370	11	1	1.24794609651558	0.165289256198347
id372	1	1	-1.26946240852447	0
id375	6	1	0.129097872053336	0
id376	1	1	-1.26946240852447	0
id380	10	1	0.968234040400022	0.18
id382	1	6	-1.22927259430572	0
id383	21	3	1.54211200096508	0.172335600907029
id384	4	1	-0.430326240177788	0
id386	4	1	-0.430326240177788	0
id391	7	1	0.129097872053336	0.244897959183674
id392	2	9	0	0
id393	4	1	-0.430326240177788	0
id394	20	1	1.52765815263115	0.595
id395	11	1	0.68852198428446	0.396694214876033
id397	20	3	1.22942569662193	0.265
id398	15	1	0.968234040400022	0.56
id4	1	6	-1.22927259430572	0
id400	1	12	0	0
id407	3	10	1.22474487139159	0
id41	9	2	0.816031321736829	0.345679012345679
id42	2	7	-0.294484069532924	0
id44	2	9	0	0
id46	2	9	0	0
id5	1	1	-1.26946240852447	0
id51	6	2	0.429490169335173	0
id52	5	2	0.0429490169335172	0
id56	3	7	-0.294484069532924	0.444444444444444
id6	7	1	0.408809928168898	1.11022302462516e-16
id62	3	7	0.368105086916155	0
id66	2	1	-0.989750352408912	0
id68	2	4	0	0
id69	1	9	-1.58113883008419	0
id75	2	11	1.15470053837925	0
id76	1	11	-0.577350269189626	0
id77	4	7	0.368105086916155	0.375
id78	1	2	-1.50321559267311	0
id80	3	5	-0.486664263392288	0
id93	6	2	0.429490169335173	0
id96	3	1	-0.71003829629335	0
id97	1	11	-0.577350269189626	0
id98	2	9	0	0
