source	target	weight	sparcc
id1	id14	0.749	0.749
id1	id157	0.8051	-0.8051
id1	id20	0.7653	-0.7653
id1	id285	0.7502	-0.7502
id1	id67	0.816	0.816
id10	id109	0.8095	-0.8095
id10	id16	0.8602	0.8602
id10	id183	0.7897	0.7897
id10	id188	0.8143	0.8143
id10	id208	0.856	0.856
id10	id210	0.8832	-0.8832
id10	id211	0.8492	0.8492
id10	id216	0.8748	0.8748
id10	id218	0.8404	0.8404
id10	id25	0.8396	0.8396
id10	id259	0.8822	-0.8822
id10	id260	0.8143	-0.8143
id10	id304	0.8048	-0.8048
id10	id407	0.8557	0.8557
id10	id60	0.837	-0.837
id10	id61	0.82	-0.82
id100	id133	0.8231	0.8231
id100	id147	0.8815	0.8815
id100	id2	0.8385	0.8385
id100	id218	0.8274	0.8274
id100	id75	0.7573	-0.7573
id102	id51	0.8645	0.8645
id102	id97	0.784	0.784
id106	id132	0.7733	0.7733
id106	id137	0.7534	-0.7534
id106	id146	0.8064	-0.8064
id106	id160	0.7942	-0.7942
id106	id166	0.7784	-0.7784
id106	id67	0.7817	0.7817
id106	id86	0.7996	0.7996
id109	id133	0.7945	-0.7945
id109	id138	0.7553	0.7553
id109	id157	0.8265	0.8265
id109	id16	0.8574	-0.8574
id109	id161	0.7426	0.7426
id109	id171	0.8654	0.8654
id109	id174	0.7869	0.7869
id109	id178	0.8886	-0.8886
id109	id183	0.822	-0.822
id109	id185	0.8009	-0.8009
id109	id188	0.854	-0.854
id109	id189	0.716	-0.716
id109	id199	0.8998	0.8998
id109	id2	0.7996	-0.7996
id109	id20	0.8128	0.8128
id109	id203	0.8193	-0.8193
id109	id208	0.8988	-0.8988
id109	id209	0.856	0.856
id109	id211	0.8477	-0.8477
id109	id216	0.8392	-0.8392
id109	id218	0.8585	-0.8585
id109	id220	0.8252	-0.8252
id109	id226	0.789	-0.789
id109	id227	0.8851	-0.8851
id109	id237	0.786	-0.786
id109	id240	0.8815	-0.8815
id109	id248	0.7991	0.7991
id109	id249	0.8009	0.8009
id109	id25	0.7503	-0.7503
id109	id250	0.7495	-0.7495
id109	id254	0.7582	-0.7582
id109	id259	0.8312	0.8312
id109	id262	0.7762	-0.7762
id109	id277	0.75	-0.75
id109	id278	0.8295	-0.8295
id109	id285	0.7265	0.7265
id109	id295	0.8371	-0.8371
id109	id299	0.8109	-0.8109
id109	id304	0.8215	0.8215
id109	id308	0.7723	-0.7723
id109	id37	0.7521	0.7521
id109	id381	0.7222	-0.7222
id109	id52	0.8407	0.8407
id109	id60	0.894	0.894
id109	id61	0.8305	0.8305
id11	id19	0.8312	0.8312
id11	id231	0.8045	0.8045
id114	id239	0.7009	-0.7009
id114	id282	0.7431	0.7431
id115	id138	0.8423	0.8423
id115	id148	0.8733	0.8733
id115	id161	0.8794	0.8794
id115	id164	0.8749	0.8749
id115	id185	0.7711	-0.7711
id115	id203	0.818	-0.818
id115	id237	0.7948	-0.7948
id117	id132	0.9222	0.9222
id117	id134	0.9245	0.9245
id117	id146	0.7526	-0.7526
id117	id149	0.9408	0.9408
id117	id209	0.792	-0.792
id117	id224	0.7202	0.7202
id117	id26	0.8173	0.8173
id117	id45	0.9353	0.9353
id117	id53	0.7786	-0.7786
id117	id75	0.8817	-0.8817
id118	id166	0.7789	0.7789
id12	id13	0.9114	0.9114
id12	id133	0.8063	0.8063
id12	id157	0.7843	-0.7843
id12	id16	0.8311	0.8311
id12	id188	0.8465	0.8465
id12	id19	0.8911	0.8911
id12	id196	0.9042	0.9042
id12	id198	0.7346	-0.7346
id12	id199	0.8917	-0.8917
id12	id20	0.7548	-0.7548
id12	id203	0.8783	0.8783
id12	id208	0.8364	0.8364
id12	id211	0.8311	0.8311
id12	id220	0.8827	0.8827
id12	id226	0.8499	0.8499
id12	id227	0.8467	0.8467
id12	id240	0.8738	0.8738
id12	id248	0.933	-0.933
id12	id249	0.94	-0.94
id12	id250	0.788	0.788
id12	id251	0.8388	0.8388
id12	id254	0.8112	0.8112
id12	id259	0.8574	-0.8574
id12	id262	0.872	0.872
id12	id278	0.8046	0.8046
id12	id285	0.7992	-0.7992
id12	id294	0.8669	0.8669
id12	id304	0.9112	-0.9112
id12	id306	0.8168	-0.8168
id12	id307	0.7892	0.7892
id12	id308	0.8179	0.8179
id12	id394	0.9117	-0.9117
id12	id395	0.8966	-0.8966
id12	id396	0.812	-0.812
id12	id397	0.9159	-0.9159
id12	id6	0.816	-0.816
id12	id72	0.8519	-0.8519
id123	id137	0.7989	0.7989
id123	id146	0.7457	0.7457
id123	id160	0.7148	0.7148
id123	id166	0.7368	0.7368
id123	id51	0.8242	0.8242
id123	id53	0.8086	0.8086
id125	id131	0.7459	0.7459
id13	id157	0.7921	-0.7921
id13	id182	0.808	0.808
id13	id183	0.772	0.772
id13	id19	0.8235	0.8235
id13	id198	0.7157	-0.7157
id13	id199	0.8459	-0.8459
id13	id20	0.789	-0.789
id13	id220	0.8699	0.8699
id13	id227	0.8401	0.8401
id13	id232	0.8242	-0.8242
id13	id240	0.8442	0.8442
id13	id249	0.8109	-0.8109
id13	id250	0.8017	0.8017
id13	id278	0.8137	0.8137
id13	id285	0.7504	-0.7504
id13	id307	0.7788	0.7788
id13	id72	0.9076	-0.9076
id130	id137	0.7895	-0.7895
id130	id160	0.7582	-0.7582
id130	id166	0.855	-0.855
id130	id67	0.8129	0.8129
id132	id134	0.9238	0.9238
id132	id146	0.8444	-0.8444
id132	id149	0.9149	0.9149
id132	id160	0.8095	-0.8095
id132	id166	0.7979	-0.7979
id132	id26	0.8281	0.8281
id132	id45	0.9193	0.9193
id132	id75	0.8201	-0.8201
id133	id16	0.8122	0.8122
id133	id171	0.835	-0.835
id133	id174	0.8545	-0.8545
id133	id178	0.9091	0.9091
id133	id188	0.8557	0.8557
id133	id196	0.9273	0.9273
id133	id199	0.8981	-0.8981
id133	id2	0.9093	0.9093
id133	id203	0.8408	0.8408
id133	id205	0.7477	-0.7477
id133	id208	0.8286	0.8286
id133	id211	0.8871	0.8871
id133	id218	0.8918	0.8918
id133	id226	0.8767	0.8767
id133	id227	0.8638	0.8638
