source	target	weight	sparcc
id1	id101	0.8631	0.8631
id1	id104	0.8986	0.8986
id1	id21	0.902	0.902
id1	id227	0.8798	-0.8798
id1	id262	0.7087	-0.7087
id1	id298	0.8125	-0.8125
id1	id31	0.7362	0.7362
id1	id34	0.793	-0.793
id1	id65	0.7902	0.7902
id1	id78	0.7922	-0.7922
id1	id82	0.9131	0.9131
id1	id90	0.9023	0.9023
id10	id14	0.8476	0.8476
id10	id329	0.7423	-0.7423
id10	id4	0.8063	-0.8063
id10	id68	0.7612	0.7612
id100	id253	0.7649	-0.7649
id101	id104	0.8582	0.8582
id101	id21	0.8076	0.8076
id101	id227	0.8104	-0.8104
id101	id82	0.8916	0.8916
id101	id90	0.7815	0.7815
id102	id379	0.7753	-0.7753
id104	id21	0.8217	0.8217
id104	id227	0.825	-0.825
id104	id34	0.7742	-0.7742
id104	id367	0.7054	0.7054
id104	id391	0.7619	-0.7619
id104	id7	0.7431	-0.7431
id104	id82	0.8846	0.8846
id104	id90	0.7812	0.7812
id109	id13	0.7778	-0.7778
id109	id46	0.8293	0.8293
id11	id178	0.8276	0.8276
id11	id380	0.8285	-0.8285
id11	id384	0.8286	-0.8286
id11	id407	0.8285	0.8285
id110	id144	0.7043	0.7043
id110	id157	0.7267	0.7267
id110	id159	0.7662	0.7662
id112	id129	0.7474	0.7474
id112	id55	0.7498	0.7498
id112	id84	0.7351	0.7351
id113	id293	0.7696	0.7696
id113	id360	0.7298	-0.7298
id113	id370	0.782	-0.782
id114	id16	0.8033	0.8033
id114	id171	0.9316	0.9316
id114	id233	0.7875	0.7875
id114	id241	0.775	0.775
id114	id25	0.7945	-0.7945
id114	id350	0.8405	-0.8405
id114	id365	0.8054	-0.8054
id114	id383	0.7258	-0.7258
id115	id129	0.7743	0.7743
id115	id396	0.8252	-0.8252
id115	id55	0.7522	0.7522
id12	id15	0.8611	0.8611
id12	id18	0.9563	0.9563
id12	id19	0.8772	0.8772
id12	id320	0.8159	-0.8159
id12	id359	0.721	-0.721
id12	id383	0.7603	-0.7603
id12	id401	0.9407	-0.9407
id126	id134	0.8408	0.8408
id126	id253	0.8602	0.8602
id126	id291	0.7423	0.7423
id129	id29	0.8222	-0.8222
id129	id84	0.7272	0.7272
id13	id40	0.8337	0.8337
id130	id138	0.8817	0.8817
id130	id196	0.8285	0.8285
id130	id75	0.9001	-0.9001
id133	id155	0.8664	0.8664
id133	id21	0.7816	-0.7816
id133	id98	0.8743	0.8743
id134	id248	0.8182	0.8182
id134	id249	0.8826	0.8826
id134	id253	0.8216	0.8216
id134	id290	0.7412	0.7412
id134	id293	0.8451	0.8451
id134	id299	0.9251	0.9251
id134	id39	0.9042	0.9042
id135	id208	0.7777	-0.7777
id135	id52	0.7703	0.7703
id137	id208	0.7365	-0.7365
id137	id58	0.7083	0.7083
id138	id31	0.7739	0.7739
id138	id378	0.8212	-0.8212
id138	id75	0.7906	-0.7906
id139	id40	0.822	0.822
id14	id166	0.7761	0.7761
id14	id4	0.7624	-0.7624
id15	id175	0.7978	0.7978
id15	id178	0.8228	0.8228
id15	id18	0.8833	0.8833
id15	id19	0.913	0.913
id15	id199	0.776	-0.776
id15	id227	0.7837	0.7837
id15	id25	0.7959	-0.7959
id15	id283	0.836	-0.836
id15	id350	0.7784	-0.7784
id15	id359	0.7427	-0.7427
id15	id365	0.8446	-0.8446
id15	id367	0.782	-0.782
id15	id384	0.8558	-0.8558
id15	id407	0.8446	0.8446
id15	id7	0.8744	0.8744
id152	id208	0.7777	-0.7777
id152	id58	0.7453	0.7453
