nodes_id	degree	modularity	Zi	Pi
id1	12	7	1.95519876171253	0.291666666666667
id10	4	4	1.87082869338697	0
id100	1	6	-1.11157240895003	0
id101	6	7	0.533236025921598	0
id102	1	4	-0.935414346693485	0
id104	10	7	1.24421739381706	0.32
id109	2	9	0.730296743340221	0
id11	4	3	-0.669171745036657	0
id110	3	8	1.22474487139159	0
id112	3	10	0.158776837207489	0
id113	3	6	-1.11157240895003	0.666666666666667
id114	8	2	-0.0326468071249596	0.5
id115	3	10	0.158776837207489	0
id12	7	2	1.2895488814359	1.11022302462516e-16
id126	3	6	0.123508045438893	0
id129	4	10	1.27021469765991	0
id13	2	9	0.730296743340221	0
id130	3	1	-0.538486432085761	0.444444444444444
id133	3	7	-0.533236025921598	0
id134	8	6	1.97612872702228	0.40625
id135	2	5	-0.345310919804754	0
id137	2	5	-0.345310919804754	0
id138	4	1	-0.538486432085761	0.625
id139	1	9	-1.09544511501033	0
id14	3	4	0.935414346693485	0
id144	1	8	-1.22474487139159	0
id15	16	2	0.848816985248946	0.5390625
id152	3	5	0.115103639934918	0
id155	3	7	-0.533236025921598	0
id157	4	8	0	0.5
id159	3	8	0	0.444444444444444
id16	12	3	0.629808701210971	0.291666666666667
id160	3	5	0.115103639934918	0
id162	3	5	0.115103639934918	0
id166	4	4	0.935414346693485	0.375
id167	2	2	-0.914110599498865	0
id168	3	4	0	0.444444444444444
id17	1	4	-0.935414346693485	0
id171	10	2	0.408085089061993	0.66
id175	10	2	-0.0326468071249596	0.58
id178	13	3	0.846305442252243	0.260355029585799
id18	8	2	1.2895488814359	0.21875
id19	9	2	1.73028077762285	0.197530864197531
id196	2	1	-0.538486432085761	0
id199	16	3	1.06280218329351	0.4140625
id20	2	1	-0.538486432085761	0
id202	3	5	-0.345310919804754	0.444444444444444
id203	7	3	-0.236178262954114	0.244897959183674
id206	2	1	-1.04331746216616	0.5
id208	11	5	2.87759099837295	0.314049586776859
id21	10	7	1.59970807776479	0.18
id210	5	3	-0.452675003995386	0
id217	4	1	0.471175628075041	0
id220	3	7	-0.88872670986933	0.444444444444444
id227	19	7	1.95519876171253	0.57617728531856
id228	3	2	-0.914110599498865	0.444444444444444
id233	9	3	-0.0196815219128428	0.345679012345679
id237	2	5	-0.345310919804754	0
id240	4	3	-0.669171745036657	0
id241	3	2	-0.473378703311912	0
id248	9	2	-0.473378703311912	0.716049382716049
id249	6	3	-1.1021652271192	0.722222222222222
id25	9	2	2.1710126738098	0
id251	1	2	-1.35484249568582	0
id252	1	4	-0.935414346693485	0
id253	3	6	0.123508045438893	0
id255	3	5	0.115103639934918	0
id258	4	3	-0.669171745036657	0
id259	1	2	-1.35484249568582	0
id262	4	7	-0.533236025921598	0.375
id267	5	3	-0.452675003995386	0
id272	8	2	0.848816985248946	0.375
id279	1	1	-1.04331746216616	0
id283	13	3	1.06280218329351	0.142011834319527
id29	3	10	0.158776837207489	0
id290	3	6	-0.494032181755571	0.444444444444444
id291	2	6	-0.494032181755571	0
id293	7	6	0.123508045438893	0.612244897959184
id294	1	5	-0.805725479544427	0
id295	2	7	-0.88872670986933	0
id298	11	3	-0.452675003995386	0.578512396694215
id299	8	6	1.35858849982782	0.5625
id30	1	2	-1.35484249568582	0
id31	7	7	-0.177745341973866	0.571428571428571
id313	8	3	-0.0196815219128428	0.21875
id318	2	2	-0.914110599498865	0
id319	6	3	-0.669171745036657	0.5
id32	2	4	0	0
id320	2	2	-0.914110599498865	0
id322	1	7	-1.24421739381706	0
id329	1	4	-0.935414346693485	0
id33	3	5	-0.345310919804754	0.444444444444444
id333	3	5	-0.345310919804754	0.444444444444444
id334	1	1	-1.04331746216616	0
id335	2	5	-0.345310919804754	0
id339	3	1	-0.0336554020053602	0
id34	8	7	0.533236025921598	0.40625
