source	target	weight	sparcc
id10	id400	0.7902	-0.7902
id102	id177	0.7071	-0.7071
id102	id97	0.7152	0.7152
id103	id115	0.855	0.855
id103	id138	0.8576	0.8576
id103	id139	0.7997	0.7997
id103	id178	0.7633	-0.7633
id103	id293	0.8576	-0.8576
id11	id12	0.8882	0.8882
id11	id13	0.8243	0.8243
id114	id166	0.855	0.855
id114	id175	0.8664	0.8664
id115	id139	0.7878	0.7878
id12	id15	0.817	0.817
id12	id171	0.8529	0.8529
id12	id240	0.8259	-0.8259
id12	id324	0.7211	0.7211
id12	id339	0.7444	-0.7444
id12	id49	0.8584	0.8584
id12	id50	0.8812	0.8812
id12	id6	0.8964	-0.8964
id13	id16	0.7871	0.7871
id13	id237	0.7798	-0.7798
id133	id160	0.7279	0.7279
id133	id22	0.7246	0.7246
id138	id139	0.7006	0.7006
id138	id262	0.8245	-0.8245
id138	id293	0.7633	-0.7633
id138	id38	0.851	-0.851
id139	id293	0.7334	-0.7334
id139	id401	0.7359	-0.7359
id140	id208	0.8435	0.8435
id140	id47	0.9248	0.9248
id140	id51	0.7937	0.7937
id140	id56	0.9206	0.9206
id140	id68	0.8468	0.8468
id140	id76	0.8845	0.8845
id15	id16	0.798	0.798
id15	id18	0.8325	0.8325
id15	id189	0.7454	-0.7454
id15	id208	0.8582	0.8582
id15	id240	0.8031	-0.8031
id15	id339	0.8698	-0.8698
id15	id36	0.8894	0.8894
id15	id360	0.8184	-0.8184
id15	id363	0.8601	-0.8601
id15	id367	0.8223	-0.8223
id15	id394	0.833	-0.833
id15	id6	0.9133	-0.9133
id15	id76	0.7628	0.7628
id16	id178	0.8135	0.8135
id16	id217	0.8658	-0.8658
id16	id233	0.8723	-0.8723
id16	id306	0.818	-0.818
id16	id385	0.7617	-0.7617
id16	id391	0.8308	-0.8308
id16	id395	0.9025	-0.9025
id162	id171	0.778	-0.778
id162	id317	0.8152	-0.8152
id162	id378	0.8467	0.8467
id166	id175	0.9422	0.9422
id166	id22	0.8415	0.8415
id166	id334	0.8077	-0.8077
id166	id406	0.7986	0.7986
id17	id240	0.8836	-0.8836
id17	id282	0.7837	-0.7837
id17	id327	0.7217	-0.7217
id17	id339	0.7898	-0.7898
id17	id360	0.7975	-0.7975
id17	id389	0.8426	0.8426
id17	id397	0.732	-0.732
id17	id50	0.7794	0.7794
id17	id6	0.8545	-0.8545
id17	id99	0.9	0.9
id171	id18	0.7732	0.7732
id171	id208	0.8399	0.8399
id171	id324	0.8007	0.8007
id171	id327	0.755	-0.755
id171	id378	0.8372	-0.8372
id171	id49	0.9264	0.9264
id171	id50	0.9169	0.9169
id175	id22	0.8099	0.8099
id175	id406	0.8354	0.8354
id177	id223	0.7543	0.7543
id177	id282	0.8113	0.8113
id177	id334	0.8244	0.8244
id178	id182	0.768	0.768
id178	id184	0.7713	-0.7713
id178	id193	0.8616	0.8616
id178	id203	0.8853	0.8853
id178	id216	0.8425	0.8425
id178	id217	0.9122	-0.9122
id178	id218	0.8459	-0.8459
id178	id233	0.8881	-0.8881
id178	id293	0.8707	0.8707
id178	id299	0.8692	0.8692
id178	id306	0.7863	-0.7863
id178	id360	0.8443	-0.8443
id178	id363	0.8329	-0.8329
id178	id368	0.8353	-0.8353
id178	id394	0.9021	-0.9021
id178	id395	0.9274	-0.9274
id178	id397	0.9132	-0.9132
id178	id6	0.8089	-0.8089
id18	id189	0.799	-0.799
id18	id240	0.8655	-0.8655
id18	id283	0.9145	-0.9145
id18	id339	0.7937	-0.7937
id18	id389	0.8398	0.8398
