nodes_id	degree	modularity	Zi	Pi
id10	1	7	-1.35240686518678	0
id102	2	4	-0.316612772570786	0
id103	5	3	0.36054647107238	0
id11	2	3	-1.49369252301415	0.5
id114	2	4	-0.316612772570786	0
id115	2	3	-1.03013277449251	0
id12	9	1	0.299574090532484	0.197530864197531
id13	3	3	-0.566573025970883	0
id133	2	4	-0.316612772570786	0
id138	5	3	-0.566573025970883	0.48
id139	5	3	-0.103013277449251	0.32
id140	6	1	-0.209701863372739	0
id15	14	1	1.57276397529554	0.13265306122449
id16	9	3	0.36054647107238	0.592592592592593
id160	1	4	-1.21368229485468	0
id162	3	1	-1.22825377118318	0.444444444444444
id166	5	4	2.37459579428089	0
id17	10	1	0.299574090532484	0.34
id171	9	1	0.554212067485096	0
id175	4	4	1.477526271997	0
id177	4	4	1.477526271997	0
id178	20	3	0.824106219594011	0.645
id18	10	1	0.808850044437707	0
id180	2	2	-1.29661749610937	0
id182	21	2	0.752874675160279	0.403628117913832
id184	18	2	0.0209131854211188	0.549382716049383
id185	5	3	-0.103013277449251	0.32
id186	1	6	-0.5	0
id188	7	2	-0.56465600637021	1.11022302462516e-16
id189	3	1	-0.973615794230573	0
id19	1	9	-1.2721433189123	0
id191	10	6	1.5	0.62
id193	28	2	1.63122846284727	0.364795918367347
id194	7	2	-0.56465600637021	1.11022302462516e-16
id199	15	2	0.167305483368951	0.337777777777778
id20	10	2	-0.271871410474545	0.18
id200	1	1	-1.4828917481358	0
id201	8	2	-0.418263708422377	0
id202	1	8	-0.866025403784439	0
id203	20	2	0.752874675160279	0.345
id206	21	2	1.48483616489944	0
id207	10	2	-0.271871410474545	0.18
id208	13	1	1.57276397529554	0
id216	29	2	2.2167976546386	0.185493460166469
id217	23	2	0.606482377212447	0.510396975425331
id218	19	2	0.460090079264615	0.43213296398892
id22	3	4	0.580456749713107	0
id220	14	2	0.167305483368951	0.244897959183674
id223	3	4	-0.316612772570786	0.444444444444444
id226	26	2	2.2167976546386	0
id227	4	2	-1.00383290021371	0
id231	2	11	0	0
id232	18	2	0.606482377212447	0.290123456790124
id233	18	3	1.75122571663727	0.641975308641975
id234	2	8	0.866025403784439	0
id237	8	3	0.36054647107238	0.53125
id239	3	5	1.56524758424985	0
id240	18	1	1.31812599834293	0.475308641975309
id241	2	11	0	0
id242	11	2	0.0209131854211188	0
id243	1	5	-0.670820393249937	0
id249	1	13	0	0
id251	23	2	1.63122846284727	0.0831758034026465
id254	1	6	-0.5	0
id255	1	9	-1.2721433189123	0
id258	2	8	0.866025403784439	0
id262	4	7	-0.20806259464412	0.625
id266	1	5	-0.670820393249937	0
id277	18	2	0.752874675160279	0.203703703703704
