allGfishSid	Sample	Value
id1	HKBea1Aug	272
id1	HKBea1Feb	3566
id1	HKBea1May	170
id1	HKBea1Nov	4293
id1	HKBea2Aug	168
id1	HKBea2Feb	6948
id1	HKBea2May	208
id1	HKBea2Nov	4114
id1	HKBea3Aug	557
id1	HKBea3Feb	1868
id1	HKBea3May	23
id1	HKBea3Nov	54
id1	HKSta1Aug	1156
id1	HKSta1Feb	765
id1	HKSta1May	137
id1	HKSta1Nov	1940
id1	HKSta2Aug	424
id1	HKSta2Feb	12718
id1	HKSta2May	189
id1	HKSta2Nov	41
id1	HKSta3Aug	43
id1	HKSta3Feb	9128
id1	HKSta3May	196
id1	HKSta3Nov	80
id1	HKSW1Aug	679
id1	HKSW1Feb	809
id1	HKSW1May	165
id1	HKSW1Nov	562
id1	HKSW2Aug	136
id1	HKSW2Feb	2048
id1	HKSW2May	332
id1	HKSW2Nov	0
id1	HKSW3Aug	205
id1	HKSW3Feb	1084
id1	HKSW3May	188
id1	HKSW3Nov	14
id1	LTCC1Aug	115
id1	LTCC1Feb	9317
id1	LTCC1May	4611
id1	LTCC1Nov	20
id1	LTCC2Aug	21
id1	LTCC2Feb	5353
id1	LTCC2May	1380
id1	LTCC2Nov	4
id1	LTCC3Aug	236
id1	LTCC3Feb	3134
id1	LTCC3May	2883
id1	LTCC3Nov	0
id1	LTCMW1Aug	144
id1	LTCMW1Feb	5540
id1	LTCMW1May	2130
id1	LTCMW1Nov	870
id1	LTCMW2Aug	284
id1	LTCMW2Feb	5495
id1	LTCMW2May	40
id1	LTCMW2Nov	160
id1	LTCMW3Aug	4176
id1	LTCMW3Feb	7079
id1	LTCMW3May	453
id1	LTCMW3Nov	13
id1	LTPC1Aug	1069
id1	LTPC1Feb	3740
id1	LTPC1May	135
id1	LTPC1Nov	10
id1	LTPC2Aug	1906
id1	LTPC2May	907
id1	LTPC2Nov	37
id1	LTPC3Aug	493
id1	LTPC3Feb	4323
id1	LTPC3May	27
id1	LTPC3Nov	0
id1	SKBlu1Aug	189
id1	SKBlu1Feb	805
id1	SKBlu1May	9
id1	SKBlu1Nov	14
id1	SKBlu2Aug	5
id1	SKBlu2Feb	4097
id1	SKBlu2May	2
id1	SKBlu2Nov	6
id1	SKBlu3Aug	1287
id1	SKBlu3Feb	1571
id1	SKBlu3May	6
id1	SKBlu3Nov	0
id1	SKLKW1Aug	169
id1	SKLKW1Feb	2324
id1	SKLKW1May	19
id1	SKLKW1Nov	2
id1	SKLKW2Aug	60
id1	SKLKW2Feb	1056
id1	SKLKW2May	26
id1	SKLKW2Nov	0
id1	SKLKW3Aug	13
id1	SKLKW3Feb	1512
id1	SKLKW3May	3
id1	SKLKW3Nov	47
id1	SKSha1Aug	40
id1	SKSha1Feb	240
id1	SKSha1May	10
id1	SKSha1Nov	1
id1	SKSha2Aug	277
id1	SKSha2Feb	773
id1	SKSha2May	3379
id1	SKSha2Nov	0
id1	SKSha3Aug	301
id1	SKSha3Feb	475
id1	SKSha3May	1248
id1	SKSha3Nov	38
id10	HKBea1Aug	8
id10	HKBea1Feb	17
id10	HKBea1May	8
id10	HKBea1Nov	4
id10	HKBea2Aug	17
id10	HKBea2Feb	62
id10	HKBea2May	34
id10	HKBea2Nov	26
id10	HKBea3Aug	8
id10	HKBea3Feb	34
id10	HKBea3May	7
id10	HKBea3Nov	9
id10	HKSta1Aug	62
id10	HKSta1Feb	98
id10	HKSta1May	17
id10	HKSta1Nov	14
id10	HKSta2Aug	140
id10	HKSta2Feb	83
id10	HKSta2May	48
id10	HKSta2Nov	27
id10	HKSta3Aug	1
id10	HKSta3Feb	26
id10	HKSta3May	44
id10	HKSta3Nov	21
id10	HKSW1Aug	11
id10	HKSW1Feb	5
id10	HKSW1May	17
id10	HKSW1Nov	10
id10	HKSW2Aug	53
id10	HKSW2Feb	36
id10	HKSW2May	27
id10	HKSW2Nov	1
id10	HKSW3Aug	42
id10	HKSW3Feb	15
id10	HKSW3May	3
id10	HKSW3Nov	3
id10	LTCC1Aug	216
id10	LTCC1Feb	43
id10	LTCC1May	1
id10	LTCC1Nov	3
id10	LTCC2Aug	3
id10	LTCC2Feb	51
id10	LTCC2May	28
id10	LTCC2Nov	2
id10	LTCC3Aug	2
id10	LTCC3Feb	26
id10	LTCC3May	4
id10	LTCC3Nov	2
id10	LTCMW1Aug	3
id10	LTCMW1Feb	39
id10	LTCMW1May	55
id10	LTCMW1Nov	8
id10	LTCMW2Aug	3
id10	LTCMW2Feb	619
id10	LTCMW2May	0
id10	LTCMW2Nov	0
id10	LTCMW3Aug	39
id10	LTCMW3Feb	33
id10	LTCMW3May	1
id10	LTCMW3Nov	1
id10	LTPC1Aug	968
id10	LTPC1Feb	278
id10	LTPC1May	28
id10	LTPC1Nov	128
id10	LTPC2Aug	790
id10	LTPC2May	79
id10	LTPC2Nov	109
id10	LTPC3Aug	907
id10	LTPC3Feb	674
id10	LTPC3May	9
id10	LTPC3Nov	151
id10	SKBlu1Aug	83
id10	SKBlu1Feb	158
id10	SKBlu1May	19
id10	SKBlu1Nov	126
id10	SKBlu2Aug	41
id10	SKBlu2Feb	280
id10	SKBlu2May	9
id10	SKBlu2Nov	151
id10	SKBlu3Aug	96
id10	SKBlu3Feb	237
id10	SKBlu3May	7
id10	SKBlu3Nov	30
id10	SKLKW1Aug	29
id10	SKLKW1Feb	634
id10	SKLKW1May	154
id10	SKLKW1Nov	153
id10	SKLKW2Aug	33
id10	SKLKW2Feb	230
id10	SKLKW2May	58
id10	SKLKW2Nov	179
id10	SKLKW3Aug	88
id10	SKLKW3Feb	114
id10	SKLKW3May	209
id10	SKLKW3Nov	436
id10	SKSha1Aug	14
id10	SKSha1Feb	63
id10	SKSha1May	10
id10	SKSha1Nov	28
id10	SKSha2Aug	37
id10	SKSha2Feb	17
id10	SKSha2May	37
id10	SKSha2Nov	73
id10	SKSha3Aug	113
id10	SKSha3Feb	26
id10	SKSha3May	108
id10	SKSha3Nov	136
id100	HKBea1Aug	4
id100	HKBea1Feb	54
id100	HKBea1May	0
id100	HKBea1Nov	0
id100	HKBea2Aug	1303
id100	HKBea2Feb	0
id100	HKBea2May	0
id100	HKBea2Nov	0
id100	HKBea3Aug	3266
id100	HKBea3Feb	16
id100	HKBea3May	0
id100	HKBea3Nov	30
id100	HKSta1Aug	1829
id100	HKSta1Feb	0
id100	HKSta1May	0
id100	HKSta1Nov	35
id100	HKSta2Aug	6
id100	HKSta2Feb	2
id100	HKSta2May	0
id100	HKSta2Nov	0
id100	HKSta3Aug	22
id100	HKSta3Feb	0
id100	HKSta3May	17
id100	HKSta3Nov	0
id100	HKSW1Aug	0
id100	HKSW1Feb	0
id100	HKSW1May	0
id100	HKSW1Nov	0
id100	HKSW2Aug	60
id100	HKSW2Feb	0
id100	HKSW2May	0
id100	HKSW2Nov	45
id100	HKSW3Aug	28
id100	HKSW3Feb	0
id100	HKSW3May	0
id100	HKSW3Nov	68
id100	LTCC1Aug	0
id100	LTCC1Feb	0
id100	LTCC1May	0
id100	LTCC1Nov	0
id100	LTCC2Aug	1
id100	LTCC2Feb	0
id100	LTCC2May	0
id100	LTCC2Nov	5
id100	LTCC3Aug	0
id100	LTCC3Feb	0
id100	LTCC3May	5
id100	LTCC3Nov	1
id100	LTCMW1Aug	1
id100	LTCMW1Feb	0
id100	LTCMW1May	0
id100	LTCMW1Nov	0
id100	LTCMW2Aug	0
id100	LTCMW2Feb	8
id100	LTCMW2May	0
id100	LTCMW2Nov	1562
id100	LTCMW3Aug	67
id100	LTCMW3Feb	0
id100	LTCMW3May	0
id100	LTCMW3Nov	0
id100	LTPC1Aug	10572
id100	LTPC1Feb	0
id100	LTPC1May	0
id100	LTPC1Nov	2820
id100	LTPC2Aug	389
id100	LTPC2May	45
id100	LTPC2Nov	0
id100	LTPC3Aug	81
id100	LTPC3Feb	8
id100	LTPC3May	0
id100	LTPC3Nov	0
id100	SKBlu1Aug	4456
id100	SKBlu1Feb	1011
id100	SKBlu1May	767
id100	SKBlu1Nov	21
id100	SKBlu2Aug	7
id100	SKBlu2Feb	7
id100	SKBlu2May	0
id100	SKBlu2Nov	31
id100	SKBlu3Aug	0
id100	SKBlu3Feb	11
id100	SKBlu3May	0
id100	SKBlu3Nov	0
id100	SKLKW1Aug	24
id100	SKLKW1Feb	18
id100	SKLKW1May	33
id100	SKLKW1Nov	451
id100	SKLKW2Aug	18
id100	SKLKW2Feb	49
id100	SKLKW2May	45
