Network	Connectance	Average_Degree	Average_Path_Length	Diameter	Edge_Connectivity	Clustering_Coefficient	Number_of_Clusters	Betweenness_Centralization	Degree_Centralization
HK_Aug	0.0307374020984188	6.17821782178218	3.73012556022029	12.7234	0	0.4129653821032	6	0.110843849674638	0.0886655829762081
HK_Feb	0.0246232640598838	3.4965034965035	4.08423805997781	10.529	0	0.409401061410159	15	0.124644865110726	0.0950950457992712
HK_May	0.0308943089430894	5.06666666666667	4.15378969296261	11.951	0	0.437364003730183	7	0.152660387545649	0.103252032520325
HK_Nov	0.032765737874097	4.98039215686275	3.20464363534518	8.8451	0	0.353129445234708	8	0.111334304353715	0.098813209494324
LT_Aug	0.0324413923750888	6.6504854368932	3.68083313581696	12.3812	0	0.420977797221918	8	0.0875523955128694	0.133412266161497
LT_Feb	0.0188449848024316	2.63829787234043	5.22911587799959	15.0415	0	0.312169312169312	13	0.137011024450285	0.0454407294832827
LT_May	0.024601621470506	3.59183673469388	4.54648693240902	12.6156	0	0.389202256244964	8	0.205017177373597	0.0575901593514118
LT_Nov	0.0291347207009858	4.80722891566265	4.8855868609963	16.3012	0	0.489607390300231	6	0.200764314644246	0.0799561883899233
SK_Aug	0.0424329273147042	6.70440251572327	3.07596808448795	7.6906	0	0.465323336457357	5	0.0904533195102487	0.128453148634663
SK_Feb	0.0935607379046293	15.8117647058824	2.60087496327728	8.7225	0	0.600229615632998	7	0.0591664247988819	0.237800208840933
SK_May	0.0311985635193775	5.08536585365854	3.59974326624773	9.4668	0	0.359888406695598	2	0.112082458276349	0.122175669609457
SK_Nov	0.0488074017485782	7.46753246753247	2.97830384698978	7.8644	0	0.483239859136559	7	0.0758874965266406	0.140735081911553
