Sample	allGfishSid	Value	SxR
HKBea1Aug	id368	0.054347826	HK_Aug
HKBea1Aug	id371	0.054347826	HK_Aug
HKBea2Aug	id366	0.054347826	HK_Aug
HKBea2Aug	id373	0.054347826	HK_Aug
HKBea2Aug	id374	0.054347826	HK_Aug
HKBea2Aug	id377	0.054347826	HK_Aug
HKBea3Aug	id363	0.054347826	HK_Aug
HKBea3Aug	id372	0.054347826	HK_Aug
HKBea3Aug	id373	0.054347826	HK_Aug
HKSta1Aug	id358	0.054347826	HK_Aug
HKSta1Aug	id366	0.054347826	HK_Aug
HKSta1Aug	id368	0.054347826	HK_Aug
HKSta1Aug	id369	0.054347826	HK_Aug
HKSta1Aug	id373	0.054347826	HK_Aug
HKSta2Aug	id358	0.054347826	HK_Aug
HKSta2Aug	id361	0.054347826	HK_Aug
HKSta3Aug	id351	0.054347826	HK_Aug
HKSta3Aug	id358	0.054347826	HK_Aug
HKSta3Aug	id366	0.054347826	HK_Aug
HKSta3Aug	id371	0.054347826	HK_Aug
HKSta3Aug	id376	0.054347826	HK_Aug
HKSW1Aug	id345	0.054347826	HK_Aug
HKSW2Aug	id344	0.054347826	HK_Aug
HKSW2Aug	id358	0.054347826	HK_Aug
HKSW2Aug	id368	0.054347826	HK_Aug
HKSW2Aug	id373	0.054347826	HK_Aug
HKSW3Aug	id352	0.054347826	HK_Aug
HKSW3Aug	id368	0.054347826	HK_Aug
HKSW3Aug	id372	0.054347826	HK_Aug
HKBea1Feb	id345	0.054347826	HK_Feb
HKBea1Feb	id369	0.054347826	HK_Feb
HKBea1Feb	id376	0.054347826	HK_Feb
HKBea2Feb	id361	0.054347826	HK_Feb
HKBea2Feb	id362	0.054347826	HK_Feb
HKBea2Feb	id371	0.054347826	HK_Feb
HKBea3Feb	id364	0.054347826	HK_Feb
HKSta1Feb	id345	0.054347826	HK_Feb
HKSta1Feb	id368	0.054347826	HK_Feb
HKSta1Feb	id373	0.054347826	HK_Feb
HKSta2Feb	id368	0.054347826	HK_Feb
HKSta2Feb	id372	0.054347826	HK_Feb
HKSta2Feb	id376	0.054347826	HK_Feb
HKSta3Feb	id344	0.054347826	HK_Feb
HKSta3Feb	id367	0.054347826	HK_Feb
HKSta3Feb	id374	0.054347826	HK_Feb
HKSta3Feb	id376	0.054347826	HK_Feb
HKSW1Feb	id345	0.054347826	HK_Feb
HKSW1Feb	id351	0.054347826	HK_Feb
HKSW1Feb	id362	0.054347826	HK_Feb
HKSW1Feb	id373	0.054347826	HK_Feb
HKSW2Feb	id345	0.054347826	HK_Feb
HKSW2Feb	id361	0.054347826	HK_Feb
HKSW2Feb	id364	0.054347826	HK_Feb
HKSW3Feb	id344	0.054347826	HK_Feb
HKSW3Feb	id373	0.054347826	HK_Feb
HKBea1May	id348	0.054347826	HK_May
HKBea2May	id373	0.054347826	HK_May
HKBea2May	id374	0.054347826	HK_May
HKBea3May	id340	0.054347826	HK_May
HKSta3May	id345	0.054347826	HK_May
HKSW1May	id351	0.054347826	HK_May
HKSW1May	id368	0.054347826	HK_May
HKSW2May	id345	0.054347826	HK_May
HKSW2May	id346	0.054347826	HK_May
HKSW2May	id364	0.054347826	HK_May
HKSW2May	id366	0.054347826	HK_May
HKSW2May	id374	0.054347826	HK_May
HKSW3May	id340	0.054347826	HK_May
HKSW3May	id361	0.054347826	HK_May
HKSW3May	id374	0.054347826	HK_May
HKBea1Nov	id358	0.054347826	HK_Nov
HKBea1Nov	id369	0.054347826	HK_Nov
HKBea2Nov	id341	0.054347826	HK_Nov
HKBea2Nov	id345	0.054347826	HK_Nov
HKBea2Nov	id351	0.054347826	HK_Nov
HKBea2Nov	id361	0.054347826	HK_Nov
HKBea2Nov	id362	0.054347826	HK_Nov
HKBea3Nov	id353	0.054347826	HK_Nov
HKBea3Nov	id358	0.054347826	HK_Nov
HKBea3Nov	id369	0.054347826	HK_Nov
HKBea3Nov	id373	0.054347826	HK_Nov
HKSta1Nov	id345	0.054347826	HK_Nov
HKSta1Nov	id356	0.054347826	HK_Nov
HKSta2Nov	id347	0.054347826	HK_Nov
HKSta3Nov	id344	0.054347826	HK_Nov
HKSta3Nov	id347	0.054347826	HK_Nov
HKSta3Nov	id371	0.054347826	HK_Nov
HKSW1Nov	id373	0.054347826	HK_Nov
HKSW2Nov	id343	0.054347826	HK_Nov
LTCC1Aug	id346	0.054347826	LT_Aug
LTCC1Aug	id353	0.054347826	LT_Aug
LTCC1Aug	id361	0.054347826	LT_Aug
LTCC1Aug	id366	0.054347826	LT_Aug
LTCC2Aug	id351	0.054347826	LT_Aug
LTCC2Aug	id362	0.054347826	LT_Aug
LTCC2Aug	id366	0.054347826	LT_Aug
LTCC2Aug	id372	0.054347826	LT_Aug
LTCC2Aug	id376	0.054347826	LT_Aug
LTCC2Aug	id377	0.054347826	LT_Aug
LTCC3Aug	id366	0.054347826	LT_Aug
LTCC3Aug	id371	0.054347826	LT_Aug
LTCC3Aug	id377	0.054347826	LT_Aug
LTCMW1Aug	id351	0.054347826	LT_Aug
LTCMW1Aug	id358	0.054347826	LT_Aug
LTCMW1Aug	id363	0.054347826	LT_Aug
LTCMW1Aug	id368	0.054347826	LT_Aug
LTCMW2Aug	id361	0.054347826	LT_Aug
LTCMW2Aug	id364	0.054347826	LT_Aug
LTCMW2Aug	id371	0.054347826	LT_Aug
LTCMW2Aug	id374	0.054347826	LT_Aug
LTCMW3Aug	id351	0.054347826	LT_Aug
LTCMW3Aug	id358	0.054347826	LT_Aug
LTCMW3Aug	id362	0.054347826	LT_Aug
LTCMW3Aug	id366	0.054347826	LT_Aug
LTCMW3Aug	id376	0.054347826	LT_Aug
LTCMW3Aug	id377	0.054347826	LT_Aug
LTPC1Aug	id346	0.054347826	LT_Aug
LTPC1Aug	id368	0.054347826	LT_Aug
LTPC1Aug	id373	0.054347826	LT_Aug
LTPC2Aug	id346	0.054347826	LT_Aug
LTPC2Aug	id358	0.054347826	LT_Aug
LTPC3Aug	id347	0.054347826	LT_Aug
LTPC3Aug	id349	0.054347826	LT_Aug
LTPC3Aug	id371	0.054347826	LT_Aug
LTCC1Feb	id345	0.054347826	LT_Feb
LTCC1Feb	id364	0.054347826	LT_Feb
LTCC2Feb	id351	0.054347826	LT_Feb
LTCC2Feb	id368	0.054347826	LT_Feb
LTCC3Feb	id344	0.054347826	LT_Feb
LTCC3Feb	id358	0.054347826	LT_Feb
LTCC3Feb	id362	0.054347826	LT_Feb
LTCMW1Feb	id351	0.054347826	LT_Feb
LTCMW1Feb	id355	0.054347826	LT_Feb
LTCMW1Feb	id357	0.054347826	LT_Feb
LTCMW1Feb	id376	0.054347826	LT_Feb
LTCMW2Feb	id351	0.054347826	LT_Feb
LTCMW2Feb	id358	0.054347826	LT_Feb
LTCMW2Feb	id364	0.054347826	LT_Feb
LTCMW3Feb	id339	0.054347826	LT_Feb
LTCMW3Feb	id363	0.054347826	LT_Feb
LTCMW3Feb	id364	0.054347826	LT_Feb
LTCMW3Feb	id376	0.054347826	LT_Feb
LTPC1Feb	id371	0.054347826	LT_Feb
LTPC1Feb	id373	0.054347826	LT_Feb
LTPC3Feb	id339	0.054347826	LT_Feb
LTPC3Feb	id364	0.054347826	LT_Feb
LTPC3Feb	id371	0.054347826	LT_Feb
LTCC1May	id340	0.054347826	LT_May
LTCC1May	id364	0.054347826	LT_May
LTCC1May	id374	0.054347826	LT_May
LTCC1May	id376	0.054347826	LT_May
LTCC1May	id377	0.054347826	LT_May
LTCC2May	id349	0.054347826	LT_May
LTCC2May	id364	0.054347826	LT_May
LTCC2May	id368	0.054347826	LT_May
LTCC2May	id373	0.054347826	LT_May
LTCC3May	id366	0.054347826	LT_May
LTCMW1May	id340	0.054347826	LT_May
LTCMW1May	id364	0.054347826	LT_May
LTCMW2May	id368	0.054347826	LT_May
LTCMW2May	id377	0.054347826	LT_May
LTCMW3May	id349	0.054347826	LT_May
LTCMW3May	id364	0.054347826	LT_May
LTCMW3May	id373	0.054347826	LT_May
LTPC1May	id373	0.054347826	LT_May
LTPC2May	id369	0.054347826	LT_May
LTPC2May	id374	0.054347826	LT_May
LTPC3May	id346	0.054347826	LT_May
LTPC3May	id358	0.054347826	LT_May
LTPC3May	id368	0.054347826	LT_May
LTCC1Nov	id341	0.054347826	LT_Nov
LTCC1Nov	id347	0.054347826	LT_Nov
LTCC1Nov	id362	0.054347826	LT_Nov
LTCC1Nov	id365	0.054347826	LT_Nov
LTCC1Nov	id371	0.054347826	LT_Nov
LTCC2Nov	id353	0.054347826	LT_Nov
LTCC3Nov	id344	0.054347826	LT_Nov
LTCMW1Nov	id346	0.054347826	LT_Nov
LTCMW1Nov	id361	0.054347826	LT_Nov
LTCMW1Nov	id366	0.054347826	LT_Nov
LTCMW1Nov	id368	0.054347826	LT_Nov
LTCMW1Nov	id377	0.054347826	LT_Nov
LTCMW2Nov	id346	0.054347826	LT_Nov
LTCMW2Nov	id347	0.054347826	LT_Nov
LTCMW2Nov	id351	0.054347826	LT_Nov
LTCMW2Nov	id358	0.054347826	LT_Nov
LTCMW2Nov	id366	0.054347826	LT_Nov
LTCMW2Nov	id368	0.054347826	LT_Nov
LTCMW3Nov	id347	0.054347826	LT_Nov
LTPC1Nov	id358	0.054347826	LT_Nov
LTPC1Nov	id369	0.054347826	LT_Nov
LTPC2Nov	id345	0.054347826	LT_Nov
LTPC3Nov	id339	0.054347826	LT_Nov
LTPC3Nov	id358	0.054347826	LT_Nov
LTPC3Nov	id365	0.054347826	LT_Nov
LTPC3Nov	id371	0.054347826	LT_Nov
LTPC3Nov	id374	0.054347826	LT_Nov
LTPC3Nov	id376	0.054347826	LT_Nov
SKBlu1Aug	id362	0.054347826	SK_Aug
SKBlu1Aug	id377	0.054347826	SK_Aug
SKBlu2Aug	id347	0.054347826	SK_Aug
SKBlu2Aug	id356	0.054347826	SK_Aug
SKBlu3Aug	id353	0.054347826	SK_Aug
SKBlu3Aug	id362	0.054347826	SK_Aug
SKBlu3Aug	id374	0.054347826	SK_Aug
SKLKW1Aug	id340	0.054347826	SK_Aug
SKLKW1Aug	id351	0.054347826	SK_Aug
SKLKW1Aug	id371	0.054347826	SK_Aug
SKLKW1Aug	id375	0.054347826	SK_Aug
SKLKW2Aug	id340	0.054347826	SK_Aug
SKLKW3Aug	id353	0.054347826	SK_Aug
SKLKW3Aug	id371	0.054347826	SK_Aug
SKSha1Aug	id358	0.054347826	SK_Aug
SKSha2Aug	id358	0.054347826	SK_Aug
SKSha3Aug	id345	0.054347826	SK_Aug
SKSha3Aug	id366	0.054347826	SK_Aug
SKSha3Aug	id371	0.054347826	SK_Aug
SKSha3Aug	id376	0.054347826	SK_Aug
SKBlu2Feb	id362	0.054347826	SK_Feb
SKBlu3Feb	id345	0.054347826	SK_Feb
SKBlu3Feb	id361	0.054347826	SK_Feb
SKBlu3Feb	id376	0.054347826	SK_Feb
SKLKW1Feb	id363	0.054347826	SK_Feb
SKLKW1Feb	id366	0.054347826	SK_Feb
SKLKW2Feb	id339	0.054347826	SK_Feb
SKLKW2Feb	id369	0.054347826	SK_Feb
SKLKW2Feb	id376	0.054347826	SK_Feb
SKLKW3Feb	id361	0.054347826	SK_Feb
SKLKW3Feb	id363	0.054347826	SK_Feb
SKSha1Feb	id363	0.054347826	SK_Feb
SKSha1Feb	id365	0.054347826	SK_Feb
SKSha2Feb	id373	0.054347826	SK_Feb
SKSha3Feb	id358	0.054347826	SK_Feb
SKSha3Feb	id361	0.054347826	SK_Feb
SKSha3Feb	id365	0.054347826	SK_Feb
SKSha3Feb	id373	0.054347826	SK_Feb
SKBlu1May	id373	0.054347826	SK_May
SKBlu1May	id377	0.054347826	SK_May
SKBlu2May	id345	0.054347826	SK_May
SKBlu2May	id351	0.054347826	SK_May
SKBlu2May	id363	0.054347826	SK_May
SKBlu3May	id363	0.054347826	SK_May
SKBlu3May	id371	0.054347826	SK_May
SKLKW2May	id345	0.054347826	SK_May
SKLKW2May	id374	0.054347826	SK_May
SKLKW3May	id345	0.054347826	SK_May
SKLKW3May	id361	0.054347826	SK_May
SKLKW3May	id373	0.054347826	SK_May
SKSha1May	id344	0.054347826	SK_May
SKSha1May	id356	0.054347826	SK_May
SKSha2May	id340	0.054347826	SK_May
SKSha2May	id344	0.054347826	SK_May
SKSha2May	id351	0.054347826	SK_May
SKSha2May	id364	0.054347826	SK_May
SKBlu1Nov	id353	0.054347826	SK_Nov
SKBlu1Nov	id361	0.054347826	SK_Nov
SKBlu1Nov	id374	0.054347826	SK_Nov
SKBlu2Nov	id351	0.054347826	SK_Nov
SKBlu3Nov	id340	0.054347826	SK_Nov
