Sample	allGfishSid
HKBea1Aug	id1
HKBea1Aug	id10
HKBea1Aug	id100
HKBea1Aug	id101
HKBea1Aug	id102
HKBea1Aug	id104
HKBea1Aug	id109
HKBea1Aug	id11
HKBea1Aug	id114
HKBea1Aug	id115
HKBea1Aug	id118
HKBea1Aug	id12
HKBea1Aug	id126
HKBea1Aug	id13
HKBea1Aug	id130
HKBea1Aug	id133
HKBea1Aug	id138
HKBea1Aug	id139
HKBea1Aug	id14
HKBea1Aug	id144
HKBea1Aug	id147
HKBea1Aug	id155
HKBea1Aug	id156
HKBea1Aug	id16
HKBea1Aug	id166
HKBea1Aug	id167
HKBea1Aug	id168
HKBea1Aug	id17
HKBea1Aug	id171
HKBea1Aug	id178
HKBea1Aug	id179
HKBea1Aug	id18
HKBea1Aug	id184
HKBea1Aug	id185
HKBea1Aug	id186
HKBea1Aug	id187
HKBea1Aug	id188
HKBea1Aug	id189
HKBea1Aug	id19
HKBea1Aug	id191
HKBea1Aug	id192
HKBea1Aug	id194
HKBea1Aug	id196
HKBea1Aug	id198
HKBea1Aug	id199
HKBea1Aug	id2
HKBea1Aug	id20
HKBea1Aug	id201
HKBea1Aug	id202
HKBea1Aug	id203
HKBea1Aug	id205
HKBea1Aug	id206
HKBea1Aug	id208
HKBea1Aug	id209
HKBea1Aug	id21
HKBea1Aug	id210
HKBea1Aug	id211
HKBea1Aug	id213
HKBea1Aug	id214
HKBea1Aug	id215
HKBea1Aug	id216
HKBea1Aug	id217
HKBea1Aug	id218
HKBea1Aug	id221
HKBea1Aug	id223
HKBea1Aug	id224
HKBea1Aug	id226
HKBea1Aug	id227
HKBea1Aug	id228
HKBea1Aug	id232
HKBea1Aug	id233
HKBea1Aug	id234
HKBea1Aug	id235
HKBea1Aug	id236
HKBea1Aug	id237
HKBea1Aug	id238
HKBea1Aug	id239
HKBea1Aug	id240
HKBea1Aug	id241
HKBea1Aug	id243
HKBea1Aug	id244
HKBea1Aug	id245
HKBea1Aug	id246
HKBea1Aug	id247
HKBea1Aug	id248
HKBea1Aug	id249
HKBea1Aug	id25
HKBea1Aug	id250
HKBea1Aug	id251
HKBea1Aug	id252
HKBea1Aug	id254
HKBea1Aug	id255
HKBea1Aug	id257
HKBea1Aug	id258
HKBea1Aug	id259
HKBea1Aug	id26
HKBea1Aug	id260
HKBea1Aug	id262
HKBea1Aug	id266
HKBea1Aug	id267
HKBea1Aug	id268
HKBea1Aug	id269
HKBea1Aug	id27
HKBea1Aug	id271
HKBea1Aug	id273
HKBea1Aug	id274
HKBea1Aug	id276
HKBea1Aug	id277
HKBea1Aug	id278
HKBea1Aug	id279
HKBea1Aug	id28
HKBea1Aug	id280
HKBea1Aug	id281
HKBea1Aug	id282
HKBea1Aug	id283
HKBea1Aug	id284
HKBea1Aug	id285
HKBea1Aug	id287
HKBea1Aug	id288
HKBea1Aug	id289
HKBea1Aug	id29
HKBea1Aug	id290
HKBea1Aug	id291
HKBea1Aug	id293
HKBea1Aug	id294
HKBea1Aug	id297
HKBea1Aug	id298
HKBea1Aug	id299
HKBea1Aug	id30
HKBea1Aug	id301
HKBea1Aug	id302
HKBea1Aug	id303
HKBea1Aug	id304
HKBea1Aug	id306
HKBea1Aug	id307
HKBea1Aug	id308
HKBea1Aug	id309
HKBea1Aug	id31
HKBea1Aug	id310
HKBea1Aug	id312
HKBea1Aug	id313
HKBea1Aug	id314
HKBea1Aug	id315
HKBea1Aug	id318
HKBea1Aug	id319
HKBea1Aug	id32
HKBea1Aug	id320
HKBea1Aug	id321
HKBea1Aug	id323
HKBea1Aug	id325
HKBea1Aug	id327
HKBea1Aug	id328
HKBea1Aug	id329
HKBea1Aug	id33
HKBea1Aug	id330
HKBea1Aug	id331
HKBea1Aug	id333
HKBea1Aug	id335
HKBea1Aug	id336
HKBea1Aug	id337
HKBea1Aug	id339
HKBea1Aug	id34
HKBea1Aug	id340
HKBea1Aug	id341
HKBea1Aug	id342
HKBea1Aug	id343
HKBea1Aug	id344
HKBea1Aug	id345
HKBea1Aug	id347
HKBea1Aug	id348
HKBea1Aug	id349
HKBea1Aug	id35
HKBea1Aug	id350
HKBea1Aug	id351
HKBea1Aug	id352
HKBea1Aug	id354
HKBea1Aug	id355
HKBea1Aug	id357
HKBea1Aug	id359
HKBea1Aug	id360
HKBea1Aug	id361
HKBea1Aug	id362
HKBea1Aug	id363
HKBea1Aug	id364
HKBea1Aug	id365
HKBea1Aug	id366
HKBea1Aug	id367
HKBea1Aug	id368
HKBea1Aug	id369
HKBea1Aug	id37
HKBea1Aug	id370
HKBea1Aug	id371
HKBea1Aug	id372
HKBea1Aug	id373
HKBea1Aug	id375
HKBea1Aug	id376
HKBea1Aug	id377
HKBea1Aug	id378
HKBea1Aug	id379
HKBea1Aug	id38
HKBea1Aug	id380
HKBea1Aug	id381
HKBea1Aug	id382
HKBea1Aug	id383
HKBea1Aug	id384
HKBea1Aug	id385
HKBea1Aug	id386
HKBea1Aug	id387
HKBea1Aug	id389
HKBea1Aug	id39
HKBea1Aug	id391
HKBea1Aug	id392
HKBea1Aug	id394
HKBea1Aug	id395
HKBea1Aug	id398
HKBea1Aug	id401
HKBea1Aug	id402
HKBea1Aug	id406
HKBea1Aug	id407
HKBea1Aug	id42
HKBea1Aug	id43
HKBea1Aug	id46
HKBea1Aug	id5
HKBea1Aug	id52
HKBea1Aug	id57
