allGfishSid	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
id1	272	3566	170	4293	168	6948	208	4114	557	1868	23	54	1156	765	137	1940	424	12718	189	41	43	9128	196	80	679	809	165	562	136	2048	332	0	205	1084	188	14	115	9317	4611	20	21	5353	1380	4	236	3134	2883	0	144	5540	2130	870	284	5495	40	160	4176	7079	453	13	1069	3740	135	10	1906	907	37	493	4323	27	0	189	805	9	14	5	4097	2	6	1287	1571	6	0	169	2324	19	2	60	1056	26	0	13	1512	3	47	40	240	10	1	277	773	3379	0	301	475	1248	38
id10	8	17	8	4	17	62	34	26	8	34	7	9	62	98	17	14	140	83	48	27	1	26	44	21	11	5	17	10	53	36	27	1	42	15	3	3	216	43	1	3	3	51	28	2	2	26	4	2	3	39	55	8	3	619	0	0	39	33	1	1	968	278	28	128	790	79	109	907	674	9	151	83	158	19	126	41	280	9	151	96	237	7	30	29	634	154	153	33	230	58	179	88	114	209	436	14	63	10	28	37	17	37	73	113	26	108	136
id100	4	54	0	0	1303	0	0	0	3266	16	0	30	1829	0	0	35	6	2	0	0	22	0	17	0	0	0	0	0	60	0	0	45	28	0	0	68	0	0	0	0	1	0	0	5	0	0	5	1	1	0	0	0	0	8	0	1562	67	0	0	0	10572	0	0	2820	389	45	0	81	8	0	0	4456	1011	767	21	7	7	0	31	0	11	0	0	24	18	33	451	18	49	45	2	6	5	0	0	1	0	32	4	0	0	5	0	0	0	996	0
id101	3	0	0	0	0	0	0	0	0	0	8	0	9	0	0	0	6	0	0	0	7	0	0	0	2	0	0	0	0	0	3178	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	3	12	0
id102	103	98	63	0	78	8	119	0	0	158	11	26	419	90	1430	97	11	941	21	0	56	0	2468	139	2200	7489	0	0	1049	249	9	40	245	1	1413	110	113	151	20	0	1167	2	48	0	133	199	7	78	140	7	126	0	11	29	244	0	1073	32	19	1775	262	1460	2	0	5284	1311	2	2764	1794	132	0	2	11	21	0	581	122	11	47	0	54	7	0	1	34	1089	0	2	3174	139	9	8	7	11	0	129	17	0	0	0	122	16	0	0	18	145	0
id103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5873	0	0	0	7	0	0	0	0
id104	12	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	8	0	0	0	17	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	1	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	634	0	0	0	37	0
id105	0	0	0	0	0	0	0	0	0	0	16090	0	8	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	5	0	66	0	735	10	491	0	10	0	0	0	3	0	0	0	10	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	1	0
id106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	5	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	1791	0	0	0	0	0	1776	0	0	0	9	0	0	0	21	0	0	0	11	2	0	0	41	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0
id107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	756	0	0	0	0	0	0	0	5	0	0	0	7	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id108	0	9	0	0	0	0	0	0	0	0	14	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	11	1065	0	0	8	0	0	0	525	0	0	0	306	0	0	0	18	0	0	0	13	0	0	0	7	0	0	0	8	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14	0	0
id109	1461	1	28	0	31	0	62	0	599	4	0	42	85	10	2254	1609	833	0	49	0	24	0	3521	1188	970	0	0	0	10	0	0	196	747	4	1	39	103	4	5	0	7	3	1	17	133	309	0	43	6	4	0	0	5	38	42	16	2	4	0	348	0	2	0	0	0	293	17	3	0	3	0	0	0	1062	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	47	1	0	0	103	61	0	0	41	134	0
id11	27	84	57	24	13	604	713	83	17	303	263	391	118	117	194	43	187	197	126	37	30	171	47	676	6026	322	394	503	759	522	251	17	454	38	552	35	922	22	98	33	170	170	149	80	315	233	238	207	71	215	221	144	95	3071	1	29	251	101	1	14	504	148	12	1068	181	6	581	191	300	761	742	970	47	295	496	125	224	86	500	241	159	101	99	359	460	2532	7760	125	422	1332	1022	89	1611	2923	1669	52	79	106	109	52	36	308	159	48	219	206	937
id110	0	0	0	0	0	0	0	0	1566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0
id111	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0	557	0	0	0	8	0	0	0	8	0	0	0	14	0	0	0	27	0	0	0	21	0	0	0	21	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0
id112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	6305	0	0	0	77	0	0	99	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	43	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0
id113	0	0	0	0	0	0	0	0	0	0	45	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	2789	0	0	0	1	0	0	0	7	0	0	0	10	4	0	0	5	0	0	0	9	0	0	1	8	0	0	0	4	0	0	62	0	0	1	0	115	0	0	0	0	0	0	0	34	0	0	0	24	0	0	0	30	0	0	0	8346	0	0	0	15	0	0	37	0	0	0	0	0	0	0	0	0	0
id114	153	141	16779	0	1785	7	694	0	1315	257	5780	65	41	38	5876	77	527	1033	1345	0	44	0	11522	1	1180	159	0	4530	3375	99	25	2	2333	55	2433	43	423	246	3828	0	28	5	343	6	371	971	3912	0	25	22	80	0	55	211	2169	720	4	406	17	9	23	1577	138	0	6	212	0	12	104	5535	0	25	1019	557	406	3002	233	1511	7017	4	37	351	43	29	41	32947	0	1038	400	4449	11	3485	11	6851	0	345	533	7	3	9	721	19	5	1	155	895	3638
id115	2	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	1	0	4	0	4	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	353	0	3	1	1	0	342	1600	0
id116	0	9	0	0	1	2	0	0	0	13	4	0	0	0	0	0	0	410	0	0	0	0	0	0	119	4	0	0	1	11	0	0	1	1011	0	0	6	2	0	0	0	2	0	0	0	1	0	0	0	3	0	0	1	117	0	0	0	2	0	0	0	1	0	7	0	2	0	0	1	3	0	1	0	39	1	1	0	0	0	0	0	0	0	172	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0	3	2	0	0	0	0	0
id117	0	0	1	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	1588	0	0	0	24	0	0	0	14	0	0	0	35	0	0	0	0	0	0	0	17	0	0	0	0	72	0	0	0	0	0	0	0	0	0
id118	272	284	0	0	0	3	0	0	829	13	0	0	10	255	0	0	1	3	0	0	16	0	0	46	21	2	0	0	8	4	0	46	38	7	0	73	12	243	5052	0	542	375	20	0	118	9	1662	34	3	15	28	0	3	17	41	0	1	6	88	37	0	6	105	0	0	2	1717	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	30	5	0	0	0	0	0	0	0	2	0	0	3	5	0	0	3	7	0
id119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2214	0	0	0	32	0	0	0	51	0	0	0	54	0	13	0	15	0	0	0	39	0	0	0	23	0	0	0	21	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	9	0	0	0	0	0
id12	11	539	20	232	7	1587	20	241	22	60	124	44	112	175	725	113	68	111	103	41	12	100	10	145	122	105	3346	201	108	230	97	7	71	18	244	247	77	7	149	24	10	7	68	61	9	223	54	1052	51	218	127	100	14	15	1	7	43	6	1	1	360	22	5	1643	355	0	1163	150	561	109	1099	1240	164	78	1038	652	490	59	478	1018	489	51	288	901	576	642	3780	2005	9220	994	2430	676	2975	853	3944	512	24	113	218	398	39	33	311	26	19	159	624
