"","s.HK_Aug","s.HK_Feb","s.HK_May","s.HK_Nov","s.LT_Aug","s.LT_Feb","s.LT_May","s.LT_Nov","s.SK_Aug","s.SK_Feb","s.SK_May","s.SK_Nov","index","stat","p.value"
"id1",0,1,0,0,0,1,0,0,0,0,0,0,27,0.693763369339095,0.001
"id10",0,0,0,0,1,1,0,0,0,1,0,1,737,0.473510334457488,0.002
"id109",1,0,1,1,0,0,0,0,0,0,0,0,89,0.424295780662997,0.014
"id111",0,0,0,0,0,1,0,0,0,0,0,0,6,0.404640925484456,0.001
"id114",0,0,1,0,0,0,0,0,0,0,1,0,41,0.424976180992459,0.015
"id116",0,1,0,0,0,0,0,0,0,0,0,0,2,0.408938896403045,0.024
"id12",0,0,0,0,0,0,0,0,0,1,0,1,77,0.395360071660589,0.025
"id120",0,0,0,0,0,1,0,0,0,0,0,0,6,0.37884318522359,0.001
"id125",0,0,0,0,0,1,0,0,0,0,0,0,6,0.342230813550299,0.005
"id127",0,0,0,0,0,0,0,0,1,0,0,0,9,0.428492423138007,0.002
"id130",0,0,0,0,0,1,0,0,0,1,0,0,61,0.520125065974305,0.001
"id132",0,0,0,0,0,0,0,0,0,1,0,0,10,0.363838693007788,0.006
"id133",0,1,0,0,0,0,0,0,0,1,0,0,31,0.465793776006562,0.007
"id14",0,0,0,0,0,0,0,0,0,1,1,1,298,0.40979846125711,0.023
"id147",0,0,0,0,0,0,0,0,0,0,1,0,11,0.427795433455326,0.001
"id149",0,0,0,0,0,0,0,0,0,1,0,0,10,0.344976363829034,0.012
"id15",0,0,0,0,0,0,0,0,0,0,0,1,12,0.450619456325673,0.002
"id151",0,0,0,0,0,1,0,0,0,0,0,0,6,0.389110268854311,0.001
"id153",0,0,0,0,0,0,0,0,0,1,0,0,10,0.432585990116539,0.033
"id158",0,0,0,0,0,1,0,0,0,0,0,0,6,0.347616550943794,0.002
"id162",0,0,0,0,0,0,0,0,0,0,0,1,12,0.506285461533676,0.004
"id169",1,0,0,0,0,0,0,0,0,0,0,0,1,0.386015796357441,0.019
"id17",1,1,0,0,0,0,0,0,0,0,0,0,13,0.586539717622148,0.001
"id171",0,0,0,0,1,0,0,0,0,0,0,0,5,0.424476675538225,0.012
"id175",0,1,0,1,0,0,0,0,0,0,0,0,25,0.41343450827427,0.028
"id177",0,0,0,0,1,1,0,0,0,0,0,1,248,0.488244319414711,0.003
"id178",0,0,1,1,0,0,0,1,0,1,0,1,1384,0.592496424250983,0.001
"id179",0,0,0,0,1,0,0,1,0,0,0,0,53,0.686223966247261,0.001
"id18",0,1,0,0,0,0,0,0,0,0,0,0,2,0.479530505147,0.004
"id180",0,0,0,0,0,0,0,1,0,0,0,1,72,0.734028904768443,0.001
"id181",1,0,0,0,1,1,0,0,0,1,0,0,411,0.488973269782611,0.001
"id182",1,1,0,0,1,0,0,0,0,1,0,1,877,0.472448398247317,0.004
"id183",0,1,0,0,0,0,0,0,0,0,0,0,2,0.67869819015184,0.001
"id184",1,0,0,0,1,0,0,0,0,0,0,0,16,0.65307356895608,0.001
"id185",1,0,0,0,1,0,0,0,0,0,0,0,16,0.840015390633419,0.001
"id186",1,0,0,0,0,0,0,0,0,0,0,0,1,0.762376290966423,0.001
"id187",1,0,0,0,1,0,0,0,0,0,0,0,16,0.820313377255152,0.001
"id188",0,0,0,0,0,0,1,0,0,1,0,1,287,0.677710002587992,0.001
"id189",1,0,0,0,1,0,0,0,0,1,0,1,427,0.594644676278951,0.001
"id190",0,0,1,0,1,0,1,1,0,0,0,1,1408,0.633233526293559,0.001
"id191",0,1,0,0,0,0,0,0,0,0,0,0,2,0.745283303522704,0.001
"id192",0,0,0,0,1,0,0,1,0,0,0,0,53,0.796289369018826,0.001
"id193",0,0,0,0,0,0,0,0,0,0,0,1,12,0.766720174320977,0.001
"id194",1,0,0,1,1,0,1,1,0,0,0,0,1004,0.643417066488741,0.001
"id196",1,1,0,0,0,1,1,0,0,0,0,0,323,0.789074621992507,0.001
"id197",0,0,0,0,0,1,1,0,0,0,0,0,58,0.787326649615368,0.001
"id198",0,0,0,0,0,0,0,0,1,0,0,0,9,0.627409170490265,0.001
"id199",0,0,0,0,0,0,0,0,0,1,0,0,10,0.54604343255138,0.002
"id2",0,0,0,0,0,1,1,0,0,0,0,0,58,0.448699797962876,0.008
"id20",0,0,0,0,0,0,0,0,0,0,1,1,78,0.421929461734372,0.012
"id200",0,0,0,0,0,1,0,0,0,0,0,1,63,0.482700017429625,0.001
"id201",0,0,1,0,0,0,0,0,0,0,0,0,3,0.669243166352561,0.001
"id202",1,1,0,0,1,0,1,0,1,1,0,0,1745,0.671292108771666,0.001
"id203",0,0,0,0,0,0,0,1,0,0,0,0,8,0.659661810835555,0.001
"id204",0,0,0,0,0,1,0,0,0,0,0,0,6,0.854135965876846,0.001
"id205",1,1,0,0,1,1,1,0,0,1,0,0,1728,0.672749590401169,0.001
"id206",1,0,0,0,1,0,0,0,0,0,0,0,16,0.836587911544798,0.001
"id207",0,0,0,0,0,0,0,0,0,0,0,1,12,0.858087243780974,0.001
"id208",0,1,0,0,0,0,0,0,0,1,0,0,31,0.678782141669124,0.001
"id209",1,0,0,0,1,1,0,0,0,1,0,0,411,0.59780464238258,0.001
"id21",0,0,0,0,0,0,0,0,0,0,0,1,12,0.447259176344237,0.009
"id210",1,0,0,0,0,0,0,0,0,1,0,0,21,0.834353190148997,0.001
"id211",0,0,0,0,1,0,0,0,0,1,0,1,262,0.583105609841082,0.001
"id213",1,0,0,0,1,0,0,0,0,0,0,0,16,0.843058682276217,0.001
"id214",1,0,0,0,1,0,0,0,0,0,0,0,16,0.90586955726838,0.001
"id215",1,0,0,0,0,0,0,0,0,0,0,0,1,0.648147893480204,0.001
"id216",1,0,0,1,0,0,0,1,0,0,0,1,401,0.572367713211211,0.001
"id217",0,0,0,1,0,0,0,1,1,0,0,1,716,0.743353829692032,0.001
"id218",0,0,1,1,0,0,0,1,1,0,1,1,2367,0.824995031073976,0.001
"id22",0,0,0,1,0,0,0,0,0,0,0,0,4,0.428755335988072,0.001
"id220",0,0,1,0,0,0,0,0,0,1,0,1,213,0.482535365368443,0.003
"id221",1,0,0,0,0,0,0,0,0,0,0,0,1,0.852674769455762,0.001
"id222",1,0,1,1,0,0,0,1,1,0,0,0,932,0.449798898454063,0.002
"id223",1,0,0,0,0,0,0,0,0,0,0,0,1,0.773970845103634,0.001
"id224",1,1,0,1,0,0,0,0,0,1,0,1,856,0.456489901817489,0.003
"id225",0,0,1,1,0,0,0,0,0,1,0,1,610,0.479656326549522,0.001
"id226",0,0,0,1,0,0,0,1,0,0,0,1,236,0.69384135381103,0.001
"id227",0,0,1,1,0,0,0,1,0,1,0,1,1384,0.63969878651253,0.001
"id228",1,0,1,0,0,0,0,0,0,0,0,1,97,0.589791057956514,0.001
"id229",0,0,1,1,0,0,0,0,0,0,0,1,186,0.628748242249702,0.001
"id23",0,0,0,0,0,0,0,1,0,0,0,0,8,0.380085940685753,0.001
"id231",0,0,0,1,0,0,0,0,0,0,0,0,4,0.545356363493425,0.001
"id232",1,0,0,0,1,0,0,0,0,0,0,0,16,0.688381672237648,0.001
"id233",1,0,0,0,1,0,0,0,0,0,0,1,112,0.76580163116603,0.001
"id234",1,0,0,0,0,0,0,0,0,0,0,0,1,0.88153579069743,0.001
"id235",1,0,0,0,0,0,0,0,0,0,0,0,1,0.690437495020309,0.001
"id236",0,0,0,0,1,0,0,1,0,0,0,0,53,0.822253433509298,0.001
"id237",0,0,0,0,0,0,0,0,0,1,0,1,77,0.719942638450098,0.001
"id238",1,0,0,0,1,0,0,0,0,0,0,0,16,0.719377446741193,0.001
"id239",0,0,0,1,0,0,0,0,0,0,0,1,50,0.737686599911262,0.001
"id24",0,1,0,0,0,0,0,0,0,0,0,0,2,0.58810010784379,0.001
"id240",0,0,0,0,0,0,0,0,0,1,0,1,77,0.706518077059782,0.001
"id241",0,0,0,0,1,0,0,0,0,0,0,1,57,0.743349902133277,0.001
"id242",0,0,0,1,0,0,0,0,0,0,0,0,4,0.607474673920548,0.001
"id243",0,0,0,0,1,0,0,0,0,0,0,0,5,0.680773860397115,0.001
"id244",1,0,0,0,0,0,0,0,0,0,0,0,1,0.789538101238428,0.001
