Sample	Motu204	Motu214	Motu184	Motu182	Motu213	Motu181	Motu179	Motu178	Motu180	Motu175	Motu176	Motu177	Motu174	Motu215	Motu172	Motu171	Motu168	Motu169	Motu166	Motu167	Motu162	Motu163	Motu164	Motu165	Motu161	Motu160	Motu157	Motu159	Motu152	Motu158	Motu153	Motu151	Motu149	Motu148	Motu154	Motu144	Motu142	Motu147	Motu143	Motu140	Motu145	Motu138	Motu141	Motu146	Motu136	Motu131	Motu137	Motu134	Motu132	Motu133	Motu130	Motu128	Motu129	Motu126	Motu123	Motu127	Motu122	Motu135	Motu125	Motu121	Motu119	Motu118	Motu117	Motu114	Motu115	Motu113	Motu108	Motu112	Motu111	Motu107	Motu99	Motu104	Motu102	Motu109	Motu95	Motu96	Motu97	Motu98	Motu94	Motu91	Motu89	Motu90	Motu93	Motu84	Motu86	Motu85	Motu83	Motu82	Motu81	Motu79	Motu77	Motu78	Motu101	Motu73	Motu75	Motu74	Motu69	Motu80	Motu67	Motu70	Motu66	Motu63	Motu64	Motu60	Motu62	Motu61	Motu57	Motu59	Motu58	Motu54	Motu53	Motu65	Motu68	Motu49	Motu50	Motu48	Motu51	Motu44	Motu40	Motu39	Motu41	Motu106	Motu42	Motu43	Motu35	Motu36	Motu100	Motu34	Motu30	Motu31	Motu28	Motu29	Motu32	Motu76	Motu71	Motu26	Motu103	Motu25	Motu23	Motu52	Motu87	Motu22	Motu20	Motu18	Motu17	Motu15	Motu19	Motu14	Motu11	Motu10	Motu9	Motu16	Motu7	Motu8	Motu5	Motu21	Motu3	Motu1	Motu2
HKBea1Aug	7	12	7	0	2	1322	0	0	0	0	0	12	0	14	12	0	0	0	0	0	0	0	0	16	0	0	230	0	0	0	0	0	0	0	73	0	0	0	0	11	0	0	0	0	0	0	0	3	0	0	0	18	0	0	0	2	0	0	0	0	0	0	0	0	1147	0	1	0	0	0	0	0	0	0	0	0	0	31	0	3	0	0	723	11	0	14	0	0	0	0	0	0	0	0	4	0	0	20	0	0	0	0	0	0	272	0	0	0	0	0	0	0	960	0	39	7	10	10	0	5	0	1	20	4	0	1461	0	0	122	0	0	0	0	355	103	176	4	2	0	4	0	77	219	0	900	3226	34	189	0	153	24	68	4368	1	0	0	36	9	31726
HKBea1Feb	0	1	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	3	0	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	11	0	1037	0	0	284	0	0	5	0	0	0	177	0	0	1	0	0	2	1400	5	11	0	0	0	1	1	63	264	39	4	0	0	0	0	98	125	54	0	1	1297	1	95	0	567	239	0	1	43	352	141	593	3	291	165	129	83	26370	0	14271
HKBea1May	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	30	0	22	0	0	0	0	0	15	0	0	8	0	21	0	16	0	0	0	0	54	0	0	10	2580	0	0	0	0	0	0	0	15	0	0	0	0	7	50	0	228	0	4488	0	0	0	103	0	0	0	0	121	0	0	19	0	28	16	29	0	9	5468	0	0	0	63	1	0	0	70	0	0	40	0	2	30	1	150	14509	3	16779	155	55	15	496	163	3	1369	4	1010
HKBea1Nov	0	23	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40864	806	316	1731	5	0	4206
HKBea2Aug	0	28	0	0	0	0	7	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	837	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	33	0	2056	0	0	0	0	9	0	0	0	0	0	0	0	0	31	0	152	0	5859	3	0	0	47	78	250	1303	0	22	19	0	53	22	72	68	1444	3	366	0	1785	0	322	8996	3	64	951	987	2993	19248
HKBea2Feb	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	122	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	6453	0	0	0	1	0	8	11184	0	0	12	8259	0	11	0	117	37	0	7	2205	19	7	670	24	0	35	18	30	12509	0	6495
HKBea2May	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	15335	0	31	0	0	0	0	0	12	0	0	22	0	40	0	36	0	0	0	0	10	0	0	21	12	19	0	0	0	0	0	0	22	0	0	0	0	0	30	0	135	0	18	0	0	0	76	0	0	0	0	179	53	0	39	0	62	271	54	0	22	15	2	0	10	119	6	0	1	198	0	0	12865	3	53	135	1	1	81	4	694	407	6	20	82	6972	88	7356	9	2611
HKBea2Nov	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	390	1	47035	1	0	314
HKBea3Aug	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	272	0	0	1566	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	829	0	0	0	0	0	0	13	0	5	0	27	0	0	3275	0	0	3531	1	0	0	599	0	0	13	21	234	0	0	174	0	9	3266	0	0	3258	0	2178	1113	1119	0	1466	0	31	0	1315	16	0	9	0	0	1	0	0	22654
HKBea3Feb	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	4	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	8	0	0	0	0	0	0	0	0	81	0	29	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	67	0	0	0	0	24	0	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	31	91	0	0	13	0	0	24	0	0	128	0	0	0	0	1	0	0	13	6	14	0	0	0	0	4	4611	2	4404	0	2	0	0	4	158	269	16	0	0	6462	0	63	4	368	387	3	118	10239	107	257	2724	34	1	4189	102	578	2391	0	10177
